Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2013,19.5
01001,"Flensburg, Stadt",krsfr. Stadt,2014,19.8
01001,"Flensburg, Stadt",krsfr. Stadt,2015,22.1
01001,"Flensburg, Stadt",krsfr. Stadt,2016,22.6
01001,"Flensburg, Stadt",krsfr. Stadt,2017,22.2
01002,"Kiel, Stadt",krsfr. Stadt,2013,20
01002,"Kiel, Stadt",krsfr. Stadt,2014,19.4
01002,"Kiel, Stadt",krsfr. Stadt,2015,19.2
01002,"Kiel, Stadt",krsfr. Stadt,2016,19.4
01002,"Kiel, Stadt",krsfr. Stadt,2017,19.3
01003,"Lübeck, Stadt",krsfr. Stadt,2013,19.9
01003,"Lübeck, Stadt",krsfr. Stadt,2014,20.1
01003,"Lübeck, Stadt",krsfr. Stadt,2015,19.9
01003,"Lübeck, Stadt",krsfr. Stadt,2016,19.5
01003,"Lübeck, Stadt",krsfr. Stadt,2017,19.5
01004,"Neumünster, Stadt",krsfr. Stadt,2013,22.5
01004,"Neumünster, Stadt",krsfr. Stadt,2014,22.5
01004,"Neumünster, Stadt",krsfr. Stadt,2015,23
01004,"Neumünster, Stadt",krsfr. Stadt,2016,22.1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,21.8
01051,Dithmarschen,Landkreis,2013,27.5
01051,Dithmarschen,Landkreis,2014,27.2
01051,Dithmarschen,Landkreis,2015,28.3
01051,Dithmarschen,Landkreis,2016,28.3
01051,Dithmarschen,Landkreis,2017,28.4
01053,Herzogtum Lauenburg,Landkreis,2013,28.3
01053,Herzogtum Lauenburg,Landkreis,2014,28.4
01053,Herzogtum Lauenburg,Landkreis,2015,28.8
01053,Herzogtum Lauenburg,Landkreis,2016,28.1
01053,Herzogtum Lauenburg,Landkreis,2017,27.8
01054,Nordfriesland,Landkreis,2013,25.9
01054,Nordfriesland,Landkreis,2014,26
01054,Nordfriesland,Landkreis,2015,26.9
01054,Nordfriesland,Landkreis,2016,26.6
01054,Nordfriesland,Landkreis,2017,26.5
01055,Ostholstein,Landkreis,2013,21.6
01055,Ostholstein,Landkreis,2014,21
01055,Ostholstein,Landkreis,2015,20.9
01055,Ostholstein,Landkreis,2016,20.8
01055,Ostholstein,Landkreis,2017,20.8
01056,Pinneberg,Landkreis,2013,28.4
01056,Pinneberg,Landkreis,2014,28.6
01056,Pinneberg,Landkreis,2015,28.5
01056,Pinneberg,Landkreis,2016,27.7
01056,Pinneberg,Landkreis,2017,27.2
01057,Plön,Landkreis,2013,29.4
01057,Plön,Landkreis,2014,29
01057,Plön,Landkreis,2015,29.3
01057,Plön,Landkreis,2016,29.3
01057,Plön,Landkreis,2017,29.1
01058,Rendsburg-Eckernförde,Landkreis,2013,29
01058,Rendsburg-Eckernförde,Landkreis,2014,28.8
01058,Rendsburg-Eckernförde,Landkreis,2015,29.3
01058,Rendsburg-Eckernförde,Landkreis,2016,29.2
01058,Rendsburg-Eckernförde,Landkreis,2017,28.9
01059,Schleswig-Flensburg,Landkreis,2013,25
01059,Schleswig-Flensburg,Landkreis,2014,24.7
01059,Schleswig-Flensburg,Landkreis,2015,24.6
01059,Schleswig-Flensburg,Landkreis,2016,24.6
01059,Schleswig-Flensburg,Landkreis,2017,24.4
01060,Segeberg,Landkreis,2013,24.4
01060,Segeberg,Landkreis,2014,24.7
01060,Segeberg,Landkreis,2015,24.4
01060,Segeberg,Landkreis,2016,24.3
01060,Segeberg,Landkreis,2017,24.3
01061,Steinburg,Landkreis,2013,30.2
01061,Steinburg,Landkreis,2014,30.1
01061,Steinburg,Landkreis,2015,30.3
01061,Steinburg,Landkreis,2016,29.4
01061,Steinburg,Landkreis,2017,29
01062,Stormarn,Landkreis,2013,26.9
01062,Stormarn,Landkreis,2014,26.8
01062,Stormarn,Landkreis,2015,27.5
01062,Stormarn,Landkreis,2016,27.5
01062,Stormarn,Landkreis,2017,27.4
02000,"Hamburg, Stadt",krsfr. Stadt,2013,18.3
02000,"Hamburg, Stadt",krsfr. Stadt,2014,18.2
02000,"Hamburg, Stadt",krsfr. Stadt,2015,17.9
02000,"Hamburg, Stadt",krsfr. Stadt,2016,17.8
02000,"Hamburg, Stadt",krsfr. Stadt,2017,17.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,25.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,26.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,25.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,25.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,25.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,47.1
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,47.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,47.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,46.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,46.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,53.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,51.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,50.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,50.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,50
03151,Gifhorn,Landkreis,2013,36.4
03151,Gifhorn,Landkreis,2014,36.4
03151,Gifhorn,Landkreis,2015,36.3
03151,Gifhorn,Landkreis,2016,36
03151,Gifhorn,Landkreis,2017,35.4
03153,Goslar,Landkreis,2013,23.9
03153,Goslar,Landkreis,2014,23.8
03153,Goslar,Landkreis,2015,24.3
03153,Goslar,Landkreis,2016,24
03153,Goslar,Landkreis,2017,23.8
