Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,48.5
01001,"Flensburg, Stadt",krsfr. Stadt,2009,49.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,49.5
01001,"Flensburg, Stadt",krsfr. Stadt,2011,54.8
01001,"Flensburg, Stadt",krsfr. Stadt,2012,54.6
01001,"Flensburg, Stadt",krsfr. Stadt,2013,58.7
01001,"Flensburg, Stadt",krsfr. Stadt,2014,59.4
01001,"Flensburg, Stadt",krsfr. Stadt,2015,60.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,60.3
01001,"Flensburg, Stadt",krsfr. Stadt,2017,60.2
01002,"Kiel, Stadt",krsfr. Stadt,2008,53
01002,"Kiel, Stadt",krsfr. Stadt,2009,52.6
01002,"Kiel, Stadt",krsfr. Stadt,2010,51.9
01002,"Kiel, Stadt",krsfr. Stadt,2011,53.4
01002,"Kiel, Stadt",krsfr. Stadt,2012,54.2
01002,"Kiel, Stadt",krsfr. Stadt,2013,54.9
01002,"Kiel, Stadt",krsfr. Stadt,2014,57
01002,"Kiel, Stadt",krsfr. Stadt,2015,57.9
01002,"Kiel, Stadt",krsfr. Stadt,2016,58.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,59.8
01003,"Lübeck, Stadt",krsfr. Stadt,2008,45.8
01003,"Lübeck, Stadt",krsfr. Stadt,2009,46.3
01003,"Lübeck, Stadt",krsfr. Stadt,2010,47.6
01003,"Lübeck, Stadt",krsfr. Stadt,2011,48.7
01003,"Lübeck, Stadt",krsfr. Stadt,2012,48.9
01003,"Lübeck, Stadt",krsfr. Stadt,2013,49.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,49.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,49.5
01003,"Lübeck, Stadt",krsfr. Stadt,2016,51
01003,"Lübeck, Stadt",krsfr. Stadt,2017,52.5
01004,"Neumünster, Stadt",krsfr. Stadt,2008,48
01004,"Neumünster, Stadt",krsfr. Stadt,2009,49.6
01004,"Neumünster, Stadt",krsfr. Stadt,2010,50.3
01004,"Neumünster, Stadt",krsfr. Stadt,2011,51.3
01004,"Neumünster, Stadt",krsfr. Stadt,2012,51.2
01004,"Neumünster, Stadt",krsfr. Stadt,2013,52.6
01004,"Neumünster, Stadt",krsfr. Stadt,2014,53.4
01004,"Neumünster, Stadt",krsfr. Stadt,2015,53
01004,"Neumünster, Stadt",krsfr. Stadt,2016,56.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,59.1
01051,Dithmarschen,Landkreis,2008,27.6
01051,Dithmarschen,Landkreis,2009,27.5
01051,Dithmarschen,Landkreis,2010,27.4
01051,Dithmarschen,Landkreis,2011,28.1
01051,Dithmarschen,Landkreis,2012,28.3
01051,Dithmarschen,Landkreis,2013,30.2
01051,Dithmarschen,Landkreis,2014,31.1
01051,Dithmarschen,Landkreis,2015,31.7
01051,Dithmarschen,Landkreis,2016,32.3
01051,Dithmarschen,Landkreis,2017,33.7
01053,Herzogtum Lauenburg,Landkreis,2008,22.8
01053,Herzogtum Lauenburg,Landkreis,2009,23.2
01053,Herzogtum Lauenburg,Landkreis,2010,23.5
01053,Herzogtum Lauenburg,Landkreis,2011,24.2
01053,Herzogtum Lauenburg,Landkreis,2012,24.6
01053,Herzogtum Lauenburg,Landkreis,2013,25.3
01053,Herzogtum Lauenburg,Landkreis,2014,25.5
01053,Herzogtum Lauenburg,Landkreis,2015,25.7
01053,Herzogtum Lauenburg,Landkreis,2016,26.3
01053,Herzogtum Lauenburg,Landkreis,2017,27.2
01054,Nordfriesland,Landkreis,2008,35.7
01054,Nordfriesland,Landkreis,2009,36.7
01054,Nordfriesland,Landkreis,2010,37.4
01054,Nordfriesland,Landkreis,2011,38.7
01054,Nordfriesland,Landkreis,2012,39.1
01054,Nordfriesland,Landkreis,2013,41.1
01054,Nordfriesland,Landkreis,2014,42.5
01054,Nordfriesland,Landkreis,2015,42.9
01054,Nordfriesland,Landkreis,2016,44.2
01054,Nordfriesland,Landkreis,2017,45.1
01055,Ostholstein,Landkreis,2008,29.5
01055,Ostholstein,Landkreis,2009,29.8
01055,Ostholstein,Landkreis,2010,30.2
01055,Ostholstein,Landkreis,2011,32.2
01055,Ostholstein,Landkreis,2012,33.2
