Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,13.2
01001,"Flensburg, Stadt",krsfr. Stadt,2009,11.3
01001,"Flensburg, Stadt",krsfr. Stadt,2010,11.5
01001,"Flensburg, Stadt",krsfr. Stadt,2011,11.8
01001,"Flensburg, Stadt",krsfr. Stadt,2012,11.2
01001,"Flensburg, Stadt",krsfr. Stadt,2013,10.5
01001,"Flensburg, Stadt",krsfr. Stadt,2014,9.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,10.3
01001,"Flensburg, Stadt",krsfr. Stadt,2016,10.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,11.4
01002,"Kiel, Stadt",krsfr. Stadt,2008,10
01002,"Kiel, Stadt",krsfr. Stadt,2009,10.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,10.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,10.7
01002,"Kiel, Stadt",krsfr. Stadt,2012,10.6
01002,"Kiel, Stadt",krsfr. Stadt,2013,10.6
01002,"Kiel, Stadt",krsfr. Stadt,2014,10.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,10.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,10.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,10.9
01003,"Lübeck, Stadt",krsfr. Stadt,2008,14
01003,"Lübeck, Stadt",krsfr. Stadt,2009,14.2
01003,"Lübeck, Stadt",krsfr. Stadt,2010,13.9
01003,"Lübeck, Stadt",krsfr. Stadt,2011,13.9
01003,"Lübeck, Stadt",krsfr. Stadt,2012,14.1
01003,"Lübeck, Stadt",krsfr. Stadt,2013,14.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,14.9
01003,"Lübeck, Stadt",krsfr. Stadt,2015,15.1
01003,"Lübeck, Stadt",krsfr. Stadt,2016,15.4
01003,"Lübeck, Stadt",krsfr. Stadt,2017,15.8
01004,"Neumünster, Stadt",krsfr. Stadt,2008,14.9
01004,"Neumünster, Stadt",krsfr. Stadt,2009,14.6
01004,"Neumünster, Stadt",krsfr. Stadt,2010,14.1
01004,"Neumünster, Stadt",krsfr. Stadt,2011,14
01004,"Neumünster, Stadt",krsfr. Stadt,2012,14.7
01004,"Neumünster, Stadt",krsfr. Stadt,2013,15.6
01004,"Neumünster, Stadt",krsfr. Stadt,2014,15.8
01004,"Neumünster, Stadt",krsfr. Stadt,2015,15.5
01004,"Neumünster, Stadt",krsfr. Stadt,2016,15.8
01004,"Neumünster, Stadt",krsfr. Stadt,2017,16.1
01051,Dithmarschen,Landkreis,2008,11.9
01051,Dithmarschen,Landkreis,2009,12
01051,Dithmarschen,Landkreis,2010,12.3
01051,Dithmarschen,Landkreis,2011,12.8
01051,Dithmarschen,Landkreis,2012,12.6
01051,Dithmarschen,Landkreis,2013,12.7
01051,Dithmarschen,Landkreis,2014,12.8
01051,Dithmarschen,Landkreis,2015,12.7
01051,Dithmarschen,Landkreis,2016,12.5
01051,Dithmarschen,Landkreis,2017,13
01053,Herzogtum Lauenburg,Landkreis,2008,9.6
01053,Herzogtum Lauenburg,Landkreis,2009,9.5
01053,Herzogtum Lauenburg,Landkreis,2010,9.7
01053,Herzogtum Lauenburg,Landkreis,2011,9.5
01053,Herzogtum Lauenburg,Landkreis,2012,9.8
01053,Herzogtum Lauenburg,Landkreis,2013,9.9
01053,Herzogtum Lauenburg,Landkreis,2014,9.9
01053,Herzogtum Lauenburg,Landkreis,2015,9.9
01053,Herzogtum Lauenburg,Landkreis,2016,9.8
01053,Herzogtum Lauenburg,Landkreis,2017,10.1
01054,Nordfriesland,Landkreis,2008,9
01054,Nordfriesland,Landkreis,2009,9.3
01054,Nordfriesland,Landkreis,2010,9.6
01054,Nordfriesland,Landkreis,2011,9.9
01054,Nordfriesland,Landkreis,2012,10.3
01054,Nordfriesland,Landkreis,2013,10.4
01054,Nordfriesland,Landkreis,2014,9.6
01054,Nordfriesland,Landkreis,2015,9.5
01054,Nordfriesland,Landkreis,2016,9.6
01054,Nordfriesland,Landkreis,2017,10.2
01055,Ostholstein,Landkreis,2008,8.8
01055,Ostholstein,Landkreis,2009,8.6
01055,Ostholstein,Landkreis,2010,8.5
01055,Ostholstein,Landkreis,2011,9.1
01055,Ostholstein,Landkreis,2012,9.7
01055,Ostholstein,Landkreis,2013,9.6
01055,Ostholstein,Landkreis,2014,9.4
01055,Ostholstein,Landkreis,2015,9.2
01055,Ostholstein,Landkreis,2016,9.6
01055,Ostholstein,Landkreis,2017,10
01056,Pinneberg,Landkreis,2008,13
01056,Pinneberg,Landkreis,2009,13
01056,Pinneberg,Landkreis,2010,12.9
01056,Pinneberg,Landkreis,2011,13.5
01056,Pinneberg,Landkreis,2012,13.8
01056,Pinneberg,Landkreis,2013,13.3
01056,Pinneberg,Landkreis,2014,13.1
01056,Pinneberg,Landkreis,2015,13.1
01056,Pinneberg,Landkreis,2016,13.1
01056,Pinneberg,Landkreis,2017,13.2
01057,Plön,Landkreis,2008,6.4
01057,Plön,Landkreis,2009,6.4
01057,Plön,Landkreis,2010,6.5
01057,Plön,Landkreis,2011,7.2
01057,Plön,Landkreis,2012,7.3
01057,Plön,Landkreis,2013,7.4
01057,Plön,Landkreis,2014,7.7
01057,Plön,Landkreis,2015,7.6
01057,Plön,Landkreis,2016,7.6
01057,Plön,Landkreis,2017,7.8
01058,Rendsburg-Eckernförde,Landkreis,2008,9.3
01058,Rendsburg-Eckernförde,Landkreis,2009,9.2
01058,Rendsburg-Eckernförde,Landkreis,2010,9.6
01058,Rendsburg-Eckernförde,Landkreis,2011,9.8
01058,Rendsburg-Eckernförde,Landkreis,2012,10.3
01058,Rendsburg-Eckernförde,Landkreis,2013,10.3
01058,Rendsburg-Eckernförde,Landkreis,2014,10.7
01058,Rendsburg-Eckernförde,Landkreis,2015,10.4
01058,Rendsburg-Eckernförde,Landkreis,2016,10.5
01058,Rendsburg-Eckernförde,Landkreis,2017,10.8
01059,Schleswig-Flensburg,Landkreis,2008,8.2
01059,Schleswig-Flensburg,Landkreis,2009,8.2
01059,Schleswig-Flensburg,Landkreis,2010,8.5
01059,Schleswig-Flensburg,Landkreis,2011,9.1
01059,Schleswig-Flensburg,Landkreis,2012,9.1
01059,Schleswig-Flensburg,Landkreis,2013,9.2
01059,Schleswig-Flensburg,Landkreis,2014,9.3
01059,Schleswig-Flensburg,Landkreis,2015,9.2
01059,Schleswig-Flensburg,Landkreis,2016,9.3
01059,Schleswig-Flensburg,Landkreis,2017,9.5
01060,Segeberg,Landkreis,2008,13.9
01060,Segeberg,Landkreis,2009,13.7
01060,Segeberg,Landkreis,2010,13.5
01060,Segeberg,Landkreis,2011,13.3
01060,Segeberg,Landkreis,2012,13.4
01060,Segeberg,Landkreis,2013,13.2
01060,Segeberg,Landkreis,2014,13.4
01060,Segeberg,Landkreis,2015,13.4
01060,Segeberg,Landkreis,2016,13.5
01060,Segeberg,Landkreis,2017,13.9
01061,Steinburg,Landkreis,2008,12.4
01061,Steinburg,Landkreis,2009,12.4
01061,Steinburg,Landkreis,2010,12.4
01061,Steinburg,Landkreis,2011,12.6
01061,Steinburg,Landkreis,2012,13.5
01061,Steinburg,Landkreis,2013,13.6
01061,Steinburg,Landkreis,2014,13.8
01061,Steinburg,Landkreis,2015,12.9
01061,Steinburg,Landkreis,2016,12.6
01061,Steinburg,Landkreis,2017,12.8
01062,Stormarn,Landkreis,2008,16.3
01062,Stormarn,Landkreis,2009,16
01062,Stormarn,Landkreis,2010,15.5
01062,Stormarn,Landkreis,2011,15.9
01062,Stormarn,Landkreis,2012,15.6
01062,Stormarn,Landkreis,2013,15.6
01062,Stormarn,Landkreis,2014,15.8
01062,Stormarn,Landkreis,2015,15.8
01062,Stormarn,Landkreis,2016,16
01062,Stormarn,Landkreis,2017,16.2
02000,"Hamburg, Stadt",krsfr. Stadt,2008,11.5
02000,"Hamburg, Stadt",krsfr. Stadt,2009,11.4
02000,"Hamburg, Stadt",krsfr. Stadt,2010,11.2
