Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2009,8.2
01001,"Flensburg, Stadt",krsfr. Stadt,2010,7.9
01001,"Flensburg, Stadt",krsfr. Stadt,2011,7.8
01001,"Flensburg, Stadt",krsfr. Stadt,2012,7.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,7.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,7.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,7.4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,7.2
01001,"Flensburg, Stadt",krsfr. Stadt,2017,7.4
01002,"Kiel, Stadt",krsfr. Stadt,2009,11.8
01002,"Kiel, Stadt",krsfr. Stadt,2010,11.4
01002,"Kiel, Stadt",krsfr. Stadt,2011,11.1
01002,"Kiel, Stadt",krsfr. Stadt,2012,11.7
01002,"Kiel, Stadt",krsfr. Stadt,2013,11.8
01002,"Kiel, Stadt",krsfr. Stadt,2014,12.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,12.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,12.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,13.1
01003,"Lübeck, Stadt",krsfr. Stadt,2009,7.3
01003,"Lübeck, Stadt",krsfr. Stadt,2010,7.1
01003,"Lübeck, Stadt",krsfr. Stadt,2011,7.1
01003,"Lübeck, Stadt",krsfr. Stadt,2012,7.1
01003,"Lübeck, Stadt",krsfr. Stadt,2013,7.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,7.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,7.6
01003,"Lübeck, Stadt",krsfr. Stadt,2016,7.8
01003,"Lübeck, Stadt",krsfr. Stadt,2017,8
01004,"Neumünster, Stadt",krsfr. Stadt,2009,7.9
01004,"Neumünster, Stadt",krsfr. Stadt,2010,7.8
01004,"Neumünster, Stadt",krsfr. Stadt,2011,7.7
01004,"Neumünster, Stadt",krsfr. Stadt,2012,8.2
01004,"Neumünster, Stadt",krsfr. Stadt,2013,8.8
01004,"Neumünster, Stadt",krsfr. Stadt,2014,8.2
01004,"Neumünster, Stadt",krsfr. Stadt,2015,7.2
01004,"Neumünster, Stadt",krsfr. Stadt,2016,6.4
01004,"Neumünster, Stadt",krsfr. Stadt,2017,6.3
01051,Dithmarschen,Landkreis,2009,6.7
01051,Dithmarschen,Landkreis,2010,6.8
01051,Dithmarschen,Landkreis,2011,6.8
01051,Dithmarschen,Landkreis,2012,7.2
01051,Dithmarschen,Landkreis,2013,7.1
01051,Dithmarschen,Landkreis,2014,7.3
01051,Dithmarschen,Landkreis,2015,7.2
01051,Dithmarschen,Landkreis,2016,7.2
01051,Dithmarschen,Landkreis,2017,7.2
01053,Herzogtum Lauenburg,Landkreis,2009,9.2
01053,Herzogtum Lauenburg,Landkreis,2010,9.2
01053,Herzogtum Lauenburg,Landkreis,2011,9.4
01053,Herzogtum Lauenburg,Landkreis,2012,9.2
01053,Herzogtum Lauenburg,Landkreis,2013,8.6
01053,Herzogtum Lauenburg,Landkreis,2014,8.6
01053,Herzogtum Lauenburg,Landkreis,2015,8.3
01053,Herzogtum Lauenburg,Landkreis,2016,8.3
01053,Herzogtum Lauenburg,Landkreis,2017,8.1
01054,Nordfriesland,Landkreis,2009,6.9
01054,Nordfriesland,Landkreis,2010,7.1
01054,Nordfriesland,Landkreis,2011,7
01054,Nordfriesland,Landkreis,2012,6.8
01054,Nordfriesland,Landkreis,2013,6.7
01054,Nordfriesland,Landkreis,2014,6.6
01054,Nordfriesland,Landkreis,2015,7.2
01054,Nordfriesland,Landkreis,2016,7.1
01054,Nordfriesland,Landkreis,2017,6.5
01055,Ostholstein,Landkreis,2009,5.5
01055,Ostholstein,Landkreis,2010,5.6
01055,Ostholstein,Landkreis,2011,5.4
01055,Ostholstein,Landkreis,2012,5.2
01055,Ostholstein,Landkreis,2013,5.5
01055,Ostholstein,Landkreis,2014,5.6
01055,Ostholstein,Landkreis,2015,5.8
01055,Ostholstein,Landkreis,2016,5.8
