Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,11.7
01001,"Flensburg, Stadt",krsfr. Stadt,1996,12.1
01001,"Flensburg, Stadt",krsfr. Stadt,1997,12.1
01001,"Flensburg, Stadt",krsfr. Stadt,1998,11.4
01001,"Flensburg, Stadt",krsfr. Stadt,1999,11.1
01001,"Flensburg, Stadt",krsfr. Stadt,2000,10.7
01001,"Flensburg, Stadt",krsfr. Stadt,2001,10.7
01001,"Flensburg, Stadt",krsfr. Stadt,2002,10.9
01001,"Flensburg, Stadt",krsfr. Stadt,2003,11.4
01001,"Flensburg, Stadt",krsfr. Stadt,2004,12.1
01001,"Flensburg, Stadt",krsfr. Stadt,2005,12.6
01001,"Flensburg, Stadt",krsfr. Stadt,2006,13.2
01001,"Flensburg, Stadt",krsfr. Stadt,2007,13.7
01001,"Flensburg, Stadt",krsfr. Stadt,2008,14.2
01001,"Flensburg, Stadt",krsfr. Stadt,2009,14.6
01001,"Flensburg, Stadt",krsfr. Stadt,2010,15.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,15.6
01001,"Flensburg, Stadt",krsfr. Stadt,2012,16.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,16.4
01001,"Flensburg, Stadt",krsfr. Stadt,2014,17
01001,"Flensburg, Stadt",krsfr. Stadt,2015,17.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,18.1
01001,"Flensburg, Stadt",krsfr. Stadt,2017,18.8
01002,"Kiel, Stadt",krsfr. Stadt,1995,11.9
01002,"Kiel, Stadt",krsfr. Stadt,1996,12.4
01002,"Kiel, Stadt",krsfr. Stadt,1997,12.4
01002,"Kiel, Stadt",krsfr. Stadt,1998,12.3
01002,"Kiel, Stadt",krsfr. Stadt,1999,12.2
01002,"Kiel, Stadt",krsfr. Stadt,2000,12.1
01002,"Kiel, Stadt",krsfr. Stadt,2001,12
01002,"Kiel, Stadt",krsfr. Stadt,2002,12.2
01002,"Kiel, Stadt",krsfr. Stadt,2003,12.5
01002,"Kiel, Stadt",krsfr. Stadt,2004,12.9
01002,"Kiel, Stadt",krsfr. Stadt,2005,13.2
01002,"Kiel, Stadt",krsfr. Stadt,2006,13.3
01002,"Kiel, Stadt",krsfr. Stadt,2007,13.8
01002,"Kiel, Stadt",krsfr. Stadt,2008,14
01002,"Kiel, Stadt",krsfr. Stadt,2009,14.6
01002,"Kiel, Stadt",krsfr. Stadt,2010,15.2
01002,"Kiel, Stadt",krsfr. Stadt,2011,15.7
01002,"Kiel, Stadt",krsfr. Stadt,2012,16.2
01002,"Kiel, Stadt",krsfr. Stadt,2013,16.8
