Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,47
01001,"Flensburg, Stadt",krsfr. Stadt,1996,47.1
01001,"Flensburg, Stadt",krsfr. Stadt,1997,47
01001,"Flensburg, Stadt",krsfr. Stadt,1998,47
01001,"Flensburg, Stadt",krsfr. Stadt,1999,46.8
01001,"Flensburg, Stadt",krsfr. Stadt,2000,46.6
01001,"Flensburg, Stadt",krsfr. Stadt,2001,46.8
01001,"Flensburg, Stadt",krsfr. Stadt,2002,47.5
01001,"Flensburg, Stadt",krsfr. Stadt,2003,47.7
01001,"Flensburg, Stadt",krsfr. Stadt,2004,47.5
01001,"Flensburg, Stadt",krsfr. Stadt,2005,47.5
01001,"Flensburg, Stadt",krsfr. Stadt,2006,47
01001,"Flensburg, Stadt",krsfr. Stadt,2007,47.1
01001,"Flensburg, Stadt",krsfr. Stadt,2008,48.1
01001,"Flensburg, Stadt",krsfr. Stadt,2009,49.1
01001,"Flensburg, Stadt",krsfr. Stadt,2010,49.8
01001,"Flensburg, Stadt",krsfr. Stadt,2011,50.4
01001,"Flensburg, Stadt",krsfr. Stadt,2012,50.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,50.2
01001,"Flensburg, Stadt",krsfr. Stadt,2014,50.3
01001,"Flensburg, Stadt",krsfr. Stadt,2015,50
01001,"Flensburg, Stadt",krsfr. Stadt,2016,50.2
01001,"Flensburg, Stadt",krsfr. Stadt,2017,50
01002,"Kiel, Stadt",krsfr. Stadt,1995,46
01002,"Kiel, Stadt",krsfr. Stadt,1996,46.6
01002,"Kiel, Stadt",krsfr. Stadt,1997,46.7
01002,"Kiel, Stadt",krsfr. Stadt,1998,46.7
01002,"Kiel, Stadt",krsfr. Stadt,1999,46.9
01002,"Kiel, Stadt",krsfr. Stadt,2000,46.6
01002,"Kiel, Stadt",krsfr. Stadt,2001,46.9
01002,"Kiel, Stadt",krsfr. Stadt,2002,47
01002,"Kiel, Stadt",krsfr. Stadt,2003,47.3
01002,"Kiel, Stadt",krsfr. Stadt,2004,47.2
