Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1999,29.8
01001,"Flensburg, Stadt",krsfr. Stadt,2000,30.3
01001,"Flensburg, Stadt",krsfr. Stadt,2001,29.6
01001,"Flensburg, Stadt",krsfr. Stadt,2002,28.7
01001,"Flensburg, Stadt",krsfr. Stadt,2003,26.4
01001,"Flensburg, Stadt",krsfr. Stadt,2004,24.8
01001,"Flensburg, Stadt",krsfr. Stadt,2005,22.6
01001,"Flensburg, Stadt",krsfr. Stadt,2006,23.4
01001,"Flensburg, Stadt",krsfr. Stadt,2007,22.9
01001,"Flensburg, Stadt",krsfr. Stadt,2008,22.1
01001,"Flensburg, Stadt",krsfr. Stadt,2009,20.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,21
01001,"Flensburg, Stadt",krsfr. Stadt,2011,28.4
01001,"Flensburg, Stadt",krsfr. Stadt,2012,29.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,27.9
01001,"Flensburg, Stadt",krsfr. Stadt,2014,29.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,32.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,29
01001,"Flensburg, Stadt",krsfr. Stadt,2017,30.5
01002,"Kiel, Stadt",krsfr. Stadt,1999,23.3
01002,"Kiel, Stadt",krsfr. Stadt,2000,24.8
01002,"Kiel, Stadt",krsfr. Stadt,2001,24.5
01002,"Kiel, Stadt",krsfr. Stadt,2002,24.1
01002,"Kiel, Stadt",krsfr. Stadt,2003,23
01002,"Kiel, Stadt",krsfr. Stadt,2004,22.4
01002,"Kiel, Stadt",krsfr. Stadt,2005,20.8
01002,"Kiel, Stadt",krsfr. Stadt,2006,21.3
01002,"Kiel, Stadt",krsfr. Stadt,2007,21.8
01002,"Kiel, Stadt",krsfr. Stadt,2008,23.2
01002,"Kiel, Stadt",krsfr. Stadt,2009,22.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,23.7
01002,"Kiel, Stadt",krsfr. Stadt,2011,29.6
01002,"Kiel, Stadt",krsfr. Stadt,2012,29.4
