Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1997,45.4
01001,"Flensburg, Stadt",krsfr. Stadt,1998,45
01001,"Flensburg, Stadt",krsfr. Stadt,1999,47
01001,"Flensburg, Stadt",krsfr. Stadt,2000,47.9
01001,"Flensburg, Stadt",krsfr. Stadt,2001,46.5
01001,"Flensburg, Stadt",krsfr. Stadt,2002,45.3
01001,"Flensburg, Stadt",krsfr. Stadt,2003,42.9
01001,"Flensburg, Stadt",krsfr. Stadt,2004,41.6
01001,"Flensburg, Stadt",krsfr. Stadt,2005,40.6
01001,"Flensburg, Stadt",krsfr. Stadt,2006,40.7
01001,"Flensburg, Stadt",krsfr. Stadt,2007,40.9
01001,"Flensburg, Stadt",krsfr. Stadt,2008,40.9
01001,"Flensburg, Stadt",krsfr. Stadt,2009,40.1
01001,"Flensburg, Stadt",krsfr. Stadt,2010,40.8
01001,"Flensburg, Stadt",krsfr. Stadt,2011,45.7
01001,"Flensburg, Stadt",krsfr. Stadt,2012,46.7
01001,"Flensburg, Stadt",krsfr. Stadt,2013,48.2
01001,"Flensburg, Stadt",krsfr. Stadt,2014,48.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,49.4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,50
01001,"Flensburg, Stadt",krsfr. Stadt,2017,51.9
01002,"Kiel, Stadt",krsfr. Stadt,1997,44.1
01002,"Kiel, Stadt",krsfr. Stadt,1998,43.9
01002,"Kiel, Stadt",krsfr. Stadt,1999,45.6
01002,"Kiel, Stadt",krsfr. Stadt,2000,47.3
01002,"Kiel, Stadt",krsfr. Stadt,2001,47.2
01002,"Kiel, Stadt",krsfr. Stadt,2002,46.2
01002,"Kiel, Stadt",krsfr. Stadt,2003,44.5
01002,"Kiel, Stadt",krsfr. Stadt,2004,43.7
01002,"Kiel, Stadt",krsfr. Stadt,2005,42.3
01002,"Kiel, Stadt",krsfr. Stadt,2006,43
