Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,70.2
01001,"Flensburg, Stadt",krsfr. Stadt,2009,70.8
01001,"Flensburg, Stadt",krsfr. Stadt,2010,70.7
01001,"Flensburg, Stadt",krsfr. Stadt,2011,76.4
01001,"Flensburg, Stadt",krsfr. Stadt,2012,78.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,81.4
01001,"Flensburg, Stadt",krsfr. Stadt,2014,82.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,84.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,84.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,84.5
01002,"Kiel, Stadt",krsfr. Stadt,2008,70.8
01002,"Kiel, Stadt",krsfr. Stadt,2009,71.2
01002,"Kiel, Stadt",krsfr. Stadt,2010,71.3
01002,"Kiel, Stadt",krsfr. Stadt,2011,70.5
01002,"Kiel, Stadt",krsfr. Stadt,2012,70.3
01002,"Kiel, Stadt",krsfr. Stadt,2013,71.8
01002,"Kiel, Stadt",krsfr. Stadt,2014,72.4
01002,"Kiel, Stadt",krsfr. Stadt,2015,73
01002,"Kiel, Stadt",krsfr. Stadt,2016,73.9
01002,"Kiel, Stadt",krsfr. Stadt,2017,75.6
01003,"Lübeck, Stadt",krsfr. Stadt,2008,72.8
01003,"Lübeck, Stadt",krsfr. Stadt,2009,73.1
01003,"Lübeck, Stadt",krsfr. Stadt,2010,73.3
01003,"Lübeck, Stadt",krsfr. Stadt,2011,72.4
01003,"Lübeck, Stadt",krsfr. Stadt,2012,72.4
01003,"Lübeck, Stadt",krsfr. Stadt,2013,73
01003,"Lübeck, Stadt",krsfr. Stadt,2014,73.6
01003,"Lübeck, Stadt",krsfr. Stadt,2015,74.3
01003,"Lübeck, Stadt",krsfr. Stadt,2016,75.4
01003,"Lübeck, Stadt",krsfr. Stadt,2017,77
01004,"Neumünster, Stadt",krsfr. Stadt,2008,76
01004,"Neumünster, Stadt",krsfr. Stadt,2009,75.8
01004,"Neumünster, Stadt",krsfr. Stadt,2010,75.6
01004,"Neumünster, Stadt",krsfr. Stadt,2011,73.7
01004,"Neumünster, Stadt",krsfr. Stadt,2012,73.8
01004,"Neumünster, Stadt",krsfr. Stadt,2013,74.4
01004,"Neumünster, Stadt",krsfr. Stadt,2014,75.1
01004,"Neumünster, Stadt",krsfr. Stadt,2015,75.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,76.1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,77.2
01051,Dithmarschen,Landkreis,2008,70.6
01051,Dithmarschen,Landkreis,2009,70.7
01051,Dithmarschen,Landkreis,2010,71.1
01051,Dithmarschen,Landkreis,2011,70.7
01051,Dithmarschen,Landkreis,2012,70.7
01051,Dithmarschen,Landkreis,2013,71.9
01051,Dithmarschen,Landkreis,2014,72.5
01051,Dithmarschen,Landkreis,2015,73.8
01051,Dithmarschen,Landkreis,2016,74.7
01051,Dithmarschen,Landkreis,2017,75.8
01053,Herzogtum Lauenburg,Landkreis,2008,75.4
01053,Herzogtum Lauenburg,Landkreis,2009,76.3
01053,Herzogtum Lauenburg,Landkreis,2010,76.8
01053,Herzogtum Lauenburg,Landkreis,2011,76.1
01053,Herzogtum Lauenburg,Landkreis,2012,76.1
01053,Herzogtum Lauenburg,Landkreis,2013,77.4
01053,Herzogtum Lauenburg,Landkreis,2014,77.9
01053,Herzogtum Lauenburg,Landkreis,2015,78.5
01053,Herzogtum Lauenburg,Landkreis,2016,78.4
01053,Herzogtum Lauenburg,Landkreis,2017,78.5
01054,Nordfriesland,Landkreis,2008,74.4
01054,Nordfriesland,Landkreis,2009,75.3
01054,Nordfriesland,Landkreis,2010,75.9
01054,Nordfriesland,Landkreis,2011,77.1
01054,Nordfriesland,Landkreis,2012,81.7
01054,Nordfriesland,Landkreis,2013,84
01054,Nordfriesland,Landkreis,2014,85
01054,Nordfriesland,Landkreis,2015,86
01054,Nordfriesland,Landkreis,2016,87
01054,Nordfriesland,Landkreis,2017,87.6
01055,Ostholstein,Landkreis,2008,73.4
01055,Ostholstein,Landkreis,2009,74
01055,Ostholstein,Landkreis,2010,74.7
01055,Ostholstein,Landkreis,2011,76.5
