Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,73.2
01001,"Flensburg, Stadt",krsfr. Stadt,2009,72.3
01001,"Flensburg, Stadt",krsfr. Stadt,2010,73.2
01001,"Flensburg, Stadt",krsfr. Stadt,2011,80.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,83
01001,"Flensburg, Stadt",krsfr. Stadt,2013,85.7
01001,"Flensburg, Stadt",krsfr. Stadt,2014,86.4
01001,"Flensburg, Stadt",krsfr. Stadt,2015,84.8
01001,"Flensburg, Stadt",krsfr. Stadt,2016,84.9
01001,"Flensburg, Stadt",krsfr. Stadt,2017,85.4
01002,"Kiel, Stadt",krsfr. Stadt,2008,77.6
01002,"Kiel, Stadt",krsfr. Stadt,2009,77.3
01002,"Kiel, Stadt",krsfr. Stadt,2010,77.6
01002,"Kiel, Stadt",krsfr. Stadt,2011,80.3
01002,"Kiel, Stadt",krsfr. Stadt,2012,80
01002,"Kiel, Stadt",krsfr. Stadt,2013,80.4
01002,"Kiel, Stadt",krsfr. Stadt,2014,81.3
01002,"Kiel, Stadt",krsfr. Stadt,2015,81
01002,"Kiel, Stadt",krsfr. Stadt,2016,81.4
01002,"Kiel, Stadt",krsfr. Stadt,2017,82.9
01003,"Lübeck, Stadt",krsfr. Stadt,2008,81.7
01003,"Lübeck, Stadt",krsfr. Stadt,2009,82.4
01003,"Lübeck, Stadt",krsfr. Stadt,2010,82.4
01003,"Lübeck, Stadt",krsfr. Stadt,2011,82.3
01003,"Lübeck, Stadt",krsfr. Stadt,2012,82.2
01003,"Lübeck, Stadt",krsfr. Stadt,2013,82.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,83.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,82.8
01003,"Lübeck, Stadt",krsfr. Stadt,2016,84
01003,"Lübeck, Stadt",krsfr. Stadt,2017,85.4
01004,"Neumünster, Stadt",krsfr. Stadt,2008,87.1
01004,"Neumünster, Stadt",krsfr. Stadt,2009,86.2
01004,"Neumünster, Stadt",krsfr. Stadt,2010,86.8
01004,"Neumünster, Stadt",krsfr. Stadt,2011,85.9
01004,"Neumünster, Stadt",krsfr. Stadt,2012,86.5
01004,"Neumünster, Stadt",krsfr. Stadt,2013,87.5
01004,"Neumünster, Stadt",krsfr. Stadt,2014,87.9
01004,"Neumünster, Stadt",krsfr. Stadt,2015,85.2
01004,"Neumünster, Stadt",krsfr. Stadt,2016,85.2
01004,"Neumünster, Stadt",krsfr. Stadt,2017,86.8
01051,Dithmarschen,Landkreis,2008,82.1
01051,Dithmarschen,Landkreis,2009,81.7
01051,Dithmarschen,Landkreis,2010,82.3
01051,Dithmarschen,Landkreis,2011,83
01051,Dithmarschen,Landkreis,2012,83.4
01051,Dithmarschen,Landkreis,2013,84.5
