Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1998,69
01001,"Flensburg, Stadt",krsfr. Stadt,1999,69.3
01001,"Flensburg, Stadt",krsfr. Stadt,2000,71.6
01001,"Flensburg, Stadt",krsfr. Stadt,2001,73
01001,"Flensburg, Stadt",krsfr. Stadt,2002,73.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,72
01001,"Flensburg, Stadt",krsfr. Stadt,2004,70.8
01001,"Flensburg, Stadt",krsfr. Stadt,2005,70.7
01001,"Flensburg, Stadt",krsfr. Stadt,2006,71.4
01001,"Flensburg, Stadt",krsfr. Stadt,2007,71.5
01001,"Flensburg, Stadt",krsfr. Stadt,2008,71.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,71.6
01001,"Flensburg, Stadt",krsfr. Stadt,2010,72
01001,"Flensburg, Stadt",krsfr. Stadt,2011,78.4
01001,"Flensburg, Stadt",krsfr. Stadt,2012,80.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,83.2
01001,"Flensburg, Stadt",krsfr. Stadt,2014,84.7
01001,"Flensburg, Stadt",krsfr. Stadt,2015,84.5
01001,"Flensburg, Stadt",krsfr. Stadt,2016,84.8
01001,"Flensburg, Stadt",krsfr. Stadt,2017,85
01002,"Kiel, Stadt",krsfr. Stadt,1998,65.4
01002,"Kiel, Stadt",krsfr. Stadt,1999,66.7
01002,"Kiel, Stadt",krsfr. Stadt,2000,69.8
01002,"Kiel, Stadt",krsfr. Stadt,2001,71.6
01002,"Kiel, Stadt",krsfr. Stadt,2002,71.7
01002,"Kiel, Stadt",krsfr. Stadt,2003,71.9
01002,"Kiel, Stadt",krsfr. Stadt,2004,71.9
01002,"Kiel, Stadt",krsfr. Stadt,2005,71.6
01002,"Kiel, Stadt",krsfr. Stadt,2006,72.4
01002,"Kiel, Stadt",krsfr. Stadt,2007,73.2
01002,"Kiel, Stadt",krsfr. Stadt,2008,74.2
01002,"Kiel, Stadt",krsfr. Stadt,2009,74.3
01002,"Kiel, Stadt",krsfr. Stadt,2010,74.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,75.4
01002,"Kiel, Stadt",krsfr. Stadt,2012,75.2
01002,"Kiel, Stadt",krsfr. Stadt,2013,76.1
01002,"Kiel, Stadt",krsfr. Stadt,2014,76.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,77
01002,"Kiel, Stadt",krsfr. Stadt,2016,77.6
01002,"Kiel, Stadt",krsfr. Stadt,2017,79.2
01003,"Lübeck, Stadt",krsfr. Stadt,1998,69.5
01003,"Lübeck, Stadt",krsfr. Stadt,1999,69.8
01003,"Lübeck, Stadt",krsfr. Stadt,2000,72.5
01003,"Lübeck, Stadt",krsfr. Stadt,2001,73.8
01003,"Lübeck, Stadt",krsfr. Stadt,2002,73.9
01003,"Lübeck, Stadt",krsfr. Stadt,2003,73.9
01003,"Lübeck, Stadt",krsfr. Stadt,2004,74.2
01003,"Lübeck, Stadt",krsfr. Stadt,2005,73.9
01003,"Lübeck, Stadt",krsfr. Stadt,2006,75.6
01003,"Lübeck, Stadt",krsfr. Stadt,2007,76.2
01003,"Lübeck, Stadt",krsfr. Stadt,2008,77.2
01003,"Lübeck, Stadt",krsfr. Stadt,2009,77.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,77.8
