Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,100.9
01001,"Flensburg, Stadt",krsfr. Stadt,2001,99.7
01001,"Flensburg, Stadt",krsfr. Stadt,2002,96.7
01001,"Flensburg, Stadt",krsfr. Stadt,2003,94
01001,"Flensburg, Stadt",krsfr. Stadt,2004,92.6
01001,"Flensburg, Stadt",krsfr. Stadt,2005,93.9
01001,"Flensburg, Stadt",krsfr. Stadt,2006,96.5
01001,"Flensburg, Stadt",krsfr. Stadt,2007,96.4
01001,"Flensburg, Stadt",krsfr. Stadt,2008,95.2
01001,"Flensburg, Stadt",krsfr. Stadt,2009,94.8
01001,"Flensburg, Stadt",krsfr. Stadt,2010,93.6
01001,"Flensburg, Stadt",krsfr. Stadt,2011,101.1
01001,"Flensburg, Stadt",krsfr. Stadt,2012,101.2
01001,"Flensburg, Stadt",krsfr. Stadt,2013,101.9
01001,"Flensburg, Stadt",krsfr. Stadt,2014,101.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,102.1
01001,"Flensburg, Stadt",krsfr. Stadt,2016,102
01001,"Flensburg, Stadt",krsfr. Stadt,2017,101.1
01002,"Kiel, Stadt",krsfr. Stadt,2000,94.5
01002,"Kiel, Stadt",krsfr. Stadt,2001,94.7
01002,"Kiel, Stadt",krsfr. Stadt,2002,93.3
01002,"Kiel, Stadt",krsfr. Stadt,2003,92.4
01002,"Kiel, Stadt",krsfr. Stadt,2004,92.8
01002,"Kiel, Stadt",krsfr. Stadt,2005,92.6
01002,"Kiel, Stadt",krsfr. Stadt,2006,94.2
01002,"Kiel, Stadt",krsfr. Stadt,2007,94.8
01002,"Kiel, Stadt",krsfr. Stadt,2008,95.6
01002,"Kiel, Stadt",krsfr. Stadt,2009,95.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,94.8
01002,"Kiel, Stadt",krsfr. Stadt,2011,96.6
01002,"Kiel, Stadt",krsfr. Stadt,2012,96.1
01002,"Kiel, Stadt",krsfr. Stadt,2013,96.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,98.2
01002,"Kiel, Stadt",krsfr. Stadt,2015,98.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,99.1
01002,"Kiel, Stadt",krsfr. Stadt,2017,101.1
01003,"Lübeck, Stadt",krsfr. Stadt,2000,83.5
01003,"Lübeck, Stadt",krsfr. Stadt,2001,83.7
01003,"Lübeck, Stadt",krsfr. Stadt,2002,83.1
01003,"Lübeck, Stadt",krsfr. Stadt,2003,82.8
01003,"Lübeck, Stadt",krsfr. Stadt,2004,82.7
01003,"Lübeck, Stadt",krsfr. Stadt,2005,82.4
01003,"Lübeck, Stadt",krsfr. Stadt,2006,84.9
01003,"Lübeck, Stadt",krsfr. Stadt,2007,86.5
01003,"Lübeck, Stadt",krsfr. Stadt,2008,89.3
01003,"Lübeck, Stadt",krsfr. Stadt,2009,90.1
01003,"Lübeck, Stadt",krsfr. Stadt,2010,90.9
01003,"Lübeck, Stadt",krsfr. Stadt,2011,91.8
01003,"Lübeck, Stadt",krsfr. Stadt,2012,92.1
01003,"Lübeck, Stadt",krsfr. Stadt,2013,89.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,88.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,88.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,90.4
01003,"Lübeck, Stadt",krsfr. Stadt,2017,92.4
01004,"Neumünster, Stadt",krsfr. Stadt,2000,87.9
01004,"Neumünster, Stadt",krsfr. Stadt,2001,89.4
01004,"Neumünster, Stadt",krsfr. Stadt,2002,88.4
