Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,1013.8
01001,"Flensburg, Stadt",krsfr. Stadt,2001,1002.2
01001,"Flensburg, Stadt",krsfr. Stadt,2002,974.1
01001,"Flensburg, Stadt",krsfr. Stadt,2003,955.7
01001,"Flensburg, Stadt",krsfr. Stadt,2004,948.6
01001,"Flensburg, Stadt",krsfr. Stadt,2005,962.9
01001,"Flensburg, Stadt",krsfr. Stadt,2006,996
01001,"Flensburg, Stadt",krsfr. Stadt,2007,1010.5
01001,"Flensburg, Stadt",krsfr. Stadt,2008,1009.8
01001,"Flensburg, Stadt",krsfr. Stadt,2009,1001.9
01001,"Flensburg, Stadt",krsfr. Stadt,2010,992.9
01001,"Flensburg, Stadt",krsfr. Stadt,2011,988.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,996.4
01001,"Flensburg, Stadt",krsfr. Stadt,2013,1012.1
01001,"Flensburg, Stadt",krsfr. Stadt,2014,1022.2
01001,"Flensburg, Stadt",krsfr. Stadt,2015,1041.4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,1054.9
01001,"Flensburg, Stadt",krsfr. Stadt,2017,1057.8
01002,"Kiel, Stadt",krsfr. Stadt,2000,1304.3
01002,"Kiel, Stadt",krsfr. Stadt,2001,1301.3
01002,"Kiel, Stadt",krsfr. Stadt,2002,1288
01002,"Kiel, Stadt",krsfr. Stadt,2003,1271.8
01002,"Kiel, Stadt",krsfr. Stadt,2004,1277.4
01002,"Kiel, Stadt",krsfr. Stadt,2005,1278.3
01002,"Kiel, Stadt",krsfr. Stadt,2006,1302.3
01002,"Kiel, Stadt",krsfr. Stadt,2007,1318.9
01002,"Kiel, Stadt",krsfr. Stadt,2008,1334.1
01002,"Kiel, Stadt",krsfr. Stadt,2009,1341.8
01002,"Kiel, Stadt",krsfr. Stadt,2010,1335.3
01002,"Kiel, Stadt",krsfr. Stadt,2011,1346.8
01002,"Kiel, Stadt",krsfr. Stadt,2012,1355.1
01002,"Kiel, Stadt",krsfr. Stadt,2013,1366.1
01002,"Kiel, Stadt",krsfr. Stadt,2014,1402.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,1422
01002,"Kiel, Stadt",krsfr. Stadt,2016,1432.7
01002,"Kiel, Stadt",krsfr. Stadt,2017,1462.5
01003,"Lübeck, Stadt",krsfr. Stadt,2000,551.8
01003,"Lübeck, Stadt",krsfr. Stadt,2001,550.6
01003,"Lübeck, Stadt",krsfr. Stadt,2002,544.4
01003,"Lübeck, Stadt",krsfr. Stadt,2003,538.6
01003,"Lübeck, Stadt",krsfr. Stadt,2004,532.9
01003,"Lübeck, Stadt",krsfr. Stadt,2005,528.3
01003,"Lübeck, Stadt",krsfr. Stadt,2006,539.2
01003,"Lübeck, Stadt",krsfr. Stadt,2007,549.5
01003,"Lübeck, Stadt",krsfr. Stadt,2008,565
01003,"Lübeck, Stadt",krsfr. Stadt,2009,565.2
01003,"Lübeck, Stadt",krsfr. Stadt,2010,573.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,582.3
01003,"Lübeck, Stadt",krsfr. Stadt,2012,587.8
01003,"Lübeck, Stadt",krsfr. Stadt,2013,577.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,572.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,578.2
01003,"Lübeck, Stadt",krsfr. Stadt,2016,589.2
01003,"Lübeck, Stadt",krsfr. Stadt,2017,599.4
01004,"Neumünster, Stadt",krsfr. Stadt,2000,644.5
01004,"Neumünster, Stadt",krsfr. Stadt,2001,651
01004,"Neumünster, Stadt",krsfr. Stadt,2002,640.7
01004,"Neumünster, Stadt",krsfr. Stadt,2003,628.7
01004,"Neumünster, Stadt",krsfr. Stadt,2004,622.5
01004,"Neumünster, Stadt",krsfr. Stadt,2005,613.6
01004,"Neumünster, Stadt",krsfr. Stadt,2006,613.1
01004,"Neumünster, Stadt",krsfr. Stadt,2007,624.1
01004,"Neumünster, Stadt",krsfr. Stadt,2008,645.6
01004,"Neumünster, Stadt",krsfr. Stadt,2009,657.1
01004,"Neumünster, Stadt",krsfr. Stadt,2010,657.2
01004,"Neumünster, Stadt",krsfr. Stadt,2011,669
01004,"Neumünster, Stadt",krsfr. Stadt,2012,669.3
01004,"Neumünster, Stadt",krsfr. Stadt,2013,672.3
01004,"Neumünster, Stadt",krsfr. Stadt,2014,677.3
01004,"Neumünster, Stadt",krsfr. Stadt,2015,680.7
01004,"Neumünster, Stadt",krsfr. Stadt,2016,707.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,722.3
01051,Dithmarschen,Landkreis,2000,41.6
01051,Dithmarschen,Landkreis,2001,41.7
01051,Dithmarschen,Landkreis,2002,40.8
01051,Dithmarschen,Landkreis,2003,39.1
01051,Dithmarschen,Landkreis,2004,38.9
01051,Dithmarschen,Landkreis,2005,38.9
01051,Dithmarschen,Landkreis,2006,38.7
01051,Dithmarschen,Landkreis,2007,39.1
01051,Dithmarschen,Landkreis,2008,40
01051,Dithmarschen,Landkreis,2009,39.3
01051,Dithmarschen,Landkreis,2010,39.4
01051,Dithmarschen,Landkreis,2011,40
01051,Dithmarschen,Landkreis,2012,40.1
01051,Dithmarschen,Landkreis,2013,40.5
01051,Dithmarschen,Landkreis,2014,40.8
01051,Dithmarschen,Landkreis,2015,40.9
01051,Dithmarschen,Landkreis,2016,41.9
01051,Dithmarschen,Landkreis,2017,42.5
01053,Herzogtum Lauenburg,Landkreis,2000,50.4
01053,Herzogtum Lauenburg,Landkreis,2001,50.4
01053,Herzogtum Lauenburg,Landkreis,2002,51.1
01053,Herzogtum Lauenburg,Landkreis,2003,50.7
01053,Herzogtum Lauenburg,Landkreis,2004,50.7
01053,Herzogtum Lauenburg,Landkreis,2005,50.8
01053,Herzogtum Lauenburg,Landkreis,2006,51
01053,Herzogtum Lauenburg,Landkreis,2007,51.9
01053,Herzogtum Lauenburg,Landkreis,2008,51.8
01053,Herzogtum Lauenburg,Landkreis,2009,51.8
01053,Herzogtum Lauenburg,Landkreis,2010,52
01053,Herzogtum Lauenburg,Landkreis,2011,53.1
01053,Herzogtum Lauenburg,Landkreis,2012,53.3
01053,Herzogtum Lauenburg,Landkreis,2013,53.8
01053,Herzogtum Lauenburg,Landkreis,2014,53.6
01053,Herzogtum Lauenburg,Landkreis,2015,53.9
01053,Herzogtum Lauenburg,Landkreis,2016,54.7
01053,Herzogtum Lauenburg,Landkreis,2017,55.7
01054,Nordfriesland,Landkreis,2000,38.9
01054,Nordfriesland,Landkreis,2001,38.8
01054,Nordfriesland,Landkreis,2002,38.8
01054,Nordfriesland,Landkreis,2003,38.2
01054,Nordfriesland,Landkreis,2004,38.2
01054,Nordfriesland,Landkreis,2005,38.4
01054,Nordfriesland,Landkreis,2006,38.6
01054,Nordfriesland,Landkreis,2007,39.2
01054,Nordfriesland,Landkreis,2008,39.8
01054,Nordfriesland,Landkreis,2009,40.7
01054,Nordfriesland,Landkreis,2010,41.3
01054,Nordfriesland,Landkreis,2011,41.8
01054,Nordfriesland,Landkreis,2012,42.3
01054,Nordfriesland,Landkreis,2013,42.1
01054,Nordfriesland,Landkreis,2014,42.3
01054,Nordfriesland,Landkreis,2015,42.7
01054,Nordfriesland,Landkreis,2016,43.6
01054,Nordfriesland,Landkreis,2017,43.6
01055,Ostholstein,Landkreis,2000,60.4
01055,Ostholstein,Landkreis,2001,60.2
01055,Ostholstein,Landkreis,2002,59.9
01055,Ostholstein,Landkreis,2003,58.9
01055,Ostholstein,Landkreis,2004,58.9
01055,Ostholstein,Landkreis,2005,58.9
01055,Ostholstein,Landkreis,2006,59.1
01055,Ostholstein,Landkreis,2007,59.4
01055,Ostholstein,Landkreis,2008,59.9
01055,Ostholstein,Landkreis,2009,60
01055,Ostholstein,Landkreis,2010,60.1
01055,Ostholstein,Landkreis,2011,61
01055,Ostholstein,Landkreis,2012,62
01055,Ostholstein,Landkreis,2013,62.3
01055,Ostholstein,Landkreis,2014,63.1
01055,Ostholstein,Landkreis,2015,63.9
01055,Ostholstein,Landkreis,2016,65
01055,Ostholstein,Landkreis,2017,65.8
01056,Pinneberg,Landkreis,2000,179.7
01056,Pinneberg,Landkreis,2001,181.6
01056,Pinneberg,Landkreis,2002,179.6
01056,Pinneberg,Landkreis,2003,177.7
01056,Pinneberg,Landkreis,2004,178.2
01056,Pinneberg,Landkreis,2005,176.8
01056,Pinneberg,Landkreis,2006,176.7
01056,Pinneberg,Landkreis,2007,179.3
01056,Pinneberg,Landkreis,2008,182.1
01056,Pinneberg,Landkreis,2009,181.8
01056,Pinneberg,Landkreis,2010,181.3
01056,Pinneberg,Landkreis,2011,184.9
01056,Pinneberg,Landkreis,2012,186.4
01056,Pinneberg,Landkreis,2013,186.4
01056,Pinneberg,Landkreis,2014,186.3
01056,Pinneberg,Landkreis,2015,188.6
01056,Pinneberg,Landkreis,2016,193
01056,Pinneberg,Landkreis,2017,197.3
01057,Plön,Landkreis,2000,40.4
01057,Plön,Landkreis,2001,39.9
01057,Plön,Landkreis,2002,39.3
01057,Plön,Landkreis,2003,38.6
01057,Plön,Landkreis,2004,38.7
01057,Plön,Landkreis,2005,38.6
01057,Plön,Landkreis,2006,38.7
01057,Plön,Landkreis,2007,39.3
01057,Plön,Landkreis,2008,39.8
01057,Plön,Landkreis,2009,40.1
01057,Plön,Landkreis,2010,39.8
01057,Plön,Landkreis,2011,39.5
01057,Plön,Landkreis,2012,39.1
01057,Plön,Landkreis,2013,39.1
01057,Plön,Landkreis,2014,39.2
01057,Plön,Landkreis,2015,39.5
01057,Plön,Landkreis,2016,40.2
01057,Plön,Landkreis,2017,40.7
01058,Rendsburg-Eckernförde,Landkreis,2000,50.2
01058,Rendsburg-Eckernförde,Landkreis,2001,50.9
01058,Rendsburg-Eckernförde,Landkreis,2002,50.9
01058,Rendsburg-Eckernförde,Landkreis,2003,49.5
01058,Rendsburg-Eckernförde,Landkreis,2004,49.5
01058,Rendsburg-Eckernförde,Landkreis,2005,49.5
01058,Rendsburg-Eckernförde,Landkreis,2006,49.7
01058,Rendsburg-Eckernförde,Landkreis,2007,50.4
01058,Rendsburg-Eckernförde,Landkreis,2008,51.3
01058,Rendsburg-Eckernförde,Landkreis,2009,51.1
01058,Rendsburg-Eckernförde,Landkreis,2010,50.7
01058,Rendsburg-Eckernförde,Landkreis,2011,51
01058,Rendsburg-Eckernförde,Landkreis,2012,51.4
01058,Rendsburg-Eckernförde,Landkreis,2013,51.4
01058,Rendsburg-Eckernförde,Landkreis,2014,51.4
01058,Rendsburg-Eckernförde,Landkreis,2015,51.6
01058,Rendsburg-Eckernförde,Landkreis,2016,52.2
01058,Rendsburg-Eckernförde,Landkreis,2017,53.5
01059,Schleswig-Flensburg,Landkreis,2000,37.2
01059,Schleswig-Flensburg,Landkreis,2001,36.8
01059,Schleswig-Flensburg,Landkreis,2002,36.5
01059,Schleswig-Flensburg,Landkreis,2003,36.2
01059,Schleswig-Flensburg,Landkreis,2004,36.2
01059,Schleswig-Flensburg,Landkreis,2005,35.8
01059,Schleswig-Flensburg,Landkreis,2006,35.9
01059,Schleswig-Flensburg,Landkreis,2007,37.1
01059,Schleswig-Flensburg,Landkreis,2008,37.8
01059,Schleswig-Flensburg,Landkreis,2009,37.9
01059,Schleswig-Flensburg,Landkreis,2010,37.9
01059,Schleswig-Flensburg,Landkreis,2011,38.6
01059,Schleswig-Flensburg,Landkreis,2012,38.6
01059,Schleswig-Flensburg,Landkreis,2013,38.9
01059,Schleswig-Flensburg,Landkreis,2014,39.2
01059,Schleswig-Flensburg,Landkreis,2015,39.8
01059,Schleswig-Flensburg,Landkreis,2016,40.3
01059,Schleswig-Flensburg,Landkreis,2017,40.9
01060,Segeberg,Landkreis,2000,83.9
01060,Segeberg,Landkreis,2001,84.4
01060,Segeberg,Landkreis,2002,83.8
01060,Segeberg,Landkreis,2003,83
01060,Segeberg,Landkreis,2004,83.5
01060,Segeberg,Landkreis,2005,83.1
01060,Segeberg,Landkreis,2006,83.5
01060,Segeberg,Landkreis,2007,85.6
01060,Segeberg,Landkreis,2008,85.9
01060,Segeberg,Landkreis,2009,85.3
01060,Segeberg,Landkreis,2010,85.1
01060,Segeberg,Landkreis,2011,86.6
01060,Segeberg,Landkreis,2012,87.2
01060,Segeberg,Landkreis,2013,88.2
01060,Segeberg,Landkreis,2014,88.5
01060,Segeberg,Landkreis,2015,89.9
01060,Segeberg,Landkreis,2016,91.8
01060,Segeberg,Landkreis,2017,93.2
01061,Steinburg,Landkreis,2000,55.1
01061,Steinburg,Landkreis,2001,54.8
01061,Steinburg,Landkreis,2002,54
01061,Steinburg,Landkreis,2003,53
01061,Steinburg,Landkreis,2004,52.3
01061,Steinburg,Landkreis,2005,51.6
01061,Steinburg,Landkreis,2006,51.4
01061,Steinburg,Landkreis,2007,51.7
01061,Steinburg,Landkreis,2008,51.5
01061,Steinburg,Landkreis,2009,51.2
01061,Steinburg,Landkreis,2010,51.9
01061,Steinburg,Landkreis,2011,52.4
01061,Steinburg,Landkreis,2012,52.6
01061,Steinburg,Landkreis,2013,52.2
01061,Steinburg,Landkreis,2014,52
01061,Steinburg,Landkreis,2015,51.9
01061,Steinburg,Landkreis,2016,52.3
01061,Steinburg,Landkreis,2017,53.1
01062,Stormarn,Landkreis,2000,123.9
01062,Stormarn,Landkreis,2001,125.1
01062,Stormarn,Landkreis,2002,125.8
01062,Stormarn,Landkreis,2003,125
01062,Stormarn,Landkreis,2004,127.3
01062,Stormarn,Landkreis,2005,128.8
01062,Stormarn,Landkreis,2006,129.9
01062,Stormarn,Landkreis,2007,132.7
01062,Stormarn,Landkreis,2008,134.6
01062,Stormarn,Landkreis,2009,138.9
01062,Stormarn,Landkreis,2010,138.5
01062,Stormarn,Landkreis,2011,139.8
01062,Stormarn,Landkreis,2012,140
01062,Stormarn,Landkreis,2013,139.9
01062,Stormarn,Landkreis,2014,142
01062,Stormarn,Landkreis,2015,144.5
01062,Stormarn,Landkreis,2016,147.1
01062,Stormarn,Landkreis,2017,150
02000,"Hamburg, Stadt",krsfr. Stadt,2000,1388.7
02000,"Hamburg, Stadt",krsfr. Stadt,2001,1397.8
02000,"Hamburg, Stadt",krsfr. Stadt,2002,1387.2
02000,"Hamburg, Stadt",krsfr. Stadt,2003,1370.9
02000,"Hamburg, Stadt",krsfr. Stadt,2004,1375
02000,"Hamburg, Stadt",krsfr. Stadt,2005,1387.7
02000,"Hamburg, Stadt",krsfr. Stadt,2006,1403
02000,"Hamburg, Stadt",krsfr. Stadt,2007,1436.4
02000,"Hamburg, Stadt",krsfr. Stadt,2008,1467.5
02000,"Hamburg, Stadt",krsfr. Stadt,2009,1486.6
02000,"Hamburg, Stadt",krsfr. Stadt,2010,1497.3
02000,"Hamburg, Stadt",krsfr. Stadt,2011,1520.6
02000,"Hamburg, Stadt",krsfr. Stadt,2012,1547.9
02000,"Hamburg, Stadt",krsfr. Stadt,2013,1564.4
02000,"Hamburg, Stadt",krsfr. Stadt,2014,1577.9
02000,"Hamburg, Stadt",krsfr. Stadt,2015,1594.1
02000,"Hamburg, Stadt",krsfr. Stadt,2016,1622.4
02000,"Hamburg, Stadt",krsfr. Stadt,2017,1648.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2000,786.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2001,784
03101,"Braunschweig, Stadt",krsfr. Stadt,2002,767.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2003,761.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2004,770.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2005,768.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2006,777.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2007,794.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2008,790.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2009,790.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2010,790.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2011,801.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,820.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,824.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,836
