Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2005,30.3
01001,"Flensburg, Stadt",krsfr. Stadt,2006,31.7
01001,"Flensburg, Stadt",krsfr. Stadt,2007,34.1
01001,"Flensburg, Stadt",krsfr. Stadt,2008,35.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,35.3
01001,"Flensburg, Stadt",krsfr. Stadt,2010,36.3
01001,"Flensburg, Stadt",krsfr. Stadt,2011,38.9
01001,"Flensburg, Stadt",krsfr. Stadt,2012,40
01001,"Flensburg, Stadt",krsfr. Stadt,2013,40.9
01001,"Flensburg, Stadt",krsfr. Stadt,2014,43.4
01001,"Flensburg, Stadt",krsfr. Stadt,2015,44.7
01001,"Flensburg, Stadt",krsfr. Stadt,2016,46.6
01001,"Flensburg, Stadt",krsfr. Stadt,2017,48.6
01002,"Kiel, Stadt",krsfr. Stadt,2005,31
01002,"Kiel, Stadt",krsfr. Stadt,2006,32.6
01002,"Kiel, Stadt",krsfr. Stadt,2007,34.5
01002,"Kiel, Stadt",krsfr. Stadt,2008,36.5
01002,"Kiel, Stadt",krsfr. Stadt,2009,37.3
01002,"Kiel, Stadt",krsfr. Stadt,2010,37.9
01002,"Kiel, Stadt",krsfr. Stadt,2011,39.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,40.8
01002,"Kiel, Stadt",krsfr. Stadt,2013,42.5
01002,"Kiel, Stadt",krsfr. Stadt,2014,44.5
01002,"Kiel, Stadt",krsfr. Stadt,2015,45.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,47.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,48.9
01003,"Lübeck, Stadt",krsfr. Stadt,2005,27.6
01003,"Lübeck, Stadt",krsfr. Stadt,2006,29.1
01003,"Lübeck, Stadt",krsfr. Stadt,2007,30.9
01003,"Lübeck, Stadt",krsfr. Stadt,2008,32.7
01003,"Lübeck, Stadt",krsfr. Stadt,2009,34.4
01003,"Lübeck, Stadt",krsfr. Stadt,2010,35.1
01003,"Lübeck, Stadt",krsfr. Stadt,2011,36
01003,"Lübeck, Stadt",krsfr. Stadt,2012,38.1
01003,"Lübeck, Stadt",krsfr. Stadt,2013,40.3
01003,"Lübeck, Stadt",krsfr. Stadt,2014,42.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,44.1
01003,"Lübeck, Stadt",krsfr. Stadt,2016,45.9
01003,"Lübeck, Stadt",krsfr. Stadt,2017,48.4
01004,"Neumünster, Stadt",krsfr. Stadt,2005,29.5
01004,"Neumünster, Stadt",krsfr. Stadt,2006,31.6
01004,"Neumünster, Stadt",krsfr. Stadt,2007,33.7
01004,"Neumünster, Stadt",krsfr. Stadt,2008,36.1
01004,"Neumünster, Stadt",krsfr. Stadt,2009,38
01004,"Neumünster, Stadt",krsfr. Stadt,2010,38.8
01004,"Neumünster, Stadt",krsfr. Stadt,2011,38.8
01004,"Neumünster, Stadt",krsfr. Stadt,2012,40.5
01004,"Neumünster, Stadt",krsfr. Stadt,2013,42.1
01004,"Neumünster, Stadt",krsfr. Stadt,2014,44.2
01004,"Neumünster, Stadt",krsfr. Stadt,2015,45.1
01004,"Neumünster, Stadt",krsfr. Stadt,2016,47.6
01004,"Neumünster, Stadt",krsfr. Stadt,2017,50.5
01051,Dithmarschen,Landkreis,2005,26
01051,Dithmarschen,Landkreis,2006,27.2
01051,Dithmarschen,Landkreis,2007,28.5
01051,Dithmarschen,Landkreis,2008,30.2
01051,Dithmarschen,Landkreis,2009,31.5
01051,Dithmarschen,Landkreis,2010,32.1
01051,Dithmarschen,Landkreis,2011,33.9
01051,Dithmarschen,Landkreis,2012,35.8
01051,Dithmarschen,Landkreis,2013,37.6
01051,Dithmarschen,Landkreis,2014,39.7
01051,Dithmarschen,Landkreis,2015,40.8
01051,Dithmarschen,Landkreis,2016,42.8
01051,Dithmarschen,Landkreis,2017,45.2
01053,Herzogtum Lauenburg,Landkreis,2005,31.7
01053,Herzogtum Lauenburg,Landkreis,2006,33.5
01053,Herzogtum Lauenburg,Landkreis,2007,35.4
01053,Herzogtum Lauenburg,Landkreis,2008,37.4
01053,Herzogtum Lauenburg,Landkreis,2009,39.4
01053,Herzogtum Lauenburg,Landkreis,2010,39.9
01053,Herzogtum Lauenburg,Landkreis,2011,40.5
01053,Herzogtum Lauenburg,Landkreis,2012,42.5
01053,Herzogtum Lauenburg,Landkreis,2013,44.7
01053,Herzogtum Lauenburg,Landkreis,2014,46.7
01053,Herzogtum Lauenburg,Landkreis,2015,48.1
01053,Herzogtum Lauenburg,Landkreis,2016,49.6
01053,Herzogtum Lauenburg,Landkreis,2017,51.2
01054,Nordfriesland,Landkreis,2005,28.2
01054,Nordfriesland,Landkreis,2006,29.9
01054,Nordfriesland,Landkreis,2007,31.8
01054,Nordfriesland,Landkreis,2008,33.4
01054,Nordfriesland,Landkreis,2009,35.5
01054,Nordfriesland,Landkreis,2010,36
01054,Nordfriesland,Landkreis,2011,37
01054,Nordfriesland,Landkreis,2012,39
01054,Nordfriesland,Landkreis,2013,40.6
01054,Nordfriesland,Landkreis,2014,43.1
01054,Nordfriesland,Landkreis,2015,44.6
01054,Nordfriesland,Landkreis,2016,46.8
01054,Nordfriesland,Landkreis,2017,49.5
01055,Ostholstein,Landkreis,2005,26.5
01055,Ostholstein,Landkreis,2006,28.6
01055,Ostholstein,Landkreis,2007,30.9
01055,Ostholstein,Landkreis,2008,32.7
01055,Ostholstein,Landkreis,2009,34.3
01055,Ostholstein,Landkreis,2010,35.1
01055,Ostholstein,Landkreis,2011,37.3
01055,Ostholstein,Landkreis,2012,39.5
01055,Ostholstein,Landkreis,2013,41.5
01055,Ostholstein,Landkreis,2014,43.4
01055,Ostholstein,Landkreis,2015,44.8
01055,Ostholstein,Landkreis,2016,46.4
01055,Ostholstein,Landkreis,2017,48.9
01056,Pinneberg,Landkreis,2005,34.2
01056,Pinneberg,Landkreis,2006,35.8
01056,Pinneberg,Landkreis,2007,37.6
01056,Pinneberg,Landkreis,2008,39.9
01056,Pinneberg,Landkreis,2009,42
01056,Pinneberg,Landkreis,2010,42.7
01056,Pinneberg,Landkreis,2011,44.4
01056,Pinneberg,Landkreis,2012,46.4
01056,Pinneberg,Landkreis,2013,48.4
01056,Pinneberg,Landkreis,2014,50.4
01056,Pinneberg,Landkreis,2015,51.8
01056,Pinneberg,Landkreis,2016,53.8
01056,Pinneberg,Landkreis,2017,55.4
01057,Plön,Landkreis,2005,28.5
01057,Plön,Landkreis,2006,30.5
01057,Plön,Landkreis,2007,32.9
01057,Plön,Landkreis,2008,34.8
01057,Plön,Landkreis,2009,36.5
01057,Plön,Landkreis,2010,37.1
01057,Plön,Landkreis,2011,39
01057,Plön,Landkreis,2012,40.9
01057,Plön,Landkreis,2013,43.2
01057,Plön,Landkreis,2014,45.2
01057,Plön,Landkreis,2015,46.6
01057,Plön,Landkreis,2016,48.1
01057,Plön,Landkreis,2017,49.9
01058,Rendsburg-Eckernförde,Landkreis,2005,30
01058,Rendsburg-Eckernförde,Landkreis,2006,31.8
01058,Rendsburg-Eckernförde,Landkreis,2007,33.6
01058,Rendsburg-Eckernförde,Landkreis,2008,35.4
01058,Rendsburg-Eckernförde,Landkreis,2009,37.4
01058,Rendsburg-Eckernförde,Landkreis,2010,38.1
01058,Rendsburg-Eckernförde,Landkreis,2011,39.2
01058,Rendsburg-Eckernförde,Landkreis,2012,41.3
01058,Rendsburg-Eckernförde,Landkreis,2013,43.5
01058,Rendsburg-Eckernförde,Landkreis,2014,45.6
01058,Rendsburg-Eckernförde,Landkreis,2015,46.7
01058,Rendsburg-Eckernförde,Landkreis,2016,48.6
01058,Rendsburg-Eckernförde,Landkreis,2017,50.5
01059,Schleswig-Flensburg,Landkreis,2005,28.6
01059,Schleswig-Flensburg,Landkreis,2006,30.7
01059,Schleswig-Flensburg,Landkreis,2007,32.3
01059,Schleswig-Flensburg,Landkreis,2008,34.1
01059,Schleswig-Flensburg,Landkreis,2009,35.5
01059,Schleswig-Flensburg,Landkreis,2010,36.4
01059,Schleswig-Flensburg,Landkreis,2011,37.2
01059,Schleswig-Flensburg,Landkreis,2012,38.9
01059,Schleswig-Flensburg,Landkreis,2013,40.4
01059,Schleswig-Flensburg,Landkreis,2014,42.2
01059,Schleswig-Flensburg,Landkreis,2015,43.3
01059,Schleswig-Flensburg,Landkreis,2016,45.2
01059,Schleswig-Flensburg,Landkreis,2017,47
01060,Segeberg,Landkreis,2005,34.7
01060,Segeberg,Landkreis,2006,36.5
01060,Segeberg,Landkreis,2007,38.6
01060,Segeberg,Landkreis,2008,40.8
01060,Segeberg,Landkreis,2009,42.7
01060,Segeberg,Landkreis,2010,42.9
01060,Segeberg,Landkreis,2011,43.5
01060,Segeberg,Landkreis,2012,45.3
01060,Segeberg,Landkreis,2013,47.3
01060,Segeberg,Landkreis,2014,49.1
01060,Segeberg,Landkreis,2015,50.9
01060,Segeberg,Landkreis,2016,52.8
01060,Segeberg,Landkreis,2017,54.8
01061,Steinburg,Landkreis,2005,29.3
01061,Steinburg,Landkreis,2006,30.8
01061,Steinburg,Landkreis,2007,33
01061,Steinburg,Landkreis,2008,35.1
01061,Steinburg,Landkreis,2009,36.4
01061,Steinburg,Landkreis,2010,36.7
01061,Steinburg,Landkreis,2011,38.5
01061,Steinburg,Landkreis,2012,40.6
01061,Steinburg,Landkreis,2013,42.8
01061,Steinburg,Landkreis,2014,44.6
01061,Steinburg,Landkreis,2015,46
01061,Steinburg,Landkreis,2016,48.1
01061,Steinburg,Landkreis,2017,49.9
01062,Stormarn,Landkreis,2005,34.2
01062,Stormarn,Landkreis,2006,36.1
01062,Stormarn,Landkreis,2007,37.7
01062,Stormarn,Landkreis,2008,39.7
01062,Stormarn,Landkreis,2009,41.5
01062,Stormarn,Landkreis,2010,42
01062,Stormarn,Landkreis,2011,43.1
01062,Stormarn,Landkreis,2012,45.1
01062,Stormarn,Landkreis,2013,47.5
01062,Stormarn,Landkreis,2014,49.4
01062,Stormarn,Landkreis,2015,50.9
01062,Stormarn,Landkreis,2016,52.7
01062,Stormarn,Landkreis,2017,54.8
02000,"Hamburg, Stadt",krsfr. Stadt,2005,33.2
02000,"Hamburg, Stadt",krsfr. Stadt,2006,34.5
02000,"Hamburg, Stadt",krsfr. Stadt,2007,36
02000,"Hamburg, Stadt",krsfr. Stadt,2008,37.8
02000,"Hamburg, Stadt",krsfr. Stadt,2009,39.4
02000,"Hamburg, Stadt",krsfr. Stadt,2010,39.8
02000,"Hamburg, Stadt",krsfr. Stadt,2011,42.1
02000,"Hamburg, Stadt",krsfr. Stadt,2012,44
02000,"Hamburg, Stadt",krsfr. Stadt,2013,45.8
02000,"Hamburg, Stadt",krsfr. Stadt,2014,47.9
02000,"Hamburg, Stadt",krsfr. Stadt,2015,49.4
02000,"Hamburg, Stadt",krsfr. Stadt,2016,51.1
02000,"Hamburg, Stadt",krsfr. Stadt,2017,53
03101,"Braunschweig, Stadt",krsfr. Stadt,2005,31
