Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2010,32
01001,"Flensburg, Stadt",krsfr. Stadt,2011,37.2
01001,"Flensburg, Stadt",krsfr. Stadt,2012,36.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,37.8
01001,"Flensburg, Stadt",krsfr. Stadt,2014,37.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,38.6
01001,"Flensburg, Stadt",krsfr. Stadt,2016,38.5
01001,"Flensburg, Stadt",krsfr. Stadt,2017,39.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,35
01002,"Kiel, Stadt",krsfr. Stadt,2011,35
01002,"Kiel, Stadt",krsfr. Stadt,2012,35.4
01002,"Kiel, Stadt",krsfr. Stadt,2013,35.6
01002,"Kiel, Stadt",krsfr. Stadt,2014,35.7
01002,"Kiel, Stadt",krsfr. Stadt,2015,36.3
01002,"Kiel, Stadt",krsfr. Stadt,2016,38.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,39.3
01003,"Lübeck, Stadt",krsfr. Stadt,2010,38.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,40.3
01003,"Lübeck, Stadt",krsfr. Stadt,2012,41
01003,"Lübeck, Stadt",krsfr. Stadt,2013,41.9
01003,"Lübeck, Stadt",krsfr. Stadt,2014,42
01003,"Lübeck, Stadt",krsfr. Stadt,2015,42.8
01003,"Lübeck, Stadt",krsfr. Stadt,2016,45.2
01003,"Lübeck, Stadt",krsfr. Stadt,2017,46.9
01004,"Neumünster, Stadt",krsfr. Stadt,2010,39.6
01004,"Neumünster, Stadt",krsfr. Stadt,2011,40.9
01004,"Neumünster, Stadt",krsfr. Stadt,2012,42.5
01004,"Neumünster, Stadt",krsfr. Stadt,2013,43.8
01004,"Neumünster, Stadt",krsfr. Stadt,2014,44.2
01004,"Neumünster, Stadt",krsfr. Stadt,2015,43.2
01004,"Neumünster, Stadt",krsfr. Stadt,2016,43.8
01004,"Neumünster, Stadt",krsfr. Stadt,2017,46.2
01051,Dithmarschen,Landkreis,2010,41.8
01051,Dithmarschen,Landkreis,2011,44
01051,Dithmarschen,Landkreis,2012,43.5
01051,Dithmarschen,Landkreis,2013,45.7
01051,Dithmarschen,Landkreis,2014,45.6
01051,Dithmarschen,Landkreis,2015,46.6
01051,Dithmarschen,Landkreis,2016,48.1
01051,Dithmarschen,Landkreis,2017,50.1
01053,Herzogtum Lauenburg,Landkreis,2010,43.6
01053,Herzogtum Lauenburg,Landkreis,2011,45.1
01053,Herzogtum Lauenburg,Landkreis,2012,45.4
01053,Herzogtum Lauenburg,Landkreis,2013,45.2
01053,Herzogtum Lauenburg,Landkreis,2014,45.4
01053,Herzogtum Lauenburg,Landkreis,2015,45
01053,Herzogtum Lauenburg,Landkreis,2016,44
01053,Herzogtum Lauenburg,Landkreis,2017,45.4
01054,Nordfriesland,Landkreis,2010,45.6
01054,Nordfriesland,Landkreis,2011,48.3
01054,Nordfriesland,Landkreis,2012,47.6
01054,Nordfriesland,Landkreis,2013,49.1
01054,Nordfriesland,Landkreis,2014,50.1
01054,Nordfriesland,Landkreis,2015,49.5
01054,Nordfriesland,Landkreis,2016,49.6
01054,Nordfriesland,Landkreis,2017,51.3
01055,Ostholstein,Landkreis,2010,42.5
01055,Ostholstein,Landkreis,2011,45.5
01055,Ostholstein,Landkreis,2012,45.6
01055,Ostholstein,Landkreis,2013,46.6
01055,Ostholstein,Landkreis,2014,46.8
01055,Ostholstein,Landkreis,2015,46.5
01055,Ostholstein,Landkreis,2016,46.7
01055,Ostholstein,Landkreis,2017,48.7
01056,Pinneberg,Landkreis,2010,45.5
01056,Pinneberg,Landkreis,2011,47.6
01056,Pinneberg,Landkreis,2012,49.3
01056,Pinneberg,Landkreis,2013,48.9
01056,Pinneberg,Landkreis,2014,48.5
01056,Pinneberg,Landkreis,2015,48.3
01056,Pinneberg,Landkreis,2016,48.3
01056,Pinneberg,Landkreis,2017,49.4
01057,Plön,Landkreis,2010,37.2
01057,Plön,Landkreis,2011,39.8
01057,Plön,Landkreis,2012,39.9
01057,Plön,Landkreis,2013,42
01057,Plön,Landkreis,2014,42.1
01057,Plön,Landkreis,2015,41.3
01057,Plön,Landkreis,2016,40.5
01057,Plön,Landkreis,2017,42.9
01058,Rendsburg-Eckernförde,Landkreis,2010,38.2
01058,Rendsburg-Eckernförde,Landkreis,2011,39.4
01058,Rendsburg-Eckernförde,Landkreis,2012,39.7
01058,Rendsburg-Eckernförde,Landkreis,2013,40.8
01058,Rendsburg-Eckernförde,Landkreis,2014,40.4
01058,Rendsburg-Eckernförde,Landkreis,2015,40.4
01058,Rendsburg-Eckernförde,Landkreis,2016,40.8
01058,Rendsburg-Eckernförde,Landkreis,2017,42.2
01059,Schleswig-Flensburg,Landkreis,2010,38.2
01059,Schleswig-Flensburg,Landkreis,2011,39.1
01059,Schleswig-Flensburg,Landkreis,2012,39.3
01059,Schleswig-Flensburg,Landkreis,2013,41.2
01059,Schleswig-Flensburg,Landkreis,2014,41.8
01059,Schleswig-Flensburg,Landkreis,2015,41.9
01059,Schleswig-Flensburg,Landkreis,2016,42.3
01059,Schleswig-Flensburg,Landkreis,2017,44.4
01060,Segeberg,Landkreis,2010,46
01060,Segeberg,Landkreis,2011,47.6
01060,Segeberg,Landkreis,2012,47.5
01060,Segeberg,Landkreis,2013,47.7
01060,Segeberg,Landkreis,2014,47.3
01060,Segeberg,Landkreis,2015,47.8
01060,Segeberg,Landkreis,2016,47.4
01060,Segeberg,Landkreis,2017,48.7
01061,Steinburg,Landkreis,2010,43.7
01061,Steinburg,Landkreis,2011,45.7
01061,Steinburg,Landkreis,2012,45.6
01061,Steinburg,Landkreis,2013,46.3
01061,Steinburg,Landkreis,2014,46.7
01061,Steinburg,Landkreis,2015,45.1
01061,Steinburg,Landkreis,2016,46.4
01061,Steinburg,Landkreis,2017,48.6
01062,Stormarn,Landkreis,2010,44.6
01062,Stormarn,Landkreis,2011,45.5
01062,Stormarn,Landkreis,2012,45.3
01062,Stormarn,Landkreis,2013,45.5
01062,Stormarn,Landkreis,2014,45.2
01062,Stormarn,Landkreis,2015,44.3
01062,Stormarn,Landkreis,2016,43.2
01062,Stormarn,Landkreis,2017,45.2
02000,"Hamburg, Stadt",krsfr. Stadt,2010,42.1
02000,"Hamburg, Stadt",krsfr. Stadt,2011,44.9
02000,"Hamburg, Stadt",krsfr. Stadt,2012,45.3
02000,"Hamburg, Stadt",krsfr. Stadt,2013,45.4
02000,"Hamburg, Stadt",krsfr. Stadt,2014,45.5
02000,"Hamburg, Stadt",krsfr. Stadt,2015,46
02000,"Hamburg, Stadt",krsfr. Stadt,2016,47
02000,"Hamburg, Stadt",krsfr. Stadt,2017,47.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2010,39.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2011,42.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,43.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,43.3
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,44.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,42.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,44.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,44.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2010,39.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2011,44.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,45.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,45.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,46.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,45.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,45
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,45.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2010,47.8
03103,"Wolfsburg, Stadt",krsfr. Stadt,2011,51
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,52.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,52.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,52.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,52.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,53.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,52.6
03151,Gifhorn,Landkreis,2010,43.3
03151,Gifhorn,Landkreis,2011,46.6
03151,Gifhorn,Landkreis,2012,47.9
03151,Gifhorn,Landkreis,2013,48.4
03151,Gifhorn,Landkreis,2014,49.9
