Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2012,14.7
01001,"Flensburg, Stadt",krsfr. Stadt,2013,14.4
01001,"Flensburg, Stadt",krsfr. Stadt,2014,15
01001,"Flensburg, Stadt",krsfr. Stadt,2015,15.8
01001,"Flensburg, Stadt",krsfr. Stadt,2016,16.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,17.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,14.7
01002,"Kiel, Stadt",krsfr. Stadt,2013,14.3
01002,"Kiel, Stadt",krsfr. Stadt,2014,15
01002,"Kiel, Stadt",krsfr. Stadt,2015,15.8
01002,"Kiel, Stadt",krsfr. Stadt,2016,16.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,17.5
01003,"Lübeck, Stadt",krsfr. Stadt,2012,14.3
01003,"Lübeck, Stadt",krsfr. Stadt,2013,14.2
01003,"Lübeck, Stadt",krsfr. Stadt,2014,14.9
01003,"Lübeck, Stadt",krsfr. Stadt,2015,15.8
01003,"Lübeck, Stadt",krsfr. Stadt,2016,16.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,17.6
01004,"Neumünster, Stadt",krsfr. Stadt,2012,13.8
01004,"Neumünster, Stadt",krsfr. Stadt,2013,13.8
01004,"Neumünster, Stadt",krsfr. Stadt,2014,14.5
01004,"Neumünster, Stadt",krsfr. Stadt,2015,15.2
01004,"Neumünster, Stadt",krsfr. Stadt,2016,16
01004,"Neumünster, Stadt",krsfr. Stadt,2017,16.9
01051,Dithmarschen,Landkreis,2012,12.5
01051,Dithmarschen,Landkreis,2013,12.9
01051,Dithmarschen,Landkreis,2014,13.6
01051,Dithmarschen,Landkreis,2015,14.4
01051,Dithmarschen,Landkreis,2016,15
01051,Dithmarschen,Landkreis,2017,16.1
01053,Herzogtum Lauenburg,Landkreis,2012,14.6
01053,Herzogtum Lauenburg,Landkreis,2013,14.7
01053,Herzogtum Lauenburg,Landkreis,2014,15.3
01053,Herzogtum Lauenburg,Landkreis,2015,16
01053,Herzogtum Lauenburg,Landkreis,2016,16.3
01053,Herzogtum Lauenburg,Landkreis,2017,17.1
01054,Nordfriesland,Landkreis,2012,14
01054,Nordfriesland,Landkreis,2013,14.8
01054,Nordfriesland,Landkreis,2014,15.8
01054,Nordfriesland,Landkreis,2015,16.7
01054,Nordfriesland,Landkreis,2016,17.2
01054,Nordfriesland,Landkreis,2017,18
01055,Ostholstein,Landkreis,2012,15.4
01055,Ostholstein,Landkreis,2013,16.1
01055,Ostholstein,Landkreis,2014,16.8
01055,Ostholstein,Landkreis,2015,17.6
01055,Ostholstein,Landkreis,2016,18.3
01055,Ostholstein,Landkreis,2017,19.1
01056,Pinneberg,Landkreis,2012,15.1
01056,Pinneberg,Landkreis,2013,15.1
01056,Pinneberg,Landkreis,2014,15.6
01056,Pinneberg,Landkreis,2015,16.3
01056,Pinneberg,Landkreis,2016,16.9
01056,Pinneberg,Landkreis,2017,17.6
01057,Plön,Landkreis,2012,15.5
01057,Plön,Landkreis,2013,15.8
01057,Plön,Landkreis,2014,16.6
01057,Plön,Landkreis,2015,17.2
01057,Plön,Landkreis,2016,17.6
01057,Plön,Landkreis,2017,18.6
01058,Rendsburg-Eckernförde,Landkreis,2012,14.8
01058,Rendsburg-Eckernförde,Landkreis,2013,15
01058,Rendsburg-Eckernförde,Landkreis,2014,15.7
01058,Rendsburg-Eckernförde,Landkreis,2015,16.4
01058,Rendsburg-Eckernförde,Landkreis,2016,17.1
01058,Rendsburg-Eckernförde,Landkreis,2017,17.8
01059,Schleswig-Flensburg,Landkreis,2012,14.4
01059,Schleswig-Flensburg,Landkreis,2013,14.7
01059,Schleswig-Flensburg,Landkreis,2014,15.4
01059,Schleswig-Flensburg,Landkreis,2015,16.2
01059,Schleswig-Flensburg,Landkreis,2016,17
01059,Schleswig-Flensburg,Landkreis,2017,17.8
01060,Segeberg,Landkreis,2012,14.8
01060,Segeberg,Landkreis,2013,14.9
01060,Segeberg,Landkreis,2014,15.4
01060,Segeberg,Landkreis,2015,16.1
01060,Segeberg,Landkreis,2016,16.6
01060,Segeberg,Landkreis,2017,17.3
01061,Steinburg,Landkreis,2012,13.9
01061,Steinburg,Landkreis,2013,14
01061,Steinburg,Landkreis,2014,14.5
01061,Steinburg,Landkreis,2015,14.9
01061,Steinburg,Landkreis,2016,15.7
01061,Steinburg,Landkreis,2017,16.5
01062,Stormarn,Landkreis,2012,15
01062,Stormarn,Landkreis,2013,15.1
01062,Stormarn,Landkreis,2014,15.6
01062,Stormarn,Landkreis,2015,16.3
01062,Stormarn,Landkreis,2016,16.7
01062,Stormarn,Landkreis,2017,17.4
02000,"Hamburg, Stadt",krsfr. Stadt,2012,14.7
02000,"Hamburg, Stadt",krsfr. Stadt,2013,14.6
02000,"Hamburg, Stadt",krsfr. Stadt,2014,15.2
02000,"Hamburg, Stadt",krsfr. Stadt,2015,16.1
02000,"Hamburg, Stadt",krsfr. Stadt,2016,16.7
02000,"Hamburg, Stadt",krsfr. Stadt,2017,17.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,14.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,14
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,14.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,15
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,15.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,16.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,12.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,12.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,13.2
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,14.2
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,14.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,14.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,12.2
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,12.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,12.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,13.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,13.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,14
03151,Gifhorn,Landkreis,2012,13.3
03151,Gifhorn,Landkreis,2013,13.5
03151,Gifhorn,Landkreis,2014,13.9
03151,Gifhorn,Landkreis,2015,14.7
03151,Gifhorn,Landkreis,2016,15
03151,Gifhorn,Landkreis,2017,15.6
03153,Goslar,Landkreis,2012,14
03153,Goslar,Landkreis,2013,14
03153,Goslar,Landkreis,2014,14.4
03153,Goslar,Landkreis,2015,15.4
03153,Goslar,Landkreis,2016,16.1
03153,Goslar,Landkreis,2017,16.8
03154,Helmstedt,Landkreis,2012,13
03154,Helmstedt,Landkreis,2013,13.1
03154,Helmstedt,Landkreis,2014,13.7
03154,Helmstedt,Landkreis,2015,14.5
03154,Helmstedt,Landkreis,2016,14.9
03154,Helmstedt,Landkreis,2017,15.7
03155,Northeim,Landkreis,2012,15.3
03155,Northeim,Landkreis,2013,15.3
03155,Northeim,Landkreis,2014,15.9
03155,Northeim,Landkreis,2015,16.6
03155,Northeim,Landkreis,2016,17.3
03155,Northeim,Landkreis,2017,18
03157,Peine,Landkreis,2012,14.4
03157,Peine,Landkreis,2013,14.3
03157,Peine,Landkreis,2014,14.9
03157,Peine,Landkreis,2015,15.7
03157,Peine,Landkreis,2016,16.2
03157,Peine,Landkreis,2017,16.8
03158,Wolfenbüttel,Landkreis,2012,14.2
03158,Wolfenbüttel,Landkreis,2013,14.1
03158,Wolfenbüttel,Landkreis,2014,14.7
03158,Wolfenbüttel,Landkreis,2015,15.3
03158,Wolfenbüttel,Landkreis,2016,15.7
03158,Wolfenbüttel,Landkreis,2017,16.6
03159,Göttingen,Landkreis,2012,16.4
03159,Göttingen,Landkreis,2013,16.1
03159,Göttingen,Landkreis,2014,16.6
03159,Göttingen,Landkreis,2015,17
03159,Göttingen,Landkreis,2016,18
03159,Göttingen,Landkreis,2017,18.5
03241,Region Hannover,Landkreis,2012,14.8
03241,Region Hannover,Landkreis,2013,14.6
03241,Region Hannover,Landkreis,2014,15.1
03241,Region Hannover,Landkreis,2015,15.6
03241,Region Hannover,Landkreis,2016,16.3
03241,Region Hannover,Landkreis,2017,16.9
03251,Diepholz,Landkreis,2012,14.8
03251,Diepholz,Landkreis,2013,15
03251,Diepholz,Landkreis,2014,15.5
03251,Diepholz,Landkreis,2015,16.3
03251,Diepholz,Landkreis,2016,16.9
03251,Diepholz,Landkreis,2017,17.4
03252,Hameln-Pyrmont,Landkreis,2012,15.4
03252,Hameln-Pyrmont,Landkreis,2013,15.5
03252,Hameln-Pyrmont,Landkreis,2014,16.2
03252,Hameln-Pyrmont,Landkreis,2015,16.9
03252,Hameln-Pyrmont,Landkreis,2016,17.5
03252,Hameln-Pyrmont,Landkreis,2017,18.3
03254,Hildesheim,Landkreis,2012,14.8
03254,Hildesheim,Landkreis,2013,14.7
03254,Hildesheim,Landkreis,2014,15.2
03254,Hildesheim,Landkreis,2015,15.7
03254,Hildesheim,Landkreis,2016,16.4
03254,Hildesheim,Landkreis,2017,17.1
03255,Holzminden,Landkreis,2012,13.4
03255,Holzminden,Landkreis,2013,13.5
03255,Holzminden,Landkreis,2014,14
03255,Holzminden,Landkreis,2015,14.5
03255,Holzminden,Landkreis,2016,15.2
03255,Holzminden,Landkreis,2017,16
03256,Nienburg (Weser),Landkreis,2012,14.2
03256,Nienburg (Weser),Landkreis,2013,14.5
03256,Nienburg (Weser),Landkreis,2014,15
03256,Nienburg (Weser),Landkreis,2015,15.8
03256,Nienburg (Weser),Landkreis,2016,16.4
03256,Nienburg (Weser),Landkreis,2017,17.1
03257,Schaumburg,Landkreis,2012,14.6
03257,Schaumburg,Landkreis,2013,14.7
03257,Schaumburg,Landkreis,2014,15.2
03257,Schaumburg,Landkreis,2015,15.8
03257,Schaumburg,Landkreis,2016,16.4
03257,Schaumburg,Landkreis,2017,16.9
03351,Celle,Landkreis,2012,14.3
03351,Celle,Landkreis,2013,14.4
03351,Celle,Landkreis,2014,15.1
03351,Celle,Landkreis,2015,15.8
03351,Celle,Landkreis,2016,16.5
03351,Celle,Landkreis,2017,17.1
03352,Cuxhaven,Landkreis,2012,14.2
03352,Cuxhaven,Landkreis,2013,14.4
03352,Cuxhaven,Landkreis,2014,14.9
03352,Cuxhaven,Landkreis,2015,15.8
03352,Cuxhaven,Landkreis,2016,16.5
03352,Cuxhaven,Landkreis,2017,17.2
03353,Harburg,Landkreis,2012,14.9
03353,Harburg,Landkreis,2013,15
03353,Harburg,Landkreis,2014,15.6
03353,Harburg,Landkreis,2015,16.3
03353,Harburg,Landkreis,2016,16.8
03353,Harburg,Landkreis,2017,17.5
03354,Lüchow-Dannenberg,Landkreis,2012,14.3
03354,Lüchow-Dannenberg,Landkreis,2013,14.8
03354,Lüchow-Dannenberg,Landkreis,2014,15.4
03354,Lüchow-Dannenberg,Landkreis,2015,15.8
03354,Lüchow-Dannenberg,Landkreis,2016,17.4
03354,Lüchow-Dannenberg,Landkreis,2017,18.4
03355,Lüneburg,Landkreis,2012,14.8
03355,Lüneburg,Landkreis,2013,14.8
03355,Lüneburg,Landkreis,2014,15.4
03355,Lüneburg,Landkreis,2015,15.9
03355,Lüneburg,Landkreis,2016,16.5
03355,Lüneburg,Landkreis,2017,17.1
03356,Osterholz,Landkreis,2012,15.7
03356,Osterholz,Landkreis,2013,15.7
03356,Osterholz,Landkreis,2014,16.3
03356,Osterholz,Landkreis,2015,16.9
03356,Osterholz,Landkreis,2016,17.8
03356,Osterholz,Landkreis,2017,18.6
03357,Rotenburg (Wümme),Landkreis,2012,14.8
03357,Rotenburg (Wümme),Landkreis,2013,15
03357,Rotenburg (Wümme),Landkreis,2014,15.5
03357,Rotenburg (Wümme),Landkreis,2015,16.3
03357,Rotenburg (Wümme),Landkreis,2016,17
03357,Rotenburg (Wümme),Landkreis,2017,17.7
03358,Heidekreis,Landkreis,2012,14.8
03358,Heidekreis,Landkreis,2013,14.9
03358,Heidekreis,Landkreis,2014,15.4
03358,Heidekreis,Landkreis,2015,15.9
03358,Heidekreis,Landkreis,2016,16.6
03358,Heidekreis,Landkreis,2017,17.3
03359,Stade,Landkreis,2012,13.4
03359,Stade,Landkreis,2013,13.7
03359,Stade,Landkreis,2014,14.2
03359,Stade,Landkreis,2015,14.8
03359,Stade,Landkreis,2016,15.4
03359,Stade,Landkreis,2017,16.2
03360,Uelzen,Landkreis,2012,14.9
03360,Uelzen,Landkreis,2013,14.9
03360,Uelzen,Landkreis,2014,15.5
03360,Uelzen,Landkreis,2015,16.1
03360,Uelzen,Landkreis,2016,17.2
03360,Uelzen,Landkreis,2017,17.9
03361,Verden,Landkreis,2012,15.3
03361,Verden,Landkreis,2013,15.4
03361,Verden,Landkreis,2014,16
03361,Verden,Landkreis,2015,16.6
03361,Verden,Landkreis,2016,17.3
03361,Verden,Landkreis,2017,18
03401,"Delmenhorst, Stadt",krsfr. Stadt,2012,14.6
03401,"Delmenhorst, Stadt",krsfr. Stadt,2013,14.4
03401,"Delmenhorst, Stadt",krsfr. Stadt,2014,14.6
03401,"Delmenhorst, Stadt",krsfr. Stadt,2015,15
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,15.6
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,15.9
03402,"Emden, Stadt",krsfr. Stadt,2012,11.6
03402,"Emden, Stadt",krsfr. Stadt,2013,11.8
03402,"Emden, Stadt",krsfr. Stadt,2014,12.2
03402,"Emden, Stadt",krsfr. Stadt,2015,12.5
03402,"Emden, Stadt",krsfr. Stadt,2016,13.2
03402,"Emden, Stadt",krsfr. Stadt,2017,14.4
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2012,16
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2013,15.6
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2014,16.2
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2015,17
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,17.4
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,18
03404,"Osnabrück, Stadt",krsfr. Stadt,2012,15.3
03404,"Osnabrück, Stadt",krsfr. Stadt,2013,14.7
03404,"Osnabrück, Stadt",krsfr. Stadt,2014,15.5
03404,"Osnabrück, Stadt",krsfr. Stadt,2015,15.7
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,16.3
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,17
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2012,13.7
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2013,14
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2014,14.4
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2015,15.2
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,15.8
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,16.5
03451,Ammerland,Landkreis,2012,14.8
03451,Ammerland,Landkreis,2013,15
03451,Ammerland,Landkreis,2014,15.6
03451,Ammerland,Landkreis,2015,16.5
03451,Ammerland,Landkreis,2016,17
03451,Ammerland,Landkreis,2017,17.7
03452,Aurich,Landkreis,2012,11.2
03452,Aurich,Landkreis,2013,11.5
03452,Aurich,Landkreis,2014,11.9
03452,Aurich,Landkreis,2015,12.9
03452,Aurich,Landkreis,2016,13.6
03452,Aurich,Landkreis,2017,14.5
03453,Cloppenburg,Landkreis,2012,11.4
03453,Cloppenburg,Landkreis,2013,11.5
03453,Cloppenburg,Landkreis,2014,12
03453,Cloppenburg,Landkreis,2015,12.8
03453,Cloppenburg,Landkreis,2016,13.4
03453,Cloppenburg,Landkreis,2017,14
03454,Emsland,Landkreis,2012,12
03454,Emsland,Landkreis,2013,12
03454,Emsland,Landkreis,2014,12.6
03454,Emsland,Landkreis,2015,13.5
03454,Emsland,Landkreis,2016,14.2
03454,Emsland,Landkreis,2017,14.8
03455,Friesland,Landkreis,2012,14.8
03455,Friesland,Landkreis,2013,15.4
03455,Friesland,Landkreis,2014,15.8
03455,Friesland,Landkreis,2015,16.8
03455,Friesland,Landkreis,2016,17.3
03455,Friesland,Landkreis,2017,18.1
03456,Grafschaft Bentheim,Landkreis,2012,12.7
03456,Grafschaft Bentheim,Landkreis,2013,12.7
03456,Grafschaft Bentheim,Landkreis,2014,13.3
03456,Grafschaft Bentheim,Landkreis,2015,14.3
03456,Grafschaft Bentheim,Landkreis,2016,15.2
03456,Grafschaft Bentheim,Landkreis,2017,16.1
03457,Leer,Landkreis,2012,11.2
03457,Leer,Landkreis,2013,11.4
03457,Leer,Landkreis,2014,11.9
03457,Leer,Landkreis,2015,12.9
03457,Leer,Landkreis,2016,13.7
03457,Leer,Landkreis,2017,14.4
03458,Oldenburg,Landkreis,2012,15.3
03458,Oldenburg,Landkreis,2013,15.1
03458,Oldenburg,Landkreis,2014,15.8
03458,Oldenburg,Landkreis,2015,16.7
03458,Oldenburg,Landkreis,2016,17.5
03458,Oldenburg,Landkreis,2017,18.2
03459,Osnabrück,Landkreis,2012,14.5
03459,Osnabrück,Landkreis,2013,14.5
03459,Osnabrück,Landkreis,2014,15
03459,Osnabrück,Landkreis,2015,15.7
03459,Osnabrück,Landkreis,2016,16.6
03459,Osnabrück,Landkreis,2017,17.1
03460,Vechta,Landkreis,2012,13.2
03460,Vechta,Landkreis,2013,13.2
03460,Vechta,Landkreis,2014,13.7
03460,Vechta,Landkreis,2015,14.7
03460,Vechta,Landkreis,2016,15.1
03460,Vechta,Landkreis,2017,15.8
03461,Wesermarsch,Landkreis,2012,12.8
03461,Wesermarsch,Landkreis,2013,13
03461,Wesermarsch,Landkreis,2014,13.4
03461,Wesermarsch,Landkreis,2015,14.5
03461,Wesermarsch,Landkreis,2016,15.3
03461,Wesermarsch,Landkreis,2017,16
03462,Wittmund,Landkreis,2012,12.1
03462,Wittmund,Landkreis,2013,12.5
03462,Wittmund,Landkreis,2014,13.2
03462,Wittmund,Landkreis,2015,14.3
03462,Wittmund,Landkreis,2016,15.3
03462,Wittmund,Landkreis,2017,16.1
04011,"Bremen, Stadt",krsfr. Stadt,2012,15.1
04011,"Bremen, Stadt",krsfr. Stadt,2013,14.8
04011,"Bremen, Stadt",krsfr. Stadt,2014,15.5
04011,"Bremen, Stadt",krsfr. Stadt,2015,16.2
04011,"Bremen, Stadt",krsfr. Stadt,2016,16.8
04011,"Bremen, Stadt",krsfr. Stadt,2017,17.5
04012,"Bremerhaven, Stadt",krsfr. Stadt,2012,13.9
04012,"Bremerhaven, Stadt",krsfr. Stadt,2013,13.4
04012,"Bremerhaven, Stadt",krsfr. Stadt,2014,13.7
04012,"Bremerhaven, Stadt",krsfr. Stadt,2015,14.1
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,14.7
