Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2012,6.3
01001,"Flensburg, Stadt",krsfr. Stadt,2013,6.1
01001,"Flensburg, Stadt",krsfr. Stadt,2014,6.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,7.5
01001,"Flensburg, Stadt",krsfr. Stadt,2016,8
01001,"Flensburg, Stadt",krsfr. Stadt,2017,8.7
01002,"Kiel, Stadt",krsfr. Stadt,2012,8.3
01002,"Kiel, Stadt",krsfr. Stadt,2013,8
01002,"Kiel, Stadt",krsfr. Stadt,2014,8.4
01002,"Kiel, Stadt",krsfr. Stadt,2015,9.2
01002,"Kiel, Stadt",krsfr. Stadt,2016,10.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,10.9
01003,"Lübeck, Stadt",krsfr. Stadt,2012,6.5
01003,"Lübeck, Stadt",krsfr. Stadt,2013,6.5
01003,"Lübeck, Stadt",krsfr. Stadt,2014,7
01003,"Lübeck, Stadt",krsfr. Stadt,2015,7.6
01003,"Lübeck, Stadt",krsfr. Stadt,2016,8.2
01003,"Lübeck, Stadt",krsfr. Stadt,2017,9
01004,"Neumünster, Stadt",krsfr. Stadt,2012,5
01004,"Neumünster, Stadt",krsfr. Stadt,2013,5.2
01004,"Neumünster, Stadt",krsfr. Stadt,2014,5.8
01004,"Neumünster, Stadt",krsfr. Stadt,2015,6.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,6.8
01004,"Neumünster, Stadt",krsfr. Stadt,2017,7.5
01051,Dithmarschen,Landkreis,2012,3.9
01051,Dithmarschen,Landkreis,2013,4.1
01051,Dithmarschen,Landkreis,2014,4.6
01051,Dithmarschen,Landkreis,2015,4.9
01051,Dithmarschen,Landkreis,2016,5.4
01051,Dithmarschen,Landkreis,2017,5.8
01053,Herzogtum Lauenburg,Landkreis,2012,4.4
01053,Herzogtum Lauenburg,Landkreis,2013,4.5
01053,Herzogtum Lauenburg,Landkreis,2014,4.7
01053,Herzogtum Lauenburg,Landkreis,2015,5
01053,Herzogtum Lauenburg,Landkreis,2016,5.4
01053,Herzogtum Lauenburg,Landkreis,2017,5.7
01054,Nordfriesland,Landkreis,2012,4.4
01054,Nordfriesland,Landkreis,2013,4.7
01054,Nordfriesland,Landkreis,2014,5.3
01054,Nordfriesland,Landkreis,2015,5.9
01054,Nordfriesland,Landkreis,2016,6.2
01054,Nordfriesland,Landkreis,2017,6.7
01055,Ostholstein,Landkreis,2012,5.6
01055,Ostholstein,Landkreis,2013,5.9
01055,Ostholstein,Landkreis,2014,6.1
01055,Ostholstein,Landkreis,2015,6.6
01055,Ostholstein,Landkreis,2016,7.3
01055,Ostholstein,Landkreis,2017,7.9
01056,Pinneberg,Landkreis,2012,5
01056,Pinneberg,Landkreis,2013,5.1
01056,Pinneberg,Landkreis,2014,5.4
01056,Pinneberg,Landkreis,2015,5.8
01056,Pinneberg,Landkreis,2016,6.3
01056,Pinneberg,Landkreis,2017,6.7
01057,Plön,Landkreis,2012,4.8
01057,Plön,Landkreis,2013,4.9
01057,Plön,Landkreis,2014,5.1
01057,Plön,Landkreis,2015,5.6
01057,Plön,Landkreis,2016,5.9
01057,Plön,Landkreis,2017,6.6
01058,Rendsburg-Eckernförde,Landkreis,2012,4.4
01058,Rendsburg-Eckernförde,Landkreis,2013,4.5
01058,Rendsburg-Eckernförde,Landkreis,2014,4.8
01058,Rendsburg-Eckernförde,Landkreis,2015,5.2
01058,Rendsburg-Eckernförde,Landkreis,2016,5.6
01058,Rendsburg-Eckernförde,Landkreis,2017,6.1
01059,Schleswig-Flensburg,Landkreis,2012,4.1
01059,Schleswig-Flensburg,Landkreis,2013,4.2
01059,Schleswig-Flensburg,Landkreis,2014,4.5
01059,Schleswig-Flensburg,Landkreis,2015,4.9
01059,Schleswig-Flensburg,Landkreis,2016,5.3
01059,Schleswig-Flensburg,Landkreis,2017,5.6
01060,Segeberg,Landkreis,2012,4.6
01060,Segeberg,Landkreis,2013,4.7
01060,Segeberg,Landkreis,2014,4.9
01060,Segeberg,Landkreis,2015,5.3
01060,Segeberg,Landkreis,2016,5.5
01060,Segeberg,Landkreis,2017,6
01061,Steinburg,Landkreis,2012,4.4
01061,Steinburg,Landkreis,2013,4.4
01061,Steinburg,Landkreis,2014,4.4
01061,Steinburg,Landkreis,2015,4.6
01061,Steinburg,Landkreis,2016,5
01061,Steinburg,Landkreis,2017,5.5
01062,Stormarn,Landkreis,2012,4.8
01062,Stormarn,Landkreis,2013,4.9
01062,Stormarn,Landkreis,2014,5.1
01062,Stormarn,Landkreis,2015,5.5
01062,Stormarn,Landkreis,2016,5.7
01062,Stormarn,Landkreis,2017,6.2
02000,"Hamburg, Stadt",krsfr. Stadt,2012,7.8
02000,"Hamburg, Stadt",krsfr. Stadt,2013,7.7
02000,"Hamburg, Stadt",krsfr. Stadt,2014,8.3
02000,"Hamburg, Stadt",krsfr. Stadt,2015,9
02000,"Hamburg, Stadt",krsfr. Stadt,2016,9.4
02000,"Hamburg, Stadt",krsfr. Stadt,2017,10
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,6.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,6
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,6.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,6.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,7.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,7.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,3.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,3.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,4.2
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,5.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,5.1
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,5.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,3.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,3.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,4.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,3.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,4.2
03151,Gifhorn,Landkreis,2012,3.6
03151,Gifhorn,Landkreis,2013,3.6
03151,Gifhorn,Landkreis,2014,3.9
03151,Gifhorn,Landkreis,2015,4.2
03151,Gifhorn,Landkreis,2016,3.9
03151,Gifhorn,Landkreis,2017,4.1
03153,Goslar,Landkreis,2012,4.5
03153,Goslar,Landkreis,2013,4.4
03153,Goslar,Landkreis,2014,4.6
03153,Goslar,Landkreis,2015,5.2
03153,Goslar,Landkreis,2016,5.6
03153,Goslar,Landkreis,2017,6.1
03154,Helmstedt,Landkreis,2012,3.4
03154,Helmstedt,Landkreis,2013,3.5
03154,Helmstedt,Landkreis,2014,3.8
03154,Helmstedt,Landkreis,2015,4.1
03154,Helmstedt,Landkreis,2016,3.9
03154,Helmstedt,Landkreis,2017,4.3
03155,Northeim,Landkreis,2012,4
03155,Northeim,Landkreis,2013,4.2
03155,Northeim,Landkreis,2014,4.4
03155,Northeim,Landkreis,2015,4.8
03155,Northeim,Landkreis,2016,5.1
03155,Northeim,Landkreis,2017,5.5
03157,Peine,Landkreis,2012,3.8
03157,Peine,Landkreis,2013,3.8
03157,Peine,Landkreis,2014,4
03157,Peine,Landkreis,2015,4.6
03157,Peine,Landkreis,2016,4.7
03157,Peine,Landkreis,2017,5.2
03158,Wolfenbüttel,Landkreis,2012,3.9
03158,Wolfenbüttel,Landkreis,2013,3.8
03158,Wolfenbüttel,Landkreis,2014,4
03158,Wolfenbüttel,Landkreis,2015,4.5
03158,Wolfenbüttel,Landkreis,2016,4.5
03158,Wolfenbüttel,Landkreis,2017,5
03159,Göttingen,Landkreis,2012,6.8
03159,Göttingen,Landkreis,2013,6.6
03159,Göttingen,Landkreis,2014,6.9
03159,Göttingen,Landkreis,2015,7.2
03159,Göttingen,Landkreis,2016,7.9
03159,Göttingen,Landkreis,2017,8.2
03241,Region Hannover,Landkreis,2012,6.4
03241,Region Hannover,Landkreis,2013,6.2
03241,Region Hannover,Landkreis,2014,6.6
03241,Region Hannover,Landkreis,2015,6.9
03241,Region Hannover,Landkreis,2016,7.4
03241,Region Hannover,Landkreis,2017,8
03251,Diepholz,Landkreis,2012,4
03251,Diepholz,Landkreis,2013,4.1
03251,Diepholz,Landkreis,2014,4.3
03251,Diepholz,Landkreis,2015,4.7
03251,Diepholz,Landkreis,2016,5
03251,Diepholz,Landkreis,2017,5.3
03252,Hameln-Pyrmont,Landkreis,2012,4.9
03252,Hameln-Pyrmont,Landkreis,2013,5
03252,Hameln-Pyrmont,Landkreis,2014,5.3
03252,Hameln-Pyrmont,Landkreis,2015,5.7
03252,Hameln-Pyrmont,Landkreis,2016,6.1
03252,Hameln-Pyrmont,Landkreis,2017,6.6
