Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2012,23.3
01001,"Flensburg, Stadt",krsfr. Stadt,2013,23
01001,"Flensburg, Stadt",krsfr. Stadt,2014,23.7
01001,"Flensburg, Stadt",krsfr. Stadt,2015,24.7
01001,"Flensburg, Stadt",krsfr. Stadt,2016,25.5
01001,"Flensburg, Stadt",krsfr. Stadt,2017,26.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,20.9
01002,"Kiel, Stadt",krsfr. Stadt,2013,20.6
01002,"Kiel, Stadt",krsfr. Stadt,2014,21.5
01002,"Kiel, Stadt",krsfr. Stadt,2015,22.3
01002,"Kiel, Stadt",krsfr. Stadt,2016,23.3
01002,"Kiel, Stadt",krsfr. Stadt,2017,24.1
01003,"Lübeck, Stadt",krsfr. Stadt,2012,21.8
01003,"Lübeck, Stadt",krsfr. Stadt,2013,21.7
01003,"Lübeck, Stadt",krsfr. Stadt,2014,22.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,23.8
01003,"Lübeck, Stadt",krsfr. Stadt,2016,24.8
01003,"Lübeck, Stadt",krsfr. Stadt,2017,26
01004,"Neumünster, Stadt",krsfr. Stadt,2012,22.8
01004,"Neumünster, Stadt",krsfr. Stadt,2013,22.6
01004,"Neumünster, Stadt",krsfr. Stadt,2014,23.4
01004,"Neumünster, Stadt",krsfr. Stadt,2015,24.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,25.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,26.7
01051,Dithmarschen,Landkreis,2012,21.2
01051,Dithmarschen,Landkreis,2013,21.8
01051,Dithmarschen,Landkreis,2014,22.8
01051,Dithmarschen,Landkreis,2015,24.1
01051,Dithmarschen,Landkreis,2016,24.9
01051,Dithmarschen,Landkreis,2017,26.6
01053,Herzogtum Lauenburg,Landkreis,2012,24.7
01053,Herzogtum Lauenburg,Landkreis,2013,24.9
01053,Herzogtum Lauenburg,Landkreis,2014,25.8
01053,Herzogtum Lauenburg,Landkreis,2015,26.9
01053,Herzogtum Lauenburg,Landkreis,2016,27.4
01053,Herzogtum Lauenburg,Landkreis,2017,28.5
