Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,73.6
01001,"Flensburg, Stadt",krsfr. Stadt,2001,75.4
01001,"Flensburg, Stadt",krsfr. Stadt,2002,75.3
01001,"Flensburg, Stadt",krsfr. Stadt,2003,77
01001,"Flensburg, Stadt",krsfr. Stadt,2004,78.2
01001,"Flensburg, Stadt",krsfr. Stadt,2005,80.7
01001,"Flensburg, Stadt",krsfr. Stadt,2006,78
01001,"Flensburg, Stadt",krsfr. Stadt,2007,80.3
01001,"Flensburg, Stadt",krsfr. Stadt,2008,82.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,81.8
01001,"Flensburg, Stadt",krsfr. Stadt,2010,80.9
01001,"Flensburg, Stadt",krsfr. Stadt,2011,83.5
01001,"Flensburg, Stadt",krsfr. Stadt,2012,83.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,79.1
01001,"Flensburg, Stadt",krsfr. Stadt,2014,78.3
01001,"Flensburg, Stadt",krsfr. Stadt,2015,77.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,74.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,74.2
01002,"Kiel, Stadt",krsfr. Stadt,2000,65.2
01002,"Kiel, Stadt",krsfr. Stadt,2001,67.3
01002,"Kiel, Stadt",krsfr. Stadt,2002,68.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,69.8
01002,"Kiel, Stadt",krsfr. Stadt,2004,71.7
01002,"Kiel, Stadt",krsfr. Stadt,2005,72.4
01002,"Kiel, Stadt",krsfr. Stadt,2006,72.2
01002,"Kiel, Stadt",krsfr. Stadt,2007,72.6
01002,"Kiel, Stadt",krsfr. Stadt,2008,73.7
01002,"Kiel, Stadt",krsfr. Stadt,2009,73
01002,"Kiel, Stadt",krsfr. Stadt,2010,73.1
01002,"Kiel, Stadt",krsfr. Stadt,2011,74.5
01002,"Kiel, Stadt",krsfr. Stadt,2012,75.8
01002,"Kiel, Stadt",krsfr. Stadt,2013,73.1
01002,"Kiel, Stadt",krsfr. Stadt,2014,71
01002,"Kiel, Stadt",krsfr. Stadt,2015,70.2
01002,"Kiel, Stadt",krsfr. Stadt,2016,67.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,65.5
01003,"Lübeck, Stadt",krsfr. Stadt,2000,83.5
01003,"Lübeck, Stadt",krsfr. Stadt,2001,84.9
01003,"Lübeck, Stadt",krsfr. Stadt,2002,86.5
01003,"Lübeck, Stadt",krsfr. Stadt,2003,87.3
01003,"Lübeck, Stadt",krsfr. Stadt,2004,90.7
01003,"Lübeck, Stadt",krsfr. Stadt,2005,94.4
01003,"Lübeck, Stadt",krsfr. Stadt,2006,92.1
01003,"Lübeck, Stadt",krsfr. Stadt,2007,91
01003,"Lübeck, Stadt",krsfr. Stadt,2008,89.9
01003,"Lübeck, Stadt",krsfr. Stadt,2009,89.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,88.1
01003,"Lübeck, Stadt",krsfr. Stadt,2011,89
01003,"Lübeck, Stadt",krsfr. Stadt,2012,88.3
01003,"Lübeck, Stadt",krsfr. Stadt,2013,88.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,90.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,89.2
01003,"Lübeck, Stadt",krsfr. Stadt,2016,85.9
01003,"Lübeck, Stadt",krsfr. Stadt,2017,84.4
01004,"Neumünster, Stadt",krsfr. Stadt,2000,82.5
01004,"Neumünster, Stadt",krsfr. Stadt,2001,83.2
01004,"Neumünster, Stadt",krsfr. Stadt,2002,84.3
01004,"Neumünster, Stadt",krsfr. Stadt,2003,86.3
01004,"Neumünster, Stadt",krsfr. Stadt,2004,87.6
01004,"Neumünster, Stadt",krsfr. Stadt,2005,92.1
01004,"Neumünster, Stadt",krsfr. Stadt,2006,91.2
01004,"Neumünster, Stadt",krsfr. Stadt,2007,89.5
01004,"Neumünster, Stadt",krsfr. Stadt,2008,87.8
01004,"Neumünster, Stadt",krsfr. Stadt,2009,85.6
01004,"Neumünster, Stadt",krsfr. Stadt,2010,84.8
01004,"Neumünster, Stadt",krsfr. Stadt,2011,86.4
01004,"Neumünster, Stadt",krsfr. Stadt,2012,88
01004,"Neumünster, Stadt",krsfr. Stadt,2013,85.4
01004,"Neumünster, Stadt",krsfr. Stadt,2014,81.8
01004,"Neumünster, Stadt",krsfr. Stadt,2015,81.7
01004,"Neumünster, Stadt",krsfr. Stadt,2016,78.8
01004,"Neumünster, Stadt",krsfr. Stadt,2017,76.8
01051,Dithmarschen,Landkreis,2000,133
01051,Dithmarschen,Landkreis,2001,135.2
01051,Dithmarschen,Landkreis,2002,138.2
01051,Dithmarschen,Landkreis,2003,143.6
01051,Dithmarschen,Landkreis,2004,144.9
01051,Dithmarschen,Landkreis,2005,147.5
01051,Dithmarschen,Landkreis,2006,148.4
01051,Dithmarschen,Landkreis,2007,149.4
01051,Dithmarschen,Landkreis,2008,148.6
01051,Dithmarschen,Landkreis,2009,146.6
01051,Dithmarschen,Landkreis,2010,150
01051,Dithmarschen,Landkreis,2011,152.6
01051,Dithmarschen,Landkreis,2012,151
01051,Dithmarschen,Landkreis,2013,142.6
01051,Dithmarschen,Landkreis,2014,138.1
01051,Dithmarschen,Landkreis,2015,134.3
01051,Dithmarschen,Landkreis,2016,130.4
01051,Dithmarschen,Landkreis,2017,126
01053,Herzogtum Lauenburg,Landkreis,2000,129.3
01053,Herzogtum Lauenburg,Landkreis,2001,131.5
01053,Herzogtum Lauenburg,Landkreis,2002,132.5
01053,Herzogtum Lauenburg,Landkreis,2003,133.8
01053,Herzogtum Lauenburg,Landkreis,2004,136
01053,Herzogtum Lauenburg,Landkreis,2005,142
01053,Herzogtum Lauenburg,Landkreis,2006,141.3
01053,Herzogtum Lauenburg,Landkreis,2007,142.1
01053,Herzogtum Lauenburg,Landkreis,2008,143.4
01053,Herzogtum Lauenburg,Landkreis,2009,142.5
01053,Herzogtum Lauenburg,Landkreis,2010,142.7
01053,Herzogtum Lauenburg,Landkreis,2011,144.9
01053,Herzogtum Lauenburg,Landkreis,2012,146.4
01053,Herzogtum Lauenburg,Landkreis,2013,139.8
01053,Herzogtum Lauenburg,Landkreis,2014,139.2
01053,Herzogtum Lauenburg,Landkreis,2015,139.7
01053,Herzogtum Lauenburg,Landkreis,2016,136.5
01053,Herzogtum Lauenburg,Landkreis,2017,132.9
01054,Nordfriesland,Landkreis,2000,161
01054,Nordfriesland,Landkreis,2001,162.2
01054,Nordfriesland,Landkreis,2002,163.2
01054,Nordfriesland,Landkreis,2003,161.6
01054,Nordfriesland,Landkreis,2004,162.5
01054,Nordfriesland,Landkreis,2005,167
01054,Nordfriesland,Landkreis,2006,165.8
01054,Nordfriesland,Landkreis,2007,168.2
01054,Nordfriesland,Landkreis,2008,165.9
01054,Nordfriesland,Landkreis,2009,158.9
01054,Nordfriesland,Landkreis,2010,160
01054,Nordfriesland,Landkreis,2011,164.4
01054,Nordfriesland,Landkreis,2012,162.5
01054,Nordfriesland,Landkreis,2013,157.6
01054,Nordfriesland,Landkreis,2014,152
01054,Nordfriesland,Landkreis,2015,146.9
01054,Nordfriesland,Landkreis,2016,143.5
01054,Nordfriesland,Landkreis,2017,141.4
01055,Ostholstein,Landkreis,2000,138.9
01055,Ostholstein,Landkreis,2001,141.8
01055,Ostholstein,Landkreis,2002,141.6
01055,Ostholstein,Landkreis,2003,141.6
01055,Ostholstein,Landkreis,2004,143.3
01055,Ostholstein,Landkreis,2005,147.7
01055,Ostholstein,Landkreis,2006,147.7
01055,Ostholstein,Landkreis,2007,148.9
01055,Ostholstein,Landkreis,2008,150.6
01055,Ostholstein,Landkreis,2009,148
01055,Ostholstein,Landkreis,2010,148.2
01055,Ostholstein,Landkreis,2011,150.2
01055,Ostholstein,Landkreis,2012,149.2
01055,Ostholstein,Landkreis,2013,144.2
01055,Ostholstein,Landkreis,2014,139.5
01055,Ostholstein,Landkreis,2015,136.2
01055,Ostholstein,Landkreis,2016,133.3
01055,Ostholstein,Landkreis,2017,129.6
01056,Pinneberg,Landkreis,2000,116
01056,Pinneberg,Landkreis,2001,117.4
01056,Pinneberg,Landkreis,2002,120.3
01056,Pinneberg,Landkreis,2003,122.4
01056,Pinneberg,Landkreis,2004,123.9
01056,Pinneberg,Landkreis,2005,129.3
01056,Pinneberg,Landkreis,2006,130
01056,Pinneberg,Landkreis,2007,130.4
01056,Pinneberg,Landkreis,2008,130.7
01056,Pinneberg,Landkreis,2009,129.9
01056,Pinneberg,Landkreis,2010,130.3
01056,Pinneberg,Landkreis,2011,132.5
01056,Pinneberg,Landkreis,2012,133.1
01056,Pinneberg,Landkreis,2013,130.2
01056,Pinneberg,Landkreis,2014,129
01056,Pinneberg,Landkreis,2015,127.6
01056,Pinneberg,Landkreis,2016,124.3
01056,Pinneberg,Landkreis,2017,121.8
01057,Plön,Landkreis,2000,138.1
01057,Plön,Landkreis,2001,143.1
01057,Plön,Landkreis,2002,146.8
01057,Plön,Landkreis,2003,148.3
01057,Plön,Landkreis,2004,148.9
01057,Plön,Landkreis,2005,150.1
01057,Plön,Landkreis,2006,152.4
01057,Plön,Landkreis,2007,151.3
01057,Plön,Landkreis,2008,152.6
01057,Plön,Landkreis,2009,151.1
01057,Plön,Landkreis,2010,154.5
01057,Plön,Landkreis,2011,160.8
01057,Plön,Landkreis,2012,162
01057,Plön,Landkreis,2013,156.4
01057,Plön,Landkreis,2014,153.9
01057,Plön,Landkreis,2015,152.4
01057,Plön,Landkreis,2016,148.2
01057,Plön,Landkreis,2017,143.4
01058,Rendsburg-Eckernförde,Landkreis,2000,122.2
01058,Rendsburg-Eckernförde,Landkreis,2001,121.9
01058,Rendsburg-Eckernförde,Landkreis,2002,122.9
01058,Rendsburg-Eckernförde,Landkreis,2003,126.3
01058,Rendsburg-Eckernförde,Landkreis,2004,129.1
01058,Rendsburg-Eckernförde,Landkreis,2005,131
01058,Rendsburg-Eckernförde,Landkreis,2006,129.3
01058,Rendsburg-Eckernförde,Landkreis,2007,130.3
01058,Rendsburg-Eckernförde,Landkreis,2008,130.3
01058,Rendsburg-Eckernförde,Landkreis,2009,129.6
01058,Rendsburg-Eckernförde,Landkreis,2010,132.4
01058,Rendsburg-Eckernförde,Landkreis,2011,136.9
01058,Rendsburg-Eckernförde,Landkreis,2012,134.7
01058,Rendsburg-Eckernförde,Landkreis,2013,129
01058,Rendsburg-Eckernförde,Landkreis,2014,127
01058,Rendsburg-Eckernförde,Landkreis,2015,124.9
01058,Rendsburg-Eckernförde,Landkreis,2016,122.4
01058,Rendsburg-Eckernförde,Landkreis,2017,119.2
01059,Schleswig-Flensburg,Landkreis,2000,145.4
01059,Schleswig-Flensburg,Landkreis,2001,149.2
01059,Schleswig-Flensburg,Landkreis,2002,150.8
01059,Schleswig-Flensburg,Landkreis,2003,151.3
