Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,97.5
01001,"Flensburg, Stadt",krsfr. Stadt,1996,91.5
01001,"Flensburg, Stadt",krsfr. Stadt,1997,84.9
01001,"Flensburg, Stadt",krsfr. Stadt,1998,79.6
01001,"Flensburg, Stadt",krsfr. Stadt,1999,76.5
01001,"Flensburg, Stadt",krsfr. Stadt,2000,72.8
01001,"Flensburg, Stadt",krsfr. Stadt,2001,71.4
01001,"Flensburg, Stadt",krsfr. Stadt,2002,75.5
01001,"Flensburg, Stadt",krsfr. Stadt,2003,79.1
01001,"Flensburg, Stadt",krsfr. Stadt,2004,90.5
01001,"Flensburg, Stadt",krsfr. Stadt,2005,100.7
01001,"Flensburg, Stadt",krsfr. Stadt,2006,107
01001,"Flensburg, Stadt",krsfr. Stadt,2007,107.5
01001,"Flensburg, Stadt",krsfr. Stadt,2008,104.8
01001,"Flensburg, Stadt",krsfr. Stadt,2009,99.5
01001,"Flensburg, Stadt",krsfr. Stadt,2010,91.8
01001,"Flensburg, Stadt",krsfr. Stadt,2011,85.9
01001,"Flensburg, Stadt",krsfr. Stadt,2012,87.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,88.7
01001,"Flensburg, Stadt",krsfr. Stadt,2014,87.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,90.8
01001,"Flensburg, Stadt",krsfr. Stadt,2016,89.8
01001,"Flensburg, Stadt",krsfr. Stadt,2017,85.6
01002,"Kiel, Stadt",krsfr. Stadt,1995,89
01002,"Kiel, Stadt",krsfr. Stadt,1996,82.4
01002,"Kiel, Stadt",krsfr. Stadt,1997,77.4
01002,"Kiel, Stadt",krsfr. Stadt,1998,70.5
01002,"Kiel, Stadt",krsfr. Stadt,1999,67.8
01002,"Kiel, Stadt",krsfr. Stadt,2000,65.3
01002,"Kiel, Stadt",krsfr. Stadt,2001,64.2
01002,"Kiel, Stadt",krsfr. Stadt,2002,66.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,70.5
01002,"Kiel, Stadt",krsfr. Stadt,2004,76.8
01002,"Kiel, Stadt",krsfr. Stadt,2005,86.7
01002,"Kiel, Stadt",krsfr. Stadt,2006,95.2
01002,"Kiel, Stadt",krsfr. Stadt,2007,98
01002,"Kiel, Stadt",krsfr. Stadt,2008,96.7
01002,"Kiel, Stadt",krsfr. Stadt,2009,94.7
01002,"Kiel, Stadt",krsfr. Stadt,2010,87.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,86.9
01002,"Kiel, Stadt",krsfr. Stadt,2012,84.6
01002,"Kiel, Stadt",krsfr. Stadt,2013,85.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,84.5
01002,"Kiel, Stadt",krsfr. Stadt,2015,87.1
01002,"Kiel, Stadt",krsfr. Stadt,2016,86.7
01002,"Kiel, Stadt",krsfr. Stadt,2017,75.2
01003,"Lübeck, Stadt",krsfr. Stadt,1995,81.6
01003,"Lübeck, Stadt",krsfr. Stadt,1996,74.5
01003,"Lübeck, Stadt",krsfr. Stadt,1997,71.3
01003,"Lübeck, Stadt",krsfr. Stadt,1998,66.5
01003,"Lübeck, Stadt",krsfr. Stadt,1999,64.7
01003,"Lübeck, Stadt",krsfr. Stadt,2000,62
01003,"Lübeck, Stadt",krsfr. Stadt,2001,61.8
01003,"Lübeck, Stadt",krsfr. Stadt,2002,63.8
01003,"Lübeck, Stadt",krsfr. Stadt,2003,68.4
01003,"Lübeck, Stadt",krsfr. Stadt,2004,73.8
01003,"Lübeck, Stadt",krsfr. Stadt,2005,83.8
01003,"Lübeck, Stadt",krsfr. Stadt,2006,90.4
01003,"Lübeck, Stadt",krsfr. Stadt,2007,93.1
01003,"Lübeck, Stadt",krsfr. Stadt,2008,92.8
01003,"Lübeck, Stadt",krsfr. Stadt,2009,91.6
01003,"Lübeck, Stadt",krsfr. Stadt,2010,84.9
01003,"Lübeck, Stadt",krsfr. Stadt,2011,80.1
01003,"Lübeck, Stadt",krsfr. Stadt,2012,79.7
01003,"Lübeck, Stadt",krsfr. Stadt,2013,80.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,80.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,82.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,81.2
01003,"Lübeck, Stadt",krsfr. Stadt,2017,75.5
01004,"Neumünster, Stadt",krsfr. Stadt,1995,95.9
01004,"Neumünster, Stadt",krsfr. Stadt,1996,90.5
01004,"Neumünster, Stadt",krsfr. Stadt,1997,83.9
01004,"Neumünster, Stadt",krsfr. Stadt,1998,75.8
01004,"Neumünster, Stadt",krsfr. Stadt,1999,72.5
01004,"Neumünster, Stadt",krsfr. Stadt,2000,70
01004,"Neumünster, Stadt",krsfr. Stadt,2001,67.5
01004,"Neumünster, Stadt",krsfr. Stadt,2002,71.4
01004,"Neumünster, Stadt",krsfr. Stadt,2003,78.2
01004,"Neumünster, Stadt",krsfr. Stadt,2004,86.2
01004,"Neumünster, Stadt",krsfr. Stadt,2005,99.1
01004,"Neumünster, Stadt",krsfr. Stadt,2006,111.6
01004,"Neumünster, Stadt",krsfr. Stadt,2007,114.4
01004,"Neumünster, Stadt",krsfr. Stadt,2008,117.5
01004,"Neumünster, Stadt",krsfr. Stadt,2009,111
01004,"Neumünster, Stadt",krsfr. Stadt,2010,101.3
01004,"Neumünster, Stadt",krsfr. Stadt,2011,91.2
01004,"Neumünster, Stadt",krsfr. Stadt,2012,88.9
01004,"Neumünster, Stadt",krsfr. Stadt,2013,87.4
01004,"Neumünster, Stadt",krsfr. Stadt,2014,90.8
01004,"Neumünster, Stadt",krsfr. Stadt,2015,97.9
01004,"Neumünster, Stadt",krsfr. Stadt,2016,96.1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,84.2
01051,Dithmarschen,Landkreis,1995,93.1
01051,Dithmarschen,Landkreis,1996,89.3
01051,Dithmarschen,Landkreis,1997,84.7
01051,Dithmarschen,Landkreis,1998,79.2
01051,Dithmarschen,Landkreis,1999,76.1
01051,Dithmarschen,Landkreis,2000,73
01051,Dithmarschen,Landkreis,2001,73.6
01051,Dithmarschen,Landkreis,2002,76.4
01051,Dithmarschen,Landkreis,2003,81.5
01051,Dithmarschen,Landkreis,2004,88.4
01051,Dithmarschen,Landkreis,2005,101.5
01051,Dithmarschen,Landkreis,2006,107.4
01051,Dithmarschen,Landkreis,2007,108.7
01051,Dithmarschen,Landkreis,2008,107.9
01051,Dithmarschen,Landkreis,2009,104.2
01051,Dithmarschen,Landkreis,2010,95.2
01051,Dithmarschen,Landkreis,2011,91.6
01051,Dithmarschen,Landkreis,2012,90.1
01051,Dithmarschen,Landkreis,2013,89.3
01051,Dithmarschen,Landkreis,2014,89.3
01051,Dithmarschen,Landkreis,2015,87.5
01051,Dithmarschen,Landkreis,2016,84
01051,Dithmarschen,Landkreis,2017,77.7
01053,Herzogtum Lauenburg,Landkreis,1995,87.1
01053,Herzogtum Lauenburg,Landkreis,1996,83.2
01053,Herzogtum Lauenburg,Landkreis,1997,77.5
01053,Herzogtum Lauenburg,Landkreis,1998,71.7
01053,Herzogtum Lauenburg,Landkreis,1999,69.9
