Kennziffer;Raumeinheit;Aggregat;Anteil Siedlungs- und Verkehrsfläche;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte;Siedlungsdichte;Anteil Erholungsfläche;Anteil Erholungsfläche;Erholungsfläche je Einwohner;Erholungsfläche je Einwohner;Anteil Freifläche;Anteil Freifläche;Freifläche je Einwohner;Freifläche je Einwohner;Anteil Landwirtschaftsfläche;Anteil Landwirtschaftsfläche;Anteil naturnähere Fläche;Anteil naturnähere Fläche;Naturnähere Fläche je Einwohner;Naturnähere Fläche je Einwohner;Anteil Waldfläche;Anteil Waldfläche;Waldfläche je Einwohner;Waldfläche je Einwohner;Anteil Wasserfläche;Anteil Wasserfläche;Wasserfläche je Einwohner;Wasserfläche je Einwohner
;;;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"52,4";"52,6";"2.941,9";"2.965,5";"3,7";"3,8";"24,1";"24,4";"52,0";"51,9";"337,6";"332,4";"23,6";"23,3";"15,0";"14,9";"97,2";"95,7";"6,3";"6,4";"41,2";"40,9";"14,5";"14,4";"93,8";"92,4"
"01002";"Kiel, Stadt";"krsfr. Stadt";"54,2";"54,4";"3.845,2";"3.844,7";"6,0";"6,0";"28,5";"28,7";"52,3";"52,3";"251,0";"250,1";"29,3";"29,2";"5,1";"5,0";"24,4";"24,2";"5,8";"5,8";"27,8";"27,7";"9,2";"9,2";"44,1";"44,0"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"36,9";"37,1";"2.743,5";"2.718,6";"5,6";"5,7";"55,6";"56,8";"69,1";"69,0";"683,3";"683,1";"31,3";"31,0";"16,7";"16,8";"165,3";"166,2";"15,4";"15,4";"152,1";"152,6";"13,6";"13,6";"134,5";"134,8"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"50,5";"50,7";"2.201,7";"2.184,3";"5,3";"5,3";"47,7";"48,2";"55,5";"55,3";"499,0";"499,8";"39,3";"39,0";"5,9";"6,0";"53,1";"54,1";"4,4";"4,5";"39,8";"40,5";"2,6";"2,6";"23,2";"23,3"
"01051";"Dithmarschen";"Landkreis";"11,0";"11,1";"849,7";"844,5";"0,5";"0,5";"58,4";"58,6";"89,6";"89,5";"9.581,6";"9.583,7";"75,7";"75,6";"9,5";"9,5";"1.015,7";"1.017,0";"3,7";"3,8";"399,7";"402,7";"4,7";"4,7";"506,4";"507,5"
"01053";"Herzogtum Lauenburg";"Landkreis";"11,5";"11,5";"1.344,7";"1.344,4";"0,9";"0,9";"58,9";"59,8";"89,5";"89,5";"5.795,5";"5.762,8";"57,3";"57,2";"5,1";"5,0";"328,2";"325,0";"25,9";"26,0";"1.676,9";"1.673,3";"4,1";"4,1";"266,4";"265,0"
"01054";"Nordfriesland";"Landkreis";"10,6";"10,7";"745,6";"740,7";"0,7";"0,8";"89,4";"97,5";"90,1";"90,1";"11.386,6";"11.345,4";"76,2";"76,1";"9,1";"9,1";"1.149,0";"1.145,4";"4,2";"4,2";"530,7";"528,9";"4,0";"4,0";"509,1";"507,2"
"01055";"Ostholstein";"Landkreis";"11,8";"11,9";"1.218,7";"1.208,1";"1,6";"1,6";"111,2";"113,7";"89,8";"89,8";"6.232,2";"6.235,5";"71,8";"71,7";"6,2";"6,2";"431,8";"432,8";"10,1";"10,1";"703,4";"704,6";"4,1";"4,1";"281,4";"281,8"
"01056";"Pinneberg";"Landkreis";"21,6";"21,7";"2.169,5";"2.171,7";"2,3";"2,3";"49,3";"48,7";"80,9";"80,8";"1.730,4";"1.716,5";"61,4";"61,2";"9,7";"9,7";"208,1";"206,0";"8,7";"8,8";"186,3";"187,2";"5,7";"5,7";"122,0";"120,4"
