Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3.8
01002,"Kiel, Stadt",krsfr. Stadt,2016,6
01002,"Kiel, Stadt",krsfr. Stadt,2017,6
01003,"Lübeck, Stadt",krsfr. Stadt,2016,5.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,5.7
01004,"Neumünster, Stadt",krsfr. Stadt,2016,5.3
01004,"Neumünster, Stadt",krsfr. Stadt,2017,5.3
01051,Dithmarschen,Landkreis,2016,0.5
01051,Dithmarschen,Landkreis,2017,0.5
01053,Herzogtum Lauenburg,Landkreis,2016,0.9
01053,Herzogtum Lauenburg,Landkreis,2017,0.9
01054,Nordfriesland,Landkreis,2016,0.7
01054,Nordfriesland,Landkreis,2017,0.8
01055,Ostholstein,Landkreis,2016,1.6
01055,Ostholstein,Landkreis,2017,1.6
01056,Pinneberg,Landkreis,2016,2.3
01056,Pinneberg,Landkreis,2017,2.3
01057,Plön,Landkreis,2016,1.2
01057,Plön,Landkreis,2017,1.2
01058,Rendsburg-Eckernförde,Landkreis,2016,1
01058,Rendsburg-Eckernförde,Landkreis,2017,1
01059,Schleswig-Flensburg,Landkreis,2016,0.6
01059,Schleswig-Flensburg,Landkreis,2017,0.6
01060,Segeberg,Landkreis,2016,1.2
01060,Segeberg,Landkreis,2017,1.2
01061,Steinburg,Landkreis,2016,0.7
01061,Steinburg,Landkreis,2017,0.7
01062,Stormarn,Landkreis,2016,1.7
01062,Stormarn,Landkreis,2017,1.8
02000,"Hamburg, Stadt",krsfr. Stadt,2016,8.4
02000,"Hamburg, Stadt",krsfr. Stadt,2017,8.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,7.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,7.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,3.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,3.2
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,4.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,4.6
03151,Gifhorn,Landkreis,2016,0.9
03151,Gifhorn,Landkreis,2017,0.9
03153,Goslar,Landkreis,2016,1.1
03153,Goslar,Landkreis,2017,1
03154,Helmstedt,Landkreis,2016,0.9
03154,Helmstedt,Landkreis,2017,0.9
03155,Northeim,Landkreis,2016,0.9
03155,Northeim,Landkreis,2017,0.9
03157,Peine,Landkreis,2016,1.6
03157,Peine,Landkreis,2017,1.6
03158,Wolfenbüttel,Landkreis,2016,1.2
03158,Wolfenbüttel,Landkreis,2017,1.2
03159,Göttingen,Landkreis,2016,1.3
03159,Göttingen,Landkreis,2017,1.3
03241,Region Hannover,Landkreis,2016,2.9
03241,Region Hannover,Landkreis,2017,2.8
03251,Diepholz,Landkreis,2016,0.7
03251,Diepholz,Landkreis,2017,0.7
03252,Hameln-Pyrmont,Landkreis,2016,1.5
03252,Hameln-Pyrmont,Landkreis,2017,1.5
03254,Hildesheim,Landkreis,2016,1.6
03254,Hildesheim,Landkreis,2017,1.5
03255,Holzminden,Landkreis,2016,1.1
03255,Holzminden,Landkreis,2017,1
03256,Nienburg (Weser),Landkreis,2016,0.6
03256,Nienburg (Weser),Landkreis,2017,0.6
03257,Schaumburg,Landkreis,2016,1.2
03257,Schaumburg,Landkreis,2017,1.2
03351,Celle,Landkreis,2016,1
03351,Celle,Landkreis,2017,1
03352,Cuxhaven,Landkreis,2016,0.8
03352,Cuxhaven,Landkreis,2017,0.8
03353,Harburg,Landkreis,2016,1.4
03353,Harburg,Landkreis,2017,1.4
03354,Lüchow-Dannenberg,Landkreis,2016,0.3
03354,Lüchow-Dannenberg,Landkreis,2017,0.3
03355,Lüneburg,Landkreis,2016,1.1
03355,Lüneburg,Landkreis,2017,1.1
03356,Osterholz,Landkreis,2016,1
03356,Osterholz,Landkreis,2017,1
03357,Rotenburg (Wümme),Landkreis,2016,0.7
03357,Rotenburg (Wümme),Landkreis,2017,0.7
03358,Heidekreis,Landkreis,2016,0.9
03358,Heidekreis,Landkreis,2017,1
03359,Stade,Landkreis,2016,0.7
03359,Stade,Landkreis,2017,0.7
03360,Uelzen,Landkreis,2016,0.6
03360,Uelzen,Landkreis,2017,0.6
03361,Verden,Landkreis,2016,1.1
03361,Verden,Landkreis,2017,1.1
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,3.2
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,3.3
03402,"Emden, Stadt",krsfr. Stadt,2016,1.9
03402,"Emden, Stadt",krsfr. Stadt,2017,2.3
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,5.8
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,5.7
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,4.5
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,4.5
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,4.8
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,4.7
03451,Ammerland,Landkreis,2016,1.3
03451,Ammerland,Landkreis,2017,1.4
03452,Aurich,Landkreis,2016,1.1
03452,Aurich,Landkreis,2017,1.1
03453,Cloppenburg,Landkreis,2016,1
03453,Cloppenburg,Landkreis,2017,1
03454,Emsland,Landkreis,2016,0.7
03454,Emsland,Landkreis,2017,0.8
03455,Friesland,Landkreis,2016,1.3
03455,Friesland,Landkreis,2017,1.3
03456,Grafschaft Bentheim,Landkreis,2016,1
03456,Grafschaft Bentheim,Landkreis,2017,1
03457,Leer,Landkreis,2016,0.6
03457,Leer,Landkreis,2017,0.6
03458,Oldenburg,Landkreis,2016,1.2
03458,Oldenburg,Landkreis,2017,1.2
03459,Osnabrück,Landkreis,2016,0.8
03459,Osnabrück,Landkreis,2017,0.8
03460,Vechta,Landkreis,2016,1.1
03460,Vechta,Landkreis,2017,1
03461,Wesermarsch,Landkreis,2016,0.9
03461,Wesermarsch,Landkreis,2017,0.9
03462,Wittmund,Landkreis,2016,0.5
03462,Wittmund,Landkreis,2017,0.5
04011,"Bremen, Stadt",krsfr. Stadt,2016,9.5
04011,"Bremen, Stadt",krsfr. Stadt,2017,9.7
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,7.3
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,7.4
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,9.3
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,9.7
05112,"Duisburg, Stadt",krsfr. Stadt,2016,8.3
05112,"Duisburg, Stadt",krsfr. Stadt,2017,8.5
05113,"Essen, Stadt",krsfr. Stadt,2016,11.9
05113,"Essen, Stadt",krsfr. Stadt,2017,11.9
05114,"Krefeld, Stadt",krsfr. Stadt,2016,9.3
05114,"Krefeld, Stadt",krsfr. Stadt,2017,9.3
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,5.9
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,5.9
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,8.1
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,8
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,11.3
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,11.4
05120,"Remscheid, Stadt",krsfr. Stadt,2016,5.7
05120,"Remscheid, Stadt",krsfr. Stadt,2017,5.7
05122,"Solingen, Stadt",krsfr. Stadt,2016,6.1
05122,"Solingen, Stadt",krsfr. Stadt,2017,5.9
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,7.4
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,7.3
05154,Kleve,Landkreis,2016,1.8
05154,Kleve,Landkreis,2017,1.9
05158,Mettmann,Landkreis,2016,6.1
05158,Mettmann,Landkreis,2017,6
05162,Rhein-Kreis Neuss,Landkreis,2016,3.8
05162,Rhein-Kreis Neuss,Landkreis,2017,3.8
05166,Viersen,Landkreis,2016,2.2
05166,Viersen,Landkreis,2017,2.3
05170,Wesel,Landkreis,2016,2.9
05170,Wesel,Landkreis,2017,3.1
05314,"Bonn, Stadt",krsfr. Stadt,2016,4.7
05314,"Bonn, Stadt",krsfr. Stadt,2017,4.7
05315,"Köln, Stadt",krsfr. Stadt,2016,11
05315,"Köln, Stadt",krsfr. Stadt,2017,11
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,9.1
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,9
05334,Städteregion Aachen,Landkreis,2016,2.3
05334,Städteregion Aachen,Landkreis,2017,2.5
05358,Düren,Landkreis,2016,1.4
05358,Düren,Landkreis,2017,1.4
05362,Rhein-Erft-Kreis,Landkreis,2016,2.8
05362,Rhein-Erft-Kreis,Landkreis,2017,2.8
05366,Euskirchen,Landkreis,2016,1.3
05366,Euskirchen,Landkreis,2017,1.4
05370,Heinsberg,Landkreis,2016,2.2
05370,Heinsberg,Landkreis,2017,2.6
05374,Oberbergischer Kreis,Landkreis,2016,1.8
05374,Oberbergischer Kreis,Landkreis,2017,1.9
05378,Rheinisch-Bergischer Kreis,Landkreis,2016,2.1
05378,Rheinisch-Bergischer Kreis,Landkreis,2017,2.2
05382,Rhein-Sieg-Kreis,Landkreis,2016,2.7
05382,Rhein-Sieg-Kreis,Landkreis,2017,3
05512,"Bottrop, Stadt",krsfr. Stadt,2016,6.1
05512,"Bottrop, Stadt",krsfr. Stadt,2017,6.1
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2016,11.9
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2017,11.5
05515,"Münster, Stadt",krsfr. Stadt,2016,4.7
05515,"Münster, Stadt",krsfr. Stadt,2017,4.7
05554,Borken,Landkreis,2016,1.2
05554,Borken,Landkreis,2017,1.2
05558,Coesfeld,Landkreis,2016,1.3
05558,Coesfeld,Landkreis,2017,1.4
05562,Recklinghausen,Landkreis,2016,3.3
05562,Recklinghausen,Landkreis,2017,3.5
05566,Steinfurt,Landkreis,2016,1.2
05566,Steinfurt,Landkreis,2017,1.2
05570,Warendorf,Landkreis,2016,1.4
05570,Warendorf,Landkreis,2017,1.4
05711,"Bielefeld, Stadt",krsfr. Stadt,2016,5.4
05711,"Bielefeld, Stadt",krsfr. Stadt,2017,5.5
05754,Gütersloh,Landkreis,2016,1.9
05754,Gütersloh,Landkreis,2017,1.9
05758,Herford,Landkreis,2016,1.8
05758,Herford,Landkreis,2017,1.8
05762,Höxter,Landkreis,2016,0.7
05762,Höxter,Landkreis,2017,0.8
05766,Lippe,Landkreis,2016,1.8
05766,Lippe,Landkreis,2017,1.9
05770,Minden-Lübbecke,Landkreis,2016,1.1
05770,Minden-Lübbecke,Landkreis,2017,1.1
05774,Paderborn,Landkreis,2016,1.5
05774,Paderborn,Landkreis,2017,1.5
05911,"Bochum, Stadt",krsfr. Stadt,2016,10.5
05911,"Bochum, Stadt",krsfr. Stadt,2017,10.7
05913,"Dortmund, Stadt",krsfr. Stadt,2016,6.7
05913,"Dortmund, Stadt",krsfr. Stadt,2017,6.9
05914,"Hagen, Stadt",krsfr. Stadt,2016,3.1
05914,"Hagen, Stadt",krsfr. Stadt,2017,3.2
05915,"Hamm, Stadt",krsfr. Stadt,2016,3.1
05915,"Hamm, Stadt",krsfr. Stadt,2017,3.2
05916,"Herne, Stadt",krsfr. Stadt,2016,10.9
05916,"Herne, Stadt",krsfr. Stadt,2017,10.8
05954,Ennepe-Ruhr-Kreis,Landkreis,2016,2.1
05954,Ennepe-Ruhr-Kreis,Landkreis,2017,2.1
05958,Hochsauerlandkreis,Landkreis,2016,0.9
05958,Hochsauerlandkreis,Landkreis,2017,1
05962,Märkischer Kreis,Landkreis,2016,1
05962,Märkischer Kreis,Landkreis,2017,1.1
05966,Olpe,Landkreis,2016,1
05966,Olpe,Landkreis,2017,1
05970,Siegen-Wittgenstein,Landkreis,2016,0.8
05970,Siegen-Wittgenstein,Landkreis,2017,0.8
05974,Soest,Landkreis,2016,1.3
05974,Soest,Landkreis,2017,1.3
05978,Unna,Landkreis,2016,2.8
05978,Unna,Landkreis,2017,3
06411,"Darmstadt, Stadt",krsfr. Stadt,2016,4.3
06411,"Darmstadt, Stadt",krsfr. Stadt,2017,4.3
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2016,7.5
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2017,7.6
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2016,6.3
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2017,6.4
06414,"Wiesbaden, Stadt",krsfr. Stadt,2016,6.6
06414,"Wiesbaden, Stadt",krsfr. Stadt,2017,6.6
06431,Bergstraße,Landkreis,2016,1.3
06431,Bergstraße,Landkreis,2017,1.3
06432,Darmstadt-Dieburg,Landkreis,2016,1.2
06432,Darmstadt-Dieburg,Landkreis,2017,1.2
06433,Groß-Gerau,Landkreis,2016,2.1
06433,Groß-Gerau,Landkreis,2017,2.1
06434,Hochtaunuskreis,Landkreis,2016,1.7
06434,Hochtaunuskreis,Landkreis,2017,1.8
06435,Main-Kinzig-Kreis,Landkreis,2016,1.2
06435,Main-Kinzig-Kreis,Landkreis,2017,1.3
06436,Main-Taunus-Kreis,Landkreis,2016,3.4
06436,Main-Taunus-Kreis,Landkreis,2017,3.4
06437,Odenwaldkreis,Landkreis,2016,0.6
06437,Odenwaldkreis,Landkreis,2017,0.6
06438,Offenbach,Landkreis,2016,2.3
06438,Offenbach,Landkreis,2017,2.3
06439,Rheingau-Taunus-Kreis,Landkreis,2016,1.1
06439,Rheingau-Taunus-Kreis,Landkreis,2017,1.1
06440,Wetteraukreis,Landkreis,2016,1.1
06440,Wetteraukreis,Landkreis,2017,1.1
06531,Gießen,Landkreis,2016,1.5
06531,Gießen,Landkreis,2017,1.6
06532,Lahn-Dill-Kreis,Landkreis,2016,1.1
06532,Lahn-Dill-Kreis,Landkreis,2017,1.1
06533,Limburg-Weilburg,Landkreis,2016,1.1
06533,Limburg-Weilburg,Landkreis,2017,1.1
06534,Marburg-Biedenkopf,Landkreis,2016,0.9
06534,Marburg-Biedenkopf,Landkreis,2017,0.9
06535,Vogelsbergkreis,Landkreis,2016,0.6
06535,Vogelsbergkreis,Landkreis,2017,0.6
06611,"Kassel, Stadt",krsfr. Stadt,2016,11.6
06611,"Kassel, Stadt",krsfr. Stadt,2017,11.8
06631,Fulda,Landkreis,2016,0.9
06631,Fulda,Landkreis,2017,0.9
06632,Hersfeld-Rotenburg,Landkreis,2016,0.6
06632,Hersfeld-Rotenburg,Landkreis,2017,0.6
06633,Kassel,Landkreis,2016,1
06633,Kassel,Landkreis,2017,1
06634,Schwalm-Eder-Kreis,Landkreis,2016,0.6
06634,Schwalm-Eder-Kreis,Landkreis,2017,0.6
06635,Waldeck-Frankenberg,Landkreis,2016,0.6
06635,Waldeck-Frankenberg,Landkreis,2017,0.6
06636,Werra-Meißner-Kreis,Landkreis,2016,0.7
06636,Werra-Meißner-Kreis,Landkreis,2017,0.7
07111,"Koblenz, Stadt",krsfr. Stadt,2016,5.1
07111,"Koblenz, Stadt",krsfr. Stadt,2017,5.2
07131,Ahrweiler,Landkreis,2016,1.9
07131,Ahrweiler,Landkreis,2017,1.9
07132,Altenkirchen (Westerwald),Landkreis,2016,1.5
07132,Altenkirchen (Westerwald),Landkreis,2017,1.5
07133,Bad Kreuznach,Landkreis,2016,1.9
07133,Bad Kreuznach,Landkreis,2017,1.9
