Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,52
01001,"Flensburg, Stadt",krsfr. Stadt,2017,51.9
01002,"Kiel, Stadt",krsfr. Stadt,2016,52.3
01002,"Kiel, Stadt",krsfr. Stadt,2017,52.3
01003,"Lübeck, Stadt",krsfr. Stadt,2016,69.1
01003,"Lübeck, Stadt",krsfr. Stadt,2017,69
01004,"Neumünster, Stadt",krsfr. Stadt,2016,55.5
01004,"Neumünster, Stadt",krsfr. Stadt,2017,55.3
01051,Dithmarschen,Landkreis,2016,89.6
01051,Dithmarschen,Landkreis,2017,89.5
01053,Herzogtum Lauenburg,Landkreis,2016,89.5
01053,Herzogtum Lauenburg,Landkreis,2017,89.5
01054,Nordfriesland,Landkreis,2016,90.1
01054,Nordfriesland,Landkreis,2017,90.1
01055,Ostholstein,Landkreis,2016,89.8
01055,Ostholstein,Landkreis,2017,89.8
01056,Pinneberg,Landkreis,2016,80.9
01056,Pinneberg,Landkreis,2017,80.8
01057,Plön,Landkreis,2016,91.7
01057,Plön,Landkreis,2017,91.7
01058,Rendsburg-Eckernförde,Landkreis,2016,90
01058,Rendsburg-Eckernförde,Landkreis,2017,89.9
01059,Schleswig-Flensburg,Landkreis,2016,89.8
01059,Schleswig-Flensburg,Landkreis,2017,89.7
01060,Segeberg,Landkreis,2016,87.8
01060,Segeberg,Landkreis,2017,87.7
01061,Steinburg,Landkreis,2016,89.6
01061,Steinburg,Landkreis,2017,89.5
01062,Stormarn,Landkreis,2016,84.3
01062,Stormarn,Landkreis,2017,84.2
02000,"Hamburg, Stadt",krsfr. Stadt,2016,50.6
02000,"Hamburg, Stadt",krsfr. Stadt,2017,50.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,61.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,61.1
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,75.2
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,75.2
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,73.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,73.6
03151,Gifhorn,Landkreis,2016,90.1
03151,Gifhorn,Landkreis,2017,90.1
03153,Goslar,Landkreis,2016,90.2
03153,Goslar,Landkreis,2017,90.2
03154,Helmstedt,Landkreis,2016,88.9
03154,Helmstedt,Landkreis,2017,88.8
03155,Northeim,Landkreis,2016,89.5
03155,Northeim,Landkreis,2017,89.4
03157,Peine,Landkreis,2016,83.9
03157,Peine,Landkreis,2017,83.8
03158,Wolfenbüttel,Landkreis,2016,89.2
03158,Wolfenbüttel,Landkreis,2017,89.2
03159,Göttingen,Landkreis,2016,88
03159,Göttingen,Landkreis,2017,87.8
03241,Region Hannover,Landkreis,2016,80.9
03241,Region Hannover,Landkreis,2017,80.9
03251,Diepholz,Landkreis,2016,88.2
03251,Diepholz,Landkreis,2017,88.2
03252,Hameln-Pyrmont,Landkreis,2016,87.3
03252,Hameln-Pyrmont,Landkreis,2017,87.3
03254,Hildesheim,Landkreis,2016,86.3
03254,Hildesheim,Landkreis,2017,86.3
03255,Holzminden,Landkreis,2016,90.5
03255,Holzminden,Landkreis,2017,90.5
03256,Nienburg (Weser),Landkreis,2016,89.3
03256,Nienburg (Weser),Landkreis,2017,89.3
03257,Schaumburg,Landkreis,2016,83.4
03257,Schaumburg,Landkreis,2017,83.4
03351,Celle,Landkreis,2016,89.3
03351,Celle,Landkreis,2017,89.3
03352,Cuxhaven,Landkreis,2016,89.4
03352,Cuxhaven,Landkreis,2017,89.3
03353,Harburg,Landkreis,2016,84.9
03353,Harburg,Landkreis,2017,84.8
03354,Lüchow-Dannenberg,Landkreis,2016,92.3
