Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,23.6
01001,"Flensburg, Stadt",krsfr. Stadt,2017,23.3
01002,"Kiel, Stadt",krsfr. Stadt,2016,29.3
01002,"Kiel, Stadt",krsfr. Stadt,2017,29.2
01003,"Lübeck, Stadt",krsfr. Stadt,2016,31.3
01003,"Lübeck, Stadt",krsfr. Stadt,2017,31
01004,"Neumünster, Stadt",krsfr. Stadt,2016,39.3
01004,"Neumünster, Stadt",krsfr. Stadt,2017,39
01051,Dithmarschen,Landkreis,2016,75.7
01051,Dithmarschen,Landkreis,2017,75.6
01053,Herzogtum Lauenburg,Landkreis,2016,57.3
01053,Herzogtum Lauenburg,Landkreis,2017,57.2
01054,Nordfriesland,Landkreis,2016,76.2
01054,Nordfriesland,Landkreis,2017,76.1
01055,Ostholstein,Landkreis,2016,71.8
01055,Ostholstein,Landkreis,2017,71.7
01056,Pinneberg,Landkreis,2016,61.4
01056,Pinneberg,Landkreis,2017,61.2
01057,Plön,Landkreis,2016,68.1
01057,Plön,Landkreis,2017,68
01058,Rendsburg-Eckernförde,Landkreis,2016,69.9
01058,Rendsburg-Eckernförde,Landkreis,2017,69.8
01059,Schleswig-Flensburg,Landkreis,2016,74.3
01059,Schleswig-Flensburg,Landkreis,2017,74.3
01060,Segeberg,Landkreis,2016,65
01060,Segeberg,Landkreis,2017,64.8
01061,Steinburg,Landkreis,2016,71.6
01061,Steinburg,Landkreis,2017,71.5
01062,Stormarn,Landkreis,2016,65.7
01062,Stormarn,Landkreis,2017,65.3
02000,"Hamburg, Stadt",krsfr. Stadt,2016,23.4
02000,"Hamburg, Stadt",krsfr. Stadt,2017,23.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,36.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,36.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,50
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,49.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,40.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,40.5
03151,Gifhorn,Landkreis,2016,50.5
03151,Gifhorn,Landkreis,2017,50.5
03153,Goslar,Landkreis,2016,27.8
03153,Goslar,Landkreis,2017,28
03154,Helmstedt,Landkreis,2016,58.9
03154,Helmstedt,Landkreis,2017,59
03155,Northeim,Landkreis,2016,48.2
03155,Northeim,Landkreis,2017,48.3
03157,Peine,Landkreis,2016,68.6
03157,Peine,Landkreis,2017,68.5
03158,Wolfenbüttel,Landkreis,2016,67.1
03158,Wolfenbüttel,Landkreis,2017,67.1
03159,Göttingen,Landkreis,2016,42.3
03159,Göttingen,Landkreis,2017,42.3
03241,Region Hannover,Landkreis,2016,51.8
03241,Region Hannover,Landkreis,2017,51.9
03251,Diepholz,Landkreis,2016,70.1
03251,Diepholz,Landkreis,2017,70
03252,Hameln-Pyrmont,Landkreis,2016,51.8
03252,Hameln-Pyrmont,Landkreis,2017,51.8
03254,Hildesheim,Landkreis,2016,58.1
03254,Hildesheim,Landkreis,2017,58.1
03255,Holzminden,Landkreis,2016,41.4
03255,Holzminden,Landkreis,2017,41.5
03256,Nienburg (Weser),Landkreis,2016,63.5
03256,Nienburg (Weser),Landkreis,2017,63.4
03257,Schaumburg,Landkreis,2016,53.9
03257,Schaumburg,Landkreis,2017,53.8
03351,Celle,Landkreis,2016,36.5
03351,Celle,Landkreis,2017,36.4
03352,Cuxhaven,Landkreis,2016,72.5
03352,Cuxhaven,Landkreis,2017,72.4
03353,Harburg,Landkreis,2016,50
03353,Harburg,Landkreis,2017,50.4
03354,Lüchow-Dannenberg,Landkreis,2016,51.2
03354,Lüchow-Dannenberg,Landkreis,2017,51.1
03355,Lüneburg,Landkreis,2016,50.8
03355,Lüneburg,Landkreis,2017,51.1
03356,Osterholz,Landkreis,2016,65.9
03356,Osterholz,Landkreis,2017,65.8
03357,Rotenburg (Wümme),Landkreis,2016,66.5
03357,Rotenburg (Wümme),Landkreis,2017,66.5
03358,Heidekreis,Landkreis,2016,39.2
03358,Heidekreis,Landkreis,2017,39.3
03359,Stade,Landkreis,2016,70.3
03359,Stade,Landkreis,2017,70.4
03360,Uelzen,Landkreis,2016,52.4
03360,Uelzen,Landkreis,2017,52.4
03361,Verden,Landkreis,2016,67.2
03361,Verden,Landkreis,2017,67.3
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,44.8
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,44.8
03402,"Emden, Stadt",krsfr. Stadt,2016,61
03402,"Emden, Stadt",krsfr. Stadt,2017,61.4
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,28.6
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,28.5
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,31.1
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,31.3
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,38.3
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,38.8
03451,Ammerland,Landkreis,2016,68
03451,Ammerland,Landkreis,2017,67.9
03452,Aurich,Landkreis,2016,73.1
03452,Aurich,Landkreis,2017,72.2
03453,Cloppenburg,Landkreis,2016,67.3
03453,Cloppenburg,Landkreis,2017,67.1
03454,Emsland,Landkreis,2016,60.5
03454,Emsland,Landkreis,2017,60.5
03455,Friesland,Landkreis,2016,72.2
03455,Friesland,Landkreis,2017,72.3
03456,Grafschaft Bentheim,Landkreis,2016,63.8
03456,Grafschaft Bentheim,Landkreis,2017,63.7
03457,Leer,Landkreis,2016,71.2
03457,Leer,Landkreis,2017,71
03458,Oldenburg,Landkreis,2016,63.8
03458,Oldenburg,Landkreis,2017,63.7
03459,Osnabrück,Landkreis,2016,62
03459,Osnabrück,Landkreis,2017,62.1
03460,Vechta,Landkreis,2016,65
03460,Vechta,Landkreis,2017,65
03461,Wesermarsch,Landkreis,2016,80
03461,Wesermarsch,Landkreis,2017,79.9
03462,Wittmund,Landkreis,2016,75.8
03462,Wittmund,Landkreis,2017,75.6
04011,"Bremen, Stadt",krsfr. Stadt,2016,30.9
04011,"Bremen, Stadt",krsfr. Stadt,2017,30.8
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,19.7
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,19.7
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,20
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,19.2
05112,"Duisburg, Stadt",krsfr. Stadt,2016,18.9
05112,"Duisburg, Stadt",krsfr. Stadt,2017,17.6
05113,"Essen, Stadt",krsfr. Stadt,2016,15.7
05113,"Essen, Stadt",krsfr. Stadt,2017,15.6
05114,"Krefeld, Stadt",krsfr. Stadt,2016,30.8
05114,"Krefeld, Stadt",krsfr. Stadt,2017,30.8
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,38.3
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,38.2
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,22.8
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,22.7
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,8.8
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,8.7
05120,"Remscheid, Stadt",krsfr. Stadt,2016,23
05120,"Remscheid, Stadt",krsfr. Stadt,2017,22.8
05122,"Solingen, Stadt",krsfr. Stadt,2016,23
05122,"Solingen, Stadt",krsfr. Stadt,2017,22.5
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,20.1
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,20
05154,Kleve,Landkreis,2016,63.7
05154,Kleve,Landkreis,2017,63.5
05158,Mettmann,Landkreis,2016,36.6
05158,Mettmann,Landkreis,2017,36.5
05162,Rhein-Kreis Neuss,Landkreis,2016,53
05162,Rhein-Kreis Neuss,Landkreis,2017,52.7
05166,Viersen,Landkreis,2016,51.6
05166,Viersen,Landkreis,2017,51.5
05170,Wesel,Landkreis,2016,52.6
05170,Wesel,Landkreis,2017,52.1
05314,"Bonn, Stadt",krsfr. Stadt,2016,16
05314,"Bonn, Stadt",krsfr. Stadt,2017,15.9
05315,"Köln, Stadt",krsfr. Stadt,2016,16.5
05315,"Köln, Stadt",krsfr. Stadt,2017,16.5
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,22.9
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,22.8
05334,Städteregion Aachen,Landkreis,2016,38.3
05334,Städteregion Aachen,Landkreis,2017,37.9
05358,Düren,Landkreis,2016,55.3
05358,Düren,Landkreis,2017,55.2
05362,Rhein-Erft-Kreis,Landkreis,2016,51.9
05362,Rhein-Erft-Kreis,Landkreis,2017,51.7
05366,Euskirchen,Landkreis,2016,46.5
05366,Euskirchen,Landkreis,2017,46.3
05370,Heinsberg,Landkreis,2016,63.4
05370,Heinsberg,Landkreis,2017,62.6
05374,Oberbergischer Kreis,Landkreis,2016,38.1
05374,Oberbergischer Kreis,Landkreis,2017,38.1
05378,Rheinisch-Bergischer Kreis,Landkreis,2016,36.1
05378,Rheinisch-Bergischer Kreis,Landkreis,2017,35.8
05382,Rhein-Sieg-Kreis,Landkreis,2016,42.1
05382,Rhein-Sieg-Kreis,Landkreis,2017,41.8
05512,"Bottrop, Stadt",krsfr. Stadt,2016,28.9
05512,"Bottrop, Stadt",krsfr. Stadt,2017,28.9
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2016,12.2
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2017,12.1
05515,"Münster, Stadt",krsfr. Stadt,2016,44.7
05515,"Münster, Stadt",krsfr. Stadt,2017,44.3
05554,Borken,Landkreis,2016,64.9
05554,Borken,Landkreis,2017,64.7
05558,Coesfeld,Landkreis,2016,67.3
05558,Coesfeld,Landkreis,2017,67.1
05562,Recklinghausen,Landkreis,2016,36.7
05562,Recklinghausen,Landkreis,2017,36.3
05566,Steinfurt,Landkreis,2016,64.6
05566,Steinfurt,Landkreis,2017,64.2
05570,Warendorf,Landkreis,2016,69.7
05570,Warendorf,Landkreis,2017,69.5
05711,"Bielefeld, Stadt",krsfr. Stadt,2016,33.9
05711,"Bielefeld, Stadt",krsfr. Stadt,2017,33.6
05754,Gütersloh,Landkreis,2016,60.6
05754,Gütersloh,Landkreis,2017,60.1
05758,Herford,Landkreis,2016,58.9
05758,Herford,Landkreis,2017,58.7
05762,Höxter,Landkreis,2016,58.3
05762,Höxter,Landkreis,2017,58
05766,Lippe,Landkreis,2016,49.9
05766,Lippe,Landkreis,2017,49.7
05770,Minden-Lübbecke,Landkreis,2016,63.7
05770,Minden-Lübbecke,Landkreis,2017,63.5
05774,Paderborn,Landkreis,2016,52.4
05774,Paderborn,Landkreis,2017,52.3
05911,"Bochum, Stadt",krsfr. Stadt,2016,19.1
05911,"Bochum, Stadt",krsfr. Stadt,2017,18.2
05913,"Dortmund, Stadt",krsfr. Stadt,2016,23.7
05913,"Dortmund, Stadt",krsfr. Stadt,2017,23.6
05914,"Hagen, Stadt",krsfr. Stadt,2016,19.1
05914,"Hagen, Stadt",krsfr. Stadt,2017,18.4
05915,"Hamm, Stadt",krsfr. Stadt,2016,53.6
05915,"Hamm, Stadt",krsfr. Stadt,2017,53.4
05916,"Herne, Stadt",krsfr. Stadt,2016,8.4
05916,"Herne, Stadt",krsfr. Stadt,2017,8.3
05954,Ennepe-Ruhr-Kreis,Landkreis,2016,38.7
05954,Ennepe-Ruhr-Kreis,Landkreis,2017,38.5
05958,Hochsauerlandkreis,Landkreis,2016,30.7
05958,Hochsauerlandkreis,Landkreis,2017,30.6
05962,Märkischer Kreis,Landkreis,2016,30.7
05962,Märkischer Kreis,Landkreis,2017,30.3
05966,Olpe,Landkreis,2016,23.6
05966,Olpe,Landkreis,2017,23.6
05970,Siegen-Wittgenstein,Landkreis,2016,18.6
05970,Siegen-Wittgenstein,Landkreis,2017,18.6
05974,Soest,Landkreis,2016,61.5
05974,Soest,Landkreis,2017,61.2
05978,Unna,Landkreis,2016,52.5
05978,Unna,Landkreis,2017,51.9
06411,"Darmstadt, Stadt",krsfr. Stadt,2016,19.1
06411,"Darmstadt, Stadt",krsfr. Stadt,2017,19.1
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2016,24
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2017,24
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2016,14.1
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2017,14.1
06414,"Wiesbaden, Stadt",krsfr. Stadt,2016,29.6
06414,"Wiesbaden, Stadt",krsfr. Stadt,2017,29.6
06431,Bergstraße,Landkreis,2016,40.6
06431,Bergstraße,Landkreis,2017,40.4
06432,Darmstadt-Dieburg,Landkreis,2016,44
06432,Darmstadt-Dieburg,Landkreis,2017,43.9
06433,Groß-Gerau,Landkreis,2016,46.3
06433,Groß-Gerau,Landkreis,2017,46.2
06434,Hochtaunuskreis,Landkreis,2016,29.4
06434,Hochtaunuskreis,Landkreis,2017,29.3
06435,Main-Kinzig-Kreis,Landkreis,2016,38.8
06435,Main-Kinzig-Kreis,Landkreis,2017,38.8
06436,Main-Taunus-Kreis,Landkreis,2016,41.3
06436,Main-Taunus-Kreis,Landkreis,2017,41.2
06437,Odenwaldkreis,Landkreis,2016,32.2
06437,Odenwaldkreis,Landkreis,2017,32.2
06438,Offenbach,Landkreis,2016,23.6
06438,Offenbach,Landkreis,2017,23.6
06439,Rheingau-Taunus-Kreis,Landkreis,2016,29.1
06439,Rheingau-Taunus-Kreis,Landkreis,2017,29
06440,Wetteraukreis,Landkreis,2016,53.3
06440,Wetteraukreis,Landkreis,2017,53.1
06531,Gießen,Landkreis,2016,44.7
06531,Gießen,Landkreis,2017,44.6
06532,Lahn-Dill-Kreis,Landkreis,2016,33.8
06532,Lahn-Dill-Kreis,Landkreis,2017,33.5
06533,Limburg-Weilburg,Landkreis,2016,45.8
06533,Limburg-Weilburg,Landkreis,2017,45.8
06534,Marburg-Biedenkopf,Landkreis,2016,43.4
06534,Marburg-Biedenkopf,Landkreis,2017,43.3
06535,Vogelsbergkreis,Landkreis,2016,48.9
06535,Vogelsbergkreis,Landkreis,2017,48.8
06611,"Kassel, Stadt",krsfr. Stadt,2016,14.6
06611,"Kassel, Stadt",krsfr. Stadt,2017,14.2
06631,Fulda,Landkreis,2016,48.5
06631,Fulda,Landkreis,2017,48.3
06632,Hersfeld-Rotenburg,Landkreis,2016,40.4
06632,Hersfeld-Rotenburg,Landkreis,2017,40.3
06633,Kassel,Landkreis,2016,44.8
06633,Kassel,Landkreis,2017,44.8
06634,Schwalm-Eder-Kreis,Landkreis,2016,48.9
06634,Schwalm-Eder-Kreis,Landkreis,2017,48.6
06635,Waldeck-Frankenberg,Landkreis,2016,42.1
06635,Waldeck-Frankenberg,Landkreis,2017,42.1
06636,Werra-Meißner-Kreis,Landkreis,2016,43
06636,Werra-Meißner-Kreis,Landkreis,2017,43
07111,"Koblenz, Stadt",krsfr. Stadt,2016,23.6
07111,"Koblenz, Stadt",krsfr. Stadt,2017,23.1
07131,Ahrweiler,Landkreis,2016,31.4
07131,Ahrweiler,Landkreis,2017,31.3
07132,Altenkirchen (Westerwald),Landkreis,2016,31.2
07132,Altenkirchen (Westerwald),Landkreis,2017,31.2
07133,Bad Kreuznach,Landkreis,2016,44.7
07133,Bad Kreuznach,Landkreis,2017,44.4
07134,Birkenfeld,Landkreis,2016,32.8
07134,Birkenfeld,Landkreis,2017,32.4
07135,Cochem-Zell,Landkreis,2016,36.7
07135,Cochem-Zell,Landkreis,2017,36.6
07137,Mayen-Koblenz,Landkreis,2016,47.4
07137,Mayen-Koblenz,Landkreis,2017,47.4
07138,Neuwied,Landkreis,2016,33.1
07138,Neuwied,Landkreis,2017,33.1
07140,Rhein-Hunsrück-Kreis,Landkreis,2016,41.2
07140,Rhein-Hunsrück-Kreis,Landkreis,2017,41.1
07141,Rhein-Lahn-Kreis,Landkreis,2016,38.4
07141,Rhein-Lahn-Kreis,Landkreis,2017,38.4
