Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,52.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,52.6
01002,"Kiel, Stadt",krsfr. Stadt,2016,54.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,54.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,36.9
01003,"Lübeck, Stadt",krsfr. Stadt,2017,37.1
01004,"Neumünster, Stadt",krsfr. Stadt,2016,50.5
01004,"Neumünster, Stadt",krsfr. Stadt,2017,50.7
01051,Dithmarschen,Landkreis,2016,11
01051,Dithmarschen,Landkreis,2017,11.1
01053,Herzogtum Lauenburg,Landkreis,2016,11.5
01053,Herzogtum Lauenburg,Landkreis,2017,11.5
01054,Nordfriesland,Landkreis,2016,10.6
01054,Nordfriesland,Landkreis,2017,10.7
01055,Ostholstein,Landkreis,2016,11.8
01055,Ostholstein,Landkreis,2017,11.9
01056,Pinneberg,Landkreis,2016,21.6
01056,Pinneberg,Landkreis,2017,21.7
01057,Plön,Landkreis,2016,9.5
01057,Plön,Landkreis,2017,9.6
01058,Rendsburg-Eckernförde,Landkreis,2016,11.1
01058,Rendsburg-Eckernförde,Landkreis,2017,11.2
01059,Schleswig-Flensburg,Landkreis,2016,10.9
01059,Schleswig-Flensburg,Landkreis,2017,10.9
01060,Segeberg,Landkreis,2016,13.5
01060,Segeberg,Landkreis,2017,13.6
01061,Steinburg,Landkreis,2016,11.2
01061,Steinburg,Landkreis,2017,11.2
01062,Stormarn,Landkreis,2016,17.5
01062,Stormarn,Landkreis,2017,17.7
02000,"Hamburg, Stadt",krsfr. Stadt,2016,58.9
02000,"Hamburg, Stadt",krsfr. Stadt,2017,59
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,46.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,46.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,28.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,28.2
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,31.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,31.4
03151,Gifhorn,Landkreis,2016,10.8
03151,Gifhorn,Landkreis,2017,10.9
03153,Goslar,Landkreis,2016,11
03153,Goslar,Landkreis,2017,10.9
03154,Helmstedt,Landkreis,2016,12.1
03154,Helmstedt,Landkreis,2017,12.2
03155,Northeim,Landkreis,2016,11.5
03155,Northeim,Landkreis,2017,11.6
03157,Peine,Landkreis,2016,17.9
03157,Peine,Landkreis,2017,17.9
03158,Wolfenbüttel,Landkreis,2016,12.1
03158,Wolfenbüttel,Landkreis,2017,12.1
03159,Göttingen,Landkreis,2016,13.4
03159,Göttingen,Landkreis,2017,13.6
03241,Region Hannover,Landkreis,2016,22.2
03241,Region Hannover,Landkreis,2017,22.2
03251,Diepholz,Landkreis,2016,12.5
03251,Diepholz,Landkreis,2017,12.6
03252,Hameln-Pyrmont,Landkreis,2016,14.3
03252,Hameln-Pyrmont,Landkreis,2017,14.3
