Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,6.3
01001,"Flensburg, Stadt",krsfr. Stadt,2017,6.4
01002,"Kiel, Stadt",krsfr. Stadt,2016,5.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,5.8
01003,"Lübeck, Stadt",krsfr. Stadt,2016,15.4
01003,"Lübeck, Stadt",krsfr. Stadt,2017,15.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,4.4
01004,"Neumünster, Stadt",krsfr. Stadt,2017,4.5
01051,Dithmarschen,Landkreis,2016,3.7
01051,Dithmarschen,Landkreis,2017,3.8
01053,Herzogtum Lauenburg,Landkreis,2016,25.9
01053,Herzogtum Lauenburg,Landkreis,2017,26
01054,Nordfriesland,Landkreis,2016,4.2
01054,Nordfriesland,Landkreis,2017,4.2
01055,Ostholstein,Landkreis,2016,10.1
01055,Ostholstein,Landkreis,2017,10.1
01056,Pinneberg,Landkreis,2016,8.7
01056,Pinneberg,Landkreis,2017,8.8
01057,Plön,Landkreis,2016,11.3
01057,Plön,Landkreis,2017,11.3
01058,Rendsburg-Eckernförde,Landkreis,2016,11.6
01058,Rendsburg-Eckernförde,Landkreis,2017,11.6
01059,Schleswig-Flensburg,Landkreis,2016,7
01059,Schleswig-Flensburg,Landkreis,2017,7
01060,Segeberg,Landkreis,2016,17.5
01060,Segeberg,Landkreis,2017,17.5
01061,Steinburg,Landkreis,2016,9.3
01061,Steinburg,Landkreis,2017,9.3
01062,Stormarn,Landkreis,2016,13.7
01062,Stormarn,Landkreis,2017,13.8
02000,"Hamburg, Stadt",krsfr. Stadt,2016,7.8
02000,"Hamburg, Stadt",krsfr. Stadt,2017,7.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,13.3
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,13.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,17.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,18.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,24
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,23.9
