Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,14.5
01001,"Flensburg, Stadt",krsfr. Stadt,2017,14.4
01002,"Kiel, Stadt",krsfr. Stadt,2016,9.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,9.2
01003,"Lübeck, Stadt",krsfr. Stadt,2016,13.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,13.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2.6
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2.6
01051,Dithmarschen,Landkreis,2016,4.7
01051,Dithmarschen,Landkreis,2017,4.7
01053,Herzogtum Lauenburg,Landkreis,2016,4.1
01053,Herzogtum Lauenburg,Landkreis,2017,4.1
01054,Nordfriesland,Landkreis,2016,4
01054,Nordfriesland,Landkreis,2017,4
01055,Ostholstein,Landkreis,2016,4.1
01055,Ostholstein,Landkreis,2017,4.1
01056,Pinneberg,Landkreis,2016,5.7
01056,Pinneberg,Landkreis,2017,5.7
01057,Plön,Landkreis,2016,10.2
01057,Plön,Landkreis,2017,10.2
01058,Rendsburg-Eckernförde,Landkreis,2016,4.4
01058,Rendsburg-Eckernförde,Landkreis,2017,4.4
01059,Schleswig-Flensburg,Landkreis,2016,5.5
01059,Schleswig-Flensburg,Landkreis,2017,5.5
01060,Segeberg,Landkreis,2016,1.8
01060,Segeberg,Landkreis,2017,1.8
01061,Steinburg,Landkreis,2016,5.7
01061,Steinburg,Landkreis,2017,5.7
01062,Stormarn,Landkreis,2016,1.6
01062,Stormarn,Landkreis,2017,1.6
02000,"Hamburg, Stadt",krsfr. Stadt,2016,8.1
02000,"Hamburg, Stadt",krsfr. Stadt,2017,8.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,2.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,2.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,2.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,2.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,2.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,2.7
03151,Gifhorn,Landkreis,2016,1.5
03151,Gifhorn,Landkreis,2017,1.5
03153,Goslar,Landkreis,2016,1.8
03153,Goslar,Landkreis,2017,1.8
03154,Helmstedt,Landkreis,2016,1.5
03154,Helmstedt,Landkreis,2017,1.6
03155,Northeim,Landkreis,2016,1.1
03155,Northeim,Landkreis,2017,1
03157,Peine,Landkreis,2016,2.2
03157,Peine,Landkreis,2017,2.2
03158,Wolfenbüttel,Landkreis,2016,1.1
03158,Wolfenbüttel,Landkreis,2017,1.1
03159,Göttingen,Landkreis,2016,1.1
03159,Göttingen,Landkreis,2017,1.1
03241,Region Hannover,Landkreis,2016,3.1
03241,Region Hannover,Landkreis,2017,3
03251,Diepholz,Landkreis,2016,2
03251,Diepholz,Landkreis,2017,2
03252,Hameln-Pyrmont,Landkreis,2016,1.4
03252,Hameln-Pyrmont,Landkreis,2017,1.4
03254,Hildesheim,Landkreis,2016,1.4
03254,Hildesheim,Landkreis,2017,1.4
03255,Holzminden,Landkreis,2016,1.2
03255,Holzminden,Landkreis,2017,1.2
03256,Nienburg (Weser),Landkreis,2016,2.3
03256,Nienburg (Weser),Landkreis,2017,2.3
03257,Schaumburg,Landkreis,2016,1.7
03257,Schaumburg,Landkreis,2017,1.7
03351,Celle,Landkreis,2016,1.5
03351,Celle,Landkreis,2017,1.5
03352,Cuxhaven,Landkreis,2016,2.6
03352,Cuxhaven,Landkreis,2017,2.6
03353,Harburg,Landkreis,2016,1.9
03353,Harburg,Landkreis,2017,1.9
03354,Lüchow-Dannenberg,Landkreis,2016,2.2
03354,Lüchow-Dannenberg,Landkreis,2017,2.2
03355,Lüneburg,Landkreis,2016,2.5
03355,Lüneburg,Landkreis,2017,2.6
03356,Osterholz,Landkreis,2016,2.4
03356,Osterholz,Landkreis,2017,2.4
03357,Rotenburg (Wümme),Landkreis,2016,0.9
03357,Rotenburg (Wümme),Landkreis,2017,0.9
03358,Heidekreis,Landkreis,2016,0.9
03358,Heidekreis,Landkreis,2017,1
03359,Stade,Landkreis,2016,6.8
03359,Stade,Landkreis,2017,6.8
03360,Uelzen,Landkreis,2016,0.7
03360,Uelzen,Landkreis,2017,0.7
03361,Verden,Landkreis,2016,2.4
03361,Verden,Landkreis,2017,2.3
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,2
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,2
03402,"Emden, Stadt",krsfr. Stadt,2016,7.2
03402,"Emden, Stadt",krsfr. Stadt,2017,7.2
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,3.9
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,3.8
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,1.5
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,1.6
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,5.5
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,5.5
03451,Ammerland,Landkreis,2016,2.5
03451,Ammerland,Landkreis,2017,2.6
03452,Aurich,Landkreis,2016,3.1
03452,Aurich,Landkreis,2017,3.2
03453,Cloppenburg,Landkreis,2016,1.7
03453,Cloppenburg,Landkreis,2017,1.7
03454,Emsland,Landkreis,2016,2.8
03454,Emsland,Landkreis,2017,2.6
03455,Friesland,Landkreis,2016,2.6
03455,Friesland,Landkreis,2017,2.5
03456,Grafschaft Bentheim,Landkreis,2016,2.2
03456,Grafschaft Bentheim,Landkreis,2017,2.2
03457,Leer,Landkreis,2016,6
03457,Leer,Landkreis,2017,5.9
03458,Oldenburg,Landkreis,2016,1.3
03458,Oldenburg,Landkreis,2017,1.3
03459,Osnabrück,Landkreis,2016,1.8
03459,Osnabrück,Landkreis,2017,1.8
03460,Vechta,Landkreis,2016,1.5
03460,Vechta,Landkreis,2017,1.5
03461,Wesermarsch,Landkreis,2016,4.6
03461,Wesermarsch,Landkreis,2017,4.6
03462,Wittmund,Landkreis,2016,2.2
03462,Wittmund,Landkreis,2017,2.3
04011,"Bremen, Stadt",krsfr. Stadt,2016,7.3
04011,"Bremen, Stadt",krsfr. Stadt,2017,7.3
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,27.2
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,27.2
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,6.2
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,6.1
05112,"Duisburg, Stadt",krsfr. Stadt,2016,8.5
05112,"Duisburg, Stadt",krsfr. Stadt,2017,8.5
05113,"Essen, Stadt",krsfr. Stadt,2016,2.7
05113,"Essen, Stadt",krsfr. Stadt,2017,2.5
05114,"Krefeld, Stadt",krsfr. Stadt,2016,3
05114,"Krefeld, Stadt",krsfr. Stadt,2017,3
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,0.4
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,0.4
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,2.1
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,2.1
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,1.1
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,1.1
05120,"Remscheid, Stadt",krsfr. Stadt,2016,1.6
05120,"Remscheid, Stadt",krsfr. Stadt,2017,1.6
05122,"Solingen, Stadt",krsfr. Stadt,2016,1.3
05122,"Solingen, Stadt",krsfr. Stadt,2017,1.2
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,1.1
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,1.1
05154,Kleve,Landkreis,2016,3.9
05154,Kleve,Landkreis,2017,3.8
05158,Mettmann,Landkreis,2016,2
05158,Mettmann,Landkreis,2017,2
05162,Rhein-Kreis Neuss,Landkreis,2016,2.8
05162,Rhein-Kreis Neuss,Landkreis,2017,2.9
05166,Viersen,Landkreis,2016,1.9
05166,Viersen,Landkreis,2017,1.9
05170,Wesel,Landkreis,2016,4.6
05170,Wesel,Landkreis,2017,4.7
05314,"Bonn, Stadt",krsfr. Stadt,2016,3.9
05314,"Bonn, Stadt",krsfr. Stadt,2017,4
05315,"Köln, Stadt",krsfr. Stadt,2016,4.8
05315,"Köln, Stadt",krsfr. Stadt,2017,4.8
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,4.3
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,4.3
05334,Städteregion Aachen,Landkreis,2016,1.5
05334,Städteregion Aachen,Landkreis,2017,1.5
05358,Düren,Landkreis,2016,1.7
05358,Düren,Landkreis,2017,1.7
05362,Rhein-Erft-Kreis,Landkreis,2016,1.6
05362,Rhein-Erft-Kreis,Landkreis,2017,1.6
