Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,24.1
01001,"Flensburg, Stadt",krsfr. Stadt,2017,24.4
01002,"Kiel, Stadt",krsfr. Stadt,2016,28.5
01002,"Kiel, Stadt",krsfr. Stadt,2017,28.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,55.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,56.8
01004,"Neumünster, Stadt",krsfr. Stadt,2016,47.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,48.2
01051,Dithmarschen,Landkreis,2016,58.4
01051,Dithmarschen,Landkreis,2017,58.6
01053,Herzogtum Lauenburg,Landkreis,2016,58.9
01053,Herzogtum Lauenburg,Landkreis,2017,59.8
01054,Nordfriesland,Landkreis,2016,89.4
01054,Nordfriesland,Landkreis,2017,97.5
01055,Ostholstein,Landkreis,2016,111.2
01055,Ostholstein,Landkreis,2017,113.7
01056,Pinneberg,Landkreis,2016,49.3
01056,Pinneberg,Landkreis,2017,48.7
01057,Plön,Landkreis,2016,96.9
01057,Plön,Landkreis,2017,97.9
01058,Rendsburg-Eckernförde,Landkreis,2016,79.9
01058,Rendsburg-Eckernförde,Landkreis,2017,80.4
01059,Schleswig-Flensburg,Landkreis,2016,65.2
01059,Schleswig-Flensburg,Landkreis,2017,63.6
01060,Segeberg,Landkreis,2016,60.8
01060,Segeberg,Landkreis,2017,60.6
01061,Steinburg,Landkreis,2016,52.9
01061,Steinburg,Landkreis,2017,53
01062,Stormarn,Landkreis,2016,52.3
01062,Stormarn,Landkreis,2017,56.4
02000,"Hamburg, Stadt",krsfr. Stadt,2016,35.2
02000,"Hamburg, Stadt",krsfr. Stadt,2017,35.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,58.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,57.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,73
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,68.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,75.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,76.7
03151,Gifhorn,Landkreis,2016,79.5
03151,Gifhorn,Landkreis,2017,79.1
03153,Goslar,Landkreis,2016,75.9
03153,Goslar,Landkreis,2017,70.7
03154,Helmstedt,Landkreis,2016,67.6
03154,Helmstedt,Landkreis,2017,66.7
03155,Northeim,Landkreis,2016,87.7
03155,Northeim,Landkreis,2017,89.2
03157,Peine,Landkreis,2016,65.6
03157,Peine,Landkreis,2017,65
03158,Wolfenbüttel,Landkreis,2016,73.9
03158,Wolfenbüttel,Landkreis,2017,72.4
03159,Göttingen,Landkreis,2016,70.3
03159,Göttingen,Landkreis,2017,68.2
03241,Region Hannover,Landkreis,2016,57.2
03241,Region Hannover,Landkreis,2017,56.4
03251,Diepholz,Landkreis,2016,61.4
03251,Diepholz,Landkreis,2017,62.5
03252,Hameln-Pyrmont,Landkreis,2016,80.1
03252,Hameln-Pyrmont,Landkreis,2017,79.8
03254,Hildesheim,Landkreis,2016,68.8
03254,Hildesheim,Landkreis,2017,67.1
03255,Holzminden,Landkreis,2016,102.9
03255,Holzminden,Landkreis,2017,102.3
03256,Nienburg (Weser),Landkreis,2016,65.3
03256,Nienburg (Weser),Landkreis,2017,68.4
03257,Schaumburg,Landkreis,2016,51.8
03257,Schaumburg,Landkreis,2017,49.3
03351,Celle,Landkreis,2016,86.6
03351,Celle,Landkreis,2017,89.2
03352,Cuxhaven,Landkreis,2016,78.4
03352,Cuxhaven,Landkreis,2017,79.1
03353,Harburg,Landkreis,2016,72.2
03353,Harburg,Landkreis,2017,70.3
03354,Lüchow-Dannenberg,Landkreis,2016,87.5
03354,Lüchow-Dannenberg,Landkreis,2017,88.3
03355,Lüneburg,Landkreis,2016,82.5
03355,Lüneburg,Landkreis,2017,78.1
03356,Osterholz,Landkreis,2016,60.3
03356,Osterholz,Landkreis,2017,60.2
03357,Rotenburg (Wümme),Landkreis,2016,88.2
03357,Rotenburg (Wümme),Landkreis,2017,85
03358,Heidekreis,Landkreis,2016,121.5
03358,Heidekreis,Landkreis,2017,131.9
03359,Stade,Landkreis,2016,41.3
03359,Stade,Landkreis,2017,42.3
03360,Uelzen,Landkreis,2016,90.7
03360,Uelzen,Landkreis,2017,93.3
03361,Verden,Landkreis,2016,64.6
03361,Verden,Landkreis,2017,64.4
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,26
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,26.6
03402,"Emden, Stadt",krsfr. Stadt,2016,43
03402,"Emden, Stadt",krsfr. Stadt,2017,51.4
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,36.1
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,35.4
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,33.2
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,33.1
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,66.8
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,66.4
03451,Ammerland,Landkreis,2016,80.4
03451,Ammerland,Landkreis,2017,80.7
03452,Aurich,Landkreis,2016,74.7
03452,Aurich,Landkreis,2017,75.7
03453,Cloppenburg,Landkreis,2016,83.5
03453,Cloppenburg,Landkreis,2017,87
03454,Emsland,Landkreis,2016,65.1
03454,Emsland,Landkreis,2017,67
03455,Friesland,Landkreis,2016,79.4
03455,Friesland,Landkreis,2017,79.6
03456,Grafschaft Bentheim,Landkreis,2016,73.7
03456,Grafschaft Bentheim,Landkreis,2017,74.3
03457,Leer,Landkreis,2016,41.6
03457,Leer,Landkreis,2017,41.6
03458,Oldenburg,Landkreis,2016,95.1
03458,Oldenburg,Landkreis,2017,95
03459,Osnabrück,Landkreis,2016,49.5
03459,Osnabrück,Landkreis,2017,49.8
03460,Vechta,Landkreis,2016,62
03460,Vechta,Landkreis,2017,60.6
03461,Wesermarsch,Landkreis,2016,80.5
03461,Wesermarsch,Landkreis,2017,85
03462,Wittmund,Landkreis,2016,52
03462,Wittmund,Landkreis,2017,55
04011,"Bremen, Stadt",krsfr. Stadt,2016,54.6
04011,"Bremen, Stadt",krsfr. Stadt,2017,56
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,61
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,61
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,33
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,34.1
05112,"Duisburg, Stadt",krsfr. Stadt,2016,38.6
05112,"Duisburg, Stadt",krsfr. Stadt,2017,39.7
05113,"Essen, Stadt",krsfr. Stadt,2016,42.8
05113,"Essen, Stadt",krsfr. Stadt,2017,42.9
05114,"Krefeld, Stadt",krsfr. Stadt,2016,56.6
05114,"Krefeld, Stadt",krsfr. Stadt,2017,56.7
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,38.7
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,38.4
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,43
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,42.9
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,41.2
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,41.5
05120,"Remscheid, Stadt",krsfr. Stadt,2016,38.5
05120,"Remscheid, Stadt",krsfr. Stadt,2017,38.5
05122,"Solingen, Stadt",krsfr. Stadt,2016,34.5
05122,"Solingen, Stadt",krsfr. Stadt,2017,33.5
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,35.2
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,34.6
05154,Kleve,Landkreis,2016,71
05154,Kleve,Landkreis,2017,73.7
05158,Mettmann,Landkreis,2016,50.9
05158,Mettmann,Landkreis,2017,50.5
05162,Rhein-Kreis Neuss,Landkreis,2016,48.3
05162,Rhein-Kreis Neuss,Landkreis,2017,48.7
05166,Viersen,Landkreis,2016,42.5
05166,Viersen,Landkreis,2017,42.7
05170,Wesel,Landkreis,2016,64.5
05170,Wesel,Landkreis,2017,69.3
05314,"Bonn, Stadt",krsfr. Stadt,2016,20.4
05314,"Bonn, Stadt",krsfr. Stadt,2017,20.2
05315,"Köln, Stadt",krsfr. Stadt,2016,41.5
05315,"Köln, Stadt",krsfr. Stadt,2017,41.3
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,44
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,43.3
05334,Städteregion Aachen,Landkreis,2016,29
05334,Städteregion Aachen,Landkreis,2017,32.4
05358,Düren,Landkreis,2016,51.8
05358,Düren,Landkreis,2017,51.8
05362,Rhein-Erft-Kreis,Landkreis,2016,42.1
05362,Rhein-Erft-Kreis,Landkreis,2017,42.4
05366,Euskirchen,Landkreis,2016,85.8
05366,Euskirchen,Landkreis,2017,88
05370,Heinsberg,Landkreis,2016,55.6
05370,Heinsberg,Landkreis,2017,64.9
05374,Oberbergischer Kreis,Landkreis,2016,60.9
05374,Oberbergischer Kreis,Landkreis,2017,65
05378,Rheinisch-Bergischer Kreis,Landkreis,2016,32.1
05378,Rheinisch-Bergischer Kreis,Landkreis,2017,34
05382,Rhein-Sieg-Kreis,Landkreis,2016,52.5
05382,Rhein-Sieg-Kreis,Landkreis,2017,56.8
05512,"Bottrop, Stadt",krsfr. Stadt,2016,52.4
05512,"Bottrop, Stadt",krsfr. Stadt,2017,52.4
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2016,47.6
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2017,46.3
05515,"Münster, Stadt",krsfr. Stadt,2016,45.8
05515,"Münster, Stadt",krsfr. Stadt,2017,45.8
05554,Borken,Landkreis,2016,44.5
05554,Borken,Landkreis,2017,44.2
05558,Coesfeld,Landkreis,2016,68.1
05558,Coesfeld,Landkreis,2017,71.2
05562,Recklinghausen,Landkreis,2016,41
05562,Recklinghausen,Landkreis,2017,43
05566,Steinfurt,Landkreis,2016,49.6
05566,Steinfurt,Landkreis,2017,50.1
05570,Warendorf,Landkreis,2016,65.2
05570,Warendorf,Landkreis,2017,68.1
05711,"Bielefeld, Stadt",krsfr. Stadt,2016,41.9
05711,"Bielefeld, Stadt",krsfr. Stadt,2017,42.7
05754,Gütersloh,Landkreis,2016,50.3
05754,Gütersloh,Landkreis,2017,51.9
05758,Herford,Landkreis,2016,32
05758,Herford,Landkreis,2017,32.7
05762,Höxter,Landkreis,2016,58.4
05762,Höxter,Landkreis,2017,64.5
05766,Lippe,Landkreis,2016,65.7
05766,Lippe,Landkreis,2017,68.2
05770,Minden-Lübbecke,Landkreis,2016,39.4
05770,Minden-Lübbecke,Landkreis,2017,41.1
05774,Paderborn,Landkreis,2016,62.1
05774,Paderborn,Landkreis,2017,60.3
05911,"Bochum, Stadt",krsfr. Stadt,2016,41.8
05911,"Bochum, Stadt",krsfr. Stadt,2017,42.8
05913,"Dortmund, Stadt",krsfr. Stadt,2016,32.1
05913,"Dortmund, Stadt",krsfr. Stadt,2017,33.2
05914,"Hagen, Stadt",krsfr. Stadt,2016,26.6
05914,"Hagen, Stadt",krsfr. Stadt,2017,27.6
05915,"Hamm, Stadt",krsfr. Stadt,2016,38.5
05915,"Hamm, Stadt",krsfr. Stadt,2017,40.1
05916,"Herne, Stadt",krsfr. Stadt,2016,35.8
05916,"Herne, Stadt",krsfr. Stadt,2017,35.3
05954,Ennepe-Ruhr-Kreis,Landkreis,2016,26.6
05954,Ennepe-Ruhr-Kreis,Landkreis,2017,26.8
