Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,337.6
01001,"Flensburg, Stadt",krsfr. Stadt,2017,332.4
01002,"Kiel, Stadt",krsfr. Stadt,2016,251
01002,"Kiel, Stadt",krsfr. Stadt,2017,250.1
01003,"Lübeck, Stadt",krsfr. Stadt,2016,683.3
01003,"Lübeck, Stadt",krsfr. Stadt,2017,683.1
01004,"Neumünster, Stadt",krsfr. Stadt,2016,499
01004,"Neumünster, Stadt",krsfr. Stadt,2017,499.8
01051,Dithmarschen,Landkreis,2016,9581.6
01051,Dithmarschen,Landkreis,2017,9583.7
01053,Herzogtum Lauenburg,Landkreis,2016,5795.5
01053,Herzogtum Lauenburg,Landkreis,2017,5762.8
01054,Nordfriesland,Landkreis,2016,11386.6
01054,Nordfriesland,Landkreis,2017,11345.4
01055,Ostholstein,Landkreis,2016,6232.2
01055,Ostholstein,Landkreis,2017,6235.5
01056,Pinneberg,Landkreis,2016,1730.4
01056,Pinneberg,Landkreis,2017,1716.5
01057,Plön,Landkreis,2016,7719.9
01057,Plön,Landkreis,2017,7709.1
01058,Rendsburg-Eckernförde,Landkreis,2016,7233.5
01058,Rendsburg-Eckernförde,Landkreis,2017,7211.6
01059,Schleswig-Flensburg,Landkreis,2016,9361.3
01059,Schleswig-Flensburg,Landkreis,2017,9317.5
01060,Segeberg,Landkreis,2016,4335.6
01060,Segeberg,Landkreis,2017,4305
01061,Steinburg,Landkreis,2016,7171.3
01061,Steinburg,Landkreis,2017,7182.8
01062,Stormarn,Landkreis,2016,2671.1
01062,Stormarn,Landkreis,2017,2660.2
02000,"Hamburg, Stadt",krsfr. Stadt,2016,211.2
02000,"Hamburg, Stadt",krsfr. Stadt,2017,208.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,473.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,475
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,1628.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,1615.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,1219.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,1216.1
03151,Gifhorn,Landkreis,2016,8084.7
03151,Gifhorn,Landkreis,2017,8063.4
03153,Goslar,Landkreis,2016,6321.3
03153,Goslar,Landkreis,2017,6339.7
03154,Helmstedt,Landkreis,2016,6529.1
03154,Helmstedt,Landkreis,2017,6548.3
03155,Northeim,Landkreis,2016,8495.7
03155,Northeim,Landkreis,2017,8528.1
03157,Peine,Landkreis,2016,3384.1
03157,Peine,Landkreis,2017,3370.7
03158,Wolfenbüttel,Landkreis,2016,5342.8
03158,Wolfenbüttel,Landkreis,2017,5361.7
03159,Göttingen,Landkreis,2016,4724.8
03159,Göttingen,Landkreis,2017,4699.3
03241,Region Hannover,Landkreis,2016,1617.8
03241,Region Hannover,Landkreis,2017,1612.1
03251,Diepholz,Landkreis,2016,8163.8
03251,Diepholz,Landkreis,2017,8126.7
03252,Hameln-Pyrmont,Landkreis,2016,4694.5
03252,Hameln-Pyrmont,Landkreis,2017,4693.7
03254,Hildesheim,Landkreis,2016,3762.4
03254,Hildesheim,Landkreis,2017,3770.1
03255,Holzminden,Landkreis,2016,8782
03255,Holzminden,Landkreis,2017,8826.9
03256,Nienburg (Weser),Landkreis,2016,10292.8
03256,Nienburg (Weser),Landkreis,2017,10297.6
03257,Schaumburg,Landkreis,2016,3574.6
03257,Schaumburg,Landkreis,2017,3571.3
03351,Celle,Landkreis,2016,7763.1
03351,Celle,Landkreis,2017,7743.3
03352,Cuxhaven,Landkreis,2016,9269.8
03352,Cuxhaven,Landkreis,2017,9285.7
03353,Harburg,Landkreis,2016,4233.5
03353,Harburg,Landkreis,2017,4207.5
03354,Lüchow-Dannenberg,Landkreis,2016,23192.2
03354,Lüchow-Dannenberg,Landkreis,2017,23417.5
03355,Lüneburg,Landkreis,2016,6561.9
03355,Lüneburg,Landkreis,2017,6506.5
03356,Osterholz,Landkreis,2016,4968.9
03356,Osterholz,Landkreis,2017,4948.1
03357,Rotenburg (Wümme),Landkreis,2016,11393.6
03357,Rotenburg (Wümme),Landkreis,2017,11392.6
03358,Heidekreis,Landkreis,2016,12288.4
03358,Heidekreis,Landkreis,2017,12270.8
03359,Stade,Landkreis,2016,5545.2
03359,Stade,Landkreis,2017,5543
03360,Uelzen,Landkreis,2016,14465
03360,Uelzen,Landkreis,2017,14496.8
03361,Verden,Landkreis,2016,5009.8
03361,Verden,Landkreis,2017,4981.4
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,450.5
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,448.3
03402,"Emden, Stadt",krsfr. Stadt,2016,1654.9
03402,"Emden, Stadt",krsfr. Stadt,2017,1659.3
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,292
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,289.9
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,407.6
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,407.9
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,838.7
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,843.6
03451,Ammerland,Landkreis,2016,5009
03451,Ammerland,Landkreis,2017,4980
03452,Aurich,Landkreis,2016,5853.7
03452,Aurich,Landkreis,2017,5855.7
03453,Cloppenburg,Landkreis,2016,7445.1
03453,Cloppenburg,Landkreis,2017,7359.7
03454,Emsland,Landkreis,2016,7822.3
03454,Emsland,Landkreis,2017,7763.6
03455,Friesland,Landkreis,2016,5264.3
03455,Friesland,Landkreis,2017,5263.8
