Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,97.2
01001,"Flensburg, Stadt",krsfr. Stadt,2017,95.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,24.4
01002,"Kiel, Stadt",krsfr. Stadt,2017,24.2
01003,"Lübeck, Stadt",krsfr. Stadt,2016,165.3
01003,"Lübeck, Stadt",krsfr. Stadt,2017,166.2
01004,"Neumünster, Stadt",krsfr. Stadt,2016,53.1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,54.1
01051,Dithmarschen,Landkreis,2016,1015.7
01051,Dithmarschen,Landkreis,2017,1017
01053,Herzogtum Lauenburg,Landkreis,2016,328.2
01053,Herzogtum Lauenburg,Landkreis,2017,325
01054,Nordfriesland,Landkreis,2016,1149
01054,Nordfriesland,Landkreis,2017,1145.4
01055,Ostholstein,Landkreis,2016,431.8
01055,Ostholstein,Landkreis,2017,432.8
01056,Pinneberg,Landkreis,2016,208.1
01056,Pinneberg,Landkreis,2017,206
01057,Plön,Landkreis,2016,941.7
01057,Plön,Landkreis,2017,941.6
01058,Rendsburg-Eckernförde,Landkreis,2016,587.8
01058,Rendsburg-Eckernförde,Landkreis,2017,587.9
01059,Schleswig-Flensburg,Landkreis,2016,781.6
01059,Schleswig-Flensburg,Landkreis,2017,779.2
01060,Segeberg,Landkreis,2016,188.4
01060,Segeberg,Landkreis,2017,189.2
01061,Steinburg,Landkreis,2016,665
01061,Steinburg,Landkreis,2017,666.6
01062,Stormarn,Landkreis,2016,86.1
01062,Stormarn,Landkreis,2017,85.7
02000,"Hamburg, Stadt",krsfr. Stadt,2016,47.4
02000,"Hamburg, Stadt",krsfr. Stadt,2017,47.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,41.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,41.5
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,115.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,120.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,93.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,88.4
03151,Gifhorn,Landkreis,2016,467.9
03151,Gifhorn,Landkreis,2017,453.9
03153,Goslar,Landkreis,2016,357.5
03153,Goslar,Landkreis,2017,418.5
03154,Helmstedt,Landkreis,2016,249.2
03154,Helmstedt,Landkreis,2017,266.7
03155,Northeim,Landkreis,2016,224.7
03155,Northeim,Landkreis,2017,241.2
03157,Peine,Landkreis,2016,172.9
03157,Peine,Landkreis,2017,172
03158,Wolfenbüttel,Landkreis,2016,145.4
03158,Wolfenbüttel,Landkreis,2017,147.4
03159,Göttingen,Landkreis,2016,109.2
03159,Göttingen,Landkreis,2017,107.8
03241,Region Hannover,Landkreis,2016,121.9
03241,Region Hannover,Landkreis,2017,121.6
03251,Diepholz,Landkreis,2016,681.8
03251,Diepholz,Landkreis,2017,684.8
03252,Hameln-Pyrmont,Landkreis,2016,121.4
03252,Hameln-Pyrmont,Landkreis,2017,120.4
03254,Hildesheim,Landkreis,2016,107.8
03254,Hildesheim,Landkreis,2017,108.7
03255,Holzminden,Landkreis,2016,257.3
03255,Holzminden,Landkreis,2017,255.1
03256,Nienburg (Weser),Landkreis,2016,695.9
03256,Nienburg (Weser),Landkreis,2017,697.6
03257,Schaumburg,Landkreis,2016,115.9
03257,Schaumburg,Landkreis,2017,122.7
03351,Celle,Landkreis,2016,590.7
03351,Celle,Landkreis,2017,589.5
03352,Cuxhaven,Landkreis,2016,810.5
03352,Cuxhaven,Landkreis,2017,800.4
03353,Harburg,Landkreis,2016,248
03353,Harburg,Landkreis,2017,248.5
03354,Lüchow-Dannenberg,Landkreis,2016,957.7
03354,Lüchow-Dannenberg,Landkreis,2017,968.6
03355,Lüneburg,Landkreis,2016,386.9
03355,Lüneburg,Landkreis,2017,341.9
03356,Osterholz,Landkreis,2016,453.8
03356,Osterholz,Landkreis,2017,453.2
03357,Rotenburg (Wümme),Landkreis,2016,789.4
03357,Rotenburg (Wümme),Landkreis,2017,788.7
03358,Heidekreis,Landkreis,2016,2157.5
03358,Heidekreis,Landkreis,2017,1419.9
03359,Stade,Landkreis,2016,611.4
03359,Stade,Landkreis,2017,609.2
03360,Uelzen,Landkreis,2016,892.8
03360,Uelzen,Landkreis,2017,749.1
03361,Verden,Landkreis,2016,293.1
03361,Verden,Landkreis,2017,289.2
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,39.7
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,37.9
03402,"Emden, Stadt",krsfr. Stadt,2016,196.3
03402,"Emden, Stadt",krsfr. Stadt,2017,186.5
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,54.7
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,55.8
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,20.7
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,20.6
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,179.7
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,178.2
03451,Ammerland,Landkreis,2016,275.1
03451,Ammerland,Landkreis,2017,278.2
03452,Aurich,Landkreis,2016,573.7
03452,Aurich,Landkreis,2017,631.4
03453,Cloppenburg,Landkreis,2016,439.2
03453,Cloppenburg,Landkreis,2017,442.3
03454,Emsland,Landkreis,2016,740
03454,Emsland,Landkreis,2017,702.9
03455,Friesland,Landkreis,2016,308
03455,Friesland,Landkreis,2017,304.7
03456,Grafschaft Bentheim,Landkreis,2016,446
03456,Grafschaft Bentheim,Landkreis,2017,459.7
03457,Leer,Landkreis,2016,774.1
03457,Leer,Landkreis,2017,780.7
03458,Oldenburg,Landkreis,2016,305.8
03458,Oldenburg,Landkreis,2017,309.4
03459,Osnabrück,Landkreis,2016,201.9
03459,Osnabrück,Landkreis,2017,202.7
03460,Vechta,Landkreis,2016,270.1
03460,Vechta,Landkreis,2017,277.5
03461,Wesermarsch,Landkreis,2016,605.2
03461,Wesermarsch,Landkreis,2017,606
03462,Wittmund,Landkreis,2016,865.1
03462,Wittmund,Landkreis,2017,876.9
04011,"Bremen, Stadt",krsfr. Stadt,2016,44.8
04011,"Bremen, Stadt",krsfr. Stadt,2017,45.2
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,246.7
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,246.6
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,28.5
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,29.3
05112,"Duisburg, Stadt",krsfr. Stadt,2016,51.2
05112,"Duisburg, Stadt",krsfr. Stadt,2017,63.5
05113,"Essen, Stadt",krsfr. Stadt,2016,16.8
05113,"Essen, Stadt",krsfr. Stadt,2017,18.9
05114,"Krefeld, Stadt",krsfr. Stadt,2016,29.2
05114,"Krefeld, Stadt",krsfr. Stadt,2017,29.3
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,17.3
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,17.4
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,22.3
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,21.3
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,18.8
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,19.4
05120,"Remscheid, Stadt",krsfr. Stadt,2016,21.6
05120,"Remscheid, Stadt",krsfr. Stadt,2017,23.7
05122,"Solingen, Stadt",krsfr. Stadt,2016,21.6
05122,"Solingen, Stadt",krsfr. Stadt,2017,23.7
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,18.2
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,19.1
05154,Kleve,Landkreis,2016,207.4
05154,Kleve,Landkreis,2017,213.1
05158,Mettmann,Landkreis,2016,34.6
05158,Mettmann,Landkreis,2017,35.5
05162,Rhein-Kreis Neuss,Landkreis,2016,43.3
05162,Rhein-Kreis Neuss,Landkreis,2017,44.7
05166,Viersen,Landkreis,2016,97.8
05166,Viersen,Landkreis,2017,98.6
05170,Wesel,Landkreis,2016,186.2
05170,Wesel,Landkreis,2017,199.2
05314,"Bonn, Stadt",krsfr. Stadt,2016,21.9
05314,"Bonn, Stadt",krsfr. Stadt,2017,21.7
05315,"Köln, Stadt",krsfr. Stadt,2016,32.7
05315,"Köln, Stadt",krsfr. Stadt,2017,32.7
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,31.9
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,33.1
05334,Städteregion Aachen,Landkreis,2016,39.8
05334,Städteregion Aachen,Landkreis,2017,41.8
05358,Düren,Landkreis,2016,127.9
05358,Düren,Landkreis,2017,128
05362,Rhein-Erft-Kreis,Landkreis,2016,63
05362,Rhein-Erft-Kreis,Landkreis,2017,63.9
05366,Euskirchen,Landkreis,2016,189.1
05366,Euskirchen,Landkreis,2017,197
05370,Heinsberg,Landkreis,2016,50.7
05370,Heinsberg,Landkreis,2017,54.3
05374,Oberbergischer Kreis,Landkreis,2016,95.9
05374,Oberbergischer Kreis,Landkreis,2017,95.2
05378,Rheinisch-Bergischer Kreis,Landkreis,2016,42
05378,Rheinisch-Bergischer Kreis,Landkreis,2017,43.3
05382,Rhein-Sieg-Kreis,Landkreis,2016,73.1
05382,Rhein-Sieg-Kreis,Landkreis,2017,76.1
05512,"Bottrop, Stadt",krsfr. Stadt,2016,38.2
05512,"Bottrop, Stadt",krsfr. Stadt,2017,41.5
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2016,25.6
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2017,25.5
05515,"Münster, Stadt",krsfr. Stadt,2016,56.8
05515,"Münster, Stadt",krsfr. Stadt,2017,59.6
05554,Borken,Landkreis,2016,145.2
05554,Borken,Landkreis,2017,156.9
05558,Coesfeld,Landkreis,2016,194.9
05558,Coesfeld,Landkreis,2017,201.4
05562,Recklinghausen,Landkreis,2016,60.9
05562,Recklinghausen,Landkreis,2017,64.2
05566,Steinfurt,Landkreis,2016,144.4
05566,Steinfurt,Landkreis,2017,155.6
05570,Warendorf,Landkreis,2016,150.4
05570,Warendorf,Landkreis,2017,157
05711,"Bielefeld, Stadt",krsfr. Stadt,2016,18.1
05711,"Bielefeld, Stadt",krsfr. Stadt,2017,18.5
05754,Gütersloh,Landkreis,2016,111
05754,Gütersloh,Landkreis,2017,121
05758,Herford,Landkreis,2016,33.3
05758,Herford,Landkreis,2017,35.2
05762,Höxter,Landkreis,2016,160.9
05762,Höxter,Landkreis,2017,169.8
05766,Lippe,Landkreis,2016,108.4
05766,Lippe,Landkreis,2017,111.7
05770,Minden-Lübbecke,Landkreis,2016,173.2
05770,Minden-Lübbecke,Landkreis,2017,178.8
05774,Paderborn,Landkreis,2016,152.7
05774,Paderborn,Landkreis,2017,155.7
05911,"Bochum, Stadt",krsfr. Stadt,2016,14.8
05911,"Bochum, Stadt",krsfr. Stadt,2017,17.1
05913,"Dortmund, Stadt",krsfr. Stadt,2016,28.6
05913,"Dortmund, Stadt",krsfr. Stadt,2017,29.2
05914,"Hagen, Stadt",krsfr. Stadt,2016,27.6
05914,"Hagen, Stadt",krsfr. Stadt,2017,31.6
05915,"Hamm, Stadt",krsfr. Stadt,2016,60.2
05915,"Hamm, Stadt",krsfr. Stadt,2017,61.6
05916,"Herne, Stadt",krsfr. Stadt,2016,25.5
05916,"Herne, Stadt",krsfr. Stadt,2017,25.4
05954,Ennepe-Ruhr-Kreis,Landkreis,2016,39
05954,Ennepe-Ruhr-Kreis,Landkreis,2017,39.5
05958,Hochsauerlandkreis,Landkreis,2016,142.5
05958,Hochsauerlandkreis,Landkreis,2017,144.7
05962,Märkischer Kreis,Landkreis,2016,58.4
05962,Märkischer Kreis,Landkreis,2017,65
05966,Olpe,Landkreis,2016,236.5
05966,Olpe,Landkreis,2017,248.4
05970,Siegen-Wittgenstein,Landkreis,2016,134.8
05970,Siegen-Wittgenstein,Landkreis,2017,147.7
05974,Soest,Landkreis,2016,124
05974,Soest,Landkreis,2017,133.6
05978,Unna,Landkreis,2016,53.3
05978,Unna,Landkreis,2017,60.9
06411,"Darmstadt, Stadt",krsfr. Stadt,2016,10
06411,"Darmstadt, Stadt",krsfr. Stadt,2017,10
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2016,9
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2017,8.7
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2016,14
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2017,13.7
06414,"Wiesbaden, Stadt",krsfr. Stadt,2016,27.1
06414,"Wiesbaden, Stadt",krsfr. Stadt,2017,27.3
06431,Bergstraße,Landkreis,2016,79.9
06431,Bergstraße,Landkreis,2017,81.9
06432,Darmstadt-Dieburg,Landkreis,2016,40.7
06432,Darmstadt-Dieburg,Landkreis,2017,41.1
06433,Groß-Gerau,Landkreis,2016,107.1
06433,Groß-Gerau,Landkreis,2017,106.7
06434,Hochtaunuskreis,Landkreis,2016,26.6
06434,Hochtaunuskreis,Landkreis,2017,26.6
06435,Main-Kinzig-Kreis,Landkreis,2016,78.5
06435,Main-Kinzig-Kreis,Landkreis,2017,78.1
06436,Main-Taunus-Kreis,Landkreis,2016,20.6
06436,Main-Taunus-Kreis,Landkreis,2017,21.6
06437,Odenwaldkreis,Landkreis,2016,60.7
06437,Odenwaldkreis,Landkreis,2017,60.4
06438,Offenbach,Landkreis,2016,32.5
06438,Offenbach,Landkreis,2017,32.3
06439,Rheingau-Taunus-Kreis,Landkreis,2016,155.3
06439,Rheingau-Taunus-Kreis,Landkreis,2017,154.8
06440,Wetteraukreis,Landkreis,2016,71.2
06440,Wetteraukreis,Landkreis,2017,74.2
06531,Gießen,Landkreis,2016,76.5
06531,Gießen,Landkreis,2017,76.5
06532,Lahn-Dill-Kreis,Landkreis,2016,83.1
06532,Lahn-Dill-Kreis,Landkreis,2017,88.5
06533,Limburg-Weilburg,Landkreis,2016,109.5
06533,Limburg-Weilburg,Landkreis,2017,110.7
06534,Marburg-Biedenkopf,Landkreis,2016,91.1
06534,Marburg-Biedenkopf,Landkreis,2017,92.3
06535,Vogelsbergkreis,Landkreis,2016,252.8
06535,Vogelsbergkreis,Landkreis,2017,259.6
06611,"Kassel, Stadt",krsfr. Stadt,2016,16.6
06611,"Kassel, Stadt",krsfr. Stadt,2017,16.5
06631,Fulda,Landkreis,2016,99.2
06631,Fulda,Landkreis,2017,103.9
06632,Hersfeld-Rotenburg,Landkreis,2016,141.9
06632,Hersfeld-Rotenburg,Landkreis,2017,145.7
06633,Kassel,Landkreis,2016,97.7
06633,Kassel,Landkreis,2017,97.9
06634,Schwalm-Eder-Kreis,Landkreis,2016,283
06634,Schwalm-Eder-Kreis,Landkreis,2017,291
06635,Waldeck-Frankenberg,Landkreis,2016,274.2
06635,Waldeck-Frankenberg,Landkreis,2017,277.7
06636,Werra-Meißner-Kreis,Landkreis,2016,286.2
06636,Werra-Meißner-Kreis,Landkreis,2017,287.7
07111,"Koblenz, Stadt",krsfr. Stadt,2016,85.6
07111,"Koblenz, Stadt",krsfr. Stadt,2017,88.2
07131,Ahrweiler,Landkreis,2016,246.2
07131,Ahrweiler,Landkreis,2017,251.1
07132,Altenkirchen (Westerwald),Landkreis,2016,97.1
07132,Altenkirchen (Westerwald),Landkreis,2017,97.2
07133,Bad Kreuznach,Landkreis,2016,225.7
07133,Bad Kreuznach,Landkreis,2017,240.1
07134,Birkenfeld,Landkreis,2016,220.8
07134,Birkenfeld,Landkreis,2017,252
07135,Cochem-Zell,Landkreis,2016,495.6
07135,Cochem-Zell,Landkreis,2017,498.2
07137,Mayen-Koblenz,Landkreis,2016,178
07137,Mayen-Koblenz,Landkreis,2017,181.6
07138,Neuwied,Landkreis,2016,138.1
07138,Neuwied,Landkreis,2017,142.6
07140,Rhein-Hunsrück-Kreis,Landkreis,2016,228.6
07140,Rhein-Hunsrück-Kreis,Landkreis,2017,237.3
07141,Rhein-Lahn-Kreis,Landkreis,2016,300.9
07141,Rhein-Lahn-Kreis,Landkreis,2017,302.8
07143,Westerwaldkreis,Landkreis,2016,182.3
07143,Westerwaldkreis,Landkreis,2017,183.2
07211,"Trier, Stadt",krsfr. Stadt,2016,95.9
07211,"Trier, Stadt",krsfr. Stadt,2017,100.2
