Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,2941.9
01001,"Flensburg, Stadt",krsfr. Stadt,2017,2965.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,3845.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,3844.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2743.5
01003,"Lübeck, Stadt",krsfr. Stadt,2017,2718.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2201.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2184.3
01051,Dithmarschen,Landkreis,2016,849.7
01051,Dithmarschen,Landkreis,2017,844.5
01053,Herzogtum Lauenburg,Landkreis,2016,1344.7
01053,Herzogtum Lauenburg,Landkreis,2017,1344.4
01054,Nordfriesland,Landkreis,2016,745.6
01054,Nordfriesland,Landkreis,2017,740.7
01055,Ostholstein,Landkreis,2016,1218.7
01055,Ostholstein,Landkreis,2017,1208.1
01056,Pinneberg,Landkreis,2016,2169.5
01056,Pinneberg,Landkreis,2017,2171.7
01057,Plön,Landkreis,2016,1249.1
01057,Plön,Landkreis,2017,1244.6
01058,Rendsburg-Eckernförde,Landkreis,2016,1120.1
01058,Rendsburg-Eckernförde,Landkreis,2017,1117.2
01059,Schleswig-Flensburg,Landkreis,2016,882.3
01059,Schleswig-Flensburg,Landkreis,2017,882.8
01060,Segeberg,Landkreis,2016,1498.2
01060,Segeberg,Landkreis,2017,1502.6
01061,Steinburg,Landkreis,2016,1120
01061,Steinburg,Landkreis,2017,1114.1
01062,Stormarn,Landkreis,2016,1804.7
01062,Stormarn,Landkreis,2017,1784.5
02000,"Hamburg, Stadt",krsfr. Stadt,2016,4069.8
02000,"Hamburg, Stadt",krsfr. Stadt,2017,4111.3
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,2749.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,2753.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,1623.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,1649.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,1948.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,1930.7
03151,Gifhorn,Landkreis,2016,1030.2
03151,Gifhorn,Landkreis,2017,1026
03153,Goslar,Landkreis,2016,1302.7
03153,Goslar,Landkreis,2017,1306.3
03154,Helmstedt,Landkreis,2016,1124.7
03154,Helmstedt,Landkreis,2017,1113.6
03155,Northeim,Landkreis,2016,912
03155,Northeim,Landkreis,2017,904.3
03157,Peine,Landkreis,2016,1388.5
03157,Peine,Landkreis,2017,1386.5
03158,Wolfenbüttel,Landkreis,2016,1375
03158,Wolfenbüttel,Landkreis,2017,1369.5
03159,Göttingen,Landkreis,2016,1390.5
03159,Göttingen,Landkreis,2017,1376
03241,Region Hannover,Landkreis,2016,2253
03241,Region Hannover,Landkreis,2017,2263.6
03251,Diepholz,Landkreis,2016,862.6
03251,Diepholz,Landkreis,2017,863.8
03252,Hameln-Pyrmont,Landkreis,2016,1295.8
03252,Hameln-Pyrmont,Landkreis,2017,1297.1
03254,Hildesheim,Landkreis,2016,1492.4
03254,Hildesheim,Landkreis,2017,1491.9
03255,Holzminden,Landkreis,2016,964.7
03255,Holzminden,Landkreis,2017,960.2
03256,Nienburg (Weser),Landkreis,2016,764.4
03256,Nienburg (Weser),Landkreis,2017,763.5
03257,Schaumburg,Landkreis,2016,1297.6
03257,Schaumburg,Landkreis,2017,1309
03351,Celle,Landkreis,2016,972.4
03351,Celle,Landkreis,2017,969.4
03352,Cuxhaven,Landkreis,2016,847.8
03352,Cuxhaven,Landkreis,2017,837.4
03353,Harburg,Landkreis,2016,1203.5
03353,Harburg,Landkreis,2017,1203.3
03354,Lüchow-Dannenberg,Landkreis,2016,489.4
03354,Lüchow-Dannenberg,Landkreis,2017,484.9
03355,Lüneburg,Landkreis,2016,1192.8
03355,Lüneburg,Landkreis,2017,1194.6
03356,Osterholz,Landkreis,2016,1128.5
03356,Osterholz,Landkreis,2017,1129
03357,Rotenburg (Wümme),Landkreis,2016,713.4
03357,Rotenburg (Wümme),Landkreis,2017,714.7
03358,Heidekreis,Landkreis,2016,760.7
03358,Heidekreis,Landkreis,2017,716.8
03359,Stade,Landkreis,2016,1270.5
03359,Stade,Landkreis,2017,1277.8
03360,Uelzen,Landkreis,2016,730.7
03360,Uelzen,Landkreis,2017,726.7
03361,Verden,Landkreis,2016,1147.7
03361,Verden,Landkreis,2017,1153
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,2564.7
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,2578.9
03402,"Emden, Stadt",krsfr. Stadt,2016,1618.1
03402,"Emden, Stadt",krsfr. Stadt,2017,1621.5
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,2709.9
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,2738.1
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,2768.2
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,2781.3
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,1568.9
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,1586.9
03451,Ammerland,Landkreis,2016,972.6
03451,Ammerland,Landkreis,2017,975.4
