Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,41.2
01001,"Flensburg, Stadt",krsfr. Stadt,2017,40.9
01002,"Kiel, Stadt",krsfr. Stadt,2016,27.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,27.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,152.1
01003,"Lübeck, Stadt",krsfr. Stadt,2017,152.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,39.8
01004,"Neumünster, Stadt",krsfr. Stadt,2017,40.5
01051,Dithmarschen,Landkreis,2016,399.7
01051,Dithmarschen,Landkreis,2017,402.7
01053,Herzogtum Lauenburg,Landkreis,2016,1676.9
01053,Herzogtum Lauenburg,Landkreis,2017,1673.3
01054,Nordfriesland,Landkreis,2016,530.7
01054,Nordfriesland,Landkreis,2017,528.9
01055,Ostholstein,Landkreis,2016,703.4
01055,Ostholstein,Landkreis,2017,704.6
01056,Pinneberg,Landkreis,2016,186.3
01056,Pinneberg,Landkreis,2017,187.2
01057,Plön,Landkreis,2016,953.1
01057,Plön,Landkreis,2017,952.7
01058,Rendsburg-Eckernförde,Landkreis,2016,936.3
01058,Rendsburg-Eckernförde,Landkreis,2017,934.2
01059,Schleswig-Flensburg,Landkreis,2016,729.4
01059,Schleswig-Flensburg,Landkreis,2017,727.4
01060,Segeberg,Landkreis,2016,863.1
01060,Segeberg,Landkreis,2017,858.3
01061,Steinburg,Landkreis,2016,746.9
01061,Steinburg,Landkreis,2017,748.1
01062,Stormarn,Landkreis,2016,433.8
01062,Stormarn,Landkreis,2017,436
02000,"Hamburg, Stadt",krsfr. Stadt,2016,32.6
02000,"Hamburg, Stadt",krsfr. Stadt,2017,32.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,102.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,103.1
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,387.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,388.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,396.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,394.3
03151,Gifhorn,Landkreis,2016,3054.9
03151,Gifhorn,Landkreis,2017,3056.7
03153,Goslar,Landkreis,2016,4100.2
03153,Goslar,Landkreis,2017,4110.5
03154,Helmstedt,Landkreis,2016,1835.4
03154,Helmstedt,Landkreis,2017,1868.4
03155,Northeim,Landkreis,2016,3695.7
03155,Northeim,Landkreis,2017,3700.1
03157,Peine,Landkreis,2016,420.5
03157,Peine,Landkreis,2017,418.4
03158,Wolfenbüttel,Landkreis,2016,1156.2
03158,Wolfenbüttel,Landkreis,2017,1163.3
03159,Göttingen,Landkreis,2016,2288.6
03159,Göttingen,Landkreis,2017,2271.2
03241,Region Hannover,Landkreis,2016,401.4
03241,Region Hannover,Landkreis,2017,400.5
03251,Diepholz,Landkreis,2016,945.3
03251,Diepholz,Landkreis,2017,945.5
03252,Hameln-Pyrmont,Landkreis,2016,1718.5
03252,Hameln-Pyrmont,Landkreis,2017,1718.5
03254,Hildesheim,Landkreis,2016,1063.5
