Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,93.8
01001,"Flensburg, Stadt",krsfr. Stadt,2017,92.4
01002,"Kiel, Stadt",krsfr. Stadt,2016,44.1
01002,"Kiel, Stadt",krsfr. Stadt,2017,44
01003,"Lübeck, Stadt",krsfr. Stadt,2016,134.5
01003,"Lübeck, Stadt",krsfr. Stadt,2017,134.8
01004,"Neumünster, Stadt",krsfr. Stadt,2016,23.2
01004,"Neumünster, Stadt",krsfr. Stadt,2017,23.3
01051,Dithmarschen,Landkreis,2016,506.4
01051,Dithmarschen,Landkreis,2017,507.5
01053,Herzogtum Lauenburg,Landkreis,2016,266.4
01053,Herzogtum Lauenburg,Landkreis,2017,265
01054,Nordfriesland,Landkreis,2016,509.1
01054,Nordfriesland,Landkreis,2017,507.2
01055,Ostholstein,Landkreis,2016,281.4
01055,Ostholstein,Landkreis,2017,281.8
01056,Pinneberg,Landkreis,2016,122
01056,Pinneberg,Landkreis,2017,120.4
01057,Plön,Landkreis,2016,857.8
01057,Plön,Landkreis,2017,857.1
01058,Rendsburg-Eckernförde,Landkreis,2016,350.7
01058,Rendsburg-Eckernförde,Landkreis,2017,349.7
01059,Schleswig-Flensburg,Landkreis,2016,575.1
01059,Schleswig-Flensburg,Landkreis,2017,572.2
01060,Segeberg,Landkreis,2016,89.4
01060,Segeberg,Landkreis,2017,89.2
01061,Steinburg,Landkreis,2016,459.2
01061,Steinburg,Landkreis,2017,460.4
01062,Stormarn,Landkreis,2016,50.1
01062,Stormarn,Landkreis,2017,49.8
02000,"Hamburg, Stadt",krsfr. Stadt,2016,33.7
02000,"Hamburg, Stadt",krsfr. Stadt,2017,33.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,20
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,20
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,57.1
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,56.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,44.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,44.9
03151,Gifhorn,Landkreis,2016,136.8
03151,Gifhorn,Landkreis,2017,131.6
03153,Goslar,Landkreis,2016,124.3
03153,Goslar,Landkreis,2017,124.5
03154,Helmstedt,Landkreis,2016,110.7
03154,Helmstedt,Landkreis,2017,117.2
03155,Northeim,Landkreis,2016,99.8
03155,Northeim,Landkreis,2017,99.9
03157,Peine,Landkreis,2016,90.1
03157,Peine,Landkreis,2017,90.4
03158,Wolfenbüttel,Landkreis,2016,65.8
03158,Wolfenbüttel,Landkreis,2017,66.8
03159,Göttingen,Landkreis,2016,61
03159,Göttingen,Landkreis,2017,60.1
03241,Region Hannover,Landkreis,2016,61
03241,Region Hannover,Landkreis,2017,60.8
03251,Diepholz,Landkreis,2016,184.5
03251,Diepholz,Landkreis,2017,182.3
03252,Hameln-Pyrmont,Landkreis,2016,74.3
03252,Hameln-Pyrmont,Landkreis,2017,75.3
03254,Hildesheim,Landkreis,2016,59.5
03254,Hildesheim,Landkreis,2017,60.7
03255,Holzminden,Landkreis,2016,113.4
03255,Holzminden,Landkreis,2017,114.3
03256,Nienburg (Weser),Landkreis,2016,269.4
03256,Nienburg (Weser),Landkreis,2017,262
03257,Schaumburg,Landkreis,2016,74.9
03257,Schaumburg,Landkreis,2017,74.4
03351,Celle,Landkreis,2016,126.2
03351,Celle,Landkreis,2017,126.1
03352,Cuxhaven,Landkreis,2016,269.1
03352,Cuxhaven,Landkreis,2017,274.9
03353,Harburg,Landkreis,2016,93.8
03353,Harburg,Landkreis,2017,93
03354,Lüchow-Dannenberg,Landkreis,2016,556.7
03354,Lüchow-Dannenberg,Landkreis,2017,554
03355,Lüneburg,Landkreis,2016,185.2
03355,Lüneburg,Landkreis,2017,185.5
03356,Osterholz,Landkreis,2016,137.5
03356,Osterholz,Landkreis,2017,137.8
03357,Rotenburg (Wümme),Landkreis,2016,118.6
03357,Rotenburg (Wümme),Landkreis,2017,119.5
03358,Heidekreis,Landkreis,2016,120.7
03358,Heidekreis,Landkreis,2017,130
03359,Stade,Landkreis,2016,424.7
03359,Stade,Landkreis,2017,424.5
03360,Uelzen,Landkreis,2016,113.7
03360,Uelzen,Landkreis,2017,112
03361,Verden,Landkreis,2016,140.6
03361,Verden,Landkreis,2017,133.4
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,16.4
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,16.1
03402,"Emden, Stadt",krsfr. Stadt,2016,160.4
03402,"Emden, Stadt",krsfr. Stadt,2017,160.1
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,24.4
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,23.3
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,11
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,11.3
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,77.8
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,77.7
03451,Ammerland,Landkreis,2016,149.5
03451,Ammerland,Landkreis,2017,152.2
03452,Aurich,Landkreis,2016,212.5
03452,Aurich,Landkreis,2017,219.3
03453,Cloppenburg,Landkreis,2016,148
03453,Cloppenburg,Landkreis,2017,146.1
03454,Emsland,Landkreis,2016,249.5
03454,Emsland,Landkreis,2017,229
03455,Friesland,Landkreis,2016,163.3
03455,Friesland,Landkreis,2017,153.1
03456,Grafschaft Bentheim,Landkreis,2016,156
03456,Grafschaft Bentheim,Landkreis,2017,156
03457,Leer,Landkreis,2016,386.3
03457,Leer,Landkreis,2017,381.8
03458,Oldenburg,Landkreis,2016,103.8
03458,Oldenburg,Landkreis,2017,102.5
03459,Osnabrück,Landkreis,2016,105.5
03459,Osnabrück,Landkreis,2017,105
03460,Vechta,Landkreis,2016,87.4
03460,Vechta,Landkreis,2017,87.2
03461,Wesermarsch,Landkreis,2016,427
03461,Wesermarsch,Landkreis,2017,428.5
03462,Wittmund,Landkreis,2016,256
03462,Wittmund,Landkreis,2017,262.3
04011,"Bremen, Stadt",krsfr. Stadt,2016,42
04011,"Bremen, Stadt",krsfr. Stadt,2017,41.8
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,225.2
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,225.3
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,22
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,21.4
05112,"Duisburg, Stadt",krsfr. Stadt,2016,39.5
05112,"Duisburg, Stadt",krsfr. Stadt,2017,39.6
05113,"Essen, Stadt",krsfr. Stadt,2016,9.6
05113,"Essen, Stadt",krsfr. Stadt,2017,9.2
05114,"Krefeld, Stadt",krsfr. Stadt,2016,18.2
05114,"Krefeld, Stadt",krsfr. Stadt,2017,18.1
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,2.7
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,2.6
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,11.4
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,11.4
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,4.1
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,4
05120,"Remscheid, Stadt",krsfr. Stadt,2016,10.8
05120,"Remscheid, Stadt",krsfr. Stadt,2017,10.9
05122,"Solingen, Stadt",krsfr. Stadt,2016,7.1
05122,"Solingen, Stadt",krsfr. Stadt,2017,6.7
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,5.4
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,5.4
05154,Kleve,Landkreis,2016,153.6
05154,Kleve,Landkreis,2017,150.9
05158,Mettmann,Landkreis,2016,16.9
05158,Mettmann,Landkreis,2017,16.5
05162,Rhein-Kreis Neuss,Landkreis,2016,35.7
05162,Rhein-Kreis Neuss,Landkreis,2017,37
05166,Viersen,Landkreis,2016,35.3
05166,Viersen,Landkreis,2017,35.6
05170,Wesel,Landkreis,2016,104.3
05170,Wesel,Landkreis,2017,106.5
05314,"Bonn, Stadt",krsfr. Stadt,2016,17.3
05314,"Bonn, Stadt",krsfr. Stadt,2017,17.1
05315,"Köln, Stadt",krsfr. Stadt,2016,18
05315,"Köln, Stadt",krsfr. Stadt,2017,17.9
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,20.8
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,20.8
05334,Städteregion Aachen,Landkreis,2016,19.3
05334,Städteregion Aachen,Landkreis,2017,18.9
05358,Düren,Landkreis,2016,60.9
05358,Düren,Landkreis,2017,60.8
05362,Rhein-Erft-Kreis,Landkreis,2016,24.6
05362,Rhein-Erft-Kreis,Landkreis,2017,24.6
05366,Euskirchen,Landkreis,2016,57.7
05366,Euskirchen,Landkreis,2017,55.7
05370,Heinsberg,Landkreis,2016,29.7
05370,Heinsberg,Landkreis,2017,27.1
05374,Oberbergischer Kreis,Landkreis,2016,60.7
05374,Oberbergischer Kreis,Landkreis,2017,59.8
05378,Rheinisch-Bergischer Kreis,Landkreis,2016,26.3
05378,Rheinisch-Bergischer Kreis,Landkreis,2017,25.9
05382,Rhein-Sieg-Kreis,Landkreis,2016,38.8
05382,Rhein-Sieg-Kreis,Landkreis,2017,38
05512,"Bottrop, Stadt",krsfr. Stadt,2016,16.8
05512,"Bottrop, Stadt",krsfr. Stadt,2017,14.4
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2016,10.2
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2017,5.5
05515,"Münster, Stadt",krsfr. Stadt,2016,20.4
05515,"Münster, Stadt",krsfr. Stadt,2017,19
