Indikator,Indicator,Langname,Longname,Berechnungsgrundlage,Calculation_basis,Anmerkungen,Notes,Quelle
Bruttoverdienst,Gross earnings,Monatlicher Bruttoverdienst von Arbeitnehmern in Euro,Monthly gross earnings of employees in euros,Bruttolohn und -gehalt von Arbeitnehmern <Zeitpunkt> / Arbeitnehmer <Zeitpunkt> / 12,Gross wages and salaries of employees <time> / employee <time> / 12,"Arbeitnehmer = alle Personen, die als Arbeitnehmer in einem Arbeitsverhältnis stehen (Arbeiter, Angestellte, Beamte, Soldaten und Auszubildende), auch geringfügig Beschäftigte. Nicht erfasst sind Selbständige, die ein Gewerbe oder eine Landwirtschaft betreiben oder einen freien Beruf ausüben. Das Arbeitnehmerentgelt setzt sich zusammen aus den Bruttolöhnen und -gehältern sowie den tatsächlichen und unterstellten Sozialbeiträgen der Arbeitgeber. - Die Bruttolöhne und -gehälter (Verdienste) enthalten die von den im Inland ansässigen Wirtschaftseinheiten (Betrieben) geleisteten Löhne und Gehälter der beschäftigten Arbeitnehmer vor Abzug der Lohnsteuer und der Sozialbeiträge der Arbeitnehmer (nicht Sozialbeiträge der Arbeitgeber) sowie Sachleistungen, die den Arbeitnehmern unentgeltlich oder verbilligt zur Verfügung gestellt werden.","Employees = all persons who are employed as employees (blue-collar workers, employees, civil servants, soldiers and trainees), including those in marginal employment. Self-employed who operate a trade, agriculture or exercise a free profession are not included. The employee's remuneration consists of the gross wages and salaries as well as the actual and imputed social contributions of the employers. - The gross wages and salaries (earnings) contain the wages and salaries of the employed employees paid by the domestic economic units (companies) before deduction of the wage tax and the social contributions of the employees (not social contributions of the employers) as well as benefits in kind that are free or can be made available at a reduced price.",Volkswirtschaftliche Gesamtrechnung der Länder
Medianeinkommen,Median income,Monatsentgelte der Vollzeitbeschäftigten,Monthly wages for full-time employees,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten in €,Median income of full-time employees subject to social security contributions in €,"Median der monatliche Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten am Arbeitsort. 'Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben.","Median of the gross monthly wages of full-time employees subject to social security contributions at the place of work. '' Comparisons with previous years are not possible, or only possible to a limited extent, because of a new procedure introduced in 2011 by which employers pass on their reports on full and part-time employment to the BA.",Statistik der Bundesagentur für Arbeit
Bruttoverdienst im Produzierenden Gewerbe,Gross earnings in the manufacturing industry,Monatlicher Bruttoverdienst von Arbeitnehmern im Produzierenden Gewerbe in Euro,Monthly gross earnings of employees in the manufacturing sector in euros,Bruttolohn und -gehalt von Arbeitnehmern Wirtschaftszweige B-F <Zeitpunkt> / Arbeitnehmer WZ B-F <Zeitpunkt> / 12,"Gross wages and salaries of employees, economic sectors B-F <time> / employee WZ B-F <time> / 12","Arbeitnehmer = alle Personen, die als Arbeitnehmer in einem Arbeitsverhältnis stehen (Arbeiter, Angestellte, Beamte, Soldaten und Auszubildende), auch geringfügig Beschäftigte. Nicht erfasst sind Selbständige, die ein Gewerbe oder eine Landwirtschaft betreiben oder einen freien Beruf ausüben. Das Arbeitnehmerentgelt setzt sich zusammen aus den Bruttolöhnen und -gehältern sowie den tatsächlichen und unterstellten Sozialbeiträgen der Arbeitgeber. - Die Bruttolöhne und -gehälter (Verdienste) enthalten die von den im Inland ansässigen Wirtschaftseinheiten (Betrieben) geleisteten Löhne und Gehälter der beschäftigten Arbeitnehmer vor Abzug der Lohnsteuer und der Sozialbeiträge der Arbeitnehmer (nicht Sozialbeiträge der Arbeitgeber) sowie Sachleistungen, die den Arbeitnehmern unentgeltlich oder verbilligt zur Verfügung gestellt werden.","Employees = all persons who are employed as employees (blue-collar workers, employees, civil servants, soldiers and trainees), including those in marginal employment. Self-employed who operate a trade, agriculture or exercise a free profession are not included. The employee's remuneration consists of the gross wages and salaries as well as the actual and imputed social contributions of the employers. - The gross wages and salaries (earnings) contain the wages and salaries of the employed employees paid by the domestic economic units (companies) before deduction of the wage tax and the social contributions of the employees (not social contributions of the employers) as well as benefits in kind that are free or can be made available at a reduced price.",Volkswirtschaftliche Gesamtrechnung der Länder
Medianeinkommen Frauen,Median income women,Monatsentgelte der Vollzeitbeschäftigten Frauen,Monthly wages of full-time women,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten Frauen in €,Median income of full-time employees subject to social security contributions in €,"Median der monatliche Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten am Arbeitsort. 'Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben.","Median of the gross monthly wages of full-time employees subject to social security contributions at the place of work. '' Comparisons with previous years are not possible, or only possible to a limited extent, because of a new procedure introduced in 2011 by which employers pass on their reports on full and part-time employment to the BA.",Statistik der Bundesagentur für Arbeit
Medianeinkommen Männer,Median income men,Monatsentgelte der Vollzeitbeschäftigten Männer,Monthly wages of full-time men,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten Männer  in €,Median income of full-time male employees subject to social security contributions in €,"Median der monatliche Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten am Arbeitsort. 'Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben.","Median of the gross monthly wages of full-time employees subject to social security contributions at the place of work. '' Comparisons with previous years are not possible, or only possible to a limited extent, because of a new procedure introduced in 2011 by which employers pass on their reports on full and part-time employment to the BA.",Statistik der Bundesagentur für Arbeit
Medianeinkommen 25 bis unter 55jährige,Median income 25 to under 55 years,Monatsentgelte der Vollzeitbeschäftigten im Alter von 25 bis unter 55 Jahren,Monthly wages for full-time employees aged 25 to under 55 years,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten 25 bis unter 55 Jahre in €,Median income of full-time employees subject to social security contributions 25 to under 55 years in €,"Median der monatliche Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten am Arbeitsort. 'Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben.","Median of the gross monthly wages of full-time employees subject to social security contributions at the place of work. '' Comparisons with previous years are not possible, or only possible to a limited extent, because of a new procedure introduced in 2011 by which employers pass on their reports on full and part-time employment to the BA.",Statistik der Bundesagentur für Arbeit
Medianeinkommen 55 bis unter 65jährige,Median income 55 to under 65,Monatsentgelte der Vollzeitbeschäftigten im Alter von 55 bis unter 65 Jahren,Monthly wages for full-time employees aged 55 to under 65,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten 55 bis unter 65 Jahre in €,Median income of full-time employees 55 to under 65 years of age subject to social security contributions in €,"Median der monatliche Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten am Arbeitsort. 'Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben.","Median of the gross monthly wages of full-time employees subject to social security contributions at the place of work. '' Comparisons with previous years are not possible, or only possible to a limited extent, because of a new procedure introduced in 2011 by which employers pass on their reports on full and part-time employment to the BA.",Statistik der Bundesagentur für Arbeit
Haushaltseinkommen,Household income,Durchschnittliches Haushaltseinkommen in € je Einwohner,Average household income in € per inhabitant,verfügbares Einkommen der privaten Haushalte <Zeitpunkt> / E <Zeitpunkt>,disposable income of private households <time> / E <time>,"Bevölkerung 2011,2012: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Das verfügbare Einkommen ist als der Betrag zu verstehen, der den privaten Haushalten für Konsumzwecke oder zur Ersparnisbildung zur Verfügung steht. Es ergibt sich dadurch, dass dem Primäreinkommen die monetären Sozialleistungen (Rente, Arbeitslosenhilfe, Kindergeld etc.) sowie die sonstigen laufenden Transfers hinzugefügt werden und die Sozialbeiträge und die sonstigen laufenden Transfers sowie Einkommens- und andere Steuern, die von den privaten Haushalten zu leisten sind, abgezogen werden. Das Primäreinkommen enthält die Einkommen aus Erwerbstätigkeit und Vermögen, die den inländischen privaten Haushalten zugeflossen sind (z.B. Selbständigeneinkommen, Arbeitnehmerentgelt).","Population 2011/2012: update of the 2011 census; Previous years: Continuation of the 1987 census. - The disposable income is to be understood as the amount that is available to private households for consumption purposes or for the formation of savings. It results from the fact that monetary social benefits (pensions, unemployment benefits, child benefit, etc.) and other current transfers are added to the primary income, as well as social contributions and other current transfers as well as income and other taxes to be paid by private households , subtracted from. The primary income includes the income from employment and assets that accrued to domestic private households (e.g. income from self-employed persons, compensation of employees).",Volkswirtschaftliche Gesamtrechnung der Länder
Arbeitsvolumen,Volume of work,Geleistete Arbeitsstunden von Arbeitnehmern,Hours worked by employees,geleistete Arbeitsstunden (Jahreswert) der Arbeitnehmer <Zeitpunkt> / Arbeitnehmer <Zeitpunkt>,hours worked (annual value) by employee <time> / employee <time>,"Das Arbeitsvolumen umfasst die tatsächlich geleistete Arbeitszeit aller Erwerbstätigen, die als Arbeitnehmer (Arbeiter, Angestellte, Beamte, Richter, marginal Beschäftigte, Soldaten) oder als Selbstständige beziehungsweise als mithelfende Familienangehörige eine auf wirtschaftlichen Erwerb gerichtete Tätigkeit ausüben. Hierzu zählen auch die geleisteten Arbeitsstunden von Personen mit mehreren gleichzeitigen Beschäftigungsverhältnissen. Nicht zum Arbeitsvolumen gehören hingegen die bezahlten, aber nicht geleisteten Arbeitsstunden, beispielsweise Jahresurlaub, Elternzeit, Feiertage, Kurzarbeit oder krankheitsbedingte Abwesenheit. Ebenfalls unberücksichtigt bleiben die nicht bezahlten Pausen für das Einnehmen von Mahlzeiten sowie die Zeit für die Fahrten zwischen Wohnung und Arbeitsplatz. Das Arbeitsvolumen umfasst somit die Gesamtzahl der während des Berichtszeitraums am jeweiligen Arbeitsort von Arbeitnehmern und Selbstständigen innerhalb einer Region tatsächlich geleisteten Arbeitsstunden. Es berücksichtigt weder Intensität noch Qualität der geleisteten Arbeit. Das Arbeitsvolumen ergibt sich als Produkt aus Erwerbstätigenzahl und Arbeitszeit je Erwerbstätigen. (siehe auch Standard-Arbeitsvolumen).Standard-Arbeitsvolumen: Anders als bei den Ergebnissen der regionalen Arbeitsvolumenrechnungen für die Länder werden die Ergebnisse für die kreisfreien Städte und Landkreise als Standard-Arbeitsvolumen bezeichnet. Damit soll dem Umstand Rechnung getragen werden, dass mangels statistischer Ausgangsdaten unternehmensspezifische Sonderregelungen zu den tariflichen Arbeitszeiten in den Berechnungen nicht berücksichtigt werden.","The volume of work includes the hours actually worked by all employed persons (blue-collar workers, employees, civil servants, judges, marginal employees, soldiers) or as self-employed or as family workers in an economic activity. This also includes the hours worked by people with several simultaneous jobs. On the other hand, the work volume does not include the hours that have been paid but not worked, e.g. annual leave, parental leave, public holidays, short-time work or absence due to illness. The unpaid breaks for eating meals and the time spent traveling between home and work are also not taken into account. The volume of work thus comprises the total number of hours actually worked at the respective place of work by employees and self-employed within a region during the reporting period. It does not take into account the intensity or quality of the work done. The volume of work is the product of the number of employed persons and working hours per employed person. (see also standard work volume). This is to take account of the fact that, due to a lack of statistical initial data, company-specific special regulations on collectively agreed working hours are not taken into account in the calculations.",Volkswirtschaftliche Gesamtrechnung der Länder
Medianeinkommen anerkannter Berufsabschluss,Median income recognized professional qualification,Monatsentgelte der Vollzeitbeschäftigten mit anerkanntem Berufsabschluss,Monthly wages of full-time employees with recognized professional qualifications,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten mit anerkanntem Berufsabschluss in €,Median income of full-time employees subject to social security contributions with a recognized professional qualification in €,"Median der monatliche Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten am Arbeitsort. 'Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben.","Median of the gross monthly wages of full-time employees subject to social security contributions at the place of work. '' Comparisons with previous years are not possible, or only possible to a limited extent, because of a new procedure introduced in 2011 by which employers pass on their reports on full and part-time employment to the BA.",Statistik der Bundesagentur für Arbeit
