Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Bruttoverdienst im Produzierenden Gewerbe;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Medianeinkommen;Medianeinkommen;Medianeinkommen;Medianeinkommen;Medianeinkommen Frauen;Medianeinkommen Frauen;Medianeinkommen Frauen;Medianeinkommen Frauen;Medianeinkommen Männer;Medianeinkommen Männer;Medianeinkommen Männer;Medianeinkommen Männer;Medianeinkommen 25 bis unter 55jährige;Medianeinkommen 25 bis unter 55jährige;Medianeinkommen 25 bis unter 55jährige;Medianeinkommen 25 bis unter 55jährige;Medianeinkommen 55 bis unter 65jährige;Medianeinkommen 55 bis unter 65jährige;Medianeinkommen 55 bis unter 65jährige;Medianeinkommen 55 bis unter 65jährige;Medianeinkommen anerkannter Berufsabschluss;Medianeinkommen anerkannter Berufsabschluss;Medianeinkommen anerkannter Berufsabschluss;Medianeinkommen anerkannter Berufsabschluss;Medianeinkommen akademischer Berufsabschluss;Medianeinkommen akademischer Berufsabschluss;Medianeinkommen akademischer Berufsabschluss;Medianeinkommen akademischer Berufsabschluss
;;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2014;2015;2016;2017;2014;2015;2016;2017;2014;2015;2016;2017;2014;2015;2016;2017;2014;2015;2016;2017;2014;2015;2016;2017;2014;2015;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"1.198";"1.224";"1.234";"1.249";"1.250";"1.312";"1.355";"1.408";"1.396";"1.388";"1.379";"1.501";"1.539";"1.541";"1.542";"1.544";"1.557";"1.598";"1.972";"2.029";"2.111";"2.170";"2.154";"2.091";"2.023";"2.038";"2.084";"2.066";"2.095";"2.126";"2.201";"2.227";"2.256";"2.319";"2.323";"2.431";"2.443";"2.565";"2.804";"2.929";"2.928";"2.856";"2.974";"3.048";"3.145";"2.998";"2.997";"3.052";"3.106";"3.203";"3.189";"3.315";"3.327";"3.343";"1.351,9";"1.335,5";"1.341,6";"1.340,8";"1.332,9";"1.316,3";"1.333,2";"1.339,3";"1.328,8";"1.281,9";"1.301,0";"1.293,3";"1.280,2";"1.275,3";"1.286,5";"1.286,1";"1.283,1";"1.289,3";"2.867";"2.886";"2.934";"2.986";"2.521";"2.560";"2.611";"2.678";"3.052";"3.077";"3.110";"3.167";"2.892";"2.903";"2.947";"2.992";"3.210";"3.277";"3.325";"3.373";"2.869,0";"2.894,0";"2.949,0";"3.016,0";"4.377,0";"4.390,0";"4.392,0";"4.468,0"
"01002";"Kiel, Stadt";"krsfr. Stadt";"1.200";"1.242";"1.256";"1.287";"1.299";"1.333";"1.343";"1.374";"1.395";"1.397";"1.410";"1.454";"1.488";"1.530";"1.510";"1.527";"1.555";"1.604";"2.127";"2.182";"2.246";"2.286";"2.277";"2.248";"2.204";"2.221";"2.253";"2.283";"2.347";"2.392";"2.436";"2.464";"2.565";"2.671";"2.689";"2.771";"2.642";"2.740";"2.875";"3.110";"3.032";"2.983";"3.006";"3.111";"3.170";"3.160";"3.261";"3.372";"3.435";"3.474";"3.637";"3.907";"3.983";"4.057";"1.371,4";"1.365,6";"1.363,0";"1.353,2";"1.347,4";"1.340,0";"1.361,3";"1.355,5";"1.340,3";"1.298,7";"1.314,1";"1.317,6";"1.305,3";"1.288,2";"1.295,8";"1.298,2";"1.297,7";"1.300,5";"3.129";"3.190";"3.231";"3.304";"2.898";"2.963";"3.020";"3.108";"3.334";"3.382";"3.401";"3.465";"3.136";"3.188";"3.228";"3.296";"3.520";"3.589";"3.647";"3.693";"3.034,0";"3.085,0";"3.117,0";"3.179,0";"4.843,0";"4.880,0";"4.869,0";"4.926,0"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"1.221";"1.268";"1.299";"1.356";"1.392";"1.424";"1.435";"1.454";"1.466";"1.460";"1.460";"1.486";"1.527";"1.530";"1.552";"1.606";"1.645";"1.698";"1.951";"1.985";"2.025";"2.022";"2.044";"2.047";"2.023";"2.041";"2.077";"2.077";"2.147";"2.202";"2.253";"2.303";"2.409";"2.430";"2.589";"2.618";"2.678";"2.716";"2.749";"2.757";"2.828";"2.832";"2.950";"2.957";"2.986";"2.885";"2.934";"3.035";"3.062";"3.174";"3.340";"3.294";"3.783";"3.654";"1.351,7";"1.343,6";"1.340,1";"1.330,3";"1.323,9";"1.319,8";"1.340,2";"1.338,5";"1.324,8";"1.279,1";"1.303,8";"1.305,6";"1.295,2";"1.286,0";"1.304,1";"1.302,5";"1.303,0";"1.306,8";"2.885";"2.931";"2.962";"3.036";"2.700";"2.762";"2.798";"2.882";"2.998";"3.033";"3.060";"3.122";"2.917";"2.957";"2.990";"3.055";"3.154";"3.210";"3.241";"3.324";"2.877,0";"2.912,0";"2.942,0";"3.012,0";"4.579,0";"4.668,0";"4.770,0";"4.794,0"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"1.260";"1.324";"1.305";"1.312";"1.291";"1.330";"1.348";"1.381";"1.389";"1.383";"1.384";"1.406";"1.459";"1.486";"1.534";"1.521";"1.551";"1.606";"2.036";"2.032";"2.089";"2.060";"2.068";"2.044";"2.040";"2.077";"2.075";"2.079";"2.102";"2.182";"2.220";"2.318";"2.346";"2.402";"2.453";"2.524";"2.472";"2.492";"2.646";"2.644";"2.739";"2.651";"2.712";"2.910";"2.914";"2.840";"2.883";"3.006";"3.083";"3.318";"3.277";"3.340";"3.399";"3.442";"1.349,0";"1.333,9";"1.328,1";"1.319,7";"1.319,2";"1.303,7";"1.327,9";"1.330,9";"1.340,3";"1.297,8";"1.320,7";"1.333,8";"1.325,8";"1.308,8";"1.315,3";"1.313,8";"1.319,7";"1.324,5";"2.699";"2.735";"2.760";"2.842";"2.486";"2.553";"2.591";"2.675";"2.782";"2.801";"2.815";"2.896";"2.741";"2.766";"2.789";"2.872";"2.886";"2.933";"2.955";"3.012";"2.749,0";"2.775,0";"2.790,0";"2.867,0";"4.760,0";"4.748,0";"4.744,0";"4.860,0"
"01051";"Dithmarschen";"Landkreis";"1.181";"1.234";"1.252";"1.297";"1.348";"1.377";"1.395";"1.431";"1.483";"1.481";"1.514";"1.580";"1.629";"1.691";"1.738";"1.788";"1.830";"1.906";"1.948";"1.968";"1.991";"1.984";"1.952";"1.945";"1.966";"1.978";"1.994";"1.977";"2.007";"2.083";"2.106";"2.144";"2.197";"2.227";"2.310";"2.333";"2.679";"2.744";"2.731";"2.795";"2.900";"2.922";"2.935";"2.980";"2.922";"2.860";"2.934";"3.062";"2.992";"3.070";"3.139";"3.199";"3.338";"3.323";"1.339,6";"1.324,2";"1.312,0";"1.288,4";"1.280,6";"1.275,7";"1.305,9";"1.306,1";"1.301,0";"1.251,0";"1.272,7";"1.278,9";"1.266,7";"1.260,1";"1.266,6";"1.264,9";"1.265,8";"1.266,0";"2.749";"2.769";"2.835";"2.914";"2.237";"2.298";"2.380";"2.441";"2.916";"2.928";"2.999";"3.069";"2.773";"2.788";"2.852";"2.924";"3.072";"3.120";"3.198";"3.248";"2.789,0";"2.809,0";"2.864,0";"2.941,0";"5.088,0";"5.014,0";"5.128,0";"5.218,0"
"01053";"Herzogtum Lauenburg";"Landkreis";"1.416";"1.469";"1.473";"1.503";"1.528";"1.572";"1.584";"1.620";"1.666";"1.692";"1.718";"1.773";"1.829";"1.816";"1.842";"1.864";"1.900";"1.955";"1.830";"1.879";"1.880";"1.862";"1.848";"1.835";"1.834";"1.881";"1.982";"1.978";"1.977";"2.102";"2.150";"2.204";"2.273";"2.345";"2.401";"2.448";"2.476";"2.548";"2.559";"2.584";"2.612";"2.623";"2.688";"2.768";"2.867";"2.708";"2.574";"2.921";"2.948";"3.048";"3.171";"3.291";"3.381";"3.417";"1.294,5";"1.278,5";"1.270,1";"1.263,6";"1.259,8";"1.250,3";"1.273,8";"1.273,5";"1.284,7";"1.247,6";"1.269,9";"1.271,7";"1.262,0";"1.250,6";"1.259,9";"1.261,7";"1.261,9";"1.263,2";"2.676";"2.720";"2.755";"2.832";"2.350";"2.405";"2.458";"2.564";"2.833";"2.869";"2.897";"2.949";"2.710";"2.754";"2.793";"2.870";"2.909";"2.945";"2.961";"3.031";"2.694,0";"2.731,0";"2.765,0";"2.844,0";"4.917,0";"4.936,0";"4.969,0";"5.034,0"
"01054";"Nordfriesland";"Landkreis";"1.233";"1.280";"1.287";"1.331";"1.368";"1.431";"1.485";"1.547";"1.623";"1.642";"1.679";"1.770";"1.811";"1.901";"1.986";"2.006";"2.062";"2.135";"1.791";"1.821";"1.834";"1.863";"1.867";"1.885";"1.890";"1.907";"1.916";"1.955";"2.004";"2.070";"2.131";"2.216";"2.201";"2.277";"2.321";"2.373";"2.200";"2.261";"2.328";"2.396";"2.412";"2.438";"2.500";"2.538";"2.490";"2.575";"2.687";"2.776";"2.777";"2.814";"2.888";"2.942";"3.044";"3.066";"1.360,1";"1.344,5";"1.338,5";"1.327,4";"1.328,1";"1.327,2";"1.350,7";"1.348,4";"1.340,2";"1.301,8";"1.321,8";"1.319,4";"1.313,5";"1.302,3";"1.303,2";"1.304,9";"1.309,8";"1.308,2";"2.619";"2.669";"2.714";"2.768";"2.210";"2.265";"2.317";"2.389";"2.773";"2.823";"2.867";"2.919";"2.660";"2.707";"2.752";"2.810";"2.870";"2.933";"2.949";"2.980";"2.660,0";"2.703,0";"2.749,0";"2.804,0";"4.051,0";"4.059,0";"4.075,0";"4.078,0"
"01055";"Ostholstein";"Landkreis";"1.279";"1.323";"1.341";"1.399";"1.440";"1.466";"1.469";"1.491";"1.531";"1.546";"1.578";"1.679";"1.731";"1.750";"1.797";"1.806";"1.853";"1.923";"1.663";"1.683";"1.710";"1.727";"1.732";"1.735";"1.744";"1.800";"1.827";"1.825";"1.867";"1.906";"1.985";"2.013";"2.046";"2.109";"2.162";"2.215";"2.135";"2.085";"2.127";"2.164";"2.223";"2.221";"2.270";"2.375";"2.446";"2.368";"2.487";"2.512";"2.559";"2.656";"2.677";"2.761";"2.824";"2.813";"1.324,3";"1.316,9";"1.313,6";"1.304,1";"1.301,4";"1.296,6";"1.314,3";"1.314,6";"1.297,8";"1.255,7";"1.273,5";"1.272,3";"1.264,4";"1.252,8";"1.256,6";"1.255,2";"1.256,0";"1.256,7";"2.480";"2.516";"2.569";"2.636";"2.235";"2.277";"2.352";"2.434";"2.611";"2.645";"2.690";"2.748";"2.508";"2.537";"2.591";"2.660";"2.726";"2.760";"2.791";"2.846";"2.510,0";"2.536,0";"2.593,0";"2.659,0";"4.342,0";"4.355,0";"4.456,0";"4.527,0"
"01056";"Pinneberg";"Landkreis";"1.513";"1.572";"1.565";"1.601";"1.611";"1.646";"1.649";"1.673";"1.720";"1.741";"1.774";"1.867";"1.919";"1.929";"1.934";"1.958";"1.998";"2.052";"1.940";"1.988";"2.034";"2.073";"2.096";"2.119";"2.134";"2.176";"2.223";"2.269";"2.284";"2.322";"2.366";"2.448";"2.447";"2.512";"2.580";"2.612";"2.628";"2.734";"2.789";"2.866";"2.956";"2.998";"3.070";"3.128";"3.126";"3.224";"3.194";"3.239";"3.271";"3.504";"3.396";"3.507";"3.508";"3.457";"1.338,4";"1.325,6";"1.318,4";"1.316,4";"1.314,8";"1.309,8";"1.327,3";"1.330,0";"1.326,4";"1.282,0";"1.301,1";"1.302,7";"1.293,1";"1.282,9";"1.287,7";"1.286,9";"1.286,8";"1.290,7";"2.864";"2.926";"2.983";"3.036";"2.563";"2.622";"2.692";"2.751";"2.996";"3.055";"3.111";"3.161";"2.905";"2.962";"3.023";"3.072";"3.112";"3.169";"3.208";"3.277";"2.875,0";"2.931,0";"2.977,0";"3.032,0";"4.868,0";"4.890,0";"4.974,0";"5.038,0"
