Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,2443
01001,"Flensburg, Stadt",krsfr. Stadt,2001,2565
01001,"Flensburg, Stadt",krsfr. Stadt,2002,2804
01001,"Flensburg, Stadt",krsfr. Stadt,2003,2929
01001,"Flensburg, Stadt",krsfr. Stadt,2004,2928
01001,"Flensburg, Stadt",krsfr. Stadt,2005,2856
01001,"Flensburg, Stadt",krsfr. Stadt,2006,2974
01001,"Flensburg, Stadt",krsfr. Stadt,2007,3048
01001,"Flensburg, Stadt",krsfr. Stadt,2008,3145
01001,"Flensburg, Stadt",krsfr. Stadt,2009,2998
01001,"Flensburg, Stadt",krsfr. Stadt,2010,2997
01001,"Flensburg, Stadt",krsfr. Stadt,2011,3052
01001,"Flensburg, Stadt",krsfr. Stadt,2012,3106
01001,"Flensburg, Stadt",krsfr. Stadt,2013,3203
01001,"Flensburg, Stadt",krsfr. Stadt,2014,3189
01001,"Flensburg, Stadt",krsfr. Stadt,2015,3315
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3327
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3343
01002,"Kiel, Stadt",krsfr. Stadt,2000,2642
01002,"Kiel, Stadt",krsfr. Stadt,2001,2740
01002,"Kiel, Stadt",krsfr. Stadt,2002,2875
01002,"Kiel, Stadt",krsfr. Stadt,2003,3110
01002,"Kiel, Stadt",krsfr. Stadt,2004,3032
01002,"Kiel, Stadt",krsfr. Stadt,2005,2983
01002,"Kiel, Stadt",krsfr. Stadt,2006,3006
01002,"Kiel, Stadt",krsfr. Stadt,2007,3111
01002,"Kiel, Stadt",krsfr. Stadt,2008,3170
01002,"Kiel, Stadt",krsfr. Stadt,2009,3160
01002,"Kiel, Stadt",krsfr. Stadt,2010,3261
01002,"Kiel, Stadt",krsfr. Stadt,2011,3372
01002,"Kiel, Stadt",krsfr. Stadt,2012,3435
01002,"Kiel, Stadt",krsfr. Stadt,2013,3474
