Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,1972
01001,"Flensburg, Stadt",krsfr. Stadt,2001,2029
01001,"Flensburg, Stadt",krsfr. Stadt,2002,2111
01001,"Flensburg, Stadt",krsfr. Stadt,2003,2170
01001,"Flensburg, Stadt",krsfr. Stadt,2004,2154
01001,"Flensburg, Stadt",krsfr. Stadt,2005,2091
01001,"Flensburg, Stadt",krsfr. Stadt,2006,2023
01001,"Flensburg, Stadt",krsfr. Stadt,2007,2038
01001,"Flensburg, Stadt",krsfr. Stadt,2008,2084
01001,"Flensburg, Stadt",krsfr. Stadt,2009,2066
01001,"Flensburg, Stadt",krsfr. Stadt,2010,2095
01001,"Flensburg, Stadt",krsfr. Stadt,2011,2126
01001,"Flensburg, Stadt",krsfr. Stadt,2012,2201
01001,"Flensburg, Stadt",krsfr. Stadt,2013,2227
01001,"Flensburg, Stadt",krsfr. Stadt,2014,2256
01001,"Flensburg, Stadt",krsfr. Stadt,2015,2319
01001,"Flensburg, Stadt",krsfr. Stadt,2016,2323
01001,"Flensburg, Stadt",krsfr. Stadt,2017,2431
01002,"Kiel, Stadt",krsfr. Stadt,2000,2127
01002,"Kiel, Stadt",krsfr. Stadt,2001,2182
01002,"Kiel, Stadt",krsfr. Stadt,2002,2246
01002,"Kiel, Stadt",krsfr. Stadt,2003,2286
01002,"Kiel, Stadt",krsfr. Stadt,2004,2277
01002,"Kiel, Stadt",krsfr. Stadt,2005,2248
01002,"Kiel, Stadt",krsfr. Stadt,2006,2204
01002,"Kiel, Stadt",krsfr. Stadt,2007,2221
01002,"Kiel, Stadt",krsfr. Stadt,2008,2253
01002,"Kiel, Stadt",krsfr. Stadt,2009,2283
01002,"Kiel, Stadt",krsfr. Stadt,2010,2347
01002,"Kiel, Stadt",krsfr. Stadt,2011,2392
01002,"Kiel, Stadt",krsfr. Stadt,2012,2436
01002,"Kiel, Stadt",krsfr. Stadt,2013,2464
01002,"Kiel, Stadt",krsfr. Stadt,2014,2565
01002,"Kiel, Stadt",krsfr. Stadt,2015,2671
01002,"Kiel, Stadt",krsfr. Stadt,2016,2689
01002,"Kiel, Stadt",krsfr. Stadt,2017,2771
01003,"Lübeck, Stadt",krsfr. Stadt,2000,1951
01003,"Lübeck, Stadt",krsfr. Stadt,2001,1985
01003,"Lübeck, Stadt",krsfr. Stadt,2002,2025
01003,"Lübeck, Stadt",krsfr. Stadt,2003,2022
01003,"Lübeck, Stadt",krsfr. Stadt,2004,2044
01003,"Lübeck, Stadt",krsfr. Stadt,2005,2047
01003,"Lübeck, Stadt",krsfr. Stadt,2006,2023
01003,"Lübeck, Stadt",krsfr. Stadt,2007,2041
01003,"Lübeck, Stadt",krsfr. Stadt,2008,2077
01003,"Lübeck, Stadt",krsfr. Stadt,2009,2077
01003,"Lübeck, Stadt",krsfr. Stadt,2010,2147
01003,"Lübeck, Stadt",krsfr. Stadt,2011,2202
01003,"Lübeck, Stadt",krsfr. Stadt,2012,2253
01003,"Lübeck, Stadt",krsfr. Stadt,2013,2303
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2409
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2430
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2589
01003,"Lübeck, Stadt",krsfr. Stadt,2017,2618
01004,"Neumünster, Stadt",krsfr. Stadt,2000,2036
01004,"Neumünster, Stadt",krsfr. Stadt,2001,2032
01004,"Neumünster, Stadt",krsfr. Stadt,2002,2089
01004,"Neumünster, Stadt",krsfr. Stadt,2003,2060
01004,"Neumünster, Stadt",krsfr. Stadt,2004,2068
01004,"Neumünster, Stadt",krsfr. Stadt,2005,2044
01004,"Neumünster, Stadt",krsfr. Stadt,2006,2040
01004,"Neumünster, Stadt",krsfr. Stadt,2007,2077
01004,"Neumünster, Stadt",krsfr. Stadt,2008,2075
01004,"Neumünster, Stadt",krsfr. Stadt,2009,2079
01004,"Neumünster, Stadt",krsfr. Stadt,2010,2102
01004,"Neumünster, Stadt",krsfr. Stadt,2011,2182
01004,"Neumünster, Stadt",krsfr. Stadt,2012,2220
01004,"Neumünster, Stadt",krsfr. Stadt,2013,2318
01004,"Neumünster, Stadt",krsfr. Stadt,2014,2346
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2402
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2453
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2524
01051,Dithmarschen,Landkreis,2000,1948
01051,Dithmarschen,Landkreis,2001,1968
01051,Dithmarschen,Landkreis,2002,1991
01051,Dithmarschen,Landkreis,2003,1984
01051,Dithmarschen,Landkreis,2004,1952
01051,Dithmarschen,Landkreis,2005,1945
01051,Dithmarschen,Landkreis,2006,1966
01051,Dithmarschen,Landkreis,2007,1978
01051,Dithmarschen,Landkreis,2008,1994
01051,Dithmarschen,Landkreis,2009,1977
01051,Dithmarschen,Landkreis,2010,2007
01051,Dithmarschen,Landkreis,2011,2083
01051,Dithmarschen,Landkreis,2012,2106
01051,Dithmarschen,Landkreis,2013,2144
01051,Dithmarschen,Landkreis,2014,2197
01051,Dithmarschen,Landkreis,2015,2227
01051,Dithmarschen,Landkreis,2016,2310
01051,Dithmarschen,Landkreis,2017,2333
01053,Herzogtum Lauenburg,Landkreis,2000,1830
01053,Herzogtum Lauenburg,Landkreis,2001,1879
01053,Herzogtum Lauenburg,Landkreis,2002,1880
01053,Herzogtum Lauenburg,Landkreis,2003,1862
01053,Herzogtum Lauenburg,Landkreis,2004,1848
01053,Herzogtum Lauenburg,Landkreis,2005,1835
01053,Herzogtum Lauenburg,Landkreis,2006,1834
01053,Herzogtum Lauenburg,Landkreis,2007,1881
01053,Herzogtum Lauenburg,Landkreis,2008,1982
01053,Herzogtum Lauenburg,Landkreis,2009,1978
01053,Herzogtum Lauenburg,Landkreis,2010,1977
01053,Herzogtum Lauenburg,Landkreis,2011,2102
01053,Herzogtum Lauenburg,Landkreis,2012,2150
01053,Herzogtum Lauenburg,Landkreis,2013,2204
01053,Herzogtum Lauenburg,Landkreis,2014,2273
01053,Herzogtum Lauenburg,Landkreis,2015,2345
01053,Herzogtum Lauenburg,Landkreis,2016,2401
01053,Herzogtum Lauenburg,Landkreis,2017,2448
01054,Nordfriesland,Landkreis,2000,1791
01054,Nordfriesland,Landkreis,2001,1821
01054,Nordfriesland,Landkreis,2002,1834
01054,Nordfriesland,Landkreis,2003,1863
01054,Nordfriesland,Landkreis,2004,1867
01054,Nordfriesland,Landkreis,2005,1885
01054,Nordfriesland,Landkreis,2006,1890
01054,Nordfriesland,Landkreis,2007,1907
01054,Nordfriesland,Landkreis,2008,1916
01054,Nordfriesland,Landkreis,2009,1955
01054,Nordfriesland,Landkreis,2010,2004
01054,Nordfriesland,Landkreis,2011,2070
01054,Nordfriesland,Landkreis,2012,2131
01054,Nordfriesland,Landkreis,2013,2216
01054,Nordfriesland,Landkreis,2014,2201
01054,Nordfriesland,Landkreis,2015,2277
01054,Nordfriesland,Landkreis,2016,2321
01054,Nordfriesland,Landkreis,2017,2373
01055,Ostholstein,Landkreis,2000,1663
01055,Ostholstein,Landkreis,2001,1683
01055,Ostholstein,Landkreis,2002,1710
01055,Ostholstein,Landkreis,2003,1727
01055,Ostholstein,Landkreis,2004,1732
01055,Ostholstein,Landkreis,2005,1735
01055,Ostholstein,Landkreis,2006,1744
01055,Ostholstein,Landkreis,2007,1800
01055,Ostholstein,Landkreis,2008,1827
01055,Ostholstein,Landkreis,2009,1825
01055,Ostholstein,Landkreis,2010,1867
01055,Ostholstein,Landkreis,2011,1906
01055,Ostholstein,Landkreis,2012,1985
