Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,1198
01001,"Flensburg, Stadt",krsfr. Stadt,2001,1224
01001,"Flensburg, Stadt",krsfr. Stadt,2002,1234
01001,"Flensburg, Stadt",krsfr. Stadt,2003,1249
01001,"Flensburg, Stadt",krsfr. Stadt,2004,1250
01001,"Flensburg, Stadt",krsfr. Stadt,2005,1312
01001,"Flensburg, Stadt",krsfr. Stadt,2006,1355
01001,"Flensburg, Stadt",krsfr. Stadt,2007,1408
01001,"Flensburg, Stadt",krsfr. Stadt,2008,1396
01001,"Flensburg, Stadt",krsfr. Stadt,2009,1388
01001,"Flensburg, Stadt",krsfr. Stadt,2010,1379
01001,"Flensburg, Stadt",krsfr. Stadt,2011,1501
01001,"Flensburg, Stadt",krsfr. Stadt,2012,1539
01001,"Flensburg, Stadt",krsfr. Stadt,2013,1541
01001,"Flensburg, Stadt",krsfr. Stadt,2014,1542
01001,"Flensburg, Stadt",krsfr. Stadt,2015,1544
01001,"Flensburg, Stadt",krsfr. Stadt,2016,1557
01001,"Flensburg, Stadt",krsfr. Stadt,2017,1598
01002,"Kiel, Stadt",krsfr. Stadt,2000,1200
01002,"Kiel, Stadt",krsfr. Stadt,2001,1242
01002,"Kiel, Stadt",krsfr. Stadt,2002,1256
01002,"Kiel, Stadt",krsfr. Stadt,2003,1287
01002,"Kiel, Stadt",krsfr. Stadt,2004,1299
01002,"Kiel, Stadt",krsfr. Stadt,2005,1333
01002,"Kiel, Stadt",krsfr. Stadt,2006,1343
01002,"Kiel, Stadt",krsfr. Stadt,2007,1374
01002,"Kiel, Stadt",krsfr. Stadt,2008,1395
01002,"Kiel, Stadt",krsfr. Stadt,2009,1397
01002,"Kiel, Stadt",krsfr. Stadt,2010,1410
01002,"Kiel, Stadt",krsfr. Stadt,2011,1454
01002,"Kiel, Stadt",krsfr. Stadt,2012,1488
01002,"Kiel, Stadt",krsfr. Stadt,2013,1530
01002,"Kiel, Stadt",krsfr. Stadt,2014,1510
01002,"Kiel, Stadt",krsfr. Stadt,2015,1527
01002,"Kiel, Stadt",krsfr. Stadt,2016,1555
01002,"Kiel, Stadt",krsfr. Stadt,2017,1604
01003,"Lübeck, Stadt",krsfr. Stadt,2000,1221
01003,"Lübeck, Stadt",krsfr. Stadt,2001,1268
01003,"Lübeck, Stadt",krsfr. Stadt,2002,1299
01003,"Lübeck, Stadt",krsfr. Stadt,2003,1356
01003,"Lübeck, Stadt",krsfr. Stadt,2004,1392
01003,"Lübeck, Stadt",krsfr. Stadt,2005,1424
01003,"Lübeck, Stadt",krsfr. Stadt,2006,1435
01003,"Lübeck, Stadt",krsfr. Stadt,2007,1454
01003,"Lübeck, Stadt",krsfr. Stadt,2008,1466
01003,"Lübeck, Stadt",krsfr. Stadt,2009,1460
01003,"Lübeck, Stadt",krsfr. Stadt,2010,1460
01003,"Lübeck, Stadt",krsfr. Stadt,2011,1486
01003,"Lübeck, Stadt",krsfr. Stadt,2012,1527
01003,"Lübeck, Stadt",krsfr. Stadt,2013,1530
01003,"Lübeck, Stadt",krsfr. Stadt,2014,1552
01003,"Lübeck, Stadt",krsfr. Stadt,2015,1606
01003,"Lübeck, Stadt",krsfr. Stadt,2016,1645
01003,"Lübeck, Stadt",krsfr. Stadt,2017,1698
01004,"Neumünster, Stadt",krsfr. Stadt,2000,1260
01004,"Neumünster, Stadt",krsfr. Stadt,2001,1324
01004,"Neumünster, Stadt",krsfr. Stadt,2002,1305
01004,"Neumünster, Stadt",krsfr. Stadt,2003,1312
01004,"Neumünster, Stadt",krsfr. Stadt,2004,1291
01004,"Neumünster, Stadt",krsfr. Stadt,2005,1330
01004,"Neumünster, Stadt",krsfr. Stadt,2006,1348
01004,"Neumünster, Stadt",krsfr. Stadt,2007,1381
01004,"Neumünster, Stadt",krsfr. Stadt,2008,1389
01004,"Neumünster, Stadt",krsfr. Stadt,2009,1383
01004,"Neumünster, Stadt",krsfr. Stadt,2010,1384
01004,"Neumünster, Stadt",krsfr. Stadt,2011,1406
01004,"Neumünster, Stadt",krsfr. Stadt,2012,1459
01004,"Neumünster, Stadt",krsfr. Stadt,2013,1486
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1534
01004,"Neumünster, Stadt",krsfr. Stadt,2015,1521
01004,"Neumünster, Stadt",krsfr. Stadt,2016,1551
01004,"Neumünster, Stadt",krsfr. Stadt,2017,1606
01051,Dithmarschen,Landkreis,2000,1181
01051,Dithmarschen,Landkreis,2001,1234
01051,Dithmarschen,Landkreis,2002,1252
01051,Dithmarschen,Landkreis,2003,1297
01051,Dithmarschen,Landkreis,2004,1348
01051,Dithmarschen,Landkreis,2005,1377
01051,Dithmarschen,Landkreis,2006,1395
01051,Dithmarschen,Landkreis,2007,1431
01051,Dithmarschen,Landkreis,2008,1483
01051,Dithmarschen,Landkreis,2009,1481
01051,Dithmarschen,Landkreis,2010,1514
01051,Dithmarschen,Landkreis,2011,1580
01051,Dithmarschen,Landkreis,2012,1629
01051,Dithmarschen,Landkreis,2013,1691
01051,Dithmarschen,Landkreis,2014,1738
01051,Dithmarschen,Landkreis,2015,1788
01051,Dithmarschen,Landkreis,2016,1830
01051,Dithmarschen,Landkreis,2017,1906
01053,Herzogtum Lauenburg,Landkreis,2000,1416
01053,Herzogtum Lauenburg,Landkreis,2001,1469
01053,Herzogtum Lauenburg,Landkreis,2002,1473
01053,Herzogtum Lauenburg,Landkreis,2003,1503
01053,Herzogtum Lauenburg,Landkreis,2004,1528
01053,Herzogtum Lauenburg,Landkreis,2005,1572
01053,Herzogtum Lauenburg,Landkreis,2006,1584
01053,Herzogtum Lauenburg,Landkreis,2007,1620
01053,Herzogtum Lauenburg,Landkreis,2008,1666
01053,Herzogtum Lauenburg,Landkreis,2009,1692
01053,Herzogtum Lauenburg,Landkreis,2010,1718
01053,Herzogtum Lauenburg,Landkreis,2011,1773
01053,Herzogtum Lauenburg,Landkreis,2012,1829
01053,Herzogtum Lauenburg,Landkreis,2013,1816
01053,Herzogtum Lauenburg,Landkreis,2014,1842
01053,Herzogtum Lauenburg,Landkreis,2015,1864
01053,Herzogtum Lauenburg,Landkreis,2016,1900
01053,Herzogtum Lauenburg,Landkreis,2017,1955
01054,Nordfriesland,Landkreis,2000,1233
01054,Nordfriesland,Landkreis,2001,1280
01054,Nordfriesland,Landkreis,2002,1287
01054,Nordfriesland,Landkreis,2003,1331
01054,Nordfriesland,Landkreis,2004,1368
01054,Nordfriesland,Landkreis,2005,1431
01054,Nordfriesland,Landkreis,2006,1485
01054,Nordfriesland,Landkreis,2007,1547
01054,Nordfriesland,Landkreis,2008,1623
01054,Nordfriesland,Landkreis,2009,1642
01054,Nordfriesland,Landkreis,2010,1679
01054,Nordfriesland,Landkreis,2011,1770
01054,Nordfriesland,Landkreis,2012,1811
01054,Nordfriesland,Landkreis,2013,1901
01054,Nordfriesland,Landkreis,2014,1986
01054,Nordfriesland,Landkreis,2015,2006
01054,Nordfriesland,Landkreis,2016,2062
01054,Nordfriesland,Landkreis,2017,2135
01055,Ostholstein,Landkreis,2000,1279
01055,Ostholstein,Landkreis,2001,1323
01055,Ostholstein,Landkreis,2002,1341
01055,Ostholstein,Landkreis,2003,1399
01055,Ostholstein,Landkreis,2004,1440
01055,Ostholstein,Landkreis,2005,1466
01055,Ostholstein,Landkreis,2006,1469
01055,Ostholstein,Landkreis,2007,1491
01055,Ostholstein,Landkreis,2008,1531
01055,Ostholstein,Landkreis,2009,1546
01055,Ostholstein,Landkreis,2010,1578
01055,Ostholstein,Landkreis,2011,1679
01055,Ostholstein,Landkreis,2012,1731
01055,Ostholstein,Landkreis,2013,1750
01055,Ostholstein,Landkreis,2014,1797
01055,Ostholstein,Landkreis,2015,1806
01055,Ostholstein,Landkreis,2016,1853
01055,Ostholstein,Landkreis,2017,1923
01056,Pinneberg,Landkreis,2000,1513
01056,Pinneberg,Landkreis,2001,1572
01056,Pinneberg,Landkreis,2002,1565
01056,Pinneberg,Landkreis,2003,1601
01056,Pinneberg,Landkreis,2004,1611
01056,Pinneberg,Landkreis,2005,1646
01056,Pinneberg,Landkreis,2006,1649
01056,Pinneberg,Landkreis,2007,1673
01056,Pinneberg,Landkreis,2008,1720
01056,Pinneberg,Landkreis,2009,1741
01056,Pinneberg,Landkreis,2010,1774
01056,Pinneberg,Landkreis,2011,1867
01056,Pinneberg,Landkreis,2012,1919
01056,Pinneberg,Landkreis,2013,1929
01056,Pinneberg,Landkreis,2014,1934
01056,Pinneberg,Landkreis,2015,1958
01056,Pinneberg,Landkreis,2016,1998
01056,Pinneberg,Landkreis,2017,2052
01057,Plön,Landkreis,2000,1253
01057,Plön,Landkreis,2001,1311
01057,Plön,Landkreis,2002,1326
01057,Plön,Landkreis,2003,1362
01057,Plön,Landkreis,2004,1391
01057,Plön,Landkreis,2005,1410
01057,Plön,Landkreis,2006,1412
01057,Plön,Landkreis,2007,1429
01057,Plön,Landkreis,2008,1473
01057,Plön,Landkreis,2009,1487
01057,Plön,Landkreis,2010,1528
01057,Plön,Landkreis,2011,1661
01057,Plön,Landkreis,2012,1723
01057,Plön,Landkreis,2013,1757
01057,Plön,Landkreis,2014,1787
01057,Plön,Landkreis,2015,1797
01057,Plön,Landkreis,2016,1846
01057,Plön,Landkreis,2017,1916
01058,Rendsburg-Eckernförde,Landkreis,2000,1310
01058,Rendsburg-Eckernförde,Landkreis,2001,1372
01058,Rendsburg-Eckernförde,Landkreis,2002,1379
01058,Rendsburg-Eckernförde,Landkreis,2003,1414
01058,Rendsburg-Eckernförde,Landkreis,2004,1441
01058,Rendsburg-Eckernförde,Landkreis,2005,1482
01058,Rendsburg-Eckernförde,Landkreis,2006,1501
01058,Rendsburg-Eckernförde,Landkreis,2007,1535
01058,Rendsburg-Eckernförde,Landkreis,2008,1582
01058,Rendsburg-Eckernförde,Landkreis,2009,1592
01058,Rendsburg-Eckernförde,Landkreis,2010,1631
01058,Rendsburg-Eckernförde,Landkreis,2011,1696
01058,Rendsburg-Eckernförde,Landkreis,2012,1760
01058,Rendsburg-Eckernförde,Landkreis,2013,1798
01058,Rendsburg-Eckernförde,Landkreis,2014,1853
01058,Rendsburg-Eckernförde,Landkreis,2015,1869
01058,Rendsburg-Eckernförde,Landkreis,2016,1911
01058,Rendsburg-Eckernförde,Landkreis,2017,1971
01059,Schleswig-Flensburg,Landkreis,2000,1214
01059,Schleswig-Flensburg,Landkreis,2001,1260
01059,Schleswig-Flensburg,Landkreis,2002,1273
01059,Schleswig-Flensburg,Landkreis,2003,1322
01059,Schleswig-Flensburg,Landkreis,2004,1364
01059,Schleswig-Flensburg,Landkreis,2005,1410
01059,Schleswig-Flensburg,Landkreis,2006,1445
01059,Schleswig-Flensburg,Landkreis,2007,1489
01059,Schleswig-Flensburg,Landkreis,2008,1521
01059,Schleswig-Flensburg,Landkreis,2009,1513
01059,Schleswig-Flensburg,Landkreis,2010,1531
01059,Schleswig-Flensburg,Landkreis,2011,1603
01059,Schleswig-Flensburg,Landkreis,2012,1659
01059,Schleswig-Flensburg,Landkreis,2013,1713
01059,Schleswig-Flensburg,Landkreis,2014,1746
01059,Schleswig-Flensburg,Landkreis,2015,1804
01059,Schleswig-Flensburg,Landkreis,2016,1843
01059,Schleswig-Flensburg,Landkreis,2017,1905
01060,Segeberg,Landkreis,2000,1427
01060,Segeberg,Landkreis,2001,1474
01060,Segeberg,Landkreis,2002,1470
01060,Segeberg,Landkreis,2003,1491
01060,Segeberg,Landkreis,2004,1505
01060,Segeberg,Landkreis,2005,1545
01060,Segeberg,Landkreis,2006,1557
01060,Segeberg,Landkreis,2007,1606
01060,Segeberg,Landkreis,2008,1634
01060,Segeberg,Landkreis,2009,1652
01060,Segeberg,Landkreis,2010,1670
01060,Segeberg,Landkreis,2011,1715
01060,Segeberg,Landkreis,2012,1769
01060,Segeberg,Landkreis,2013,1802
01060,Segeberg,Landkreis,2014,1838
01060,Segeberg,Landkreis,2015,1855
01060,Segeberg,Landkreis,2016,1879
01060,Segeberg,Landkreis,2017,1932
01061,Steinburg,Landkreis,2000,1237
01061,Steinburg,Landkreis,2001,1282
01061,Steinburg,Landkreis,2002,1292
01061,Steinburg,Landkreis,2003,1331
01061,Steinburg,Landkreis,2004,1362
01061,Steinburg,Landkreis,2005,1399
01061,Steinburg,Landkreis,2006,1418
01061,Steinburg,Landkreis,2007,1456
01061,Steinburg,Landkreis,2008,1498
01061,Steinburg,Landkreis,2009,1497
01061,Steinburg,Landkreis,2010,1533
01061,Steinburg,Landkreis,2011,1606
01061,Steinburg,Landkreis,2012,1665
01061,Steinburg,Landkreis,2013,1682
01061,Steinburg,Landkreis,2014,1696
01061,Steinburg,Landkreis,2015,1695
01061,Steinburg,Landkreis,2016,1734
01061,Steinburg,Landkreis,2017,1804
01062,Stormarn,Landkreis,2000,1614
01062,Stormarn,Landkreis,2001,1675
01062,Stormarn,Landkreis,2002,1695
01062,Stormarn,Landkreis,2003,1750
01062,Stormarn,Landkreis,2004,1774
01062,Stormarn,Landkreis,2005,1817
01062,Stormarn,Landkreis,2006,1819
01062,Stormarn,Landkreis,2007,1838
01062,Stormarn,Landkreis,2008,1859
01062,Stormarn,Landkreis,2009,1868
01062,Stormarn,Landkreis,2010,1884
01062,Stormarn,Landkreis,2011,1936
01062,Stormarn,Landkreis,2012,1990
01062,Stormarn,Landkreis,2013,1968
01062,Stormarn,Landkreis,2014,1990
01062,Stormarn,Landkreis,2015,2011
01062,Stormarn,Landkreis,2016,2056
01062,Stormarn,Landkreis,2017,2121
02000,"Hamburg, Stadt",krsfr. Stadt,2000,1489
02000,"Hamburg, Stadt",krsfr. Stadt,2001,1579
02000,"Hamburg, Stadt",krsfr. Stadt,2002,1555
02000,"Hamburg, Stadt",krsfr. Stadt,2003,1591
02000,"Hamburg, Stadt",krsfr. Stadt,2004,1667
02000,"Hamburg, Stadt",krsfr. Stadt,2005,1715
02000,"Hamburg, Stadt",krsfr. Stadt,2006,1794
02000,"Hamburg, Stadt",krsfr. Stadt,2007,1771
02000,"Hamburg, Stadt",krsfr. Stadt,2008,1757
02000,"Hamburg, Stadt",krsfr. Stadt,2009,1760
02000,"Hamburg, Stadt",krsfr. Stadt,2010,1755
02000,"Hamburg, Stadt",krsfr. Stadt,2011,1884
02000,"Hamburg, Stadt",krsfr. Stadt,2012,1905
02000,"Hamburg, Stadt",krsfr. Stadt,2013,1938
02000,"Hamburg, Stadt",krsfr. Stadt,2014,1921
02000,"Hamburg, Stadt",krsfr. Stadt,2015,1938
02000,"Hamburg, Stadt",krsfr. Stadt,2016,1978
02000,"Hamburg, Stadt",krsfr. Stadt,2017,2022
03101,"Braunschweig, Stadt",krsfr. Stadt,2000,1330
03101,"Braunschweig, Stadt",krsfr. Stadt,2001,1372
03101,"Braunschweig, Stadt",krsfr. Stadt,2002,1389
03101,"Braunschweig, Stadt",krsfr. Stadt,2003,1422
03101,"Braunschweig, Stadt",krsfr. Stadt,2004,1434
03101,"Braunschweig, Stadt",krsfr. Stadt,2005,1465
03101,"Braunschweig, Stadt",krsfr. Stadt,2006,1484
03101,"Braunschweig, Stadt",krsfr. Stadt,2007,1497
03101,"Braunschweig, Stadt",krsfr. Stadt,2008,1514
03101,"Braunschweig, Stadt",krsfr. Stadt,2009,1510
03101,"Braunschweig, Stadt",krsfr. Stadt,2010,1528
03101,"Braunschweig, Stadt",krsfr. Stadt,2011,1612
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,1658
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,1678
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,1706
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,1755
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,1812
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,1871
03102,"Salzgitter, Stadt",krsfr. Stadt,2000,1229
03102,"Salzgitter, Stadt",krsfr. Stadt,2001,1268
03102,"Salzgitter, Stadt",krsfr. Stadt,2002,1270
03102,"Salzgitter, Stadt",krsfr. Stadt,2003,1288
03102,"Salzgitter, Stadt",krsfr. Stadt,2004,1299
03102,"Salzgitter, Stadt",krsfr. Stadt,2005,1321
03102,"Salzgitter, Stadt",krsfr. Stadt,2006,1334
03102,"Salzgitter, Stadt",krsfr. Stadt,2007,1357
03102,"Salzgitter, Stadt",krsfr. Stadt,2008,1386
03102,"Salzgitter, Stadt",krsfr. Stadt,2009,1398
03102,"Salzgitter, Stadt",krsfr. Stadt,2010,1434
03102,"Salzgitter, Stadt",krsfr. Stadt,2011,1514
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,1563
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,1575
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,1600
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,1620
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,1614
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,1651
03103,"Wolfsburg, Stadt",krsfr. Stadt,2000,1367
03103,"Wolfsburg, Stadt",krsfr. Stadt,2001,1418
03103,"Wolfsburg, Stadt",krsfr. Stadt,2002,1448
03103,"Wolfsburg, Stadt",krsfr. Stadt,2003,1482
03103,"Wolfsburg, Stadt",krsfr. Stadt,2004,1517
03103,"Wolfsburg, Stadt",krsfr. Stadt,2005,1538
03103,"Wolfsburg, Stadt",krsfr. Stadt,2006,1543
03103,"Wolfsburg, Stadt",krsfr. Stadt,2007,1551
03103,"Wolfsburg, Stadt",krsfr. Stadt,2008,1571
03103,"Wolfsburg, Stadt",krsfr. Stadt,2009,1598
03103,"Wolfsburg, Stadt",krsfr. Stadt,2010,1646
03103,"Wolfsburg, Stadt",krsfr. Stadt,2011,1740
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,1835
