Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,3210
01001,"Flensburg, Stadt",krsfr. Stadt,2015,3277
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3325
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3373
01002,"Kiel, Stadt",krsfr. Stadt,2014,3520
01002,"Kiel, Stadt",krsfr. Stadt,2015,3589
01002,"Kiel, Stadt",krsfr. Stadt,2016,3647
01002,"Kiel, Stadt",krsfr. Stadt,2017,3693
01003,"Lübeck, Stadt",krsfr. Stadt,2014,3154
01003,"Lübeck, Stadt",krsfr. Stadt,2015,3210
01003,"Lübeck, Stadt",krsfr. Stadt,2016,3241
01003,"Lübeck, Stadt",krsfr. Stadt,2017,3324
01004,"Neumünster, Stadt",krsfr. Stadt,2014,2886
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2933
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2955
01004,"Neumünster, Stadt",krsfr. Stadt,2017,3012
01051,Dithmarschen,Landkreis,2014,3072
01051,Dithmarschen,Landkreis,2015,3120
01051,Dithmarschen,Landkreis,2016,3198
01051,Dithmarschen,Landkreis,2017,3248
01053,Herzogtum Lauenburg,Landkreis,2014,2909
01053,Herzogtum Lauenburg,Landkreis,2015,2945
01053,Herzogtum Lauenburg,Landkreis,2016,2961
01053,Herzogtum Lauenburg,Landkreis,2017,3031
01054,Nordfriesland,Landkreis,2014,2870
01054,Nordfriesland,Landkreis,2015,2933
01054,Nordfriesland,Landkreis,2016,2949
01054,Nordfriesland,Landkreis,2017,2980
01055,Ostholstein,Landkreis,2014,2726
01055,Ostholstein,Landkreis,2015,2760
01055,Ostholstein,Landkreis,2016,2791
01055,Ostholstein,Landkreis,2017,2846
01056,Pinneberg,Landkreis,2014,3112
01056,Pinneberg,Landkreis,2015,3169
01056,Pinneberg,Landkreis,2016,3208
01056,Pinneberg,Landkreis,2017,3277
01057,Plön,Landkreis,2014,2797
01057,Plön,Landkreis,2015,2874
01057,Plön,Landkreis,2016,2884
01057,Plön,Landkreis,2017,2926
01058,Rendsburg-Eckernförde,Landkreis,2014,3004
01058,Rendsburg-Eckernförde,Landkreis,2015,3051
01058,Rendsburg-Eckernförde,Landkreis,2016,3093
01058,Rendsburg-Eckernförde,Landkreis,2017,3172
01059,Schleswig-Flensburg,Landkreis,2014,2763
01059,Schleswig-Flensburg,Landkreis,2015,2781
01059,Schleswig-Flensburg,Landkreis,2016,2815
01059,Schleswig-Flensburg,Landkreis,2017,2874
01060,Segeberg,Landkreis,2014,3000
01060,Segeberg,Landkreis,2015,3099
01060,Segeberg,Landkreis,2016,3175
01060,Segeberg,Landkreis,2017,3246
01061,Steinburg,Landkreis,2014,3098
01061,Steinburg,Landkreis,2015,3158
01061,Steinburg,Landkreis,2016,3187
01061,Steinburg,Landkreis,2017,3249
01062,Stormarn,Landkreis,2014,3075
01062,Stormarn,Landkreis,2015,3133
01062,Stormarn,Landkreis,2016,3154
01062,Stormarn,Landkreis,2017,3226
02000,"Hamburg, Stadt",krsfr. Stadt,2014,3761
02000,"Hamburg, Stadt",krsfr. Stadt,2015,3833
02000,"Hamburg, Stadt",krsfr. Stadt,2016,3922
02000,"Hamburg, Stadt",krsfr. Stadt,2017,3998
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,3438
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,3540
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,3597
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,3668
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,3931
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,4031
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,4143
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,4232
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,4882
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,4963
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,4910
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,4881
03151,Gifhorn,Landkreis,2014,2869
03151,Gifhorn,Landkreis,2015,2919
03151,Gifhorn,Landkreis,2016,2935
03151,Gifhorn,Landkreis,2017,3037
03153,Goslar,Landkreis,2014,2984
03153,Goslar,Landkreis,2015,3060
03153,Goslar,Landkreis,2016,3080
03153,Goslar,Landkreis,2017,3132
03154,Helmstedt,Landkreis,2014,2819
03154,Helmstedt,Landkreis,2015,2903
03154,Helmstedt,Landkreis,2016,2784
03154,Helmstedt,Landkreis,2017,2882
03155,Northeim,Landkreis,2014,2934
03155,Northeim,Landkreis,2015,3015
03155,Northeim,Landkreis,2016,3074
03155,Northeim,Landkreis,2017,3153
03157,Peine,Landkreis,2014,3097
03157,Peine,Landkreis,2015,3140
03157,Peine,Landkreis,2016,3184
03157,Peine,Landkreis,2017,3230
03158,Wolfenbüttel,Landkreis,2014,3069
03158,Wolfenbüttel,Landkreis,2015,3161
03158,Wolfenbüttel,Landkreis,2016,3192
03158,Wolfenbüttel,Landkreis,2017,3293
03159,Göttingen,Landkreis,2014,6428
03159,Göttingen,Landkreis,2015,6525
03159,Göttingen,Landkreis,2016,3366
03159,Göttingen,Landkreis,2017,3436
03241,Region Hannover,Landkreis,2014,3472
03241,Region Hannover,Landkreis,2015,3560
03241,Region Hannover,Landkreis,2016,3624
03241,Region Hannover,Landkreis,2017,3703
03251,Diepholz,Landkreis,2014,2882
03251,Diepholz,Landkreis,2015,2944
03251,Diepholz,Landkreis,2016,2988
03251,Diepholz,Landkreis,2017,3040
03252,Hameln-Pyrmont,Landkreis,2014,3216
03252,Hameln-Pyrmont,Landkreis,2015,3317
03252,Hameln-Pyrmont,Landkreis,2016,3377
03252,Hameln-Pyrmont,Landkreis,2017,3451
