Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,2521
01001,"Flensburg, Stadt",krsfr. Stadt,2015,2560
01001,"Flensburg, Stadt",krsfr. Stadt,2016,2611
01001,"Flensburg, Stadt",krsfr. Stadt,2017,2678
01002,"Kiel, Stadt",krsfr. Stadt,2014,2898
01002,"Kiel, Stadt",krsfr. Stadt,2015,2963
01002,"Kiel, Stadt",krsfr. Stadt,2016,3020
01002,"Kiel, Stadt",krsfr. Stadt,2017,3108
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2700
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2762
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2798
01003,"Lübeck, Stadt",krsfr. Stadt,2017,2882
01004,"Neumünster, Stadt",krsfr. Stadt,2014,2486
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2553
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2591
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2675
01051,Dithmarschen,Landkreis,2014,2237
01051,Dithmarschen,Landkreis,2015,2298
01051,Dithmarschen,Landkreis,2016,2380
01051,Dithmarschen,Landkreis,2017,2441
01053,Herzogtum Lauenburg,Landkreis,2014,2350
01053,Herzogtum Lauenburg,Landkreis,2015,2405
01053,Herzogtum Lauenburg,Landkreis,2016,2458
01053,Herzogtum Lauenburg,Landkreis,2017,2564
01054,Nordfriesland,Landkreis,2014,2210
01054,Nordfriesland,Landkreis,2015,2265
01054,Nordfriesland,Landkreis,2016,2317
01054,Nordfriesland,Landkreis,2017,2389
01055,Ostholstein,Landkreis,2014,2235
01055,Ostholstein,Landkreis,2015,2277
01055,Ostholstein,Landkreis,2016,2352
01055,Ostholstein,Landkreis,2017,2434
01056,Pinneberg,Landkreis,2014,2563
01056,Pinneberg,Landkreis,2015,2622
01056,Pinneberg,Landkreis,2016,2692
01056,Pinneberg,Landkreis,2017,2751
01057,Plön,Landkreis,2014,2288
01057,Plön,Landkreis,2015,2346
01057,Plön,Landkreis,2016,2397
01057,Plön,Landkreis,2017,2483
