Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,3052
01001,"Flensburg, Stadt",krsfr. Stadt,2015,3077
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3110
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3167
01002,"Kiel, Stadt",krsfr. Stadt,2014,3334
01002,"Kiel, Stadt",krsfr. Stadt,2015,3382
01002,"Kiel, Stadt",krsfr. Stadt,2016,3401
01002,"Kiel, Stadt",krsfr. Stadt,2017,3465
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2998
01003,"Lübeck, Stadt",krsfr. Stadt,2015,3033
01003,"Lübeck, Stadt",krsfr. Stadt,2016,3060
01003,"Lübeck, Stadt",krsfr. Stadt,2017,3122
01004,"Neumünster, Stadt",krsfr. Stadt,2014,2782
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2801
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2815
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2896
01051,Dithmarschen,Landkreis,2014,2916
01051,Dithmarschen,Landkreis,2015,2928
01051,Dithmarschen,Landkreis,2016,2999
01051,Dithmarschen,Landkreis,2017,3069
01053,Herzogtum Lauenburg,Landkreis,2014,2833
01053,Herzogtum Lauenburg,Landkreis,2015,2869
01053,Herzogtum Lauenburg,Landkreis,2016,2897
01053,Herzogtum Lauenburg,Landkreis,2017,2949
01054,Nordfriesland,Landkreis,2014,2773
01054,Nordfriesland,Landkreis,2015,2823
01054,Nordfriesland,Landkreis,2016,2867
01054,Nordfriesland,Landkreis,2017,2919
01055,Ostholstein,Landkreis,2014,2611
01055,Ostholstein,Landkreis,2015,2645
01055,Ostholstein,Landkreis,2016,2690
01055,Ostholstein,Landkreis,2017,2748
01056,Pinneberg,Landkreis,2014,2996
01056,Pinneberg,Landkreis,2015,3055
01056,Pinneberg,Landkreis,2016,3111
01056,Pinneberg,Landkreis,2017,3161
01057,Plön,Landkreis,2014,2727
01057,Plön,Landkreis,2015,2763
01057,Plön,Landkreis,2016,2816
01057,Plön,Landkreis,2017,2870
01058,Rendsburg-Eckernförde,Landkreis,2014,2909
01058,Rendsburg-Eckernförde,Landkreis,2015,2945
01058,Rendsburg-Eckernförde,Landkreis,2016,2988
01058,Rendsburg-Eckernförde,Landkreis,2017,3059
01059,Schleswig-Flensburg,Landkreis,2014,2654
01059,Schleswig-Flensburg,Landkreis,2015,2700
01059,Schleswig-Flensburg,Landkreis,2016,2733
01059,Schleswig-Flensburg,Landkreis,2017,2797
01060,Segeberg,Landkreis,2014,2932
01060,Segeberg,Landkreis,2015,3008
01060,Segeberg,Landkreis,2016,3053
01060,Segeberg,Landkreis,2017,3135
01061,Steinburg,Landkreis,2014,2962
01061,Steinburg,Landkreis,2015,3024
01061,Steinburg,Landkreis,2016,3068
01061,Steinburg,Landkreis,2017,3129
01062,Stormarn,Landkreis,2014,2995
01062,Stormarn,Landkreis,2015,3026
01062,Stormarn,Landkreis,2016,3061
01062,Stormarn,Landkreis,2017,3128
02000,"Hamburg, Stadt",krsfr. Stadt,2014,3758
02000,"Hamburg, Stadt",krsfr. Stadt,2015,3798
02000,"Hamburg, Stadt",krsfr. Stadt,2016,3845
02000,"Hamburg, Stadt",krsfr. Stadt,2017,3923
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,3590
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,3693
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,3696
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,3751
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,3902
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,3998
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,4090
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,4196
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,4733
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,4829
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,4774
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,4830
03151,Gifhorn,Landkreis,2014,3111
03151,Gifhorn,Landkreis,2015,3198
03151,Gifhorn,Landkreis,2016,3255
03151,Gifhorn,Landkreis,2017,3340
03153,Goslar,Landkreis,2014,2947
03153,Goslar,Landkreis,2015,2995
03153,Goslar,Landkreis,2016,3010
03153,Goslar,Landkreis,2017,3058
03154,Helmstedt,Landkreis,2014,2763
03154,Helmstedt,Landkreis,2015,2845
03154,Helmstedt,Landkreis,2016,2824
03154,Helmstedt,Landkreis,2017,2867
03155,Northeim,Landkreis,2014,2883
03155,Northeim,Landkreis,2015,2944
03155,Northeim,Landkreis,2016,2971
03155,Northeim,Landkreis,2017,3049
03157,Peine,Landkreis,2014,2974
03157,Peine,Landkreis,2015,3020
03157,Peine,Landkreis,2016,3043
03157,Peine,Landkreis,2017,3079
03158,Wolfenbüttel,Landkreis,2014,2951
03158,Wolfenbüttel,Landkreis,2015,3012
03158,Wolfenbüttel,Landkreis,2016,3048
03158,Wolfenbüttel,Landkreis,2017,3113
03159,Göttingen,Landkreis,2014,6113
03159,Göttingen,Landkreis,2015,6205
03159,Göttingen,Landkreis,2016,3177
03159,Göttingen,Landkreis,2017,3239
03241,Region Hannover,Landkreis,2014,3411
03241,Region Hannover,Landkreis,2015,3473
03241,Region Hannover,Landkreis,2016,3512
03241,Region Hannover,Landkreis,2017,3582
03251,Diepholz,Landkreis,2014,2789
03251,Diepholz,Landkreis,2015,2845
03251,Diepholz,Landkreis,2016,2879
03251,Diepholz,Landkreis,2017,2947
03252,Hameln-Pyrmont,Landkreis,2014,3184
03252,Hameln-Pyrmont,Landkreis,2015,3236
03252,Hameln-Pyrmont,Landkreis,2016,3266
03252,Hameln-Pyrmont,Landkreis,2017,3322
03254,Hildesheim,Landkreis,2014,3045
03254,Hildesheim,Landkreis,2015,3105
03254,Hildesheim,Landkreis,2016,3135
03254,Hildesheim,Landkreis,2017,3212
