Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,4377
01001,"Flensburg, Stadt",krsfr. Stadt,2015,4390
01001,"Flensburg, Stadt",krsfr. Stadt,2016,4392
01001,"Flensburg, Stadt",krsfr. Stadt,2017,4468
01002,"Kiel, Stadt",krsfr. Stadt,2014,4843
01002,"Kiel, Stadt",krsfr. Stadt,2015,4880
01002,"Kiel, Stadt",krsfr. Stadt,2016,4869
01002,"Kiel, Stadt",krsfr. Stadt,2017,4926
01003,"Lübeck, Stadt",krsfr. Stadt,2014,4579
01003,"Lübeck, Stadt",krsfr. Stadt,2015,4668
01003,"Lübeck, Stadt",krsfr. Stadt,2016,4770
01003,"Lübeck, Stadt",krsfr. Stadt,2017,4794
01004,"Neumünster, Stadt",krsfr. Stadt,2014,4760
01004,"Neumünster, Stadt",krsfr. Stadt,2015,4748
01004,"Neumünster, Stadt",krsfr. Stadt,2016,4744
01004,"Neumünster, Stadt",krsfr. Stadt,2017,4860
01051,Dithmarschen,Landkreis,2014,5088
01051,Dithmarschen,Landkreis,2015,5014
01051,Dithmarschen,Landkreis,2016,5128
01051,Dithmarschen,Landkreis,2017,5218
01053,Herzogtum Lauenburg,Landkreis,2014,4917
01053,Herzogtum Lauenburg,Landkreis,2015,4936
01053,Herzogtum Lauenburg,Landkreis,2016,4969
01053,Herzogtum Lauenburg,Landkreis,2017,5034
01054,Nordfriesland,Landkreis,2014,4051
01054,Nordfriesland,Landkreis,2015,4059
01054,Nordfriesland,Landkreis,2016,4075
01054,Nordfriesland,Landkreis,2017,4078
01055,Ostholstein,Landkreis,2014,4342
01055,Ostholstein,Landkreis,2015,4355
01055,Ostholstein,Landkreis,2016,4456
01055,Ostholstein,Landkreis,2017,4527
01056,Pinneberg,Landkreis,2014,4868
01056,Pinneberg,Landkreis,2015,4890
01056,Pinneberg,Landkreis,2016,4974
01056,Pinneberg,Landkreis,2017,5038
01057,Plön,Landkreis,2014,4237
01057,Plön,Landkreis,2015,4332
01057,Plön,Landkreis,2016,4349
01057,Plön,Landkreis,2017,4393
01058,Rendsburg-Eckernförde,Landkreis,2014,4466
01058,Rendsburg-Eckernförde,Landkreis,2015,4486
01058,Rendsburg-Eckernförde,Landkreis,2016,4584
01058,Rendsburg-Eckernförde,Landkreis,2017,4596
01059,Schleswig-Flensburg,Landkreis,2014,3794
01059,Schleswig-Flensburg,Landkreis,2015,3788
01059,Schleswig-Flensburg,Landkreis,2016,3833
01059,Schleswig-Flensburg,Landkreis,2017,3968
01060,Segeberg,Landkreis,2014,4633
01060,Segeberg,Landkreis,2015,4891
01060,Segeberg,Landkreis,2016,4970
01060,Segeberg,Landkreis,2017,5064
01061,Steinburg,Landkreis,2014,4823
01061,Steinburg,Landkreis,2015,4910
01061,Steinburg,Landkreis,2016,4932
01061,Steinburg,Landkreis,2017,4953
01062,Stormarn,Landkreis,2014,4696
01062,Stormarn,Landkreis,2015,4733
01062,Stormarn,Landkreis,2016,4786
01062,Stormarn,Landkreis,2017,4796
02000,"Hamburg, Stadt",krsfr. Stadt,2014,4970
02000,"Hamburg, Stadt",krsfr. Stadt,2015,4977
02000,"Hamburg, Stadt",krsfr. Stadt,2016,4976
02000,"Hamburg, Stadt",krsfr. Stadt,2017,5017
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,4723
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,4792
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,4824
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,4919
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,5735
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,5852
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,5848
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,5982
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,5903
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,NA
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,6200
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,6350
03151,Gifhorn,Landkreis,2014,4771
03151,Gifhorn,Landkreis,2015,4857
03151,Gifhorn,Landkreis,2016,4966
03151,Gifhorn,Landkreis,2017,5135
03153,Goslar,Landkreis,2014,4282
03153,Goslar,Landkreis,2015,4358
03153,Goslar,Landkreis,2016,4393
03153,Goslar,Landkreis,2017,4421
03154,Helmstedt,Landkreis,2014,4557
03154,Helmstedt,Landkreis,2015,4500
03154,Helmstedt,Landkreis,2016,4578
03154,Helmstedt,Landkreis,2017,4677
03155,Northeim,Landkreis,2014,4667
03155,Northeim,Landkreis,2015,4748
03155,Northeim,Landkreis,2016,4663
03155,Northeim,Landkreis,2017,4768
03157,Peine,Landkreis,2014,4999
03157,Peine,Landkreis,2015,4966
03157,Peine,Landkreis,2016,4943
03157,Peine,Landkreis,2017,5080
03158,Wolfenbüttel,Landkreis,2014,4371
03158,Wolfenbüttel,Landkreis,2015,4407
03158,Wolfenbüttel,Landkreis,2016,4496
03158,Wolfenbüttel,Landkreis,2017,4551
03159,Göttingen,Landkreis,2014,9499
03159,Göttingen,Landkreis,2015,9581
03159,Göttingen,Landkreis,2016,4752
03159,Göttingen,Landkreis,2017,4827
03241,Region Hannover,Landkreis,2014,4897
03241,Region Hannover,Landkreis,2015,4950
03241,Region Hannover,Landkreis,2016,4950
03241,Region Hannover,Landkreis,2017,4993
03251,Diepholz,Landkreis,2014,4369
03251,Diepholz,Landkreis,2015,4419
03251,Diepholz,Landkreis,2016,4440
03251,Diepholz,Landkreis,2017,4493
03252,Hameln-Pyrmont,Landkreis,2014,4976
03252,Hameln-Pyrmont,Landkreis,2015,5022
03252,Hameln-Pyrmont,Landkreis,2016,5079
03252,Hameln-Pyrmont,Landkreis,2017,5172
03254,Hildesheim,Landkreis,2014,4947
03254,Hildesheim,Landkreis,2015,4968
03254,Hildesheim,Landkreis,2016,4975
03254,Hildesheim,Landkreis,2017,5091
03255,Holzminden,Landkreis,2014,4732
03255,Holzminden,Landkreis,2015,4687
03255,Holzminden,Landkreis,2016,4763
03255,Holzminden,Landkreis,2017,4935
03256,Nienburg (Weser),Landkreis,2014,4495
03256,Nienburg (Weser),Landkreis,2015,4445
03256,Nienburg (Weser),Landkreis,2016,4492
03256,Nienburg (Weser),Landkreis,2017,4587
03257,Schaumburg,Landkreis,2014,4620
03257,Schaumburg,Landkreis,2015,4624
03257,Schaumburg,Landkreis,2016,4706
03257,Schaumburg,Landkreis,2017,4701
03351,Celle,Landkreis,2014,4929
03351,Celle,Landkreis,2015,4973
03351,Celle,Landkreis,2016,4986
03351,Celle,Landkreis,2017,5133
03352,Cuxhaven,Landkreis,2014,4439
03352,Cuxhaven,Landkreis,2015,4432
03352,Cuxhaven,Landkreis,2016,4451
03352,Cuxhaven,Landkreis,2017,4546
03353,Harburg,Landkreis,2014,4305
03353,Harburg,Landkreis,2015,4353
03353,Harburg,Landkreis,2016,4267
03353,Harburg,Landkreis,2017,4164
03354,Lüchow-Dannenberg,Landkreis,2014,NA
03354,Lüchow-Dannenberg,Landkreis,2015,NA
03354,Lüchow-Dannenberg,Landkreis,2016,NA
03354,Lüchow-Dannenberg,Landkreis,2017,NA
03355,Lüneburg,Landkreis,2014,4296
03355,Lüneburg,Landkreis,2015,4363
03355,Lüneburg,Landkreis,2016,4440
03355,Lüneburg,Landkreis,2017,4518
03356,Osterholz,Landkreis,2014,4231
03356,Osterholz,Landkreis,2015,4183
03356,Osterholz,Landkreis,2016,4226
03356,Osterholz,Landkreis,2017,4323
03357,Rotenburg (Wümme),Landkreis,2014,4317
03357,Rotenburg (Wümme),Landkreis,2015,4316
03357,Rotenburg (Wümme),Landkreis,2016,4418
03357,Rotenburg (Wümme),Landkreis,2017,4461
03358,Heidekreis,Landkreis,2014,4286
03358,Heidekreis,Landkreis,2015,4357
03358,Heidekreis,Landkreis,2016,4407
03358,Heidekreis,Landkreis,2017,4339
03359,Stade,Landkreis,2014,5223
03359,Stade,Landkreis,2015,5222
03359,Stade,Landkreis,2016,5169
03359,Stade,Landkreis,2017,5180
03360,Uelzen,Landkreis,2014,4191
03360,Uelzen,Landkreis,2015,4193
03360,Uelzen,Landkreis,2016,4182
03360,Uelzen,Landkreis,2017,4244
03361,Verden,Landkreis,2014,4727
03361,Verden,Landkreis,2015,4730
03361,Verden,Landkreis,2016,4697
03361,Verden,Landkreis,2017,4721
03401,"Delmenhorst, Stadt",krsfr. Stadt,2014,NA
03401,"Delmenhorst, Stadt",krsfr. Stadt,2015,4154
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,4193
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,4257
03402,"Emden, Stadt",krsfr. Stadt,2014,5072
03402,"Emden, Stadt",krsfr. Stadt,2015,5057
03402,"Emden, Stadt",krsfr. Stadt,2016,5064
03402,"Emden, Stadt",krsfr. Stadt,2017,5159
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2014,4547
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2015,4604
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,4658
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,4685
03404,"Osnabrück, Stadt",krsfr. Stadt,2014,4378
03404,"Osnabrück, Stadt",krsfr. Stadt,2015,4503
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,4507
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,4548
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2014,4495
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2015,4509
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,4572
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,4656
03451,Ammerland,Landkreis,2014,4229
03451,Ammerland,Landkreis,2015,4241
03451,Ammerland,Landkreis,2016,4214
