Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,2869
01001,"Flensburg, Stadt",krsfr. Stadt,2015,2894
01001,"Flensburg, Stadt",krsfr. Stadt,2016,2949
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3016
01002,"Kiel, Stadt",krsfr. Stadt,2014,3034
01002,"Kiel, Stadt",krsfr. Stadt,2015,3085
01002,"Kiel, Stadt",krsfr. Stadt,2016,3117
01002,"Kiel, Stadt",krsfr. Stadt,2017,3179
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2877
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2912
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2942
01003,"Lübeck, Stadt",krsfr. Stadt,2017,3012
01004,"Neumünster, Stadt",krsfr. Stadt,2014,2749
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2775
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2790
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2867
01051,Dithmarschen,Landkreis,2014,2789
01051,Dithmarschen,Landkreis,2015,2809
01051,Dithmarschen,Landkreis,2016,2864
01051,Dithmarschen,Landkreis,2017,2941
01053,Herzogtum Lauenburg,Landkreis,2014,2694
01053,Herzogtum Lauenburg,Landkreis,2015,2731
01053,Herzogtum Lauenburg,Landkreis,2016,2765
01053,Herzogtum Lauenburg,Landkreis,2017,2844
01054,Nordfriesland,Landkreis,2014,2660
01054,Nordfriesland,Landkreis,2015,2703
01054,Nordfriesland,Landkreis,2016,2749
01054,Nordfriesland,Landkreis,2017,2804
01055,Ostholstein,Landkreis,2014,2510
01055,Ostholstein,Landkreis,2015,2536
01055,Ostholstein,Landkreis,2016,2593
01055,Ostholstein,Landkreis,2017,2659
01056,Pinneberg,Landkreis,2014,2875
01056,Pinneberg,Landkreis,2015,2931
01056,Pinneberg,Landkreis,2016,2977
01056,Pinneberg,Landkreis,2017,3032
01057,Plön,Landkreis,2014,2627
01057,Plön,Landkreis,2015,2675
01057,Plön,Landkreis,2016,2726
01057,Plön,Landkreis,2017,2792
01058,Rendsburg-Eckernförde,Landkreis,2014,2764
01058,Rendsburg-Eckernförde,Landkreis,2015,2796
01058,Rendsburg-Eckernförde,Landkreis,2016,2844
01058,Rendsburg-Eckernförde,Landkreis,2017,2918
01059,Schleswig-Flensburg,Landkreis,2014,2593
01059,Schleswig-Flensburg,Landkreis,2015,2632
01059,Schleswig-Flensburg,Landkreis,2016,2673
01059,Schleswig-Flensburg,Landkreis,2017,2729
01060,Segeberg,Landkreis,2014,2810
01060,Segeberg,Landkreis,2015,2873
01060,Segeberg,Landkreis,2016,2930
01060,Segeberg,Landkreis,2017,3008
01061,Steinburg,Landkreis,2014,2816
01061,Steinburg,Landkreis,2015,2875
01061,Steinburg,Landkreis,2016,2903
01061,Steinburg,Landkreis,2017,2972
01062,Stormarn,Landkreis,2014,2883
01062,Stormarn,Landkreis,2015,2919
01062,Stormarn,Landkreis,2016,2949
01062,Stormarn,Landkreis,2017,3021
02000,"Hamburg, Stadt",krsfr. Stadt,2014,3263
02000,"Hamburg, Stadt",krsfr. Stadt,2015,3299
02000,"Hamburg, Stadt",krsfr. Stadt,2016,3349
02000,"Hamburg, Stadt",krsfr. Stadt,2017,3408
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,3075
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,3137
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,3168
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,3230
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,3762
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,3865
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,3966
