Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,2867
01001,"Flensburg, Stadt",krsfr. Stadt,2015,2886
01001,"Flensburg, Stadt",krsfr. Stadt,2016,2934
01001,"Flensburg, Stadt",krsfr. Stadt,2017,2986
01002,"Kiel, Stadt",krsfr. Stadt,2014,3129
01002,"Kiel, Stadt",krsfr. Stadt,2015,3190
01002,"Kiel, Stadt",krsfr. Stadt,2016,3231
01002,"Kiel, Stadt",krsfr. Stadt,2017,3304
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2885
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2931
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2962
01003,"Lübeck, Stadt",krsfr. Stadt,2017,3036
01004,"Neumünster, Stadt",krsfr. Stadt,2014,2699
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2735
01004,"Neumünster, Stadt",krsfr. Stadt,2016,2760
01004,"Neumünster, Stadt",krsfr. Stadt,2017,2842
01051,Dithmarschen,Landkreis,2014,2749
01051,Dithmarschen,Landkreis,2015,2769
01051,Dithmarschen,Landkreis,2016,2835
01051,Dithmarschen,Landkreis,2017,2914
01053,Herzogtum Lauenburg,Landkreis,2014,2676
01053,Herzogtum Lauenburg,Landkreis,2015,2720
01053,Herzogtum Lauenburg,Landkreis,2016,2755
01053,Herzogtum Lauenburg,Landkreis,2017,2832
01054,Nordfriesland,Landkreis,2014,2619
01054,Nordfriesland,Landkreis,2015,2669
01054,Nordfriesland,Landkreis,2016,2714
01054,Nordfriesland,Landkreis,2017,2768
01055,Ostholstein,Landkreis,2014,2480
01055,Ostholstein,Landkreis,2015,2516
01055,Ostholstein,Landkreis,2016,2569
01055,Ostholstein,Landkreis,2017,2636
01056,Pinneberg,Landkreis,2014,2864
01056,Pinneberg,Landkreis,2015,2926
01056,Pinneberg,Landkreis,2016,2983
01056,Pinneberg,Landkreis,2017,3036
01057,Plön,Landkreis,2014,2610
