Kennziffer,Raumeinheit,Aggregat,year,value
001,Husum,Arbeitsmarktregion,2000,1360.1
001,Husum,Arbeitsmarktregion,2001,1344.5
001,Husum,Arbeitsmarktregion,2002,1338.5
001,Husum,Arbeitsmarktregion,2003,1327.4
001,Husum,Arbeitsmarktregion,2004,1328.1
001,Husum,Arbeitsmarktregion,2005,1327.2
001,Husum,Arbeitsmarktregion,2006,1350.7
001,Husum,Arbeitsmarktregion,2007,1348.4
001,Husum,Arbeitsmarktregion,2008,1340.2
001,Husum,Arbeitsmarktregion,2009,1301.8
001,Husum,Arbeitsmarktregion,2010,1321.8
001,Husum,Arbeitsmarktregion,2011,1319.4
001,Husum,Arbeitsmarktregion,2012,1313.5
001,Husum,Arbeitsmarktregion,2013,1302.3
001,Husum,Arbeitsmarktregion,2014,1303.2
001,Husum,Arbeitsmarktregion,2015,1304.9
001,Husum,Arbeitsmarktregion,2016,1309.8
001,Husum,Arbeitsmarktregion,2017,1308.2
002,Heide,Arbeitsmarktregion,2000,1339.6
002,Heide,Arbeitsmarktregion,2001,1324.2
002,Heide,Arbeitsmarktregion,2002,1312
002,Heide,Arbeitsmarktregion,2003,1288.4
002,Heide,Arbeitsmarktregion,2004,1280.6
002,Heide,Arbeitsmarktregion,2005,1275.7
002,Heide,Arbeitsmarktregion,2006,1305.9
002,Heide,Arbeitsmarktregion,2007,1306.1
002,Heide,Arbeitsmarktregion,2008,1301
002,Heide,Arbeitsmarktregion,2009,1251
002,Heide,Arbeitsmarktregion,2010,1272.7
002,Heide,Arbeitsmarktregion,2011,1278.9
002,Heide,Arbeitsmarktregion,2012,1266.7
002,Heide,Arbeitsmarktregion,2013,1260.1
002,Heide,Arbeitsmarktregion,2014,1266.6
002,Heide,Arbeitsmarktregion,2015,1264.9
002,Heide,Arbeitsmarktregion,2016,1265.8
002,Heide,Arbeitsmarktregion,2017,1266
003,Itzehoe,Arbeitsmarktregion,2000,1309.4
003,Itzehoe,Arbeitsmarktregion,2001,1294.1
003,Itzehoe,Arbeitsmarktregion,2002,1291.1
003,Itzehoe,Arbeitsmarktregion,2003,1283.4
003,Itzehoe,Arbeitsmarktregion,2004,1275.7
003,Itzehoe,Arbeitsmarktregion,2005,1266.5
003,Itzehoe,Arbeitsmarktregion,2006,1293
003,Itzehoe,Arbeitsmarktregion,2007,1297.5
003,Itzehoe,Arbeitsmarktregion,2008,1286.1
003,Itzehoe,Arbeitsmarktregion,2009,1238.6
003,Itzehoe,Arbeitsmarktregion,2010,1266.7
003,Itzehoe,Arbeitsmarktregion,2011,1273.3
003,Itzehoe,Arbeitsmarktregion,2012,1265.5
003,Itzehoe,Arbeitsmarktregion,2013,1257.4
003,Itzehoe,Arbeitsmarktregion,2014,1266.5
003,Itzehoe,Arbeitsmarktregion,2015,1268
003,Itzehoe,Arbeitsmarktregion,2016,1271.1
003,Itzehoe,Arbeitsmarktregion,2017,1276.8
004,Flensburg,Arbeitsmarktregion,2000,1335.2
004,Flensburg,Arbeitsmarktregion,2001,1318.4
004,Flensburg,Arbeitsmarktregion,2002,1317.7
004,Flensburg,Arbeitsmarktregion,2003,1310.3
004,Flensburg,Arbeitsmarktregion,2004,1301.3
004,Flensburg,Arbeitsmarktregion,2005,1292.1
004,Flensburg,Arbeitsmarktregion,2006,1312.8
004,Flensburg,Arbeitsmarktregion,2007,1313.1
004,Flensburg,Arbeitsmarktregion,2008,1309.3
004,Flensburg,Arbeitsmarktregion,2009,1266.5
004,Flensburg,Arbeitsmarktregion,2010,1284.2
004,Flensburg,Arbeitsmarktregion,2011,1280.3
004,Flensburg,Arbeitsmarktregion,2012,1272.2
004,Flensburg,Arbeitsmarktregion,2013,1264.8
004,Flensburg,Arbeitsmarktregion,2014,1271.7
004,Flensburg,Arbeitsmarktregion,2015,1268.5
004,Flensburg,Arbeitsmarktregion,2016,1269.1
004,Flensburg,Arbeitsmarktregion,2017,1272.1
005,Lübeck,Arbeitsmarktregion,2000,1340.7
005,Lübeck,Arbeitsmarktregion,2001,1332.9
005,Lübeck,Arbeitsmarktregion,2002,1329.5
005,Lübeck,Arbeitsmarktregion,2003,1319.8
005,Lübeck,Arbeitsmarktregion,2004,1314.8
005,Lübeck,Arbeitsmarktregion,2005,1310.4
005,Lübeck,Arbeitsmarktregion,2006,1329.8
005,Lübeck,Arbeitsmarktregion,2007,1329.1
005,Lübeck,Arbeitsmarktregion,2008,1314.2
005,Lübeck,Arbeitsmarktregion,2009,1269.9
005,Lübeck,Arbeitsmarktregion,2010,1292
005,Lübeck,Arbeitsmarktregion,2011,1292.7
005,Lübeck,Arbeitsmarktregion,2012,1283.2
005,Lübeck,Arbeitsmarktregion,2013,1272.8
005,Lübeck,Arbeitsmarktregion,2014,1284.9
005,Lübeck,Arbeitsmarktregion,2015,1283.3
005,Lübeck,Arbeitsmarktregion,2016,1284
005,Lübeck,Arbeitsmarktregion,2017,1286.6
006,Kiel,Arbeitsmarktregion,2000,1336.4
006,Kiel,Arbeitsmarktregion,2001,1328
006,Kiel,Arbeitsmarktregion,2002,1324.7
006,Kiel,Arbeitsmarktregion,2003,1316.1
006,Kiel,Arbeitsmarktregion,2004,1309.2
006,Kiel,Arbeitsmarktregion,2005,1300.2
006,Kiel,Arbeitsmarktregion,2006,1322.1
006,Kiel,Arbeitsmarktregion,2007,1320.4
006,Kiel,Arbeitsmarktregion,2008,1315.5
006,Kiel,Arbeitsmarktregion,2009,1275
006,Kiel,Arbeitsmarktregion,2010,1292.5
006,Kiel,Arbeitsmarktregion,2011,1295.6
006,Kiel,Arbeitsmarktregion,2012,1286.3
006,Kiel,Arbeitsmarktregion,2013,1271.3
006,Kiel,Arbeitsmarktregion,2014,1278.3
006,Kiel,Arbeitsmarktregion,2015,1278.4
006,Kiel,Arbeitsmarktregion,2016,1279
006,Kiel,Arbeitsmarktregion,2017,1283.1
007,Ratzeburg,Arbeitsmarktregion,2000,1294.5
007,Ratzeburg,Arbeitsmarktregion,2001,1278.5
007,Ratzeburg,Arbeitsmarktregion,2002,1270.1
007,Ratzeburg,Arbeitsmarktregion,2003,1263.6
007,Ratzeburg,Arbeitsmarktregion,2004,1259.8
007,Ratzeburg,Arbeitsmarktregion,2005,1250.3
007,Ratzeburg,Arbeitsmarktregion,2006,1273.8
007,Ratzeburg,Arbeitsmarktregion,2007,1273.5
007,Ratzeburg,Arbeitsmarktregion,2008,1284.7
007,Ratzeburg,Arbeitsmarktregion,2009,1247.6
007,Ratzeburg,Arbeitsmarktregion,2010,1269.9
007,Ratzeburg,Arbeitsmarktregion,2011,1271.7
007,Ratzeburg,Arbeitsmarktregion,2012,1262
007,Ratzeburg,Arbeitsmarktregion,2013,1250.6
007,Ratzeburg,Arbeitsmarktregion,2014,1259.9
007,Ratzeburg,Arbeitsmarktregion,2015,1261.7
007,Ratzeburg,Arbeitsmarktregion,2016,1261.9
007,Ratzeburg,Arbeitsmarktregion,2017,1263.2
008,Hamburg,Arbeitsmarktregion,2000,1375.2
008,Hamburg,Arbeitsmarktregion,2001,1366.6
008,Hamburg,Arbeitsmarktregion,2002,1362.1
008,Hamburg,Arbeitsmarktregion,2003,1357.8
008,Hamburg,Arbeitsmarktregion,2004,1352.7
008,Hamburg,Arbeitsmarktregion,2005,1347.1
008,Hamburg,Arbeitsmarktregion,2006,1371.2
008,Hamburg,Arbeitsmarktregion,2007,1371.8
008,Hamburg,Arbeitsmarktregion,2008,1359.2
008,Hamburg,Arbeitsmarktregion,2009,1319.9
008,Hamburg,Arbeitsmarktregion,2010,1337.6
008,Hamburg,Arbeitsmarktregion,2011,1338.6
008,Hamburg,Arbeitsmarktregion,2012,1330
008,Hamburg,Arbeitsmarktregion,2013,1317.8
008,Hamburg,Arbeitsmarktregion,2014,1323.7
008,Hamburg,Arbeitsmarktregion,2015,1326.2
008,Hamburg,Arbeitsmarktregion,2016,1327.4
008,Hamburg,Arbeitsmarktregion,2017,1328.2
009,Braunschweig,Arbeitsmarktregion,2000,1324.3
009,Braunschweig,Arbeitsmarktregion,2001,1321.4
009,Braunschweig,Arbeitsmarktregion,2002,1313.9
009,Braunschweig,Arbeitsmarktregion,2003,1310.8
009,Braunschweig,Arbeitsmarktregion,2004,1307.1
009,Braunschweig,Arbeitsmarktregion,2005,1296.4
009,Braunschweig,Arbeitsmarktregion,2006,1314.3
009,Braunschweig,Arbeitsmarktregion,2007,1316.8
009,Braunschweig,Arbeitsmarktregion,2008,1306.9
009,Braunschweig,Arbeitsmarktregion,2009,1270.6
009,Braunschweig,Arbeitsmarktregion,2010,1291
009,Braunschweig,Arbeitsmarktregion,2011,1294.4
009,Braunschweig,Arbeitsmarktregion,2012,1291.2
009,Braunschweig,Arbeitsmarktregion,2013,1281.1
009,Braunschweig,Arbeitsmarktregion,2014,1285.9
009,Braunschweig,Arbeitsmarktregion,2015,1293.5
009,Braunschweig,Arbeitsmarktregion,2016,1289.5
009,Braunschweig,Arbeitsmarktregion,2017,1291.8
010,Salzgitter,Arbeitsmarktregion,2000,1389.5
010,Salzgitter,Arbeitsmarktregion,2001,1394.8
010,Salzgitter,Arbeitsmarktregion,2002,1388.7
010,Salzgitter,Arbeitsmarktregion,2003,1380.9
010,Salzgitter,Arbeitsmarktregion,2004,1383.8
010,Salzgitter,Arbeitsmarktregion,2005,1366.3
010,Salzgitter,Arbeitsmarktregion,2006,1388
010,Salzgitter,Arbeitsmarktregion,2007,1387.4
010,Salzgitter,Arbeitsmarktregion,2008,1372.8
010,Salzgitter,Arbeitsmarktregion,2009,1326.1
010,Salzgitter,Arbeitsmarktregion,2010,1358.9
010,Salzgitter,Arbeitsmarktregion,2011,1367.5
010,Salzgitter,Arbeitsmarktregion,2012,1363.3
010,Salzgitter,Arbeitsmarktregion,2013,1363.7
010,Salzgitter,Arbeitsmarktregion,2014,1371.4
010,Salzgitter,Arbeitsmarktregion,2015,1371.2
010,Salzgitter,Arbeitsmarktregion,2016,1369.5
010,Salzgitter,Arbeitsmarktregion,2017,1365.6
011,Wolfsburg,Arbeitsmarktregion,2000,1377.7
011,Wolfsburg,Arbeitsmarktregion,2001,1384.7
011,Wolfsburg,Arbeitsmarktregion,2002,1377.6
011,Wolfsburg,Arbeitsmarktregion,2003,1379.4
011,Wolfsburg,Arbeitsmarktregion,2004,1383.1
011,Wolfsburg,Arbeitsmarktregion,2005,1368
011,Wolfsburg,Arbeitsmarktregion,2006,1384.2
011,Wolfsburg,Arbeitsmarktregion,2007,1384
011,Wolfsburg,Arbeitsmarktregion,2008,1368.3
011,Wolfsburg,Arbeitsmarktregion,2009,1318.8
011,Wolfsburg,Arbeitsmarktregion,2010,1359.3
011,Wolfsburg,Arbeitsmarktregion,2011,1364
011,Wolfsburg,Arbeitsmarktregion,2012,1356.8
011,Wolfsburg,Arbeitsmarktregion,2013,1361.6
011,Wolfsburg,Arbeitsmarktregion,2014,1373.5
011,Wolfsburg,Arbeitsmarktregion,2015,1375.8
011,Wolfsburg,Arbeitsmarktregion,2016,1374.6
011,Wolfsburg,Arbeitsmarktregion,2017,1373.6
012,Göttingen/Osterode,Arbeitsmarktregion,2000,1320.7
012,Göttingen/Osterode,Arbeitsmarktregion,2001,1319.2
012,Göttingen/Osterode,Arbeitsmarktregion,2002,1316.2
012,Göttingen/Osterode,Arbeitsmarktregion,2003,1303.5
012,Göttingen/Osterode,Arbeitsmarktregion,2004,1300
012,Göttingen/Osterode,Arbeitsmarktregion,2005,1294.4
012,Göttingen/Osterode,Arbeitsmarktregion,2006,1314
012,Göttingen/Osterode,Arbeitsmarktregion,2007,1312.8
012,Göttingen/Osterode,Arbeitsmarktregion,2008,1299.6
012,Göttingen/Osterode,Arbeitsmarktregion,2009,1257.7
012,Göttingen/Osterode,Arbeitsmarktregion,2010,1286.9
012,Göttingen/Osterode,Arbeitsmarktregion,2011,1289.1
012,Göttingen/Osterode,Arbeitsmarktregion,2012,1279.7
012,Göttingen/Osterode,Arbeitsmarktregion,2013,1270.2
012,Göttingen/Osterode,Arbeitsmarktregion,2014,1273.3
012,Göttingen/Osterode,Arbeitsmarktregion,2015,1280.1
012,Göttingen/Osterode,Arbeitsmarktregion,2016,1278.4
012,Göttingen/Osterode,Arbeitsmarktregion,2017,1275.9
013,Goslar,Arbeitsmarktregion,2000,1317.4
013,Goslar,Arbeitsmarktregion,2001,1315
013,Goslar,Arbeitsmarktregion,2002,1311.1
013,Goslar,Arbeitsmarktregion,2003,1300
013,Goslar,Arbeitsmarktregion,2004,1297.8
013,Goslar,Arbeitsmarktregion,2005,1286.3
013,Goslar,Arbeitsmarktregion,2006,1305.5
013,Goslar,Arbeitsmarktregion,2007,1309.8
013,Goslar,Arbeitsmarktregion,2008,1290.6
013,Goslar,Arbeitsmarktregion,2009,1248.7
013,Goslar,Arbeitsmarktregion,2010,1278.2
013,Goslar,Arbeitsmarktregion,2011,1281.3
013,Goslar,Arbeitsmarktregion,2012,1277.6
013,Goslar,Arbeitsmarktregion,2013,1264.9
013,Goslar,Arbeitsmarktregion,2014,1264.7
013,Goslar,Arbeitsmarktregion,2015,1272.3
