Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,1351.9
01001,"Flensburg, Stadt",krsfr. Stadt,2001,1335.5
01001,"Flensburg, Stadt",krsfr. Stadt,2002,1341.6
01001,"Flensburg, Stadt",krsfr. Stadt,2003,1340.8
01001,"Flensburg, Stadt",krsfr. Stadt,2004,1332.9
01001,"Flensburg, Stadt",krsfr. Stadt,2005,1316.3
01001,"Flensburg, Stadt",krsfr. Stadt,2006,1333.2
01001,"Flensburg, Stadt",krsfr. Stadt,2007,1339.3
01001,"Flensburg, Stadt",krsfr. Stadt,2008,1328.8
01001,"Flensburg, Stadt",krsfr. Stadt,2009,1281.9
01001,"Flensburg, Stadt",krsfr. Stadt,2010,1301
01001,"Flensburg, Stadt",krsfr. Stadt,2011,1293.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,1280.2
01001,"Flensburg, Stadt",krsfr. Stadt,2013,1275.3
01001,"Flensburg, Stadt",krsfr. Stadt,2014,1286.5
01001,"Flensburg, Stadt",krsfr. Stadt,2015,1286.1
01001,"Flensburg, Stadt",krsfr. Stadt,2016,1283.1
01001,"Flensburg, Stadt",krsfr. Stadt,2017,1289.3
01002,"Kiel, Stadt",krsfr. Stadt,2000,1371.4
01002,"Kiel, Stadt",krsfr. Stadt,2001,1365.6
01002,"Kiel, Stadt",krsfr. Stadt,2002,1363
01002,"Kiel, Stadt",krsfr. Stadt,2003,1353.2
01002,"Kiel, Stadt",krsfr. Stadt,2004,1347.4
01002,"Kiel, Stadt",krsfr. Stadt,2005,1340
01002,"Kiel, Stadt",krsfr. Stadt,2006,1361.3
01002,"Kiel, Stadt",krsfr. Stadt,2007,1355.5
01002,"Kiel, Stadt",krsfr. Stadt,2008,1340.3
01002,"Kiel, Stadt",krsfr. Stadt,2009,1298.7
01002,"Kiel, Stadt",krsfr. Stadt,2010,1314.1
01002,"Kiel, Stadt",krsfr. Stadt,2011,1317.6
01002,"Kiel, Stadt",krsfr. Stadt,2012,1305.3
01002,"Kiel, Stadt",krsfr. Stadt,2013,1288.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,1295.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,1298.2
01002,"Kiel, Stadt",krsfr. Stadt,2016,1297.7
01002,"Kiel, Stadt",krsfr. Stadt,2017,1300.5
01003,"Lübeck, Stadt",krsfr. Stadt,2000,1351.7
01003,"Lübeck, Stadt",krsfr. Stadt,2001,1343.6
01003,"Lübeck, Stadt",krsfr. Stadt,2002,1340.1
01003,"Lübeck, Stadt",krsfr. Stadt,2003,1330.3
01003,"Lübeck, Stadt",krsfr. Stadt,2004,1323.9
01003,"Lübeck, Stadt",krsfr. Stadt,2005,1319.8
01003,"Lübeck, Stadt",krsfr. Stadt,2006,1340.2
01003,"Lübeck, Stadt",krsfr. Stadt,2007,1338.5
01003,"Lübeck, Stadt",krsfr. Stadt,2008,1324.8
01003,"Lübeck, Stadt",krsfr. Stadt,2009,1279.1
01003,"Lübeck, Stadt",krsfr. Stadt,2010,1303.8
01003,"Lübeck, Stadt",krsfr. Stadt,2011,1305.6
01003,"Lübeck, Stadt",krsfr. Stadt,2012,1295.2
01003,"Lübeck, Stadt",krsfr. Stadt,2013,1286
01003,"Lübeck, Stadt",krsfr. Stadt,2014,1304.1
01003,"Lübeck, Stadt",krsfr. Stadt,2015,1302.5
01003,"Lübeck, Stadt",krsfr. Stadt,2016,1303
01003,"Lübeck, Stadt",krsfr. Stadt,2017,1306.8
01004,"Neumünster, Stadt",krsfr. Stadt,2000,1349
01004,"Neumünster, Stadt",krsfr. Stadt,2001,1333.9
01004,"Neumünster, Stadt",krsfr. Stadt,2002,1328.1
01004,"Neumünster, Stadt",krsfr. Stadt,2003,1319.7
01004,"Neumünster, Stadt",krsfr. Stadt,2004,1319.2
01004,"Neumünster, Stadt",krsfr. Stadt,2005,1303.7
01004,"Neumünster, Stadt",krsfr. Stadt,2006,1327.9
01004,"Neumünster, Stadt",krsfr. Stadt,2007,1330.9
01004,"Neumünster, Stadt",krsfr. Stadt,2008,1340.3
01004,"Neumünster, Stadt",krsfr. Stadt,2009,1297.8
01004,"Neumünster, Stadt",krsfr. Stadt,2010,1320.7
01004,"Neumünster, Stadt",krsfr. Stadt,2011,1333.8
01004,"Neumünster, Stadt",krsfr. Stadt,2012,1325.8
01004,"Neumünster, Stadt",krsfr. Stadt,2013,1308.8
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1315.3
01004,"Neumünster, Stadt",krsfr. Stadt,2015,1313.8
01004,"Neumünster, Stadt",krsfr. Stadt,2016,1319.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,1324.5
01051,Dithmarschen,Landkreis,2000,1339.6
01051,Dithmarschen,Landkreis,2001,1324.2
01051,Dithmarschen,Landkreis,2002,1312
01051,Dithmarschen,Landkreis,2003,1288.4
01051,Dithmarschen,Landkreis,2004,1280.6
01051,Dithmarschen,Landkreis,2005,1275.7
01051,Dithmarschen,Landkreis,2006,1305.9
01051,Dithmarschen,Landkreis,2007,1306.1
01051,Dithmarschen,Landkreis,2008,1301
01051,Dithmarschen,Landkreis,2009,1251
01051,Dithmarschen,Landkreis,2010,1272.7
01051,Dithmarschen,Landkreis,2011,1278.9
01051,Dithmarschen,Landkreis,2012,1266.7
01051,Dithmarschen,Landkreis,2013,1260.1
01051,Dithmarschen,Landkreis,2014,1266.6
01051,Dithmarschen,Landkreis,2015,1264.9
01051,Dithmarschen,Landkreis,2016,1265.8
01051,Dithmarschen,Landkreis,2017,1266
01053,Herzogtum Lauenburg,Landkreis,2000,1294.5
01053,Herzogtum Lauenburg,Landkreis,2001,1278.5
01053,Herzogtum Lauenburg,Landkreis,2002,1270.1
01053,Herzogtum Lauenburg,Landkreis,2003,1263.6
01053,Herzogtum Lauenburg,Landkreis,2004,1259.8
01053,Herzogtum Lauenburg,Landkreis,2005,1250.3
01053,Herzogtum Lauenburg,Landkreis,2006,1273.8
01053,Herzogtum Lauenburg,Landkreis,2007,1273.5
01053,Herzogtum Lauenburg,Landkreis,2008,1284.7
01053,Herzogtum Lauenburg,Landkreis,2009,1247.6
01053,Herzogtum Lauenburg,Landkreis,2010,1269.9
01053,Herzogtum Lauenburg,Landkreis,2011,1271.7
01053,Herzogtum Lauenburg,Landkreis,2012,1262
01053,Herzogtum Lauenburg,Landkreis,2013,1250.6
01053,Herzogtum Lauenburg,Landkreis,2014,1259.9
01053,Herzogtum Lauenburg,Landkreis,2015,1261.7
01053,Herzogtum Lauenburg,Landkreis,2016,1261.9
01053,Herzogtum Lauenburg,Landkreis,2017,1263.2
01054,Nordfriesland,Landkreis,2000,1360.1
01054,Nordfriesland,Landkreis,2001,1344.5
01054,Nordfriesland,Landkreis,2002,1338.5
01054,Nordfriesland,Landkreis,2003,1327.4
01054,Nordfriesland,Landkreis,2004,1328.1
01054,Nordfriesland,Landkreis,2005,1327.2
01054,Nordfriesland,Landkreis,2006,1350.7
01054,Nordfriesland,Landkreis,2007,1348.4
01054,Nordfriesland,Landkreis,2008,1340.2
01054,Nordfriesland,Landkreis,2009,1301.8
01054,Nordfriesland,Landkreis,2010,1321.8
01054,Nordfriesland,Landkreis,2011,1319.4
01054,Nordfriesland,Landkreis,2012,1313.5
01054,Nordfriesland,Landkreis,2013,1302.3
01054,Nordfriesland,Landkreis,2014,1303.2
01054,Nordfriesland,Landkreis,2015,1304.9
01054,Nordfriesland,Landkreis,2016,1309.8
01054,Nordfriesland,Landkreis,2017,1308.2
01055,Ostholstein,Landkreis,2000,1324.3
01055,Ostholstein,Landkreis,2001,1316.9
01055,Ostholstein,Landkreis,2002,1313.6
01055,Ostholstein,Landkreis,2003,1304.1
01055,Ostholstein,Landkreis,2004,1301.4
01055,Ostholstein,Landkreis,2005,1296.6
01055,Ostholstein,Landkreis,2006,1314.3
01055,Ostholstein,Landkreis,2007,1314.6
01055,Ostholstein,Landkreis,2008,1297.8
01055,Ostholstein,Landkreis,2009,1255.7
01055,Ostholstein,Landkreis,2010,1273.5
01055,Ostholstein,Landkreis,2011,1272.3
01055,Ostholstein,Landkreis,2012,1264.4
01055,Ostholstein,Landkreis,2013,1252.8
01055,Ostholstein,Landkreis,2014,1256.6
01055,Ostholstein,Landkreis,2015,1255.2
01055,Ostholstein,Landkreis,2016,1256
01055,Ostholstein,Landkreis,2017,1256.7
01056,Pinneberg,Landkreis,2000,1338.4
01056,Pinneberg,Landkreis,2001,1325.6
01056,Pinneberg,Landkreis,2002,1318.4
01056,Pinneberg,Landkreis,2003,1316.4
01056,Pinneberg,Landkreis,2004,1314.8
01056,Pinneberg,Landkreis,2005,1309.8
01056,Pinneberg,Landkreis,2006,1327.3
01056,Pinneberg,Landkreis,2007,1330
01056,Pinneberg,Landkreis,2008,1326.4
01056,Pinneberg,Landkreis,2009,1282
01056,Pinneberg,Landkreis,2010,1301.1
01056,Pinneberg,Landkreis,2011,1302.7
01056,Pinneberg,Landkreis,2012,1293.1
01056,Pinneberg,Landkreis,2013,1282.9
01056,Pinneberg,Landkreis,2014,1287.7
01056,Pinneberg,Landkreis,2015,1286.9
01056,Pinneberg,Landkreis,2016,1286.8
01056,Pinneberg,Landkreis,2017,1290.7
01057,Plön,Landkreis,2000,1254.1
01057,Plön,Landkreis,2001,1255.3
01057,Plön,Landkreis,2002,1254.8
01057,Plön,Landkreis,2003,1246.4
01057,Plön,Landkreis,2004,1225.9
01057,Plön,Landkreis,2005,1221.8
01057,Plön,Landkreis,2006,1247.4
01057,Plön,Landkreis,2007,1253.8
01057,Plön,Landkreis,2008,1251.6
01057,Plön,Landkreis,2009,1210.7
01057,Plön,Landkreis,2010,1229
01057,Plön,Landkreis,2011,1221.7
01057,Plön,Landkreis,2012,1214.8
01057,Plön,Landkreis,2013,1198.9
01057,Plön,Landkreis,2014,1201.2
01057,Plön,Landkreis,2015,1197.2
01057,Plön,Landkreis,2016,1195.9
01057,Plön,Landkreis,2017,1198.9
01058,Rendsburg-Eckernförde,Landkreis,2000,1310.6
01058,Rendsburg-Eckernförde,Landkreis,2001,1297.6
01058,Rendsburg-Eckernförde,Landkreis,2002,1293.6
01058,Rendsburg-Eckernförde,Landkreis,2003,1285.6
01058,Rendsburg-Eckernförde,Landkreis,2004,1279.4
01058,Rendsburg-Eckernförde,Landkreis,2005,1269
01058,Rendsburg-Eckernförde,Landkreis,2006,1288.5
01058,Rendsburg-Eckernförde,Landkreis,2007,1287.9
01058,Rendsburg-Eckernförde,Landkreis,2008,1291.3
01058,Rendsburg-Eckernförde,Landkreis,2009,1253.5
01058,Rendsburg-Eckernförde,Landkreis,2010,1271.2
01058,Rendsburg-Eckernförde,Landkreis,2011,1272.1
01058,Rendsburg-Eckernförde,Landkreis,2012,1265.6
01058,Rendsburg-Eckernförde,Landkreis,2013,1254.9
01058,Rendsburg-Eckernförde,Landkreis,2014,1262.1
01058,Rendsburg-Eckernförde,Landkreis,2015,1260.8
01058,Rendsburg-Eckernförde,Landkreis,2016,1261.2
01058,Rendsburg-Eckernförde,Landkreis,2017,1267.3
01059,Schleswig-Flensburg,Landkreis,2000,1321.7
01059,Schleswig-Flensburg,Landkreis,2001,1304.6
01059,Schleswig-Flensburg,Landkreis,2002,1298.7
01059,Schleswig-Flensburg,Landkreis,2003,1286.3
01059,Schleswig-Flensburg,Landkreis,2004,1276.5
01059,Schleswig-Flensburg,Landkreis,2005,1272.8
01059,Schleswig-Flensburg,Landkreis,2006,1295.8
01059,Schleswig-Flensburg,Landkreis,2007,1291.6
01059,Schleswig-Flensburg,Landkreis,2008,1293.7
01059,Schleswig-Flensburg,Landkreis,2009,1254.3
01059,Schleswig-Flensburg,Landkreis,2010,1271.1
01059,Schleswig-Flensburg,Landkreis,2011,1270.4
01059,Schleswig-Flensburg,Landkreis,2012,1266
01059,Schleswig-Flensburg,Landkreis,2013,1256.7
01059,Schleswig-Flensburg,Landkreis,2014,1260.3
01059,Schleswig-Flensburg,Landkreis,2015,1255
01059,Schleswig-Flensburg,Landkreis,2016,1258.3
01059,Schleswig-Flensburg,Landkreis,2017,1259.1
01060,Segeberg,Landkreis,2000,1351
01060,Segeberg,Landkreis,2001,1341.3
01060,Segeberg,Landkreis,2002,1336.8
01060,Segeberg,Landkreis,2003,1329.6
01060,Segeberg,Landkreis,2004,1320.6
01060,Segeberg,Landkreis,2005,1315.2
01060,Segeberg,Landkreis,2006,1338.6
01060,Segeberg,Landkreis,2007,1339
01060,Segeberg,Landkreis,2008,1331.4
01060,Segeberg,Landkreis,2009,1292.5
01060,Segeberg,Landkreis,2010,1315.4
01060,Segeberg,Landkreis,2011,1317
01060,Segeberg,Landkreis,2012,1304
01060,Segeberg,Landkreis,2013,1291.6
01060,Segeberg,Landkreis,2014,1299.7
01060,Segeberg,Landkreis,2015,1298.5
01060,Segeberg,Landkreis,2016,1302.6
01060,Segeberg,Landkreis,2017,1306.6
01061,Steinburg,Landkreis,2000,1309.4
01061,Steinburg,Landkreis,2001,1294.1
01061,Steinburg,Landkreis,2002,1291.1
01061,Steinburg,Landkreis,2003,1283.4
01061,Steinburg,Landkreis,2004,1275.7
01061,Steinburg,Landkreis,2005,1266.5
01061,Steinburg,Landkreis,2006,1293
01061,Steinburg,Landkreis,2007,1297.5
01061,Steinburg,Landkreis,2008,1286.1
01061,Steinburg,Landkreis,2009,1238.6
01061,Steinburg,Landkreis,2010,1266.7
01061,Steinburg,Landkreis,2011,1273.3
01061,Steinburg,Landkreis,2012,1265.5
01061,Steinburg,Landkreis,2013,1257.4
01061,Steinburg,Landkreis,2014,1266.5
01061,Steinburg,Landkreis,2015,1268
01061,Steinburg,Landkreis,2016,1271.1
01061,Steinburg,Landkreis,2017,1276.8
01062,Stormarn,Landkreis,2000,1355.6
01062,Stormarn,Landkreis,2001,1342
01062,Stormarn,Landkreis,2002,1335.7
01062,Stormarn,Landkreis,2003,1327.8
01062,Stormarn,Landkreis,2004,1321.3
01062,Stormarn,Landkreis,2005,1319.2
01062,Stormarn,Landkreis,2006,1344.2
01062,Stormarn,Landkreis,2007,1345.8
01062,Stormarn,Landkreis,2008,1344.2
01062,Stormarn,Landkreis,2009,1270.3
01062,Stormarn,Landkreis,2010,1297.2
01062,Stormarn,Landkreis,2011,1311
01062,Stormarn,Landkreis,2012,1310.9
01062,Stormarn,Landkreis,2013,1295.9
01062,Stormarn,Landkreis,2014,1307.2
01062,Stormarn,Landkreis,2015,1302.7
