Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1997,23.6
01001,"Flensburg, Stadt",krsfr. Stadt,1998,23.6
01001,"Flensburg, Stadt",krsfr. Stadt,1999,25.2
01001,"Flensburg, Stadt",krsfr. Stadt,2000,25.3
01001,"Flensburg, Stadt",krsfr. Stadt,2001,26.3
01001,"Flensburg, Stadt",krsfr. Stadt,2002,25.6
01001,"Flensburg, Stadt",krsfr. Stadt,2003,26
01001,"Flensburg, Stadt",krsfr. Stadt,2004,27.2
01001,"Flensburg, Stadt",krsfr. Stadt,2005,27.4
01001,"Flensburg, Stadt",krsfr. Stadt,2006,27.9
01001,"Flensburg, Stadt",krsfr. Stadt,2007,28.9
01001,"Flensburg, Stadt",krsfr. Stadt,2008,29.8
01001,"Flensburg, Stadt",krsfr. Stadt,2009,30.7
01001,"Flensburg, Stadt",krsfr. Stadt,2010,30.5
01001,"Flensburg, Stadt",krsfr. Stadt,2011,31.7
01001,"Flensburg, Stadt",krsfr. Stadt,2012,32.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,31.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,32.2
01001,"Flensburg, Stadt",krsfr. Stadt,2015,32.1
01001,"Flensburg, Stadt",krsfr. Stadt,2016,33.1
01001,"Flensburg, Stadt",krsfr. Stadt,2017,34.2
01002,"Kiel, Stadt",krsfr. Stadt,1997,21.6
01002,"Kiel, Stadt",krsfr. Stadt,1998,22.2
01002,"Kiel, Stadt",krsfr. Stadt,1999,23.4
01002,"Kiel, Stadt",krsfr. Stadt,2000,24.4
01002,"Kiel, Stadt",krsfr. Stadt,2001,25.4
01002,"Kiel, Stadt",krsfr. Stadt,2002,24.9
01002,"Kiel, Stadt",krsfr. Stadt,2003,25
01002,"Kiel, Stadt",krsfr. Stadt,2004,25.7
01002,"Kiel, Stadt",krsfr. Stadt,2005,26
01002,"Kiel, Stadt",krsfr. Stadt,2006,26.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,26.9
01002,"Kiel, Stadt",krsfr. Stadt,2008,27.8
01002,"Kiel, Stadt",krsfr. Stadt,2009,28.7
01002,"Kiel, Stadt",krsfr. Stadt,2010,28.7
01002,"Kiel, Stadt",krsfr. Stadt,2011,28.9
01002,"Kiel, Stadt",krsfr. Stadt,2012,29.1
01002,"Kiel, Stadt",krsfr. Stadt,2013,29.4
01002,"Kiel, Stadt",krsfr. Stadt,2014,29.3
01002,"Kiel, Stadt",krsfr. Stadt,2015,29.3
01002,"Kiel, Stadt",krsfr. Stadt,2016,30.3
01002,"Kiel, Stadt",krsfr. Stadt,2017,30.3
01003,"Lübeck, Stadt",krsfr. Stadt,1997,23.2
01003,"Lübeck, Stadt",krsfr. Stadt,1998,23.8
01003,"Lübeck, Stadt",krsfr. Stadt,1999,24.4
01003,"Lübeck, Stadt",krsfr. Stadt,2000,25.8
01003,"Lübeck, Stadt",krsfr. Stadt,2001,26
01003,"Lübeck, Stadt",krsfr. Stadt,2002,25.8
01003,"Lübeck, Stadt",krsfr. Stadt,2003,25.9
01003,"Lübeck, Stadt",krsfr. Stadt,2004,26.8
01003,"Lübeck, Stadt",krsfr. Stadt,2005,27.8
01003,"Lübeck, Stadt",krsfr. Stadt,2006,28.3
01003,"Lübeck, Stadt",krsfr. Stadt,2007,28.4
01003,"Lübeck, Stadt",krsfr. Stadt,2008,28.7
01003,"Lübeck, Stadt",krsfr. Stadt,2009,28.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,28.8
01003,"Lübeck, Stadt",krsfr. Stadt,2011,29
01003,"Lübeck, Stadt",krsfr. Stadt,2012,29.5
01003,"Lübeck, Stadt",krsfr. Stadt,2013,29
01003,"Lübeck, Stadt",krsfr. Stadt,2014,29.6
01003,"Lübeck, Stadt",krsfr. Stadt,2015,30.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,31.3
01003,"Lübeck, Stadt",krsfr. Stadt,2017,31.3
01004,"Neumünster, Stadt",krsfr. Stadt,1997,27
01004,"Neumünster, Stadt",krsfr. Stadt,1998,27.8
01004,"Neumünster, Stadt",krsfr. Stadt,1999,29.2
01004,"Neumünster, Stadt",krsfr. Stadt,2000,30.8
01004,"Neumünster, Stadt",krsfr. Stadt,2001,31.6
01004,"Neumünster, Stadt",krsfr. Stadt,2002,32.1
01004,"Neumünster, Stadt",krsfr. Stadt,2003,32.6
01004,"Neumünster, Stadt",krsfr. Stadt,2004,33.2
01004,"Neumünster, Stadt",krsfr. Stadt,2005,35.1
01004,"Neumünster, Stadt",krsfr. Stadt,2006,36
01004,"Neumünster, Stadt",krsfr. Stadt,2007,36.6
01004,"Neumünster, Stadt",krsfr. Stadt,2008,37.4
01004,"Neumünster, Stadt",krsfr. Stadt,2009,37.3
01004,"Neumünster, Stadt",krsfr. Stadt,2010,37.2
01004,"Neumünster, Stadt",krsfr. Stadt,2011,38.1
01004,"Neumünster, Stadt",krsfr. Stadt,2012,38.4
01004,"Neumünster, Stadt",krsfr. Stadt,2013,38.1
01004,"Neumünster, Stadt",krsfr. Stadt,2014,38.6
01004,"Neumünster, Stadt",krsfr. Stadt,2015,39.1
01004,"Neumünster, Stadt",krsfr. Stadt,2016,38.8
01004,"Neumünster, Stadt",krsfr. Stadt,2017,38.6
01051,Dithmarschen,Landkreis,1997,69
01051,Dithmarschen,Landkreis,1998,69.7
01051,Dithmarschen,Landkreis,1999,68.9
01051,Dithmarschen,Landkreis,2000,71
01051,Dithmarschen,Landkreis,2001,70.9
01051,Dithmarschen,Landkreis,2002,71.5
01051,Dithmarschen,Landkreis,2003,71.5
01051,Dithmarschen,Landkreis,2004,72.2
01051,Dithmarschen,Landkreis,2005,70.7
01051,Dithmarschen,Landkreis,2006,73.5
01051,Dithmarschen,Landkreis,2007,73.5
01051,Dithmarschen,Landkreis,2008,74.4
01051,Dithmarschen,Landkreis,2009,74.7
01051,Dithmarschen,Landkreis,2010,73.9
01051,Dithmarschen,Landkreis,2011,73.8
01051,Dithmarschen,Landkreis,2012,74.1
01051,Dithmarschen,Landkreis,2013,74.4
01051,Dithmarschen,Landkreis,2014,74.6
01051,Dithmarschen,Landkreis,2015,72.2
01051,Dithmarschen,Landkreis,2016,73.3
01051,Dithmarschen,Landkreis,2017,73.5
01053,Herzogtum Lauenburg,Landkreis,1997,75.4
01053,Herzogtum Lauenburg,Landkreis,1998,75.9
01053,Herzogtum Lauenburg,Landkreis,1999,75.4
01053,Herzogtum Lauenburg,Landkreis,2000,77.2
01053,Herzogtum Lauenburg,Landkreis,2001,78
01053,Herzogtum Lauenburg,Landkreis,2002,78.6
01053,Herzogtum Lauenburg,Landkreis,2003,78.8
01053,Herzogtum Lauenburg,Landkreis,2004,79.6
01053,Herzogtum Lauenburg,Landkreis,2005,78.4
01053,Herzogtum Lauenburg,Landkreis,2006,80.8
01053,Herzogtum Lauenburg,Landkreis,2007,80.5
01053,Herzogtum Lauenburg,Landkreis,2008,81.2
01053,Herzogtum Lauenburg,Landkreis,2009,81.4
01053,Herzogtum Lauenburg,Landkreis,2010,81
01053,Herzogtum Lauenburg,Landkreis,2011,81.1
01053,Herzogtum Lauenburg,Landkreis,2012,80.9
01053,Herzogtum Lauenburg,Landkreis,2013,81.3
01053,Herzogtum Lauenburg,Landkreis,2014,81.5
01053,Herzogtum Lauenburg,Landkreis,2015,79.2
01053,Herzogtum Lauenburg,Landkreis,2016,79.4
01053,Herzogtum Lauenburg,Landkreis,2017,79.7
01054,Nordfriesland,Landkreis,1997,61.5
01054,Nordfriesland,Landkreis,1998,62
01054,Nordfriesland,Landkreis,1999,62.5
01054,Nordfriesland,Landkreis,2000,64.4
01054,Nordfriesland,Landkreis,2001,65.1
01054,Nordfriesland,Landkreis,2002,65.4
01054,Nordfriesland,Landkreis,2003,65.6
01054,Nordfriesland,Landkreis,2004,66
01054,Nordfriesland,Landkreis,2005,66
01054,Nordfriesland,Landkreis,2006,67.7
01054,Nordfriesland,Landkreis,2007,67
01054,Nordfriesland,Landkreis,2008,68.1
01054,Nordfriesland,Landkreis,2009,65.3
01054,Nordfriesland,Landkreis,2010,64.9
01054,Nordfriesland,Landkreis,2011,64.8
01054,Nordfriesland,Landkreis,2012,65
01054,Nordfriesland,Landkreis,2013,65.2
01054,Nordfriesland,Landkreis,2014,66.2
01054,Nordfriesland,Landkreis,2015,65.4
01054,Nordfriesland,Landkreis,2016,66
01054,Nordfriesland,Landkreis,2017,65.7
01055,Ostholstein,Landkreis,1997,65.3
01055,Ostholstein,Landkreis,1998,66
01055,Ostholstein,Landkreis,1999,66.9
01055,Ostholstein,Landkreis,2000,67.7
01055,Ostholstein,Landkreis,2001,68.3
01055,Ostholstein,Landkreis,2002,68.5
01055,Ostholstein,Landkreis,2003,67.8
01055,Ostholstein,Landkreis,2004,68.1
01055,Ostholstein,Landkreis,2005,68.5
01055,Ostholstein,Landkreis,2006,68.9
01055,Ostholstein,Landkreis,2007,69.5
01055,Ostholstein,Landkreis,2008,69.9
01055,Ostholstein,Landkreis,2009,70.3
01055,Ostholstein,Landkreis,2010,70.4
01055,Ostholstein,Landkreis,2011,70.3
01055,Ostholstein,Landkreis,2012,70.3
01055,Ostholstein,Landkreis,2013,70.6
01055,Ostholstein,Landkreis,2014,70.7
01055,Ostholstein,Landkreis,2015,70.9
01055,Ostholstein,Landkreis,2016,70.7
01055,Ostholstein,Landkreis,2017,70.8
01056,Pinneberg,Landkreis,1997,75
01056,Pinneberg,Landkreis,1998,75.2
01056,Pinneberg,Landkreis,1999,75.4
01056,Pinneberg,Landkreis,2000,76.3
01056,Pinneberg,Landkreis,2001,76.5
01056,Pinneberg,Landkreis,2002,76.6
01056,Pinneberg,Landkreis,2003,76.9
01056,Pinneberg,Landkreis,2004,77.5
01056,Pinneberg,Landkreis,2005,78.2
01056,Pinneberg,Landkreis,2006,78.8
01056,Pinneberg,Landkreis,2007,79.1
01056,Pinneberg,Landkreis,2008,79.7
01056,Pinneberg,Landkreis,2009,80
01056,Pinneberg,Landkreis,2010,80.4
01056,Pinneberg,Landkreis,2011,80.5
01056,Pinneberg,Landkreis,2012,80.6
01056,Pinneberg,Landkreis,2013,80.6
01056,Pinneberg,Landkreis,2014,80.9
01056,Pinneberg,Landkreis,2015,81.1
01056,Pinneberg,Landkreis,2016,81
01056,Pinneberg,Landkreis,2017,81
01057,Plön,Landkreis,1997,81
01057,Plön,Landkreis,1998,81.3
01057,Plön,Landkreis,1999,81.3
01057,Plön,Landkreis,2000,82.2
01057,Plön,Landkreis,2001,82.6
01057,Plön,Landkreis,2002,82.8
01057,Plön,Landkreis,2003,83.1
01057,Plön,Landkreis,2004,83.4
01057,Plön,Landkreis,2005,81.6
01057,Plön,Landkreis,2006,84.5
01057,Plön,Landkreis,2007,84.2
01057,Plön,Landkreis,2008,84.4
01057,Plön,Landkreis,2009,84.4
01057,Plön,Landkreis,2010,84.2
01057,Plön,Landkreis,2011,84
01057,Plön,Landkreis,2012,84.2
01057,Plön,Landkreis,2013,84.4
01057,Plön,Landkreis,2014,84.4
01057,Plön,Landkreis,2015,83.3
01057,Plön,Landkreis,2016,83.8
01057,Plön,Landkreis,2017,83.8
01058,Rendsburg-Eckernförde,Landkreis,1997,76.6
01058,Rendsburg-Eckernförde,Landkreis,1998,77.2
01058,Rendsburg-Eckernförde,Landkreis,1999,77.2
01058,Rendsburg-Eckernförde,Landkreis,2000,78.5
01058,Rendsburg-Eckernförde,Landkreis,2001,79
01058,Rendsburg-Eckernförde,Landkreis,2002,79.5
01058,Rendsburg-Eckernförde,Landkreis,2003,79.9
01058,Rendsburg-Eckernförde,Landkreis,2004,80.3
01058,Rendsburg-Eckernförde,Landkreis,2005,80.3
01058,Rendsburg-Eckernförde,Landkreis,2006,81.6
01058,Rendsburg-Eckernförde,Landkreis,2007,81.7
01058,Rendsburg-Eckernförde,Landkreis,2008,82.3
01058,Rendsburg-Eckernförde,Landkreis,2009,82.2
01058,Rendsburg-Eckernförde,Landkreis,2010,82.3
01058,Rendsburg-Eckernförde,Landkreis,2011,82.2
01058,Rendsburg-Eckernförde,Landkreis,2012,82.2
01058,Rendsburg-Eckernförde,Landkreis,2013,81.6
01058,Rendsburg-Eckernförde,Landkreis,2014,81.8
01058,Rendsburg-Eckernförde,Landkreis,2015,81.1
01058,Rendsburg-Eckernförde,Landkreis,2016,81.6
01058,Rendsburg-Eckernförde,Landkreis,2017,81.5
01059,Schleswig-Flensburg,Landkreis,1997,74.3
01059,Schleswig-Flensburg,Landkreis,1998,75.2
01059,Schleswig-Flensburg,Landkreis,1999,75.5
01059,Schleswig-Flensburg,Landkreis,2000,77
01059,Schleswig-Flensburg,Landkreis,2001,77.4
01059,Schleswig-Flensburg,Landkreis,2002,77.6
01059,Schleswig-Flensburg,Landkreis,2003,77.7
01059,Schleswig-Flensburg,Landkreis,2004,78.1
01059,Schleswig-Flensburg,Landkreis,2005,77.7
01059,Schleswig-Flensburg,Landkreis,2006,79.3
01059,Schleswig-Flensburg,Landkreis,2007,79.3
01059,Schleswig-Flensburg,Landkreis,2008,79.5
01059,Schleswig-Flensburg,Landkreis,2009,79.3
01059,Schleswig-Flensburg,Landkreis,2010,79.1
01059,Schleswig-Flensburg,Landkreis,2011,79.1
01059,Schleswig-Flensburg,Landkreis,2012,79.1
01059,Schleswig-Flensburg,Landkreis,2013,79.3
01059,Schleswig-Flensburg,Landkreis,2014,79.4
01059,Schleswig-Flensburg,Landkreis,2015,78.8
01059,Schleswig-Flensburg,Landkreis,2016,79.1
01059,Schleswig-Flensburg,Landkreis,2017,79.5
01060,Segeberg,Landkreis,1997,73.6
01060,Segeberg,Landkreis,1998,73.9
01060,Segeberg,Landkreis,1999,74.3
01060,Segeberg,Landkreis,2000,75.4
01060,Segeberg,Landkreis,2001,75.5
01060,Segeberg,Landkreis,2002,75.3
01060,Segeberg,Landkreis,2003,75.8
01060,Segeberg,Landkreis,2004,76.3
01060,Segeberg,Landkreis,2005,76.7
01060,Segeberg,Landkreis,2006,77.9
01060,Segeberg,Landkreis,2007,78.1
01060,Segeberg,Landkreis,2008,78.5
01060,Segeberg,Landkreis,2009,78.7
01060,Segeberg,Landkreis,2010,78.7
01060,Segeberg,Landkreis,2011,79
01060,Segeberg,Landkreis,2012,78.7
01060,Segeberg,Landkreis,2013,78.9
01060,Segeberg,Landkreis,2014,79.1
01060,Segeberg,Landkreis,2015,78.4
01060,Segeberg,Landkreis,2016,79
01060,Segeberg,Landkreis,2017,79.2
01061,Steinburg,Landkreis,1997,70.8
01061,Steinburg,Landkreis,1998,71.3
01061,Steinburg,Landkreis,1999,71.7
01061,Steinburg,Landkreis,2000,72.9
01061,Steinburg,Landkreis,2001,73.3
01061,Steinburg,Landkreis,2002,73.7
01061,Steinburg,Landkreis,2003,74.4
01061,Steinburg,Landkreis,2004,75.5
01061,Steinburg,Landkreis,2005,73.6
01061,Steinburg,Landkreis,2006,76.9
01061,Steinburg,Landkreis,2007,76.8
01061,Steinburg,Landkreis,2008,77.4
01061,Steinburg,Landkreis,2009,77.6
01061,Steinburg,Landkreis,2010,76.7
01061,Steinburg,Landkreis,2011,77.1
01061,Steinburg,Landkreis,2012,76.8
01061,Steinburg,Landkreis,2013,77.6
01061,Steinburg,Landkreis,2014,77.7
01061,Steinburg,Landkreis,2015,76.2
01061,Steinburg,Landkreis,2016,76.2
01061,Steinburg,Landkreis,2017,76.4
01062,Stormarn,Landkreis,1997,79
01062,Stormarn,Landkreis,1998,79.5
01062,Stormarn,Landkreis,1999,79.6
01062,Stormarn,Landkreis,2000,80.3
01062,Stormarn,Landkreis,2001,80.8
01062,Stormarn,Landkreis,2002,80.7
01062,Stormarn,Landkreis,2003,81.1
01062,Stormarn,Landkreis,2004,81.4
01062,Stormarn,Landkreis,2005,81.8
01062,Stormarn,Landkreis,2006,82
01062,Stormarn,Landkreis,2007,82.2
01062,Stormarn,Landkreis,2008,82.8
01062,Stormarn,Landkreis,2009,82.8
01062,Stormarn,Landkreis,2010,83.2
01062,Stormarn,Landkreis,2011,83.3
