Kennziffer;Raumeinheit;Aggregat;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst 
;;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"001";"Husum";"Arbeitsmarktregion";"1.791";"1.821";"1.834";"1.863";"1.867";"1.885";"1.890";"1.907";"1.916";"1.955";"2.004";"2.070";"2.131";"2.216";"2.201";"2.277";"2.321";"2.373"
"002";"Heide";"Arbeitsmarktregion";"1.948";"1.968";"1.991";"1.984";"1.952";"1.945";"1.966";"1.978";"1.994";"1.977";"2.007";"2.083";"2.106";"2.144";"2.197";"2.227";"2.310";"2.333"
"003";"Itzehoe";"Arbeitsmarktregion";"1.882";"1.947";"1.983";"1.974";"1.958";"1.960";"1.963";"1.996";"2.013";"2.011";"2.041";"2.099";"2.157";"2.231";"2.245";"2.306";"2.343";"2.388"
"004";"Flensburg";"Arbeitsmarktregion";"1.883";"1.925";"1.967";"1.982";"1.957";"1.933";"1.899";"1.908";"1.935";"1.943";"1.970";"2.014";"2.085";"2.108";"2.146";"2.195";"2.230";"2.290"
"005";"Lübeck";"Arbeitsmarktregion";"1.836";"1.864";"1.898";"1.904";"1.918";"1.920";"1.911";"1.945";"1.979";"1.978";"2.038";"2.087";"2.148";"2.188";"2.262";"2.299";"2.416";"2.455"
"006";"Kiel";"Arbeitsmarktregion";"1.948";"1.981";"2.022";"2.055";"2.052";"2.036";"2.018";"2.048";"2.069";"2.096";"2.145";"2.206";"2.255";"2.304";"2.371";"2.453";"2.477";"2.553"
"007";"Ratzeburg";"Arbeitsmarktregion";"1.830";"1.879";"1.880";"1.862";"1.848";"1.835";"1.834";"1.881";"1.982";"1.978";"1.977";"2.102";"2.150";"2.204";"2.273";"2.345";"2.401";"2.448"
"008";"Hamburg";"Arbeitsmarktregion";"2.366";"2.425";"2.453";"2.475";"2.486";"2.505";"2.529";"2.572";"2.635";"2.650";"2.692";"2.762";"2.835";"2.912";"2.976";"3.048";"3.105";"3.183"
"009";"Braunschweig";"Arbeitsmarktregion";"2.046";"2.084";"2.099";"2.133";"2.135";"2.123";"2.162";"2.169";"2.213";"2.223";"2.287";"2.368";"2.442";"2.491";"2.596";"2.696";"2.741";"2.814"
"010";"Salzgitter";"Arbeitsmarktregion";"2.328";"2.371";"2.373";"2.412";"2.404";"2.398";"2.512";"2.522";"2.556";"2.551";"2.764";"2.858";"2.957";"3.052";"3.131";"3.247";"3.268";"3.344"
"011";"Wolfsburg";"Arbeitsmarktregion";"2.649";"2.706";"2.709";"2.788";"2.719";"2.658";"2.852";"2.795";"2.841";"2.873";"2.919";"3.109";"3.339";"3.491";"3.612";"3.723";"3.708";"3.798"
"012";"Göttingen/Osterode";"Arbeitsmarktregion";"1.993";"2.031";"2.040";"2.059";"2.066";"2.052";"2.069";"2.102";"2.144";"2.132";"2.202";"2.270";"2.310";"2.363";"2.425";"2.494";"2.552";"2.634"
"013";"Goslar";"Arbeitsmarktregion";"1.832";"1.868";"1.889";"1.914";"1.917";"1.915";"1.935";"1.973";"2.018";"1.990";"2.051";"2.132";"2.172";"2.231";"2.279";"2.324";"2.317";"2.399"
