Kennziffer;Raumeinheit;Aggregat;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst 
;;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"1.972";"2.029";"2.111";"2.170";"2.154";"2.091";"2.023";"2.038";"2.084";"2.066";"2.095";"2.126";"2.201";"2.227";"2.256";"2.319";"2.323";"2.431"
"01002";"Kiel, Stadt";"krsfr. Stadt";"2.127";"2.182";"2.246";"2.286";"2.277";"2.248";"2.204";"2.221";"2.253";"2.283";"2.347";"2.392";"2.436";"2.464";"2.565";"2.671";"2.689";"2.771"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"1.951";"1.985";"2.025";"2.022";"2.044";"2.047";"2.023";"2.041";"2.077";"2.077";"2.147";"2.202";"2.253";"2.303";"2.409";"2.430";"2.589";"2.618"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"2.036";"2.032";"2.089";"2.060";"2.068";"2.044";"2.040";"2.077";"2.075";"2.079";"2.102";"2.182";"2.220";"2.318";"2.346";"2.402";"2.453";"2.524"
"01051";"Dithmarschen";"Landkreis";"1.948";"1.968";"1.991";"1.984";"1.952";"1.945";"1.966";"1.978";"1.994";"1.977";"2.007";"2.083";"2.106";"2.144";"2.197";"2.227";"2.310";"2.333"
"01053";"Herzogtum Lauenburg";"Landkreis";"1.830";"1.879";"1.880";"1.862";"1.848";"1.835";"1.834";"1.881";"1.982";"1.978";"1.977";"2.102";"2.150";"2.204";"2.273";"2.345";"2.401";"2.448"
"01054";"Nordfriesland";"Landkreis";"1.791";"1.821";"1.834";"1.863";"1.867";"1.885";"1.890";"1.907";"1.916";"1.955";"2.004";"2.070";"2.131";"2.216";"2.201";"2.277";"2.321";"2.373"
"01055";"Ostholstein";"Landkreis";"1.663";"1.683";"1.710";"1.727";"1.732";"1.735";"1.744";"1.800";"1.827";"1.825";"1.867";"1.906";"1.985";"2.013";"2.046";"2.109";"2.162";"2.215"
"01056";"Pinneberg";"Landkreis";"1.940";"1.988";"2.034";"2.073";"2.096";"2.119";"2.134";"2.176";"2.223";"2.269";"2.284";"2.322";"2.366";"2.448";"2.447";"2.512";"2.580";"2.612"
"01057";"Plön";"Landkreis";"1.555";"1.606";"1.642";"1.663";"1.658";"1.666";"1.667";"1.749";"1.771";"1.792";"1.823";"1.881";"1.941";"1.970";"2.002";"2.044";"2.074";"2.112"
"01058";"Rendsburg-Eckernförde";"Landkreis";"1.794";"1.806";"1.809";"1.857";"1.857";"1.856";"1.860";"1.887";"1.902";"1.934";"1.980";"2.050";"2.109";"2.175";"2.211";"2.281";"2.303";"2.386"
"01059";"Schleswig-Flensburg";"Landkreis";"1.812";"1.840";"1.851";"1.835";"1.803";"1.806";"1.795";"1.802";"1.816";"1.847";"1.871";"1.929";"1.995";"2.016";"2.062";"2.099";"2.159";"2.183"
"01060";"Segeberg";"Landkreis";"1.980";"2.019";"2.036";"2.064";"2.063";"2.083";"2.069";"2.100";"2.199";"2.209";"2.270";"2.300";"2.350";"2.360";"2.425";"2.501";"2.607";"2.672"
"01061";"Steinburg";"Landkreis";"1.882";"1.947";"1.983";"1.974";"1.958";"1.960";"1.963";"1.996";"2.013";"2.011";"2.041";"2.099";"2.157";"2.231";"2.245";"2.306";"2.343";"2.388"
"01062";"Stormarn";"Landkreis";"2.249";"2.273";"2.261";"2.263";"2.213";"2.192";"2.172";"2.206";"2.270";"2.186";"2.248";"2.325";"2.388";"2.454";"2.488";"2.541";"2.580";"2.672"
