Kennziffer,Raumeinheit,Aggregat,year,value
001,Husum,Arbeitsmarktregion,2000,1791
001,Husum,Arbeitsmarktregion,2001,1821
001,Husum,Arbeitsmarktregion,2002,1834
001,Husum,Arbeitsmarktregion,2003,1863
001,Husum,Arbeitsmarktregion,2004,1867
001,Husum,Arbeitsmarktregion,2005,1885
001,Husum,Arbeitsmarktregion,2006,1890
001,Husum,Arbeitsmarktregion,2007,1907
001,Husum,Arbeitsmarktregion,2008,1916
001,Husum,Arbeitsmarktregion,2009,1955
001,Husum,Arbeitsmarktregion,2010,2004
001,Husum,Arbeitsmarktregion,2011,2070
001,Husum,Arbeitsmarktregion,2012,2131
001,Husum,Arbeitsmarktregion,2013,2216
001,Husum,Arbeitsmarktregion,2014,2201
001,Husum,Arbeitsmarktregion,2015,2277
001,Husum,Arbeitsmarktregion,2016,2321
001,Husum,Arbeitsmarktregion,2017,2373
002,Heide,Arbeitsmarktregion,2000,1948
002,Heide,Arbeitsmarktregion,2001,1968
002,Heide,Arbeitsmarktregion,2002,1991
002,Heide,Arbeitsmarktregion,2003,1984
002,Heide,Arbeitsmarktregion,2004,1952
002,Heide,Arbeitsmarktregion,2005,1945
002,Heide,Arbeitsmarktregion,2006,1966
002,Heide,Arbeitsmarktregion,2007,1978
002,Heide,Arbeitsmarktregion,2008,1994
002,Heide,Arbeitsmarktregion,2009,1977
002,Heide,Arbeitsmarktregion,2010,2007
002,Heide,Arbeitsmarktregion,2011,2083
002,Heide,Arbeitsmarktregion,2012,2106
002,Heide,Arbeitsmarktregion,2013,2144
002,Heide,Arbeitsmarktregion,2014,2197
002,Heide,Arbeitsmarktregion,2015,2227
002,Heide,Arbeitsmarktregion,2016,2310
002,Heide,Arbeitsmarktregion,2017,2333
003,Itzehoe,Arbeitsmarktregion,2000,1882
003,Itzehoe,Arbeitsmarktregion,2001,1947
003,Itzehoe,Arbeitsmarktregion,2002,1983
003,Itzehoe,Arbeitsmarktregion,2003,1974
003,Itzehoe,Arbeitsmarktregion,2004,1958
003,Itzehoe,Arbeitsmarktregion,2005,1960
003,Itzehoe,Arbeitsmarktregion,2006,1963
003,Itzehoe,Arbeitsmarktregion,2007,1996
003,Itzehoe,Arbeitsmarktregion,2008,2013
003,Itzehoe,Arbeitsmarktregion,2009,2011
003,Itzehoe,Arbeitsmarktregion,2010,2041
003,Itzehoe,Arbeitsmarktregion,2011,2099
003,Itzehoe,Arbeitsmarktregion,2012,2157
003,Itzehoe,Arbeitsmarktregion,2013,2231
003,Itzehoe,Arbeitsmarktregion,2014,2245
003,Itzehoe,Arbeitsmarktregion,2015,2306
003,Itzehoe,Arbeitsmarktregion,2016,2343
003,Itzehoe,Arbeitsmarktregion,2017,2388
004,Flensburg,Arbeitsmarktregion,2000,1883
004,Flensburg,Arbeitsmarktregion,2001,1925
004,Flensburg,Arbeitsmarktregion,2002,1967
004,Flensburg,Arbeitsmarktregion,2003,1982
