Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1997,47.5
01001,"Flensburg, Stadt",krsfr. Stadt,1998,48.2
01001,"Flensburg, Stadt",krsfr. Stadt,1999,48.9
01001,"Flensburg, Stadt",krsfr. Stadt,2000,49.7
01001,"Flensburg, Stadt",krsfr. Stadt,2001,49.7
01001,"Flensburg, Stadt",krsfr. Stadt,2002,49.9
01001,"Flensburg, Stadt",krsfr. Stadt,2003,50.2
01001,"Flensburg, Stadt",krsfr. Stadt,2004,50.7
01001,"Flensburg, Stadt",krsfr. Stadt,2005,51.7
01001,"Flensburg, Stadt",krsfr. Stadt,2006,53.3
01001,"Flensburg, Stadt",krsfr. Stadt,2007,53.9
01001,"Flensburg, Stadt",krsfr. Stadt,2008,53.4
01001,"Flensburg, Stadt",krsfr. Stadt,2009,53.5
01001,"Flensburg, Stadt",krsfr. Stadt,2010,53
01001,"Flensburg, Stadt",krsfr. Stadt,2011,52.7
01001,"Flensburg, Stadt",krsfr. Stadt,2012,52.3
01001,"Flensburg, Stadt",krsfr. Stadt,2013,52.5
01001,"Flensburg, Stadt",krsfr. Stadt,2014,52.3
01001,"Flensburg, Stadt",krsfr. Stadt,2015,52
01001,"Flensburg, Stadt",krsfr. Stadt,2016,52.3
01001,"Flensburg, Stadt",krsfr. Stadt,2017,52.4
01002,"Kiel, Stadt",krsfr. Stadt,1997,43.5
01002,"Kiel, Stadt",krsfr. Stadt,1998,44.4
01002,"Kiel, Stadt",krsfr. Stadt,1999,44.6
01002,"Kiel, Stadt",krsfr. Stadt,2000,45.1
01002,"Kiel, Stadt",krsfr. Stadt,2001,46
01002,"Kiel, Stadt",krsfr. Stadt,2002,46.2
01002,"Kiel, Stadt",krsfr. Stadt,2003,47
01002,"Kiel, Stadt",krsfr. Stadt,2004,48
01002,"Kiel, Stadt",krsfr. Stadt,2005,48.9
01002,"Kiel, Stadt",krsfr. Stadt,2006,49
01002,"Kiel, Stadt",krsfr. Stadt,2007,49.2
01002,"Kiel, Stadt",krsfr. Stadt,2008,49.6
01002,"Kiel, Stadt",krsfr. Stadt,2009,49.6
01002,"Kiel, Stadt",krsfr. Stadt,2010,49.2
01002,"Kiel, Stadt",krsfr. Stadt,2011,49.1
01002,"Kiel, Stadt",krsfr. Stadt,2012,49
01002,"Kiel, Stadt",krsfr. Stadt,2013,48.8
01002,"Kiel, Stadt",krsfr. Stadt,2014,49.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,49.8
01002,"Kiel, Stadt",krsfr. Stadt,2016,49.5
01002,"Kiel, Stadt",krsfr. Stadt,2017,49.1
01003,"Lübeck, Stadt",krsfr. Stadt,1997,36.8
01003,"Lübeck, Stadt",krsfr. Stadt,1998,37.7
01003,"Lübeck, Stadt",krsfr. Stadt,1999,38.8
01003,"Lübeck, Stadt",krsfr. Stadt,2000,39.6
01003,"Lübeck, Stadt",krsfr. Stadt,2001,40.4
01003,"Lübeck, Stadt",krsfr. Stadt,2002,40.7
01003,"Lübeck, Stadt",krsfr. Stadt,2003,41.4
01003,"Lübeck, Stadt",krsfr. Stadt,2004,42.7
01003,"Lübeck, Stadt",krsfr. Stadt,2005,43.8
01003,"Lübeck, Stadt",krsfr. Stadt,2006,44.5
01003,"Lübeck, Stadt",krsfr. Stadt,2007,45
01003,"Lübeck, Stadt",krsfr. Stadt,2008,45.6
01003,"Lübeck, Stadt",krsfr. Stadt,2009,45.5
01003,"Lübeck, Stadt",krsfr. Stadt,2010,45.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,45.3
01003,"Lübeck, Stadt",krsfr. Stadt,2012,44.9
01003,"Lübeck, Stadt",krsfr. Stadt,2013,43.9
01003,"Lübeck, Stadt",krsfr. Stadt,2014,43.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,43.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,43.5
01003,"Lübeck, Stadt",krsfr. Stadt,2017,43.6
01004,"Neumünster, Stadt",krsfr. Stadt,1997,38.8
01004,"Neumünster, Stadt",krsfr. Stadt,1998,39.6
01004,"Neumünster, Stadt",krsfr. Stadt,1999,40.7
01004,"Neumünster, Stadt",krsfr. Stadt,2000,42.2
01004,"Neumünster, Stadt",krsfr. Stadt,2001,44
01004,"Neumünster, Stadt",krsfr. Stadt,2002,44.8
01004,"Neumünster, Stadt",krsfr. Stadt,2003,46.2
01004,"Neumünster, Stadt",krsfr. Stadt,2004,47
01004,"Neumünster, Stadt",krsfr. Stadt,2005,48.9
01004,"Neumünster, Stadt",krsfr. Stadt,2006,50
01004,"Neumünster, Stadt",krsfr. Stadt,2007,50.7
01004,"Neumünster, Stadt",krsfr. Stadt,2008,52.4
01004,"Neumünster, Stadt",krsfr. Stadt,2009,53
01004,"Neumünster, Stadt",krsfr. Stadt,2010,52.9
01004,"Neumünster, Stadt",krsfr. Stadt,2011,53.7
01004,"Neumünster, Stadt",krsfr. Stadt,2012,53.2
01004,"Neumünster, Stadt",krsfr. Stadt,2013,53.3
01004,"Neumünster, Stadt",krsfr. Stadt,2014,53.4
01004,"Neumünster, Stadt",krsfr. Stadt,2015,53.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,54.6
01004,"Neumünster, Stadt",krsfr. Stadt,2017,54.5
01051,Dithmarschen,Landkreis,1997,65.3
01051,Dithmarschen,Landkreis,1998,65.9
01051,Dithmarschen,Landkreis,1999,66.1
01051,Dithmarschen,Landkreis,2000,67
01051,Dithmarschen,Landkreis,2001,68
01051,Dithmarschen,Landkreis,2002,67.7
01051,Dithmarschen,Landkreis,2003,67.7
01051,Dithmarschen,Landkreis,2004,68.4
01051,Dithmarschen,Landkreis,2005,68.6
01051,Dithmarschen,Landkreis,2006,69.8
01051,Dithmarschen,Landkreis,2007,70.2
01051,Dithmarschen,Landkreis,2008,71.1
01051,Dithmarschen,Landkreis,2009,71.1
01051,Dithmarschen,Landkreis,2010,69.1
01051,Dithmarschen,Landkreis,2011,69.1
01051,Dithmarschen,Landkreis,2012,69
01051,Dithmarschen,Landkreis,2013,70.5
01051,Dithmarschen,Landkreis,2014,70.9
01051,Dithmarschen,Landkreis,2015,70.6
01051,Dithmarschen,Landkreis,2016,71.2
01051,Dithmarschen,Landkreis,2017,70.8
01053,Herzogtum Lauenburg,Landkreis,1997,63.7
01053,Herzogtum Lauenburg,Landkreis,1998,64.3
01053,Herzogtum Lauenburg,Landkreis,1999,65.4
01053,Herzogtum Lauenburg,Landkreis,2000,66.4
01053,Herzogtum Lauenburg,Landkreis,2001,67.4
01053,Herzogtum Lauenburg,Landkreis,2002,67.7
01053,Herzogtum Lauenburg,Landkreis,2003,68.3
01053,Herzogtum Lauenburg,Landkreis,2004,69
01053,Herzogtum Lauenburg,Landkreis,2005,68.6
01053,Herzogtum Lauenburg,Landkreis,2006,70.3
01053,Herzogtum Lauenburg,Landkreis,2007,69.8
01053,Herzogtum Lauenburg,Landkreis,2008,70.6
01053,Herzogtum Lauenburg,Landkreis,2009,70.6
01053,Herzogtum Lauenburg,Landkreis,2010,69.3
01053,Herzogtum Lauenburg,Landkreis,2011,69.6
01053,Herzogtum Lauenburg,Landkreis,2012,69.2
01053,Herzogtum Lauenburg,Landkreis,2013,70.9
01053,Herzogtum Lauenburg,Landkreis,2014,70.8
01053,Herzogtum Lauenburg,Landkreis,2015,70.7
01053,Herzogtum Lauenburg,Landkreis,2016,71.4
01053,Herzogtum Lauenburg,Landkreis,2017,71.7
01054,Nordfriesland,Landkreis,1997,59.7
01054,Nordfriesland,Landkreis,1998,60.4
01054,Nordfriesland,Landkreis,1999,61.2
01054,Nordfriesland,Landkreis,2000,63.1
01054,Nordfriesland,Landkreis,2001,63.9
01054,Nordfriesland,Landkreis,2002,64
01054,Nordfriesland,Landkreis,2003,64.5
01054,Nordfriesland,Landkreis,2004,64.7
01054,Nordfriesland,Landkreis,2005,65
01054,Nordfriesland,Landkreis,2006,66.3
01054,Nordfriesland,Landkreis,2007,65.8
01054,Nordfriesland,Landkreis,2008,67
01054,Nordfriesland,Landkreis,2009,64.3
01054,Nordfriesland,Landkreis,2010,63.7
01054,Nordfriesland,Landkreis,2011,63.6
01054,Nordfriesland,Landkreis,2012,63.9
01054,Nordfriesland,Landkreis,2013,64.4
01054,Nordfriesland,Landkreis,2014,64.8
01054,Nordfriesland,Landkreis,2015,65.1
01054,Nordfriesland,Landkreis,2016,66.1
01054,Nordfriesland,Landkreis,2017,66
01055,Ostholstein,Landkreis,1997,59.7
01055,Ostholstein,Landkreis,1998,60.6
01055,Ostholstein,Landkreis,1999,61.9
01055,Ostholstein,Landkreis,2000,63.2
01055,Ostholstein,Landkreis,2001,63.8
01055,Ostholstein,Landkreis,2002,63.7
01055,Ostholstein,Landkreis,2003,62.6
01055,Ostholstein,Landkreis,2004,62.7
01055,Ostholstein,Landkreis,2005,63.3
01055,Ostholstein,Landkreis,2006,63.3
01055,Ostholstein,Landkreis,2007,63.9
01055,Ostholstein,Landkreis,2008,63.9
01055,Ostholstein,Landkreis,2009,64.1
01055,Ostholstein,Landkreis,2010,64
01055,Ostholstein,Landkreis,2011,64.1
01055,Ostholstein,Landkreis,2012,64.6
01055,Ostholstein,Landkreis,2013,64.7
01055,Ostholstein,Landkreis,2014,65.1
01055,Ostholstein,Landkreis,2015,65.4
01055,Ostholstein,Landkreis,2016,65.9
01055,Ostholstein,Landkreis,2017,65.9
01056,Pinneberg,Landkreis,1997,66
01056,Pinneberg,Landkreis,1998,66.8
01056,Pinneberg,Landkreis,1999,67.7
01056,Pinneberg,Landkreis,2000,69.5
01056,Pinneberg,Landkreis,2001,69.6
01056,Pinneberg,Landkreis,2002,69.5
01056,Pinneberg,Landkreis,2003,70
01056,Pinneberg,Landkreis,2004,70.9
01056,Pinneberg,Landkreis,2005,71.5
01056,Pinneberg,Landkreis,2006,72
01056,Pinneberg,Landkreis,2007,72.3
01056,Pinneberg,Landkreis,2008,72.9
01056,Pinneberg,Landkreis,2009,73.5
01056,Pinneberg,Landkreis,2010,73.6
01056,Pinneberg,Landkreis,2011,73.9
01056,Pinneberg,Landkreis,2012,73.7
01056,Pinneberg,Landkreis,2013,73.5
01056,Pinneberg,Landkreis,2014,73.3
01056,Pinneberg,Landkreis,2015,73.6
01056,Pinneberg,Landkreis,2016,74
01056,Pinneberg,Landkreis,2017,74.2
01057,Plön,Landkreis,1997,68.4
01057,Plön,Landkreis,1998,68.6
01057,Plön,Landkreis,1999,69.8
01057,Plön,Landkreis,2000,70.9
01057,Plön,Landkreis,2001,71.3
01057,Plön,Landkreis,2002,70.9
01057,Plön,Landkreis,2003,71.3
01057,Plön,Landkreis,2004,71.4
01057,Plön,Landkreis,2005,71.3
01057,Plön,Landkreis,2006,72.7
01057,Plön,Landkreis,2007,72.2
01057,Plön,Landkreis,2008,72.8
01057,Plön,Landkreis,2009,72.9
01057,Plön,Landkreis,2010,70.8
01057,Plön,Landkreis,2011,71.4
01057,Plön,Landkreis,2012,71.2
01057,Plön,Landkreis,2013,73
01057,Plön,Landkreis,2014,72.9
01057,Plön,Landkreis,2015,73.1
01057,Plön,Landkreis,2016,74.3
01057,Plön,Landkreis,2017,74.3
01058,Rendsburg-Eckernförde,Landkreis,1997,70
01058,Rendsburg-Eckernförde,Landkreis,1998,70.7
01058,Rendsburg-Eckernförde,Landkreis,1999,71.7
01058,Rendsburg-Eckernförde,Landkreis,2000,73
01058,Rendsburg-Eckernförde,Landkreis,2001,74
01058,Rendsburg-Eckernförde,Landkreis,2002,74.6
