Kennziffer,Raumeinheit,Aggregat,year,value
001,Husum,Arbeitsmarktregion,2000,1233
001,Husum,Arbeitsmarktregion,2001,1280
001,Husum,Arbeitsmarktregion,2002,1287
001,Husum,Arbeitsmarktregion,2003,1331
001,Husum,Arbeitsmarktregion,2004,1368
001,Husum,Arbeitsmarktregion,2005,1431
001,Husum,Arbeitsmarktregion,2006,1485
001,Husum,Arbeitsmarktregion,2007,1547
001,Husum,Arbeitsmarktregion,2008,1623
001,Husum,Arbeitsmarktregion,2009,1642
001,Husum,Arbeitsmarktregion,2010,1679
001,Husum,Arbeitsmarktregion,2011,1770
001,Husum,Arbeitsmarktregion,2012,1811
001,Husum,Arbeitsmarktregion,2013,1901
001,Husum,Arbeitsmarktregion,2014,1986
001,Husum,Arbeitsmarktregion,2015,2006
001,Husum,Arbeitsmarktregion,2016,2062
001,Husum,Arbeitsmarktregion,2017,2135
002,Heide,Arbeitsmarktregion,2000,1181
002,Heide,Arbeitsmarktregion,2001,1234
002,Heide,Arbeitsmarktregion,2002,1252
002,Heide,Arbeitsmarktregion,2003,1297
002,Heide,Arbeitsmarktregion,2004,1348
002,Heide,Arbeitsmarktregion,2005,1377
002,Heide,Arbeitsmarktregion,2006,1395
002,Heide,Arbeitsmarktregion,2007,1431
002,Heide,Arbeitsmarktregion,2008,1483
002,Heide,Arbeitsmarktregion,2009,1481
002,Heide,Arbeitsmarktregion,2010,1514
002,Heide,Arbeitsmarktregion,2011,1580
002,Heide,Arbeitsmarktregion,2012,1629
002,Heide,Arbeitsmarktregion,2013,1691
002,Heide,Arbeitsmarktregion,2014,1738
002,Heide,Arbeitsmarktregion,2015,1788
002,Heide,Arbeitsmarktregion,2016,1830
002,Heide,Arbeitsmarktregion,2017,1906
003,Itzehoe,Arbeitsmarktregion,2000,1237
003,Itzehoe,Arbeitsmarktregion,2001,1282
003,Itzehoe,Arbeitsmarktregion,2002,1292
003,Itzehoe,Arbeitsmarktregion,2003,1331
003,Itzehoe,Arbeitsmarktregion,2004,1362
003,Itzehoe,Arbeitsmarktregion,2005,1399
003,Itzehoe,Arbeitsmarktregion,2006,1418
003,Itzehoe,Arbeitsmarktregion,2007,1456
003,Itzehoe,Arbeitsmarktregion,2008,1498
003,Itzehoe,Arbeitsmarktregion,2009,1497
003,Itzehoe,Arbeitsmarktregion,2010,1533
003,Itzehoe,Arbeitsmarktregion,2011,1606
003,Itzehoe,Arbeitsmarktregion,2012,1665
003,Itzehoe,Arbeitsmarktregion,2013,1682
003,Itzehoe,Arbeitsmarktregion,2014,1696
003,Itzehoe,Arbeitsmarktregion,2015,1695
003,Itzehoe,Arbeitsmarktregion,2016,1734
003,Itzehoe,Arbeitsmarktregion,2017,1804
004,Flensburg,Arbeitsmarktregion,2000,1209
004,Flensburg,Arbeitsmarktregion,2001,1249
004,Flensburg,Arbeitsmarktregion,2002,1261
004,Flensburg,Arbeitsmarktregion,2003,1300
004,Flensburg,Arbeitsmarktregion,2004,1330
004,Flensburg,Arbeitsmarktregion,2005,1381
004,Flensburg,Arbeitsmarktregion,2006,1417
004,Flensburg,Arbeitsmarktregion,2007,1464
004,Flensburg,Arbeitsmarktregion,2008,1482
004,Flensburg,Arbeitsmarktregion,2009,1475
004,Flensburg,Arbeitsmarktregion,2010,1484
004,Flensburg,Arbeitsmarktregion,2011,1573
004,Flensburg,Arbeitsmarktregion,2012,1623
004,Flensburg,Arbeitsmarktregion,2013,1661
004,Flensburg,Arbeitsmarktregion,2014,1684
004,Flensburg,Arbeitsmarktregion,2015,1725
004,Flensburg,Arbeitsmarktregion,2016,1756
004,Flensburg,Arbeitsmarktregion,2017,1811
005,Lübeck,Arbeitsmarktregion,2000,1250
005,Lübeck,Arbeitsmarktregion,2001,1295
005,Lübeck,Arbeitsmarktregion,2002,1320
005,Lübeck,Arbeitsmarktregion,2003,1377
005,Lübeck,Arbeitsmarktregion,2004,1416
005,Lübeck,Arbeitsmarktregion,2005,1445
005,Lübeck,Arbeitsmarktregion,2006,1452
005,Lübeck,Arbeitsmarktregion,2007,1472
005,Lübeck,Arbeitsmarktregion,2008,1498
005,Lübeck,Arbeitsmarktregion,2009,1502
005,Lübeck,Arbeitsmarktregion,2010,1518
005,Lübeck,Arbeitsmarktregion,2011,1580
005,Lübeck,Arbeitsmarktregion,2012,1626
005,Lübeck,Arbeitsmarktregion,2013,1636
005,Lübeck,Arbeitsmarktregion,2014,1670
005,Lübeck,Arbeitsmarktregion,2015,1702
005,Lübeck,Arbeitsmarktregion,2016,1745
005,Lübeck,Arbeitsmarktregion,2017,1807
