Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2007,10.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,14
01002,"Kiel, Stadt",krsfr. Stadt,2007,11.1
01002,"Kiel, Stadt",krsfr. Stadt,2017,13.1
01003,"Lübeck, Stadt",krsfr. Stadt,2007,13.4
01003,"Lübeck, Stadt",krsfr. Stadt,2017,15
01004,"Neumünster, Stadt",krsfr. Stadt,2007,13.1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,14.7
01051,Dithmarschen,Landkreis,2007,16.8
01051,Dithmarschen,Landkreis,2017,16.7
01053,Herzogtum Lauenburg,Landkreis,2007,16.1
01053,Herzogtum Lauenburg,Landkreis,2017,15.6
01054,Nordfriesland,Landkreis,2007,14.6
01054,Nordfriesland,Landkreis,2017,15.1
01055,Ostholstein,Landkreis,2007,15.3
01055,Ostholstein,Landkreis,2017,15.2
01056,Pinneberg,Landkreis,2007,7.2
01056,Pinneberg,Landkreis,2017,7.2
01057,Plön,Landkreis,2007,11.2
01057,Plön,Landkreis,2017,11.4
01058,Rendsburg-Eckernförde,Landkreis,2007,12.4
01058,Rendsburg-Eckernförde,Landkreis,2017,12.2
01059,Schleswig-Flensburg,Landkreis,2007,11.6
01059,Schleswig-Flensburg,Landkreis,2017,11.6
01060,Segeberg,Landkreis,2007,12.1
01060,Segeberg,Landkreis,2017,12
01061,Steinburg,Landkreis,2007,22.5
01061,Steinburg,Landkreis,2017,21.6
01062,Stormarn,Landkreis,2007,11.1
01062,Stormarn,Landkreis,2017,11.7
02000,"Hamburg, Stadt",krsfr. Stadt,2007,7.2
02000,"Hamburg, Stadt",krsfr. Stadt,2017,8.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2007,10.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,10.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2007,8.1
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,11.2
03103,"Wolfsburg, Stadt",krsfr. Stadt,2007,5.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,6.5
03151,Gifhorn,Landkreis,2007,8.5
03151,Gifhorn,Landkreis,2017,8.4
03153,Goslar,Landkreis,2007,13.8
03153,Goslar,Landkreis,2017,16.1
03154,Helmstedt,Landkreis,2007,8.8
03154,Helmstedt,Landkreis,2017,9.1
03155,Northeim,Landkreis,2007,10.1
03155,Northeim,Landkreis,2017,10.6
03157,Peine,Landkreis,2007,8.7
03157,Peine,Landkreis,2017,9.7
03158,Wolfenbüttel,Landkreis,2007,9.1
03158,Wolfenbüttel,Landkreis,2017,8.8
03159,Göttingen,Landkreis,2007,10.3
03159,Göttingen,Landkreis,2017,12
03241,Region Hannover,Landkreis,2007,8.7
03241,Region Hannover,Landkreis,2017,10.1
03251,Diepholz,Landkreis,2007,10.1
03251,Diepholz,Landkreis,2017,10.7
03252,Hameln-Pyrmont,Landkreis,2007,11.2
03252,Hameln-Pyrmont,Landkreis,2017,12.4
03254,Hildesheim,Landkreis,2007,9.8
03254,Hildesheim,Landkreis,2017,11.1
03255,Holzminden,Landkreis,2007,11.3
03255,Holzminden,Landkreis,2017,12.2
03256,Nienburg (Weser),Landkreis,2007,15.7
03256,Nienburg (Weser),Landkreis,2017,15.8
03257,Schaumburg,Landkreis,2007,11.5
03257,Schaumburg,Landkreis,2017,12.2
03351,Celle,Landkreis,2007,13
03351,Celle,Landkreis,2017,13.5
03352,Cuxhaven,Landkreis,2007,15.7
03352,Cuxhaven,Landkreis,2017,16.9
03353,Harburg,Landkreis,2007,10.4
03353,Harburg,Landkreis,2017,10.8
03354,Lüchow-Dannenberg,Landkreis,2007,22.1
03354,Lüchow-Dannenberg,Landkreis,2017,21.9
03355,Lüneburg,Landkreis,2007,24.1
03355,Lüneburg,Landkreis,2017,24
03356,Osterholz,Landkreis,2007,8.3
03356,Osterholz,Landkreis,2017,8.7
03357,Rotenburg (Wümme),Landkreis,2007,19
03357,Rotenburg (Wümme),Landkreis,2017,18.2
03358,Heidekreis,Landkreis,2007,17
03358,Heidekreis,Landkreis,2017,18.2
03359,Stade,Landkreis,2007,12.1
03359,Stade,Landkreis,2017,12
03360,Uelzen,Landkreis,2007,18.3
03360,Uelzen,Landkreis,2017,18.6
03361,Verden,Landkreis,2007,9.8
03361,Verden,Landkreis,2017,10.9
03401,"Delmenhorst, Stadt",krsfr. Stadt,2007,7.6
03401,"Delmenhorst, Stadt",krsfr. Stadt,2017,9.2
03402,"Emden, Stadt",krsfr. Stadt,2007,9.4
03402,"Emden, Stadt",krsfr. Stadt,2017,9.9
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2007,15.6
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2017,17.8
03404,"Osnabrück, Stadt",krsfr. Stadt,2007,11.6
03404,"Osnabrück, Stadt",krsfr. Stadt,2017,13.9
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2007,12.5
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2017,14.3
03451,Ammerland,Landkreis,2007,11.1
03451,Ammerland,Landkreis,2017,11.9
03452,Aurich,Landkreis,2007,9
03452,Aurich,Landkreis,2017,8.4
03453,Cloppenburg,Landkreis,2007,10.6
03453,Cloppenburg,Landkreis,2017,11.3
03454,Emsland,Landkreis,2007,11.6
03454,Emsland,Landkreis,2017,12.1
03455,Friesland,Landkreis,2007,11.5
03455,Friesland,Landkreis,2017,11.2
03456,Grafschaft Bentheim,Landkreis,2007,10.2
03456,Grafschaft Bentheim,Landkreis,2017,9.1
03457,Leer,Landkreis,2007,12.7
03457,Leer,Landkreis,2017,12
03458,Oldenburg,Landkreis,2007,10.1
03458,Oldenburg,Landkreis,2017,12.1
03459,Osnabrück,Landkreis,2007,8.1
03459,Osnabrück,Landkreis,2017,9
03460,Vechta,Landkreis,2007,7.9
03460,Vechta,Landkreis,2017,8.9
03461,Wesermarsch,Landkreis,2007,10.4
03461,Wesermarsch,Landkreis,2017,11.4
03462,Wittmund,Landkreis,2007,13
03462,Wittmund,Landkreis,2017,11.3
04011,"Bremen, Stadt",krsfr. Stadt,2007,9.4
04011,"Bremen, Stadt",krsfr. Stadt,2017,12.1
04012,"Bremerhaven, Stadt",krsfr. Stadt,2007,13.8
04012,"Bremerhaven, Stadt",krsfr. Stadt,2017,17.1
05111,"Düsseldorf, Stadt",krsfr. Stadt,2007,7.3
05111,"Düsseldorf, Stadt",krsfr. Stadt,2017,9.6
05112,"Duisburg, Stadt",krsfr. Stadt,2007,6.4
05112,"Duisburg, Stadt",krsfr. Stadt,2017,8.3
05113,"Essen, Stadt",krsfr. Stadt,2007,6.6
05113,"Essen, Stadt",krsfr. Stadt,2017,8
05114,"Krefeld, Stadt",krsfr. Stadt,2007,8
05114,"Krefeld, Stadt",krsfr. Stadt,2017,9.7
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2007,8.8
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2017,10.3
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2007,7.2
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2017,8.3
05119,"Oberhausen, Stadt",krsfr. Stadt,2007,7
05119,"Oberhausen, Stadt",krsfr. Stadt,2017,8.2
05120,"Remscheid, Stadt",krsfr. Stadt,2007,3.8
05120,"Remscheid, Stadt",krsfr. Stadt,2017,4.9
05122,"Solingen, Stadt",krsfr. Stadt,2007,4.6
05122,"Solingen, Stadt",krsfr. Stadt,2017,5.6
05124,"Wuppertal, Stadt",krsfr. Stadt,2007,6.1
05124,"Wuppertal, Stadt",krsfr. Stadt,2017,7.6
05154,Kleve,Landkreis,2007,13.8
05154,Kleve,Landkreis,2017,13.5
05158,Mettmann,Landkreis,2007,6.6
05158,Mettmann,Landkreis,2017,7.5
05162,Rhein-Kreis Neuss,Landkreis,2007,7.6
05162,Rhein-Kreis Neuss,Landkreis,2017,8.6
05166,Viersen,Landkreis,2007,9.3
05166,Viersen,Landkreis,2017,10.4
05170,Wesel,Landkreis,2007,10.7
05170,Wesel,Landkreis,2017,11
05314,"Bonn, Stadt",krsfr. Stadt,2007,10.1
05314,"Bonn, Stadt",krsfr. Stadt,2017,10.8
05315,"Köln, Stadt",krsfr. Stadt,2007,8.1
05315,"Köln, Stadt",krsfr. Stadt,2017,10.3
05316,"Leverkusen, Stadt",krsfr. Stadt,2007,5.8
05316,"Leverkusen, Stadt",krsfr. Stadt,2017,7.4
05334,Städteregion Aachen,Landkreis,2007,10
05334,Städteregion Aachen,Landkreis,2017,11.2
05358,Düren,Landkreis,2007,10.1
