Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1997,31.3
01001,"Flensburg, Stadt",krsfr. Stadt,1998,32.2
01001,"Flensburg, Stadt",krsfr. Stadt,1999,31.6
01001,"Flensburg, Stadt",krsfr. Stadt,2000,32.6
01001,"Flensburg, Stadt",krsfr. Stadt,2001,31.8
01001,"Flensburg, Stadt",krsfr. Stadt,2002,32.6
01001,"Flensburg, Stadt",krsfr. Stadt,2003,32.7
01001,"Flensburg, Stadt",krsfr. Stadt,2004,32.2
01001,"Flensburg, Stadt",krsfr. Stadt,2005,33.5
01001,"Flensburg, Stadt",krsfr. Stadt,2006,35.3
01001,"Flensburg, Stadt",krsfr. Stadt,2007,35.1
01001,"Flensburg, Stadt",krsfr. Stadt,2008,33.6
01001,"Flensburg, Stadt",krsfr. Stadt,2009,32.9
01001,"Flensburg, Stadt",krsfr. Stadt,2010,32.3
01001,"Flensburg, Stadt",krsfr. Stadt,2011,30.8
01001,"Flensburg, Stadt",krsfr. Stadt,2012,29.4
01001,"Flensburg, Stadt",krsfr. Stadt,2013,30.7
01001,"Flensburg, Stadt",krsfr. Stadt,2014,29.7
01001,"Flensburg, Stadt",krsfr. Stadt,2015,29.4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,28.8
01001,"Flensburg, Stadt",krsfr. Stadt,2017,27.7
01002,"Kiel, Stadt",krsfr. Stadt,1997,27.9
01002,"Kiel, Stadt",krsfr. Stadt,1998,28.6
01002,"Kiel, Stadt",krsfr. Stadt,1999,27.7
01002,"Kiel, Stadt",krsfr. Stadt,2000,27.5
01002,"Kiel, Stadt",krsfr. Stadt,2001,27.6
01002,"Kiel, Stadt",krsfr. Stadt,2002,28.4
01002,"Kiel, Stadt",krsfr. Stadt,2003,29.3
01002,"Kiel, Stadt",krsfr. Stadt,2004,30
01002,"Kiel, Stadt",krsfr. Stadt,2005,31
01002,"Kiel, Stadt",krsfr. Stadt,2006,30.7
01002,"Kiel, Stadt",krsfr. Stadt,2007,30.5
01002,"Kiel, Stadt",krsfr. Stadt,2008,30.3
01002,"Kiel, Stadt",krsfr. Stadt,2009,29.4
01002,"Kiel, Stadt",krsfr. Stadt,2010,28.8
01002,"Kiel, Stadt",krsfr. Stadt,2011,28.4
01002,"Kiel, Stadt",krsfr. Stadt,2012,28
01002,"Kiel, Stadt",krsfr. Stadt,2013,27.5
01002,"Kiel, Stadt",krsfr. Stadt,2014,29.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,29
01002,"Kiel, Stadt",krsfr. Stadt,2016,27.5
01002,"Kiel, Stadt",krsfr. Stadt,2017,27.1
01003,"Lübeck, Stadt",krsfr. Stadt,1997,17.7
01003,"Lübeck, Stadt",krsfr. Stadt,1998,18.2
01003,"Lübeck, Stadt",krsfr. Stadt,1999,19
01003,"Lübeck, Stadt",krsfr. Stadt,2000,18.6
01003,"Lübeck, Stadt",krsfr. Stadt,2001,19.5
01003,"Lübeck, Stadt",krsfr. Stadt,2002,20
01003,"Lübeck, Stadt",krsfr. Stadt,2003,20.9
01003,"Lübeck, Stadt",krsfr. Stadt,2004,21.7
01003,"Lübeck, Stadt",krsfr. Stadt,2005,22.1
01003,"Lübeck, Stadt",krsfr. Stadt,2006,22.7
01003,"Lübeck, Stadt",krsfr. Stadt,2007,23.1
01003,"Lübeck, Stadt",krsfr. Stadt,2008,23.6
01003,"Lübeck, Stadt",krsfr. Stadt,2009,23.5
01003,"Lübeck, Stadt",krsfr. Stadt,2010,23.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,23
01003,"Lübeck, Stadt",krsfr. Stadt,2012,21.8
01003,"Lübeck, Stadt",krsfr. Stadt,2013,21
01003,"Lübeck, Stadt",krsfr. Stadt,2014,19.6
01003,"Lübeck, Stadt",krsfr. Stadt,2015,18.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,17.8
01003,"Lübeck, Stadt",krsfr. Stadt,2017,17.9
01004,"Neumünster, Stadt",krsfr. Stadt,1997,16.2
