Kennziffer;Raumeinheit;Aggregat;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Bruttoverdienst ;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Haushaltseinkommen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen;Arbeitsvolumen
;;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"1.972";"2.029";"2.111";"2.170";"2.154";"2.091";"2.023";"2.038";"2.084";"2.066";"2.095";"2.126";"2.201";"2.227";"2.256";"2.319";"2.323";"2.431";"1.198";"1.224";"1.234";"1.249";"1.250";"1.312";"1.355";"1.408";"1.396";"1.388";"1.379";"1.501";"1.539";"1.541";"1.542";"1.544";"1.557";"1.598";"1.351,9";"1.335,5";"1.341,6";"1.340,8";"1.332,9";"1.316,3";"1.333,2";"1.339,3";"1.328,8";"1.281,9";"1.301,0";"1.293,3";"1.280,2";"1.275,3";"1.286,5";"1.286,1";"1.283,1";"1.289,3"
"01002";"Kiel, Stadt";"krsfr. Stadt";"2.127";"2.182";"2.246";"2.286";"2.277";"2.248";"2.204";"2.221";"2.253";"2.283";"2.347";"2.392";"2.436";"2.464";"2.565";"2.671";"2.689";"2.771";"1.200";"1.242";"1.256";"1.287";"1.299";"1.333";"1.343";"1.374";"1.395";"1.397";"1.410";"1.454";"1.488";"1.530";"1.510";"1.527";"1.555";"1.604";"1.371,4";"1.365,6";"1.363,0";"1.353,2";"1.347,4";"1.340,0";"1.361,3";"1.355,5";"1.340,3";"1.298,7";"1.314,1";"1.317,6";"1.305,3";"1.288,2";"1.295,8";"1.298,2";"1.297,7";"1.300,5"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"1.951";"1.985";"2.025";"2.022";"2.044";"2.047";"2.023";"2.041";"2.077";"2.077";"2.147";"2.202";"2.253";"2.303";"2.409";"2.430";"2.589";"2.618";"1.221";"1.268";"1.299";"1.356";"1.392";"1.424";"1.435";"1.454";"1.466";"1.460";"1.460";"1.486";"1.527";"1.530";"1.552";"1.606";"1.645";"1.698";"1.351,7";"1.343,6";"1.340,1";"1.330,3";"1.323,9";"1.319,8";"1.340,2";"1.338,5";"1.324,8";"1.279,1";"1.303,8";"1.305,6";"1.295,2";"1.286,0";"1.304,1";"1.302,5";"1.303,0";"1.306,8"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"2.036";"2.032";"2.089";"2.060";"2.068";"2.044";"2.040";"2.077";"2.075";"2.079";"2.102";"2.182";"2.220";"2.318";"2.346";"2.402";"2.453";"2.524";"1.260";"1.324";"1.305";"1.312";"1.291";"1.330";"1.348";"1.381";"1.389";"1.383";"1.384";"1.406";"1.459";"1.486";"1.534";"1.521";"1.551";"1.606";"1.349,0";"1.333,9";"1.328,1";"1.319,7";"1.319,2";"1.303,7";"1.327,9";"1.330,9";"1.340,3";"1.297,8";"1.320,7";"1.333,8";"1.325,8";"1.308,8";"1.315,3";"1.313,8";"1.319,7";"1.324,5"
"01051";"Dithmarschen";"Landkreis";"1.948";"1.968";"1.991";"1.984";"1.952";"1.945";"1.966";"1.978";"1.994";"1.977";"2.007";"2.083";"2.106";"2.144";"2.197";"2.227";"2.310";"2.333";"1.181";"1.234";"1.252";"1.297";"1.348";"1.377";"1.395";"1.431";"1.483";"1.481";"1.514";"1.580";"1.629";"1.691";"1.738";"1.788";"1.830";"1.906";"1.339,6";"1.324,2";"1.312,0";"1.288,4";"1.280,6";"1.275,7";"1.305,9";"1.306,1";"1.301,0";"1.251,0";"1.272,7";"1.278,9";"1.266,7";"1.260,1";"1.266,6";"1.264,9";"1.265,8";"1.266,0"
"01053";"Herzogtum Lauenburg";"Landkreis";"1.830";"1.879";"1.880";"1.862";"1.848";"1.835";"1.834";"1.881";"1.982";"1.978";"1.977";"2.102";"2.150";"2.204";"2.273";"2.345";"2.401";"2.448";"1.416";"1.469";"1.473";"1.503";"1.528";"1.572";"1.584";"1.620";"1.666";"1.692";"1.718";"1.773";"1.829";"1.816";"1.842";"1.864";"1.900";"1.955";"1.294,5";"1.278,5";"1.270,1";"1.263,6";"1.259,8";"1.250,3";"1.273,8";"1.273,5";"1.284,7";"1.247,6";"1.269,9";"1.271,7";"1.262,0";"1.250,6";"1.259,9";"1.261,7";"1.261,9";"1.263,2"
"01054";"Nordfriesland";"Landkreis";"1.791";"1.821";"1.834";"1.863";"1.867";"1.885";"1.890";"1.907";"1.916";"1.955";"2.004";"2.070";"2.131";"2.216";"2.201";"2.277";"2.321";"2.373";"1.233";"1.280";"1.287";"1.331";"1.368";"1.431";"1.485";"1.547";"1.623";"1.642";"1.679";"1.770";"1.811";"1.901";"1.986";"2.006";"2.062";"2.135";"1.360,1";"1.344,5";"1.338,5";"1.327,4";"1.328,1";"1.327,2";"1.350,7";"1.348,4";"1.340,2";"1.301,8";"1.321,8";"1.319,4";"1.313,5";"1.302,3";"1.303,2";"1.304,9";"1.309,8";"1.308,2"
"01055";"Ostholstein";"Landkreis";"1.663";"1.683";"1.710";"1.727";"1.732";"1.735";"1.744";"1.800";"1.827";"1.825";"1.867";"1.906";"1.985";"2.013";"2.046";"2.109";"2.162";"2.215";"1.279";"1.323";"1.341";"1.399";"1.440";"1.466";"1.469";"1.491";"1.531";"1.546";"1.578";"1.679";"1.731";"1.750";"1.797";"1.806";"1.853";"1.923";"1.324,3";"1.316,9";"1.313,6";"1.304,1";"1.301,4";"1.296,6";"1.314,3";"1.314,6";"1.297,8";"1.255,7";"1.273,5";"1.272,3";"1.264,4";"1.252,8";"1.256,6";"1.255,2";"1.256,0";"1.256,7"
"01056";"Pinneberg";"Landkreis";"1.940";"1.988";"2.034";"2.073";"2.096";"2.119";"2.134";"2.176";"2.223";"2.269";"2.284";"2.322";"2.366";"2.448";"2.447";"2.512";"2.580";"2.612";"1.513";"1.572";"1.565";"1.601";"1.611";"1.646";"1.649";"1.673";"1.720";"1.741";"1.774";"1.867";"1.919";"1.929";"1.934";"1.958";"1.998";"2.052";"1.338,4";"1.325,6";"1.318,4";"1.316,4";"1.314,8";"1.309,8";"1.327,3";"1.330,0";"1.326,4";"1.282,0";"1.301,1";"1.302,7";"1.293,1";"1.282,9";"1.287,7";"1.286,9";"1.286,8";"1.290,7"
